	Candida_arabinofermentans	Saccharomyces_cerevisiae
OG0001837	maker-scaffold_20-snap-gene-0.163-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.163&CDS=1-1707	YGL129C
OG0001838	augustus_masked-scaffold_20-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.16&CDS=1-1398	YPL204W
OG0001839	augustus_masked-scaffold_20-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.17&CDS=1-1293	YGL067W
OG0001840	augustus_masked-scaffold_20-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.53&CDS=1-1362	YPL063W
OG0001841	augustus_masked-scaffold_20-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.18&CDS=1-891	YKR062W
OG0001842	augustus_masked-scaffold_20-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.54&CDS=1-720	YJL148W
OG0001843	augustus_masked-scaffold_20-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.55&CDS=1-1686	YMR300C
OG0001844	augustus_masked-scaffold_20-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.19&CDS=1-711	YGR033C
OG0001845	maker-scaffold_20-augustus-gene-0.183-mRNA-1_1&gene=maker-scaffold_20-augustus-gene-0.183&CDS=1-2004	YPL206C
OG0001846	augustus_masked-scaffold_20-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.20&CDS=1-711	YBR256C
OG0001847	augustus_masked-scaffold_20-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.59&CDS=1-1269	YIR012W
OG0001848	augustus_masked-scaffold_20-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.21&CDS=1-1314	YPL151C
OG0001849	augustus_masked-scaffold_20-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.60&CDS=1-1149	YNR007C
OG0001850	augustus_masked-scaffold_20-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.22&CDS=1-1998	YNR008W
OG0001851	genemark-scaffold_20-processed-gene-0.249-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.249&CDS=1-1092	YPL244C
OG0001852	augustus_masked-scaffold_20-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.24&CDS=1-405	YNL328C
OG0001853	augustus_masked-scaffold_20-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.63&CDS=1-1101	YPL236C
OG0001854	augustus_masked-scaffold_20-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.25&CDS=1-1419	YPL235W
OG0001855	augustus_masked-scaffold_20-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.64&CDS=1-501	YPL234C
OG0001856	maker-scaffold_20-snap-gene-0.159-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.159&CDS=1-1449	YPL246C
OG0001857	augustus_masked-scaffold_20-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.29&CDS=1-5217	YJL039C
OG0001858	augustus_masked-scaffold_20-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.31&CDS=1-867	YBR039W
OG0001859	maker-scaffold_20-augustus-gene-0.185-mRNA-1_1&gene=maker-scaffold_20-augustus-gene-0.185&CDS=1-1614	YBR045C
OG0001860	augustus_masked-scaffold_20-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.32&CDS=1-1383	YDR023W
OG0001861	maker-scaffold_20-augustus-gene-0.177-mRNA-1_1&gene=maker-scaffold_20-augustus-gene-0.177&CDS=1-768	YDR020C
OG0001862	maker-scaffold_20-augustus-gene-0.178-mRNA-1_1&gene=maker-scaffold_20-augustus-gene-0.178&CDS=1-1296	YDR371W
OG0001863	genemark-scaffold_20-processed-gene-0.262-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.262&CDS=1-738	YGR001C
OG0001864	augustus_masked-scaffold_21-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.37&CDS=1-975	YPL069C
OG0001865	augustus_masked-scaffold_21-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.3&CDS=1-819	YBR201W
OG0001866	augustus_masked-scaffold_21-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.4&CDS=1-1473	YGR149W
OG0001867	augustus_masked-scaffold_21-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.5&CDS=1-1980	YNR038W
OG0001868	augustus_masked-scaffold_21-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.39&CDS=1-573	YNR036C
OG0001869	augustus_masked-scaffold_21-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.6&CDS=1-444	YKL192C
OG0001870	maker-scaffold_21-augustus-gene-0.138-mRNA-1_1&gene=maker-scaffold_21-augustus-gene-0.138&CDS=1-1683	YER010C
OG0001871	augustus_masked-scaffold_21-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.41&CDS=1-948	YBR251W
OG0001872	augustus_masked-scaffold_21-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.10&CDS=1-3249	YKR028W
OG0001873	augustus_masked-scaffold_21-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.11&CDS=1-681	YJL097W
OG0001874	augustus_masked-scaffold_21-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.12&CDS=1-603	YJL096W
OG0001875	augustus_masked-scaffold_21-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.42&CDS=1-2466	YJL132W
OG0001876	augustus_masked-scaffold_21-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.14&CDS=1-1644	YKR051W
OG0001877	augustus_masked-scaffold_21-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.16&CDS=1-1020	YLR307W
OG0001878	augustus_masked-scaffold_21-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.17&CDS=1-2349	YJL033W
OG0001879	augustus_masked-scaffold_21-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.45&CDS=1-2793	YGL167C
OG0001880	maker-scaffold_21-snap-gene-0.150-mRNA-1_1&gene=maker-scaffold_21-snap-gene-0.150&CDS=1-4683	YNL221C
OG0001881	augustus_masked-scaffold_21-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.18&CDS=1-3969	YOL030W
OG0001882	augustus_masked-scaffold_21-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.48&CDS=1-1347	YNL016W
OG0001883	augustus_masked-scaffold_21-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.19&CDS=1-1059	YIL083C
OG0001884	augustus_masked-scaffold_21-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.49&CDS=1-2199	YNL026W
OG0001885	augustus_masked-scaffold_21-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.53&CDS=1-687	YBL095W
OG0001886	maker-scaffold_21-augustus-gene-0.143-mRNA-1_1&gene=maker-scaffold_21-augustus-gene-0.143&CDS=1-474	YDL004W
OG0001887	augustus_masked-scaffold_21-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.25&CDS=1-2232	YOR361C
OG0001888	augustus_masked-scaffold_21-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.57&CDS=1-453	YAL046C
OG0001889	augustus_masked-scaffold_21-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.58&CDS=1-1137	YGR279C
OG0001890	maker-scaffold_21-augustus-gene-0.144-mRNA-1_1&gene=maker-scaffold_21-augustus-gene-0.144&CDS=1-723	YAL003W
OG0001891	augustus_masked-scaffold_21-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.28&CDS=1-1158	YLR321C
OG0001892	augustus_masked-scaffold_21-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.31&CDS=1-1140	YHR002W
OG0001893	augustus_masked-scaffold_21-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.63&CDS=1-3213	YIR023W
OG0001894	augustus_masked-scaffold_21-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.64&CDS=1-4209	YDR489W
OG0001895	augustus_masked-scaffold_21-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.65&CDS=1-1662	YDL003W
OG0001896	augustus_masked-scaffold_22-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.85&CDS=1-2523	YOR141C
OG0001897	augustus_masked-scaffold_22-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.63&CDS=1-1524	YKL221W
OG0001898	augustus_masked-scaffold_22-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.87&CDS=1-660	YDR399W
OG0001899	augustus_masked-scaffold_22-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.64&CDS=1-960	YOR142W
OG0001900	augustus_masked-scaffold_22-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.65&CDS=1-2097	YHR137W
OG0001901	augustus_masked-scaffold_22-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.89&CDS=1-279	YER048W-A
OG0001902	augustus_masked-scaffold_22-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.90&CDS=1-3303	YIL112W
OG0001903	augustus_masked-scaffold_22-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.91&CDS=1-1134	YIL113W
OG0001904	augustus_masked-scaffold_22-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.92&CDS=1-1098	YIL110W
OG0001905	augustus_masked-scaffold_22-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.68&CDS=1-1206	YNL051W
OG0001906	augustus_masked-scaffold_22-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.69&CDS=1-384	YCR028C-A
OG0001907	genemark-scaffold_22-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.41&CDS=1-1176	YKL178C
OG0001908	augustus_masked-scaffold_22-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.70&CDS=1-1893	YKL029C
OG0001909	snap_masked-scaffold_22-processed-gene-0.142-mRNA-1_1&gene=snap_masked-scaffold_22-processed-gene-0.142&CDS=1-834	YLR150W
OG0001910	augustus_masked-scaffold_22-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.73&CDS=1-1905	YDR169C
OG0001911	augustus_masked-scaffold_22-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.74&CDS=1-2178	YER047C
OG0001912	augustus_masked-scaffold_22-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.97&CDS=1-4095	YOR048C
OG0001913	augustus_masked-scaffold_22-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.76&CDS=1-1566	YKL162C
OG0001914	augustus_masked-scaffold_22-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.82&CDS=1-1149	YKR038C
OG0001915	augustus_masked-scaffold_22-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.100&CDS=1-1662	YJL111W
OG0001916	genemark-scaffold_22-processed-gene-0.53-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.53&CDS=1-2070	YDL035C
OG0001917	genemark-scaffold_22-processed-gene-0.54-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.54&CDS=1-1968	YBR159W
OG0001918	augustus_masked-scaffold_22-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.83&CDS=1-1320	YKL216W
OG0001919	genemark-scaffold_22-processed-gene-0.55-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.55&CDS=1-855	YER083C
OG0001920	augustus_masked-scaffold_22-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.84&CDS=1-1608	YER082C
OG0001921	augustus_masked-scaffold_22-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.105&CDS=1-2889	YIL075C
OG0001922	augustus_masked-scaffold_23-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.1&CDS=1-1995	YKL047W
OG0001923	maker-scaffold_23-augustus-gene-0.119-mRNA-1_1&gene=maker-scaffold_23-augustus-gene-0.119&CDS=1-792	YAL039C
OG0001924	augustus_masked-scaffold_23-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.2&CDS=1-912	YHL013C
OG0001925	maker-scaffold_23-snap-gene-0.125-mRNA-1_1&gene=maker-scaffold_23-snap-gene-0.125&CDS=1-3348	YOR355W
OG0001926	maker-scaffold_23-augustus-gene-0.120-mRNA-1_1&gene=maker-scaffold_23-augustus-gene-0.120&CDS=1-4551	YOR356W
OG0001927	augustus_masked-scaffold_23-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.34&CDS=1-1200	YAL042W
OG0001928	augustus_masked-scaffold_23-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.35&CDS=1-1890	YNL251C
OG0001929	augustus_masked-scaffold_23-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.36&CDS=1-1398	YOR274W
OG0001930	genemark-scaffold_23-processed-gene-0.63-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.63&CDS=1-837	YDR116C
OG0001931	augustus_masked-scaffold_23-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.37&CDS=1-1050	YGR048W
OG0001932	augustus_masked-scaffold_23-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.11&CDS=1-3237	YGR047C
OG0001933	augustus_masked-scaffold_23-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.12&CDS=1-2466	YNL258C
OG0001934	maker-scaffold_23-augustus-gene-0.122-mRNA-1_1&gene=maker-scaffold_23-augustus-gene-0.122&CDS=1-2493	YMR214W
OG0001935	maker-scaffold_23-augustus-gene-0.123-mRNA-1_1&gene=maker-scaffold_23-augustus-gene-0.123&CDS=1-1140	YPR011C
OG0001936	augustus_masked-scaffold_23-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.43&CDS=1-513	YOR252W
OG0001937	augustus_masked-scaffold_23-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.44&CDS=1-2118	YMR212C
OG0001938	augustus_masked-scaffold_23-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.17&CDS=1-1809	YMR213W
OG0001939	augustus_masked-scaffold_23-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.48&CDS=1-1188	YBR267W
OG0001940	augustus_masked-scaffold_23-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.50&CDS=1-216	YHR143W-A
OG0001941	augustus_masked-scaffold_23-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.20&CDS=1-2031	YOL146W
OG0001942	genemark-scaffold_23-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.83&CDS=1-1188	YGR263C
OG0001943	augustus_masked-scaffold_23-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.22&CDS=1-4041	YFL036W
OG0001944	genemark-scaffold_23-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.113&CDS=1-972	YFL034C-B
OG0001945	augustus_masked-scaffold_23-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.23&CDS=1-5094	YNL172W
OG0001946	augustus_masked-scaffold_23-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.24&CDS=1-3504	YFR031C
OG0001947	augustus_masked-scaffold_23-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.53&CDS=1-1617	YHL036W
OG0001948	augustus_masked-scaffold_24-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.89&CDS=1-1548	YBL020W
OG0001949	maker-scaffold_24-augustus-gene-0.79-mRNA-1_1&gene=maker-scaffold_24-augustus-gene-0.79&CDS=1-2739	YBL024W
OG0001950	maker-scaffold_24-augustus-gene-0.80-mRNA-1_1&gene=maker-scaffold_24-augustus-gene-0.80&CDS=1-1728	YER141W
OG0001951	augustus_masked-scaffold_24-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.91&CDS=1-1230	YPR106W
OG0001952	augustus_masked-scaffold_24-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.123&CDS=1-798	YAR008W
OG0001953	genemark-scaffold_24-processed-gene-0.186-mRNA-1_1&gene=genemark-scaffold_24-processed-gene-0.186&CDS=1-1866	YLR399C
OG0001954	augustus_masked-scaffold_24-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.92&CDS=1-2049	YMR301C
OG0001955	augustus_masked-scaffold_24-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.93&CDS=1-921	YNR015W
OG0001956	augustus_masked-scaffold_24-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.98&CDS=1-849	YPR103W
OG0001957	snap_masked-scaffold_24-processed-gene-0.47-mRNA-1_1&gene=snap_masked-scaffold_24-processed-gene-0.47&CDS=1-3132	YPR104C
OG0001958	augustus_masked-scaffold_24-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.129&CDS=1-666	YNR018W
OG0001959	augustus_masked-scaffold_24-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.105&CDS=1-6183	YKL182W
OG0001960	snap_masked-scaffold_24-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scaffold_24-processed-gene-0.19&CDS=1-2202	YDL164C
OG0001961	maker-scaffold_24-augustus-gene-0.84-mRNA-1_1&gene=maker-scaffold_24-augustus-gene-0.84&CDS=1-1302	YDL084W
OG0001962	augustus_masked-scaffold_24-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.107&CDS=1-1647	YML069W
OG0001963	augustus_masked-scaffold_24-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.108&CDS=1-2937	YDR089W
OG0001964	augustus_masked-scaffold_24-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.136&CDS=1-1206	YLR085C
OG0001965	augustus_masked-scaffold_24-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.111&CDS=1-2619	YLR001C
OG0001966	augustus_masked-scaffold_24-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.138&CDS=1-1545	YLR023C
OG0001967	augustus_masked-scaffold_24-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.139&CDS=1-2253	YLR277C
OG0001968	maker-scaffold_24-augustus-gene-0.76-mRNA-1_1&gene=maker-scaffold_24-augustus-gene-0.76&CDS=1-285	YLR438C-A
OG0001969	augustus_masked-scaffold_24-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.140&CDS=1-4272	YML059C
OG0001970	augustus_masked-scaffold_25-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.45&CDS=1-3210	YLR451W
OG0001971	augustus_masked-scaffold_25-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.46&CDS=1-1599	YER025W
OG0001972	snap_masked-scaffold_25-processed-gene-0.118-mRNA-1_1&gene=snap_masked-scaffold_25-processed-gene-0.118&CDS=1-2220	YLR452C
OG0001973	genemark-scaffold_25-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.30&CDS=1-354	YPL098C
OG0001974	genemark-scaffold_25-processed-gene-0.31-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.31&CDS=1-2229	YOR329C
OG0001975	augustus_masked-scaffold_25-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.69&CDS=1-3594	YOR330C
OG0001976	augustus_masked-scaffold_25-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.48&CDS=1-690	YOR332W
OG0001977	genemark-scaffold_25-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.7&CDS=1-1698	YOR334W
OG0001978	augustus_masked-scaffold_25-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.50&CDS=1-3138	YAL031C
OG0001979	augustus_masked-scaffold_25-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.51&CDS=1-984	YOR340C
OG0001980	augustus_masked-scaffold_25-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.52&CDS=1-1056	YAL034W-A
OG0001981	augustus_masked-scaffold_25-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.53&CDS=1-1272	YPR133C
OG0001982	augustus_masked-scaffold_25-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.54&CDS=1-1476	YGR117C
OG0001983	augustus_masked-scaffold_25-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.71&CDS=1-564	YPR131C
OG0001984	maker-scaffold_25-augustus-gene-0.80-mRNA-1_1&gene=maker-scaffold_25-augustus-gene-0.80&CDS=1-987	YPR129W
OG0001985	augustus_masked-scaffold_25-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.72&CDS=1-969	YIL021W
OG0001986	augustus_masked-scaffold_25-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.73&CDS=1-801	YIL020C
OG0001987	augustus_masked-scaffold_25-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.58&CDS=1-747	YIL019W
OG0001988	augustus_masked-scaffold_25-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.74&CDS=1-2622	YPR135W
OG0001989	augustus_masked-scaffold_25-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.59&CDS=1-1695	YPR137W
OG0001990	augustus_masked-scaffold_25-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.60&CDS=1-1833	YPR065W
OG0001991	augustus_masked-scaffold_25-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.62&CDS=1-3570	YGL006W
OG0001992	augustus_masked-scaffold_25-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.76&CDS=1-1071	YGL005C
OG0001993	augustus_masked-scaffold_25-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.63&CDS=1-1197	YGL004C
OG0001994	augustus_masked-scaffold_25-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.64&CDS=1-597	YLL027W
OG0001995	augustus_masked-scaffold_25-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.77&CDS=1-2298	YLL029W
OG0001996	augustus_masked-scaffold_25-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.65&CDS=1-3084	YGL016W
OG0001997	augustus_masked-scaffold_25-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.78&CDS=1-1812	YAR007C
OG0001998	augustus_masked-scaffold_26-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.133&CDS=1-732	YEL009C
OG0001999	augustus_masked-scaffold_26-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.116&CDS=1-675	YPR143W
OG0002000	augustus_masked-scaffold_26-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.134&CDS=1-564	YOR215C
OG0002001	augustus_masked-scaffold_26-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.135&CDS=1-858	YER053C
OG0002002	augustus_masked-scaffold_26-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.136&CDS=1-1410	YOR216C
OG0002003	augustus_masked-scaffold_26-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.119&CDS=1-1212	YLR459W
OG0002004	augustus_masked-scaffold_26-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.137&CDS=1-1929	YPR179C
OG0002005	augustus_masked-scaffold_26-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.121&CDS=1-1032	YPR180W
OG0002006	augustus_masked-scaffold_26-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.138&CDS=1-1137	YPR178W
OG0002007	augustus_masked-scaffold_26-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.122&CDS=1-1614	YHR052W
OG0002008	augustus_masked-scaffold_26-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.139&CDS=1-1674	YJL163C
OG0002009	augustus_masked-scaffold_26-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.124&CDS=1-2952	YER168C
OG0002010	genemark-scaffold_26-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.95&CDS=1-510	YKL056C
OG0002011	genemark-scaffold_26-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.96&CDS=1-735	YKL055C
