	Coccidioides_immitis	Saccharomyces_cerevisiae
OG0001075	XP_001241484.1	YNL155W
OG0001076	XP_001241486.2	YPL116W
OG0001077	XP_001241492.2	YBR038W
OG0001078	XP_001241493.2	YEL052W
OG0001079	XP_001241494.2	YBR200W
OG0001080	XP_001241497.1	YPR045C
OG0001081	XP_001241498.1	YLR417W
OG0001082	XP_001241503.1	YNL135C
OG0001083	XP_001241513.2	YFR025C
OG0001084	XP_001241519.1	YGL184C
OG0001085	XP_001241520.2	YGR028W
OG0001086	XP_001241522.1	YKL165C
OG0001087	XP_001241529.1	YKR009C
OG0001088	XP_001241532.1	YGL198W
OG0001089	XP_001241533.1	YIL063C
OG0001090	XP_001241534.1	YDR291W
OG0001091	XP_001241550.2	YGR005C
OG0001092	XP_001241554.2	YGL190C
OG0001093	XP_001241560.2	YOL004W
OG0001094	XP_001241561.1	YBL015W
OG0001095	XP_001241597.2	YGL028C
OG0001096	XP_001241603.2	YBR023C
OG0001097	XP_001241606.1	YBL061C
OG0001098	XP_001241608.1	YMR109W
OG0001099	XP_001241610.1	YMR001C
OG0001100	XP_001241611.2	YOL003C
OG0001101	XP_001241615.1	YKL184W
OG0001102	XP_001241622.2	YKR016W
OG0001103	XP_001241623.1	YOR089C
OG0001104	XP_001241624.1	YKL212W
OG0001105	XP_001241625.1	YOR241W
OG0001106	XP_001241626.1	YLR195C
OG0001107	XP_001241627.1	YOR118W
OG0001108	XP_001241630.1	YLR069C
OG0001109	XP_001241652.1	YER086W
OG0001110	XP_001241653.1	YML030W
OG0001111	XP_001241654.2	YMR069W
OG0001112	XP_001241655.2	YLR459W
OG0001113	XP_001241656.1	YGR103W
OG0001114	XP_001241659.2	YBR006W
OG0001115	XP_001241661.1	YPL097W
OG0001116	XP_001241662.2	YDR097C
OG0001117	XP_001241666.2	YFR018C
OG0001118	XP_001241672.2	YPL104W
OG0001119	XP_001241674.1	YML010W
OG0001120	XP_001241676.2	YIL075C
OG0001121	XP_001241689.1	YBR193C
OG0001122	XP_001241691.2	YPL172C
OG0001123	XP_001241694.1	YGR277C
OG0001124	XP_001241695.1	YPL247C
OG0001125	XP_001241696.1	YPL228W
OG0001126	XP_001241702.1	YBL064C
OG0001127	XP_001241706.1	YBR261C
OG0001128	XP_001241716.2	YGR240C
OG0001129	XP_001241718.1	YER022W
OG0001130	XP_001241719.2	YOR155C
OG0001131	XP_001241723.2	YML059C
OG0001132	XP_001241726.1	YLR309C
OG0001133	XP_001241728.1	YBR086C
OG0001134	XP_001241730.1	YNL059C
OG0001135	XP_001241731.1	YEL044W
OG0001136	XP_001241732.1	YMR292W
OG0001137	XP_001241733.2	YOR122C
OG0001138	XP_001241737.1	YGR271W
OG0001139	XP_001241738.1	YKL196C
OG0001140	XP_001241744.1	YML054C
OG0001141	XP_001241745.2	YGL174W
OG0001142	XP_001241746.2	YMR216C
OG0001143	XP_001241757.1	YGL247W
OG0001144	XP_001241759.1	YDL210W
OG0001145	XP_001241830.2	YMR208W
OG0001146	XP_001241831.1	YKL019W
OG0001147	XP_001241833.2	YGR171C
OG0001148	XP_001241835.1	YLR325C
OG0001149	XP_001241836.2	YNL045W
OG0001150	XP_001241845.1	YDL208W
OG0001151	XP_001241846.1	YJL166W
OG0001152	XP_001241847.1	YGR132C
OG0001153	XP_001241849.1	YLR063W
OG0001154	XP_001241854.1	YPL152W
OG0001155	XP_001241858.1	YLL041C
OG0001156	XP_001241863.1	YPR037C
OG0001157	XP_001241869.2	YLR299W
OG0001158	XP_001241880.1	YLR330W
OG0001159	XP_001241881.2	YPL022W
OG0001160	XP_001241882.1	YMR260C
OG0001161	XP_001241883.1	YOR181W
OG0001162	XP_001241901.2	YLR430W
OG0001163	XP_001241902.2	YER166W
OG0001164	XP_001241904.1	YOR332W
OG0001165	XP_001241925.2	YOL152W
OG0001166	XP_001241927.1	YKL100C
OG0001167	XP_001241929.2	YOR370C
OG0001168	XP_001241930.1	YFR011C
OG0001169	XP_001241931.1	YNL221C
OG0001170	XP_001241932.1	YLR109W
OG0001171	XP_001241936.1	YKR023W
OG0001172	XP_001241963.2	YGL050W
OG0001173	XP_001241965.2	YKL013C
OG0001174	XP_001241966.1	YFR010W
OG0001175	XP_001241971.2	YDR128W
OG0001176	XP_001241975.2	YFL017C
OG0001177	XP_001241976.2	YPL262W
OG0001178	XP_001241988.2	YHR085W
OG0001179	XP_001241990.1	YLR212C
OG0001180	XP_001241991.2	YGR263C
OG0001181	XP_001241992.2	YER003C
OG0001182	XP_001241993.1	YCL010C
OG0001183	XP_001241995.1	YBL033C
OG0001184	XP_001241999.2	YDL029W
OG0001185	XP_001242010.1	YPL131W
OG0001186	XP_001242015.2	YPR160W
OG0001187	XP_001242019.1	YLR113W
OG0001188	XP_001242020.2	YLR114C
OG0001189	XP_001242023.2	YDL133W
OG0001190	XP_001242025.1	YNL084C
OG0001191	XP_001242026.2	YFR038W
OG0001192	XP_001242032.2	YJR041C
OG0001193	XP_001242033.1	YCL057C-A
OG0001194	XP_001242054.2	YPL069C
OG0001195	XP_001242055.2	YPL199C
OG0001196	XP_001242058.2	YMR283C
OG0001197	XP_001242062.2	YBR111C
OG0001198	XP_001242072.2	YPL227C
OG0001199	XP_001242078.2	YNL237W
OG0001200	XP_001242080.1	YPR180W
OG0001201	XP_001242085.2	YJL094C
OG0001202	XP_001242086.2	YDR329C
OG0001203	XP_001242088.2	YPR028W
OG0001204	XP_001242089.2	YLR176C
OG0001205	XP_001242091.1	YNL007C
OG0001206	XP_001242092.2	YGR173W
OG0001207	XP_001242093.1	YDL209C
OG0001208	XP_001242094.2	YDR283C
OG0001209	XP_001242097.2	YMR027W
OG0001210	XP_001242098.1	YGR123C
OG0001211	XP_001242099.1	YGR019W
OG0001212	XP_001242106.1	YOL049W
OG0001213	XP_001242112.2	YCL004W
OG0001214	XP_001242113.1	YKL143W
OG0001215	XP_001242114.1	YGL099W
OG0001216	XP_001242119.1	YLR362W
OG0001217	XP_001242120.1	YDR237W
OG0001218	XP_001242129.1	YOR154W
OG0001219	XP_001242133.1	YGR063C
OG0001220	XP_001242135.1	YJR105W
OG0001221	XP_001242147.2	YIL126W
OG0001222	XP_001242148.1	YOR142W
OG0001223	XP_001242149.1	YPL086C
OG0001224	XP_001242151.1	YIL020C
OG0001225	XP_001242152.1	YIL019W
OG0001226	XP_001242154.2	YHR084W
OG0001227	XP_001242156.1	YDR456W
OG0001228	XP_001242158.1	YGL150C
OG0001229	XP_001242159.1	YDR232W
OG0001230	XP_001242160.1	YNL248C
OG0001231	XP_001242162.2	YOR303W
OG0001232	XP_001242167.1	YGR207C
OG0001233	XP_001242168.2	YPR048W
OG0001234	XP_001242169.1	YNL151C
OG0001235	XP_001242174.1	YNL277W
OG0001236	XP_001242180.1	YNL139C
OG0001237	XP_001242183.1	YOR132W
OG0001238	XP_001242184.1	YJL102W
OG0001239	XP_001242186.2	YDL226C
OG0001240	XP_001242200.1	YER036C
OG0001241	XP_001242201.1	YPR025C
OG0001242	XP_001242202.1	YDR177W
OG0001243	XP_001242204.1	YDL007W
OG0001244	XP_001242213.1	YNR052C
OG0001245	XP_001242215.1	YIR012W
OG0001246	XP_001242220.1	YGR100W
OG0001247	XP_001242223.1	YNL202W
OG0001248	XP_001242242.2	YMR284W
OG0001249	XP_001242244.2	YLR323C
OG0001250	XP_001242245.2	YDR150W
OG0001251	XP_001242250.1	YOR176W
OG0001252	XP_001242253.1	YGR175C
OG0001253	XP_001242258.2	YNL201C
OG0001254	XP_001242263.2	YKL178C
OG0001255	XP_001242270.1	YDR049W
OG0001256	XP_001242271.1	YDR135C
OG0001257	XP_001242280.2	YJR062C
OG0001258	XP_001242281.2	YJR060W
OG0001259	XP_001242282.2	YPR055W
OG0001260	XP_001242283.2	YLL029W
OG0001261	XP_001242284.1	YGL016W
OG0001262	XP_001242293.1	YBR060C
OG0001263	XP_001242294.1	YMR062C
OG0001264	XP_001242295.1	YLR378C
OG0001265	XP_001242303.1	YJL189W
OG0001266	XP_001242304.2	YDR328C
OG0001267	XP_001242305.2	YOR149C
OG0001268	XP_001242306.2	YEL037C
OG0001269	XP_001242313.1	YPR016C
OG0001270	XP_001242314.2	YJL168C
OG0001271	XP_001242319.1	YCR009C
OG0001272	XP_001242321.2	YML077W
OG0001273	XP_001242322.2	YCR008W
OG0001274	XP_001242328.1	YHR088W
OG0001275	XP_001242329.2	YBR121C
OG0001276	XP_001242331.2	YNL298W
OG0001277	XP_001242332.2	YPL188W
OG0001278	XP_001242333.1	YBR042C
OG0001279	XP_001242334.1	YOL145C
OG0001280	XP_001242343.1	YNL291C
OG0001281	XP_001242344.1	YOR077W
OG0001282	XP_001242347.1	YJR010C-A
OG0001283	XP_001242348.2	YOL133W
OG0001284	XP_001242350.2	YGR229C
OG0001285	XP_001242351.1	YDR183W
OG0001286	XP_001242357.1	YGR048W
OG0001287	XP_001242359.1	YPL235W
OG0001288	XP_001242372.1	YOL077C
OG0001289	XP_001242376.1	YBR227C
OG0001290	XP_001242378.1	YJR121W
OG0001291	XP_001242379.2	YEL011W
OG0001292	XP_001242381.2	YLL050C
OG0001293	XP_001242382.1	YLR259C
OG0001294	XP_001242385.2	YEL053C
OG0001295	XP_001242388.2	YGL014W
OG0001296	XP_001242390.1	YOR207C
OG0001297	XP_001242392.1	YGL008C
OG0001298	XP_001242397.2	YNL251C
OG0001299	XP_001242398.1	YNR001C
OG0001300	XP_001242399.1	YMR241W
OG0001301	XP_001242400.2	YPR191W
OG0001302	XP_001242401.1	YPR190C
OG0001303	XP_001242403.1	YML085C
OG0001304	XP_001242404.2	YBL047C
OG0001305	XP_001242406.2	YLR303W
OG0001306	XP_001242425.2	YLR005W
OG0001307	XP_001242429.2	YOR307C
OG0001308	XP_001242443.1	YMR240C
OG0001309	XP_001242444.1	YMR239C
OG0001310	XP_001242449.2	YGR031W
OG0001311	XP_001242450.1	YLR441C
OG0001312	XP_001242452.1	YKL160W
OG0001313	XP_001242453.1	YHR128W
OG0001314	XP_001242455.1	YCR027C
OG0001315	XP_001242456.2	YDR023W
OG0001316	XP_001242458.2	YPR161C
OG0001317	XP_001242459.2	YOR291W
OG0001318	XP_001242462.2	YKR048C
OG0001319	XP_001242465.1	YOR326W
OG0001320	XP_001242466.2	YJR069C
OG0001321	XP_001242467.1	YDL166C
OG0001322	XP_001242470.1	YER052C
OG0001323	XP_001242471.1	YJR135W-A
OG0001324	XP_001242472.1	YCR063W
OG0001325	XP_001242473.1	YCR065W
OG0001326	XP_001242474.2	YOL127W
OG0001327	XP_001242475.1	YBR141C
OG0001328	XP_001242477.1	YNL316C
OG0001329	XP_001242479.1	YLR175W
OG0001330	XP_001242481.1	YIL097W
OG0001331	XP_001242482.2	YIL096C
OG0001332	XP_001242483.2	YGL225W
OG0001333	XP_001242484.1	YNL061W
OG0001334	XP_001242489.1	YHR068W
OG0001335	XP_001242490.2	YCR033W
OG0001336	XP_001242492.1	YNL062C
OG0001337	XP_001242496.1	YLR370C
OG0001338	XP_001242497.1	YNL290W
OG0001339	XP_001242501.1	YBL051C
OG0001340	XP_001242503.1	YGL073W
OG0001341	XP_001242505.1	YOL012C
OG0001342	XP_001242507.1	YBR106W
OG0001343	XP_001242509.2	YNL021W
OG0001344	XP_001242515.2	YLR389C
OG0001345	XP_001242517.1	YDR196C
OG0001346	XP_001242525.1	YOL038W
OG0001347	XP_001242528.2	YDL178W
OG0001348	XP_001242530.1	YDL217C
OG0001349	XP_001242535.2	YDR325W
OG0001350	XP_001242536.1	YDL167C
OG0001351	XP_001242550.1	YKR001C
OG0001352	XP_001242551.2	YDL185W
OG0001353	XP_001242553.2	YCL039W
OG0001354	XP_001242556.2	YHR166C
OG0001355	XP_001242557.1	YJL167W
OG0001356	XP_001242562.1	YDR027C
OG0001357	XP_001242563.1	YLR274W
OG0001358	XP_001242565.1	YCR036W
OG0001359	XP_001242567.1	YBR123C
OG0001360	XP_001242568.1	YOR014W
OG0001361	XP_001242569.2	YHR099W
OG0001362	XP_001242570.1	YKL095W
OG0001363	XP_001242571.2	YKL022C
OG0001364	XP_001242574.1	YGR061C
OG0001365	XP_001242576.1	YBR199W
OG0001366	XP_001242577.1	YHR051W
OG0001367	XP_001242578.1	YCR034W
OG0001368	XP_001242593.1	YDR468C
OG0001369	XP_001242604.1	YCR059C
OG0001370	XP_001242612.1	YAL032C
OG0001371	XP_001242613.1	YCR057C
OG0001372	XP_001242614.1	YHR107C
OG0001373	XP_001242618.1	YGL173C
OG0001374	XP_001242620.1	YGR267C
OG0001375	XP_001242626.2	YGL067W
OG0001376	XP_001242631.1	YIL143C
OG0001377	XP_001242641.2	YDL018C
OG0001378	XP_001242642.1	YMR304W
OG0001379	XP_001242643.2	YGL059W
OG0001380	XP_001242647.2	YLR066W
OG0001381	XP_001242653.1	YHR176W
OG0001382	XP_001242657.1	YDL117W
OG0001383	XP_001242658.1	YHR201C
OG0001384	XP_001242659.2	YJR119C
OG0001385	XP_001242660.1	YJR057W
OG0001386	XP_001242664.1	YPL023C
OG0001387	XP_001242665.1	YPL041C
OG0001388	XP_001242666.1	YKL067W
OG0001389	XP_001242667.1	YBR229C
OG0001390	XP_001242668.1	YMR010W
OG0001391	XP_001242673.2	YDR116C
OG0001392	XP_001242681.1	YIL003W
OG0001393	XP_001242682.2	YBL058W
OG0001394	XP_001242683.1	YER154W
OG0001395	XP_001242684.1	YML015C
OG0001396	XP_001242686.1	YJL145W
OG0001397	XP_001242691.2	YPR018W
OG0001398	XP_001242701.1	YPR088C
OG0001399	XP_001242702.1	YPR143W
OG0001400	XP_001242703.1	YPL252C
OG0001401	XP_001242705.2	YDR423C
OG0001402	XP_001242707.1	YCR046C
OG0001403	XP_001242714.1	YLL002W
OG0001404	XP_001242722.1	YLR312W-A
OG0001405	XP_001242741.1	YKL103C
OG0001406	XP_001242742.1	YOR056C
OG0001407	XP_001242743.1	YLR105C
OG0001408	XP_001242745.1	YNL005C
OG0001409	XP_001242747.2	YJR100C
OG0001410	XP_001242748.1	YMR022W
OG0001411	XP_001242749.2	YHL022C
OG0001412	XP_001242751.2	YOR057W
OG0001413	XP_001242754.2	YNL247W
OG0001414	XP_001242755.1	YJL125C
OG0001415	XP_001242756.2	YDR320C
OG0001416	XP_001242759.1	YML121W
OG0001417	XP_001242761.2	YPL265W
OG0001418	XP_001242764.1	YHL020C
OG0001419	XP_001242771.2	YLR433C
OG0001420	XP_001242775.1	YIL047C
OG0001421	XP_001242776.2	YEL060C
OG0001422	XP_001242778.2	YCR032W
OG0001423	XP_001242779.1	YLR354C
OG0001424	XP_001242781.2	YJR104C
OG0001425	XP_001242785.1	YCL045C
OG0001426	XP_001242790.1	YNL305C
OG0001427	XP_001242792.2	YDR054C
OG0001428	XP_001242794.1	YLL048C
OG0001429	XP_001242803.2	YLR055C
OG0001430	XP_001242817.2	YDR419W
OG0001431	XP_001242822.1	YEL002C
OG0001432	XP_001242823.1	YJR034W
OG0001433	XP_001242824.1	YKL140W
OG0001434	XP_001242826.1	YGR152C
OG0001435	XP_001242841.1	YPL181W
OG0001436	XP_001242873.2	YDL105W
OG0001437	XP_001242874.1	YLR240W
OG0001438	XP_001242875.2	YMR097C
OG0001439	XP_001242876.1	YJR050W
OG0001440	XP_001242878.2	YJR075W
OG0001441	XP_001242880.2	YPL234C
OG0001442	XP_001242882.2	YJR076C
OG0001443	XP_001242883.1	YGR223C
OG0001444	XP_001242884.1	YIR005W
OG0001445	XP_001242903.1	YER118C
OG0001446	XP_001242904.2	YDR090C
OG0001447	XP_001242908.2	YGR165W
OG0001448	XP_001242915.1	YPL013C
OG0001449	XP_001242916.2	YNL200C
OG0001450	XP_001242917.1	YKL213C
OG0001451	XP_001242927.1	YML103C
OG0001452	XP_001242928.1	YKL211C
OG0001453	XP_001242930.1	YNL075W
OG0001454	XP_001242931.2	YMR080C
OG0001455	XP_001242935.1	YPL268W
OG0001456	XP_001242939.2	YDR166C
OG0001457	XP_001242940.1	YOR136W
OG0001458	XP_001242941.2	YNL136W
OG0001459	XP_001242945.1	YNL138W
OG0001460	XP_001242946.2	YCR019W
OG0001461	XP_001242948.2	YMR024W
OG0001462	XP_001242952.2	YBL034C
OG0001463	XP_001242959.1	YKL052C
OG0001464	XP_001242968.1	YDL051W
OG0001465	XP_001242973.1	YDR004W
OG0001466	XP_001242976.2	YMR218C
OG0001467	XP_001242979.1	YDR117C
OG0001468	XP_001242991.2	YGL196W
OG0001469	XP_001242998.2	YER169W
OG0001470	XP_001242999.2	YAR035W
OG0001471	XP_001243006.2	YPR129W
OG0001472	XP_001243012.1	YML094W
OG0001473	XP_001243013.1	YER087W
OG0001474	XP_001243014.1	YDR060W
OG0001475	XP_001243022.1	YKL001C
OG0001476	XP_001243023.2	YKL080W
OG0001477	XP_001243031.2	YHR037W
OG0001478	XP_001243032.1	YFL037W
OG0001479	XP_001243033.1	YNL286W
OG0001480	XP_001243034.2	YNL142W
OG0001481	XP_001243037.2	YBR105C
OG0001482	XP_001243039.1	YDR238C
OG0001483	XP_001243041.1	YDR087C
OG0001484	XP_001243065.2	YGR217W
OG0001485	XP_001243071.1	YDL153C
OG0001486	XP_001243072.2	YDL154W
OG0001487	XP_001243073.1	YDR258C
OG0001488	XP_001243074.1	YAL003W
OG0001489	XP_001243079.2	YDR293C
OG0001490	XP_001243083.1	YGR282C
OG0001491	XP_001243085.1	YGL200C
OG0001492	XP_001243087.2	YDR452W
OG0001493	XP_001243095.1	YDR286C
OG0001494	XP_001243102.2	YDL192W
OG0001495	XP_001243107.1	YLR337C
OG0001496	XP_001243110.1	YGR284C
OG0001497	XP_001243136.1	YLR220W
OG0001498	XP_001243137.1	YDR378C
OG0001499	XP_001243139.1	YML097C
OG0001500	XP_001243140.2	YML096W
OG0001501	XP_001243144.2	YGR125W
OG0001502	XP_001243145.2	YDR013W
OG0001503	XP_001243157.1	YNL288W
OG0001504	XP_001243174.1	YDL119C
OG0001505	XP_001243180.2	YJR102C
OG0001506	XP_001243194.2	YDL201W
OG0001507	XP_001243197.1	YOL021C
OG0001508	XP_001243198.2	YJL126W
OG0001509	XP_001243203.2	YLR319C
OG0001510	XP_001243204.2	YGR178C
OG0001511	XP_001243205.2	YOR112W
OG0001512	XP_001243210.1	YHR013C
OG0001513	XP_001243215.1	YNL006W
OG0001514	XP_001243219.1	YER072W
OG0001515	XP_001243221.2	YOR023C
OG0001516	XP_001243222.1	YHR012W
OG0001517	XP_001243223.1	YIR001C
OG0001518	XP_001243224.1	YER125W
OG0001519	XP_001243226.1	YFL030W
OG0001520	XP_001243227.1	YHR004C
OG0001521	XP_001243229.2	YLR291C
OG0001522	XP_001243232.1	YJL063C
OG0001523	XP_001243233.2	YDL189W
OG0001524	XP_001243237.1	YML098W
OG0001525	XP_001243239.1	YIL091C
OG0001526	XP_001243241.1	YGR202C
OG0001527	XP_001243246.1	YOR042W
OG0001528	XP_001243250.2	YLL034C
OG0001529	XP_001243251.1	YMR049C
OG0001530	XP_001243256.2	YGR101W
OG0001531	XP_001243259.2	YGR266W
OG0001532	XP_001243272.1	YJR073C
OG0001533	XP_001243273.1	YML104C
OG0001534	XP_001243276.2	YPL088W
OG0001535	XP_001243277.1	YER107C
OG0001536	XP_001243278.1	YGR264C
OG0001537	XP_001243280.2	YER156C
OG0001538	XP_001243281.1	YIL090W
OG0001539	XP_001243284.1	YOR021C
OG0001540	XP_001243285.1	YGL203C
OG0001541	XP_001243286.1	YDR267C
OG0001542	XP_001243291.1	YNL259C
OG0001543	XP_001243300.2	YCR002C
OG0001544	XP_001243301.1	YDR454C
OG0001545	XP_001243302.2	YOR216C
OG0001546	XP_001243303.2	YMR132C
OG0001547	XP_001243307.2	YIL155C
OG0001548	XP_001243319.1	YGR218W
OG0001549	XP_001243324.1	YGL040C
OG0001550	XP_001243325.1	YKR071C
OG0001551	XP_001243326.1	YKR082W
OG0001552	XP_001243328.2	YHR171W
OG0001553	XP_001243329.1	YCL043C
OG0001554	XP_001243330.1	YBR248C
OG0001555	XP_001243340.2	YBR058C
OG0001556	XP_001243345.1	YGL136C
OG0001557	XP_001243347.2	YOR085W
OG0001558	XP_001243358.2	YNL224C
OG0001559	XP_001243360.1	YNR046W
OG0001560	XP_001243361.1	YHR119W
OG0001561	XP_001243362.2	YKL104C
OG0001562	XP_001243363.1	YOL143C
OG0001563	XP_001243364.1	YOR362C
OG0001564	XP_001243368.1	YHR181W
OG0001565	XP_001243369.1	YCR047C
OG0001566	XP_001243370.1	YPL115C
OG0001567	XP_001243371.1	YHR194W
OG0001568	XP_001243372.1	YOR145C
OG0001569	XP_001243373.2	YBL041W
OG0001570	XP_001243375.1	YFR050C
OG0001571	XP_001243377.2	YDR379C-A
OG0001572	XP_001243379.1	YIR009W
OG0001573	XP_001243380.1	YBR234C
OG0001574	XP_001243381.1	YJR107W
OG0001575	XP_001243386.2	YNL044W
OG0001576	XP_001243388.1	YFR041C
OG0001577	XP_001243394.1	YFL045C
OG0001578	XP_001243396.1	YFL046W
OG0001579	XP_001243398.2	YLR247C
OG0001580	XP_001243400.2	YPL150W
OG0001581	XP_001243409.2	YGL155W
OG0001582	XP_001243426.2	YGR254W
OG0001583	XP_001243428.1	YOR259C
OG0001584	XP_001243429.1	YJR131W
OG0001585	XP_001243434.1	YNL189W
OG0001586	XP_001243436.1	YCR028C
OG0001587	XP_001243439.1	YBR037C
OG0001588	XP_001243452.2	YLR286C
OG0001589	XP_001243458.2	YDR079C-A
OG0001590	XP_001243461.1	YBR296C
OG0001591	XP_001243534.1	YML105C
OG0001592	XP_001243543.1	YKL056C
OG0001593	XP_001243552.1	YNR038W
OG0001594	XP_001243553.2	YPL175W
OG0001595	XP_001243554.2	YPL051W
OG0001596	XP_001243558.2	YDR313C
OG0001597	XP_001243562.1	YLR277C
OG0001598	XP_001243566.1	YLL019C
OG0001599	XP_001243567.2	YOR271C
OG0001600	XP_001243578.1	YOR243C
OG0001601	XP_001243579.1	YOL148C
OG0001602	XP_001243581.2	YOR260W
OG0001603	XP_001243584.2	YNL233W
OG0001604	XP_001243593.1	YBR231C
OG0001605	XP_001243594.2	YAL034W-A
OG0001606	XP_001243596.2	YHR074W
OG0001607	XP_001243602.1	YML080W
OG0001608	XP_001243613.1	YOR206W
OG0001609	XP_001243615.2	YBR271W
OG0001610	XP_001243616.1	YGL171W
OG0001611	XP_001243617.1	YPR020W
OG0001612	XP_001243631.2	YBR017C
OG0001613	XP_001243642.1	YBR287W
OG0001614	XP_001243645.1	YJL128C
OG0001615	XP_001243646.2	YPL091W
OG0001616	XP_001243650.2	YKL194C
OG0001617	XP_001243654.1	YFR051C
OG0001618	XP_001243658.2	YMR272C
OG0001619	XP_001243662.2	YCR079W
OG0001620	XP_001243663.1	YPR113W
OG0001621	XP_001243665.1	YCL018W
OG0001622	XP_001243666.2	YGL240W
OG0001623	XP_001243669.1	YNL169C
OG0001624	XP_001243672.1	YJL190C
OG0001625	XP_001243673.1	YLR347C
OG0001626	XP_001243692.1	YOR111W
OG0001627	XP_001243694.1	YML131W
OG0001628	XP_001243696.1	YLR163C
OG0001629	XP_001243698.1	YDL014W
OG0001630	XP_001243700.2	YKL025C
OG0001631	XP_001243736.1	YER152C
OG0001632	XP_001243754.1	YKL179C
OG0001633	XP_001243755.1	YDR495C
OG0001634	XP_001243761.1	YNL147W
OG0001635	XP_001243763.1	YDL091C
OG0001636	XP_001243764.1	YJR077C
OG0001637	XP_001243769.2	YKR002W
OG0001638	XP_001243770.1	YJR019C
OG0001639	XP_001243772.2	YNR033W
OG0001640	XP_001243774.2	YNL092W
OG0001641	XP_001243780.2	YNL153C
OG0001642	XP_001243782.1	YLL026W
OG0001643	XP_001243787.2	YKL047W
OG0001644	XP_001243789.2	YMR211W
OG0001645	XP_001243795.2	YKL073W
OG0001646	XP_001243799.1	YMR269W
OG0001647	XP_001243800.2	YGR024C
OG0001648	XP_001243802.2	YMR165C
OG0001649	XP_001243803.1	YDL140C
OG0001650	XP_001243805.1	YAR003W
OG0001651	XP_001243810.2	YNL035C
OG0001652	XP_001243812.2	YLR207W
OG0001653	XP_001243814.1	YLR403W
OG0001654	XP_001243815.1	YOR194C
OG0001655	XP_001243816.1	YGL116W
OG0001656	XP_001243820.2	YDL072C
OG0001657	XP_001243821.1	YOL009C
OG0001658	XP_001243835.1	YJL091C
OG0001659	XP_001243838.1	YGL248W
OG0001660	XP_001243847.1	YOR254C
OG0001661	XP_001243852.1	YML086C
OG0001662	XP_001243860.1	YLL008W
OG0001663	XP_001243862.1	YOR093C
OG0001664	XP_001243864.1	YJR123W
OG0001665	XP_001243865.2	YGR245C
OG0001666	XP_001243866.1	YMR236W
OG0001667	XP_001243868.2	YKL099C
OG0001668	XP_001243869.1	YCL030C
OG0001669	XP_001243879.1	YLR103C
OG0001670	XP_001243880.1	YDR331W
OG0001671	XP_001243883.1	YDR142C
OG0001672	XP_001243892.2	YHR168W
OG0001673	XP_001243896.1	YNL220W
OG0001674	XP_001243902.1	YBL024W
OG0001675	XP_001243908.1	YBR154C
OG0001676	XP_001243918.1	YDL098C
OG0001677	XP_001243919.2	YJR089W
OG0001678	XP_001243920.2	YGR046W
OG0001679	XP_001243921.1	YIL116W
OG0001680	XP_001243922.2	YDR392W
OG0001681	XP_001243923.1	YLR172C
OG0001682	XP_001243925.2	YJR058C
OG0001683	XP_001243933.2	YMR244W
OG0001684	XP_001243934.2	YDR435C
OG0001685	XP_001243935.2	YMR247C
OG0001686	XP_001243936.2	YER171W
OG0001687	XP_001243937.1	YOR341W
OG0001688	XP_001243938.1	YDR473C
OG0001689	XP_001243939.2	YNL124W
OG0001690	XP_001243940.1	YNL219C
OG0001691	XP_001243950.2	YDR127W
OG0001692	XP_001243951.2	YOR048C
OG0001693	XP_001243952.2	YDL058W
OG0001694	XP_001243953.1	YBL076C
OG0001695	XP_001243955.1	YJR033C
OG0001696	XP_001243956.1	YGL114W
OG0001697	XP_001243963.1	YGL086W
OG0001698	XP_001243965.1	YOL058W
OG0001699	XP_001243967.1	YAL024C
OG0001700	XP_001243968.1	YPR089W
OG0001701	XP_001243975.1	YKL189W
OG0001702	XP_001243978.2	YBR080C
OG0001703	XP_001243987.2	YIR029W
OG0001704	XP_001243989.2	YHR011W
OG0001705	XP_001243991.2	YDR490C
OG0001706	XP_001244007.1	YGR246C
OG0001707	XP_001244010.2	YDR386W
OG0001708	XP_001244013.1	YJR140C
OG0001709	XP_001244016.1	YJL014W
OG0001710	XP_001244018.2	YPL103C
OG0001711	XP_001244019.1	YDR375C
OG0001712	XP_001244023.2	YIR022W
OG0001713	XP_001244053.1	YOR311C
OG0001714	XP_001244055.2	YFL002C
OG0001715	XP_001244059.1	YDR337W
OG0001716	XP_001244062.2	YFL001W
OG0001717	XP_001244066.1	YLR447C
OG0001718	XP_001244067.1	YOR310C
OG0001719	XP_001244072.1	YLL011W
OG0001720	XP_001244073.1	YDL097C
OG0001721	XP_001244075.1	YJR116W
OG0001722	XP_001244084.1	YBR256C
OG0001723	XP_001244087.1	YHR065C
OG0001724	XP_001244088.1	YEL058W
OG0001725	XP_001244089.2	YCR044C
OG0001726	XP_001244098.1	YOR117W
OG0001727	XP_001244106.1	YDR051C
OG0001728	XP_001244112.2	YDR316W
OG0001729	XP_001244118.1	YOR356W
OG0001730	XP_001244123.1	YIL144W
OG0001731	XP_001244124.2	YGL153W
OG0001732	XP_001244133.1	YBR094W
OG0001733	XP_001244135.2	YCR093W
OG0001734	XP_001244140.2	YIL150C
OG0001735	XP_001244143.1	YMR108W
OG0001736	XP_001244148.2	YNL091W
OG0001737	XP_001244154.2	YPR183W
OG0001738	XP_001244157.1	YOL002C
OG0001739	XP_001244168.1	YPL170W
OG0001740	XP_001244173.2	YML128C
