	Metschnikowia_hibisci	Saccharomyces_cerevisiae
OG0001633	augustus_masked-hib_s71-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-7.47&CDS=1-864	YOR223W
OG0001634	augustus_masked-hib_s71-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-7.24&CDS=1-516	YJR025C
OG0001635	augustus_masked-hib_s71-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-7.49&CDS=1-2523	YDR089W
OG0001636	augustus_masked-hib_s71-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-7.27&CDS=1-4251	YJR137C
OG0001637	augustus_masked-hib_s71-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-7.28&CDS=1-783	YHR200W
OG0001638	augustus_masked-hib_s71-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-7.51&CDS=1-765	YMR048W
OG0001639	genemark-hib_s71-processed-gene-8.102-mRNA-1_1&gene=genemark-hib_s71-processed-gene-8.102&CDS=1-984	YJR141W
OG0001640	augustus_masked-hib_s71-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.7&CDS=1-1170	YHR201C
OG0001641	augustus_masked-hib_s71-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.8&CDS=1-2244	YJR143C
OG0001642	snap_masked-hib_s71-processed-gene-8.74-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-8.74&CDS=1-6372	YJR140C
OG0001643	snap_masked-hib_s71-processed-gene-8.75-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-8.75&CDS=1-744	YDR090C
OG0001644	snap_masked-hib_s71-processed-gene-8.76-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-8.76&CDS=1-2757	YER162C
OG0001645	augustus_masked-hib_s71-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.11&CDS=1-1467	YPL262W
OG0001646	augustus_masked-hib_s71-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.12&CDS=1-1491	YPL214C
OG0001647	snap_masked-hib_s71-processed-gene-8.55-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-8.55&CDS=1-1293	YHR134W
OG0001648	augustus_masked-hib_s71-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.14&CDS=1-1317	YHR111W
OG0001649	augustus_masked-hib_s71-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.31&CDS=1-618	YBL102W
OG0001650	augustus_masked-hib_s71-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.32&CDS=1-441	YDL125C
OG0001651	augustus_masked-hib_s71-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.34&CDS=1-378	YOR122C
OG0001652	augustus_masked-hib_s71-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.35&CDS=1-1752	YDR390C
OG0001653	augustus_masked-hib_s71-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.36&CDS=1-714	YPR183W
OG0001654	augustus_masked-hib_s71-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.37&CDS=1-1959	YDL167C
OG0001655	augustus_masked-hib_s71-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.20&CDS=1-708	YJR099W
OG0001656	genemark-hib_s71-processed-gene-8.142-mRNA-1_1&gene=genemark-hib_s71-processed-gene-8.142&CDS=1-1269	YPR045C
OG0001657	augustus_masked-hib_s71-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.41&CDS=1-1623	YBR007C
OG0001658	augustus_masked-hib_s71-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.22&CDS=1-2328	YNL045W
OG0001659	genemark-hib_s71-processed-gene-8.144-mRNA-1_1&gene=genemark-hib_s71-processed-gene-8.144&CDS=1-228	YJL189W
OG0001660	augustus_masked-hib_s71-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.44&CDS=1-6831	YCR032W
OG0001661	snap_masked-hib_s71-processed-gene-8.98-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-8.98&CDS=1-1053	YCR035C
OG0001662	augustus_masked-hib_s71-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.135&CDS=1-6363	YDL171C
OG0001663	maker-hib_s71-augustus-gene-9.126-mRNA-1_1&gene=maker-hib_s71-augustus-gene-9.126&CDS=1-1740	YHR108W
OG0001664	augustus_masked-hib_s71-processed-gene-9.138-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.138&CDS=1-324	YDR357C
OG0001665	maker-hib_s71-augustus-gene-9.127-mRNA-1_1&gene=maker-hib_s71-augustus-gene-9.127&CDS=1-2922	YDR204W
OG0001666	augustus_masked-hib_s71-processed-gene-9.141-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.141&CDS=1-495	YDR201W
OG0001667	augustus_masked-hib_s71-processed-gene-9.157-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.157&CDS=1-870	YLR239C
OG0001668	augustus_masked-hib_s71-processed-gene-9.143-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.143&CDS=1-1071	YLR246W
OG0001669	augustus_masked-hib_s71-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.144&CDS=1-4428	YDR180W
OG0001670	augustus_masked-hib_s71-processed-gene-9.160-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.160&CDS=1-813	YDR181C
OG0001671	augustus_masked-hib_s71-processed-gene-9.161-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.161&CDS=1-2469	YLR166C
OG0001672	genemark-hib_s71-processed-gene-9.97-mRNA-1_1&gene=genemark-hib_s71-processed-gene-9.97&CDS=1-450	YLR167W
OG0001673	augustus_masked-hib_s71-processed-gene-9.162-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.162&CDS=1-645	YDR183W
OG0001674	augustus_masked-hib_s71-processed-gene-9.146-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.146&CDS=1-1410	YLR163C
OG0001675	augustus_masked-hib_s71-processed-gene-9.166-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.166&CDS=1-1872	YDR176W
OG0001676	augustus_masked-hib_s71-processed-gene-9.167-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.167&CDS=1-915	YDR175C
OG0001677	augustus_masked-hib_s71-processed-gene-9.169-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.169&CDS=1-2349	YBR080C
OG0001678	augustus_masked-hib_s71-processed-gene-9.148-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.148&CDS=1-528	YDR305C
OG0001679	augustus_masked-hib_s71-processed-gene-9.149-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.149&CDS=1-783	YHR058C
OG0001680	snap_masked-hib_s71-processed-gene-9.44-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-9.44&CDS=1-972	YOR142W
OG0001681	snap_masked-hib_s71-processed-gene-9.45-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-9.45&CDS=1-2406	YOR141C
OG0001682	augustus_masked-hib_s71-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.150&CDS=1-1128	YDR346C
OG0001683	maker-hib_s71-augustus-gene-9.133-mRNA-1_1&gene=maker-hib_s71-augustus-gene-9.133&CDS=1-6660	YCR011C
OG0001684	augustus_masked-hib_s71-processed-gene-9.151-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.151&CDS=1-1332	YDR375C
OG0001685	maker-hib_s71-snap-gene-9.60-mRNA-1_1&gene=maker-hib_s71-snap-gene-9.60&CDS=1-2127	YDR006C
OG0001686	genemark-hib_s71-processed-gene-9.85-mRNA-1_1&gene=genemark-hib_s71-processed-gene-9.85&CDS=1-480	YML030W
OG0001687	augustus_masked-hib_s71-processed-gene-9.154-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.154&CDS=1-1218	YOR143C
OG0001688	augustus_masked-hib_s71-processed-gene-9.155-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.155&CDS=1-576	YJR069C
OG0001689	augustus_masked-hib_s71-processed-gene-9.182-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.182&CDS=1-555	YDR339C
OG0001690	snap_masked-hib_s71-processed-gene-9.25-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-9.25&CDS=1-1812	YDR341C
OG0001691	augustus_masked-hib_s71-processed-gene-10.127-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.127&CDS=1-519	YDR404C
OG0001692	augustus_masked-hib_s71-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.124&CDS=1-519	YOR150W
OG0001693	augustus_masked-hib_s71-processed-gene-10.128-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.128&CDS=1-3705	YOR151C
OG0001694	augustus_masked-hib_s71-processed-gene-10.125-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.125&CDS=1-858	YDR405W
OG0001695	augustus_masked-hib_s71-processed-gene-10.126-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.126&CDS=1-219	YNL259C
OG0001696	augustus_masked-hib_s71-processed-gene-10.130-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.130&CDS=1-2241	YNL258C
OG0001697	augustus_masked-hib_s71-processed-gene-10.131-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.131&CDS=1-2577	YNL127W
OG0001698	augustus_masked-hib_s71-processed-gene-10.132-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.132&CDS=1-426	YNL131W
OG0001699	augustus_masked-hib_s71-processed-gene-10.133-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.133&CDS=1-594	YHR121W
OG0001700	augustus_masked-hib_s71-processed-gene-10.156-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.156&CDS=1-1068	YNL128W
OG0001701	augustus_masked-hib_s71-processed-gene-10.158-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.158&CDS=1-1605	YLR392C
OG0001702	augustus_masked-hib_s71-processed-gene-10.134-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.134&CDS=1-336	YNL135C
OG0001703	augustus_masked-hib_s71-processed-gene-10.135-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.135&CDS=1-621	YHR122W
OG0001704	augustus_masked-hib_s71-processed-gene-10.136-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.136&CDS=1-1152	YBL086C
OG0001705	maker-hib_s71-augustus-gene-10.119-mRNA-1_1&gene=maker-hib_s71-augustus-gene-10.119&CDS=1-2484	YFR015C
OG0001706	augustus_masked-hib_s71-processed-gene-10.163-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.163&CDS=1-2727	YCR057C
OG0001707	maker-hib_s71-augustus-gene-10.120-mRNA-1_1&gene=maker-hib_s71-augustus-gene-10.120&CDS=1-837	YCR059C
OG0001708	maker-hib_s71-snap-gene-10.115-mRNA-1_1&gene=maker-hib_s71-snap-gene-10.115&CDS=1-6816	YNR016C
OG0001709	augustus_masked-hib_s71-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.140&CDS=1-621	YNR017W
OG0001710	augustus_masked-hib_s71-processed-gene-10.167-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.167&CDS=1-1092	YNR015W
OG0001711	maker-hib_s71-augustus-gene-10.123-mRNA-1_1&gene=maker-hib_s71-augustus-gene-10.123&CDS=1-1053	YAL034W-A
OG0001712	augustus_masked-hib_s71-processed-gene-10.144-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.144&CDS=1-867	YOR340C
OG0001713	augustus_masked-hib_s71-processed-gene-10.169-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.169&CDS=1-1341	YOR334W
OG0001714	snap_masked-hib_s71-processed-gene-10.50-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-10.50&CDS=1-678	YOR332W
OG0001715	augustus_masked-hib_s71-processed-gene-10.171-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.171&CDS=1-846	YOR100C
OG0001716	augustus_masked-hib_s71-processed-gene-10.172-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.172&CDS=1-2469	YNL126W
OG0001717	augustus_masked-hib_s71-processed-gene-10.173-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.173&CDS=1-1701	YDR232W
OG0001718	genemark-hib_s71-processed-gene-10.79-mRNA-1_1&gene=genemark-hib_s71-processed-gene-10.79&CDS=1-1215	YGR286C
OG0001719	augustus_masked-hib_s71-processed-gene-10.175-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.175&CDS=1-813	YDR041W
OG0001720	augustus_masked-hib_s71-processed-gene-10.148-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.148&CDS=1-903	YBR061C
OG0001721	maker-hib_s71-augustus-gene-10.118-mRNA-1_1&gene=maker-hib_s71-augustus-gene-10.118&CDS=1-1701	YDR050C
OG0001722	snap_masked-hib_s71-processed-gene-11.7-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-11.7&CDS=1-978	YMR262W
OG0001723	augustus_masked-hib_s71-processed-gene-11.63-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.63&CDS=1-930	YML112W
OG0001724	augustus_masked-hib_s71-processed-gene-11.60-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.60&CDS=1-456	YMR260C
OG0001725	maker-hib_s71-snap-gene-11.115-mRNA-1_1&gene=maker-hib_s71-snap-gene-11.115&CDS=1-789	YDR064W
OG0001726	genemark-hib_s71-processed-gene-11.118-mRNA-1_1&gene=genemark-hib_s71-processed-gene-11.118&CDS=1-1662	YFR028C
OG0001727	augustus_masked-hib_s71-processed-gene-11.66-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.66&CDS=1-3789	YOL075C
OG0001728	augustus_masked-hib_s71-processed-gene-11.68-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.68&CDS=1-1989	YER140W
OG0001729	augustus_masked-hib_s71-processed-gene-11.93-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.93&CDS=1-1380	YER141W
OG0001730	augustus_masked-hib_s71-processed-gene-11.70-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.70&CDS=1-1953	YBR041W
OG0001731	augustus_masked-hib_s71-processed-gene-11.94-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.94&CDS=1-1251	YCR012W
OG0001732	augustus_masked-hib_s71-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.71&CDS=1-858	YBR101C
OG0001733	augustus_masked-hib_s71-processed-gene-11.72-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.72&CDS=1-3291	YPR055W
OG0001734	augustus_masked-hib_s71-processed-gene-11.96-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.96&CDS=1-687	YPR124W
OG0001735	augustus_masked-hib_s71-processed-gene-11.73-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.73&CDS=1-666	YER004W
OG0001736	maker-hib_s71-augustus-gene-11.0-mRNA-1_1&gene=maker-hib_s71-augustus-gene-11.0&CDS=1-2472	YMR120C
OG0001737	augustus_masked-hib_s71-processed-gene-11.75-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.75&CDS=1-1983	YOR254C
OG0001738	augustus_masked-hib_s71-processed-gene-11.99-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.99&CDS=1-522	YOR253W
OG0001739	augustus_masked-hib_s71-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.76&CDS=1-435	YPL170W
OG0001740	augustus_masked-hib_s71-processed-gene-11.77-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.77&CDS=1-1734	YPL169C
OG0001741	augustus_masked-hib_s71-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.78&CDS=1-1227	YPL175W
OG0001742	genemark-hib_s71-processed-gene-11.137-mRNA-1_1&gene=genemark-hib_s71-processed-gene-11.137&CDS=1-1404	YOR257W
OG0001743	augustus_masked-hib_s71-processed-gene-11.101-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.101&CDS=1-1278	YOR259C
OG0001744	augustus_masked-hib_s71-processed-gene-11.80-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.80&CDS=1-1404	YOR260W
OG0001745	augustus_masked-hib_s71-processed-gene-11.102-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.102&CDS=1-693	YJR056C
OG0001746	maker-hib_s71-augustus-gene-11.2-mRNA-1_1&gene=maker-hib_s71-augustus-gene-11.2&CDS=1-2367	YLR268W
OG0001747	augustus_masked-hib_s71-processed-gene-11.103-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.103&CDS=1-726	YHR038W
OG0001748	augustus_masked-hib_s71-processed-gene-11.104-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.104&CDS=1-1065	YHR085W
OG0001749	augustus_masked-hib_s71-processed-gene-11.105-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.105&CDS=1-2919	YBR281C
OG0001750	augustus_masked-hib_s71-processed-gene-11.85-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.85&CDS=1-1809	YJL100W
OG0001751	augustus_masked-hib_s71-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.86&CDS=1-693	YFL031W
OG0001752	augustus_masked-hib_s71-processed-gene-11.109-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.109&CDS=1-4632	YPL167C
OG0001753	augustus_masked-hib_s71-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.87&CDS=1-1767	YJL128C
OG0001754	augustus_masked-hib_s71-processed-gene-11.88-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.88&CDS=1-1023	YNR035C
OG0001755	augustus_masked-hib_s71-processed-gene-11.110-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.110&CDS=1-516	YNR036C
OG0001756	augustus_masked-hib_s71-processed-gene-11.90-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.90&CDS=1-228	YHR001W-A
OG0001757	maker-hib_s71-augustus-gene-12.3-mRNA-1_1&gene=maker-hib_s71-augustus-gene-12.3&CDS=1-2634	YBR260C
OG0001758	maker-hib_s71-augustus-gene-12.0-mRNA-1_1&gene=maker-hib_s71-augustus-gene-12.0&CDS=1-3087	YOR087W
OG0001759	snap_masked-hib_s71-processed-gene-12.119-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-12.119&CDS=1-558	YNL090W
OG0001760	augustus_masked-hib_s71-processed-gene-12.14-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.14&CDS=1-1980	YOR069W
OG0001761	augustus_masked-hib_s71-processed-gene-12.37-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.37&CDS=1-1533	YBR173C
OG0001762	augustus_masked-hib_s71-processed-gene-12.16-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.16&CDS=1-969	YDL014W
OG0001763	augustus_masked-hib_s71-processed-gene-12.17-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.17&CDS=1-975	YDL013W
OG0001764	augustus_masked-hib_s71-processed-gene-12.18-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.18&CDS=1-1944	YIL155C
OG0001765	augustus_masked-hib_s71-processed-gene-12.41-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.41&CDS=1-576	YPR131C
OG0001766	augustus_masked-hib_s71-processed-gene-12.42-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.42&CDS=1-2553	YPR135W
OG0001767	augustus_masked-hib_s71-processed-gene-12.19-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.19&CDS=1-1011	YER095W
OG0001768	augustus_masked-hib_s71-processed-gene-12.20-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.20&CDS=1-2676	YBL066C
OG0001769	augustus_masked-hib_s71-processed-gene-12.22-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.22&CDS=1-2793	YGL201C
OG0001770	augustus_masked-hib_s71-processed-gene-12.24-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.24&CDS=1-699	YGR152C
OG0001771	augustus_masked-hib_s71-processed-gene-12.26-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.26&CDS=1-897	YLR208W
OG0001772	augustus_masked-hib_s71-processed-gene-12.45-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.45&CDS=1-924	YLR209C
OG0001773	augustus_masked-hib_s71-processed-gene-12.47-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.47&CDS=1-1056	YDR268W
OG0001774	augustus_masked-hib_s71-processed-gene-12.48-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.48&CDS=1-756	YOR039W
OG0001775	maker-hib_s71-augustus-gene-12.2-mRNA-1_1&gene=maker-hib_s71-augustus-gene-12.2&CDS=1-4056	YOR038C
OG0001776	augustus_masked-hib_s71-processed-gene-12.50-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.50&CDS=1-960	YDR353W
OG0001777	augustus_masked-hib_s71-processed-gene-12.51-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.51&CDS=1-456	YHR105W
OG0001778	snap_masked-hib_s71-processed-gene-12.136-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-12.136&CDS=1-447	YJR104C
OG0001779	augustus_masked-hib_s71-processed-gene-12.52-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.52&CDS=1-798	YHR067W
OG0001780	augustus_masked-hib_s71-processed-gene-12.29-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.29&CDS=1-1929	YDR311W
OG0001781	augustus_masked-hib_s71-processed-gene-12.30-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.30&CDS=1-909	YHR088W
OG0001782	augustus_masked-hib_s71-processed-gene-12.31-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.31&CDS=1-3693	YDR335W
OG0001783	augustus_masked-hib_s71-processed-gene-12.53-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.53&CDS=1-1035	YIL110W
OG0001784	augustus_masked-hib_s71-processed-gene-12.33-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.33&CDS=1-2634	YNL054W
OG0001785	augustus_masked-hib_s71-processed-gene-12.34-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.34&CDS=1-1905	YDR034C
OG0001786	augustus_masked-hib_s71-processed-gene-12.55-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.55&CDS=1-3006	YML070W
OG0001787	augustus_masked-hib_s71-processed-gene-12.35-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.35&CDS=1-2496	YML099C
OG0001788	augustus_masked-hib_s71-processed-gene-13.3-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.3&CDS=1-1602	YML130C
OG0001789	augustus_masked-hib_s71-processed-gene-13.4-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.4&CDS=1-1551	YGL078C
OG0001790	augustus_masked-hib_s71-processed-gene-13.5-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.5&CDS=1-1551	YFL055W
OG0001791	augustus_masked-hib_s71-processed-gene-13.6-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.6&CDS=1-207	YCL005W-A
OG0001792	augustus_masked-hib_s71-processed-gene-13.1-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.1&CDS=1-1437	YCL008C
OG0001793	augustus_masked-hib_s71-processed-gene-13.2-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.2&CDS=1-1419	YLR175W
OG0001794	augustus_masked-hib_s71-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.8&CDS=1-1617	YBL019W
OG0001795	augustus_masked-hib_s71-processed-gene-13.21-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.21&CDS=1-705	YER148W
OG0001796	augustus_masked-hib_s71-processed-gene-13.26-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.26&CDS=1-792	YCR009C
OG0001797	maker-hib_s71-augustus-gene-13.52-mRNA-1_1&gene=maker-hib_s71-augustus-gene-13.52&CDS=1-5190	YER171W
OG0001798	augustus_masked-hib_s71-processed-gene-13.28-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.28&CDS=1-1704	YDR389W
OG0001799	augustus_masked-hib_s71-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.10&CDS=1-948	YPL209C
OG0001800	snap_masked-hib_s71-processed-gene-13.67-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-13.67&CDS=1-2187	YPL207W
OG0001801	augustus_masked-hib_s71-processed-gene-13.12-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.12&CDS=1-1377	YGL065C
OG0001802	augustus_masked-hib_s71-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.13&CDS=1-900	YBR187W
OG0001803	augustus_masked-hib_s71-processed-gene-13.32-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.32&CDS=1-627	YBR193C
OG0001804	maker-hib_s71-augustus-gene-13.54-mRNA-1_1&gene=maker-hib_s71-augustus-gene-13.54&CDS=1-6771	YPL082C
OG0001805	augustus_masked-hib_s71-processed-gene-13.15-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.15&CDS=1-1533	YOR241W
OG0001806	augustus_masked-hib_s71-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.16&CDS=1-2496	YPL029W
OG0001807	augustus_masked-hib_s71-processed-gene-13.40-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.40&CDS=1-1203	YPL028W
OG0001808	augustus_masked-hib_s71-processed-gene-13.18-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.18&CDS=1-666	YPL041C
OG0001809	snap_masked-hib_s71-processed-gene-13.104-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-13.104&CDS=1-1224	YMR139W
OG0001810	augustus_masked-hib_s71-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.43&CDS=1-1341	YPL042C
OG0001811	augustus_masked-hib_s71-processed-gene-13.44-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.44&CDS=1-1104	YLR056W
OG0001812	augustus_masked-hib_s71-processed-gene-13.45-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.45&CDS=1-1044	YDL205C
