	Ambrosiozyma_monospora	Saccharomyces_cerevisiae
OG0001333	-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.6&CDS=1-1008	YER175C
OG0001334	-snap-gene-1.117-mRNA-1_1&gene=maker-gi|1002318538|dbj|BCIP01000023.1|-snap-gene-1.117&CDS=1-3102	YER070W
OG0001335	-processed-gene-1.104-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.104&CDS=1-852	YPL246C
OG0001336	-processed-gene-1.81-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.81&CDS=1-414	YPL234C
OG0001337	-processed-gene-1.106-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.106&CDS=1-1398	YPL235W
OG0001338	-augustus-gene-1.112-mRNA-1_1&gene=maker-gi|1002318538|dbj|BCIP01000023.1|-augustus-gene-1.112&CDS=1-3630	YPL236C
OG0001339	-processed-gene-1.108-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.108&CDS=1-2169	YMR301C
OG0001340	-processed-gene-1.90-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.90&CDS=1-1890	YLR399C
OG0001341	-processed-gene-1.91-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.91&CDS=1-1014	YAR008W
OG0001342	-processed-gene-1.109-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.109&CDS=1-672	YIR001C
OG0001343	-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.18&CDS=1-2721	YLR001C
OG0001344	-snap-gene-2.2-mRNA-1_1&gene=maker-gi|1002318538|dbj|BCIP01000023.1|-snap-gene-2.2&CDS=1-2028	YKL002W
OG0001345	-processed-gene-1.95-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.95&CDS=1-378	YKL003C
OG0001346	-processed-gene-2.7-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.7&CDS=1-513	YER030W
OG0001347	-processed-gene-2.8-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.8&CDS=1-3063	YGL207W
OG0001348	-processed-gene-2.38-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.38&CDS=1-7344	YBR136W
OG0001349	-processed-gene-2.39-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.39&CDS=1-306	YBR135W
OG0001350	-processed-gene-2.12-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.12&CDS=1-2568	YBR133C
OG0001351	-processed-gene-2.41-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.41&CDS=1-1539	YLR097C
OG0001352	-processed-gene-2.15-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.15&CDS=1-2133	YDR124W
OG0001353	-processed-gene-2.107-mRNA-1_1&gene=snap_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.107&CDS=1-3489	YKR079C
OG0001354	-processed-gene-2.16-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.16&CDS=1-5154	YMR229C
OG0001355	-processed-gene-2.17-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.17&CDS=1-1623	YPR045C
OG0001356	-processed-gene-2.45-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.45&CDS=1-744	YJR099W
OG0001357	-augustus-gene-2.6-mRNA-1_1&gene=maker-gi|1002318538|dbj|BCIP01000023.1|-augustus-gene-2.6&CDS=1-2211	YDR083W
OG0001358	-processed-gene-2.171-mRNA-1_1&gene=augustus_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.171&CDS=1-4830	YHL010C
OG0001359	-processed-gene-2.54-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.54&CDS=1-852	YBR039W
OG0001360	-processed-gene-2.20-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.20&CDS=1-987	YKR030W
OG0001361	-processed-gene-2.56-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.56&CDS=1-1839	YPL169C
OG0001362	-processed-gene-2.58-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.58&CDS=1-1041	YNL274C
OG0001363	-processed-gene-2.22-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.22&CDS=1-726	YIL064W
OG0001364	-processed-gene-2.59-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.59&CDS=1-1173	YIL063C
OG0001365	-processed-gene-2.24-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.24&CDS=1-1395	YDR023W
OG0001366	-processed-gene-2.61-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.61&CDS=1-1188	YDR021W
OG0001367	-processed-gene-2.26-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.26&CDS=1-717	YDR020C
OG0001368	-snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002318538|dbj|BCIP01000023.1|-snap-gene-2.1&CDS=1-3930	YDR371W
OG0001369	-processed-gene-2.181-mRNA-1_1&gene=augustus_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.181&CDS=1-732	YGR001C
OG0001370	-processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.30&CDS=1-906	YDR411C
OG0001371	-processed-gene-2.31-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.31&CDS=1-741	YER163C
OG0001372	-processed-gene-2.155-mRNA-1_1&gene=augustus_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.155&CDS=1-789	YDR090C
OG0001373	-processed-gene-2.33-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.33&CDS=1-3729	YER162C
OG0001374	-processed-gene-2.68-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.68&CDS=1-2445	YDL040C
OG0001375	-processed-gene-2.69-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.69&CDS=1-1089	YDR047W
OG0001376	-processed-gene-2.36-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.36&CDS=1-3147	YBR074W
OG0001377	-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.41&CDS=1-1506	YOL049W
OG0001378	-processed-gene-0.83-mRNA-1_1&gene=snap_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.83&CDS=1-1758	YIL072W
OG0001379	-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.54&CDS=1-1920	YKL148C
OG0001380	-snap-gene-0.9-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-snap-gene-0.9&CDS=1-2898	YEL061C
OG0001381	-augustus-gene-0.3-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-augustus-gene-0.3&CDS=1-936	YGR086C
OG0001382	-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.45&CDS=1-588	YLR251W
OG0001383	-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.46&CDS=1-243	YMR194C-B
OG0001384	-snap-gene-1.7-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-snap-gene-1.7&CDS=1-1062	YMR193W
OG0001385	-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-1.35&CDS=1-2571	YPL249C
OG0001386	-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-1.38&CDS=1-1743	YER087W
OG0001387	-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-1.44&CDS=1-3954	YML104C
OG0001388	-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.3&CDS=1-2106	YKR067W
OG0001389	-snap-gene-2.38-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-snap-gene-2.38&CDS=1-3900	YHR079C
OG0001390	-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.1&CDS=1-3141	YMR196W
OG0001391	-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.4&CDS=1-660	YMR197C
OG0001392	-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.2&CDS=1-501	YPL252C
OG0001393	-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.15&CDS=1-3177	YBL051C
OG0001394	-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.17&CDS=1-1524	YBR076W
OG0001395	-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.1&CDS=1-966	YJR008W
OG0001396	-processed-gene-3.43-mRNA-1_1&gene=snap_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.43&CDS=1-2175	YML061C
OG0001397	-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.3&CDS=1-10347	YDR457W
OG0001398	-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.4&CDS=1-1443	YDR473C
OG0001399	-processed-gene-3.110-mRNA-1_1&gene=genemark-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.110&CDS=1-321	YOR020C
OG0001400	-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.6&CDS=1-978	YHR012W
OG0001401	-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.27&CDS=1-648	YHR013C
OG0001402	-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.9&CDS=1-1002	YIR011C
OG0001403	-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.28&CDS=1-735	YMR188C
OG0001404	-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.11&CDS=1-1911	YPL093W
OG0001405	-augustus-gene-3.85-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-augustus-gene-3.85&CDS=1-1824	YPL054W
OG0001406	-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.30&CDS=1-1095	YPL050C
OG0001407	-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.17&CDS=1-990	YNL290W
OG0001408	-snap-gene-3.129-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-snap-gene-3.129&CDS=1-4830	YER176W
OG0001409	-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.18&CDS=1-5013	YPL167C
OG0001410	-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.37&CDS=1-3405	YKL033W
OG0001411	-processed-gene-3.80-mRNA-1_1&gene=snap_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.80&CDS=1-1368	YOL132W
OG0001412	-processed-gene-3.81-mRNA-1_1&gene=snap_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.81&CDS=1-3039	YIL125W
OG0001413	-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.31&CDS=1-906	YDR043C
OG0001414	-processed-gene-0.65-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.65&CDS=1-1056	YDR044W
OG0001415	-snap-gene-0.97-mRNA-1_1&gene=maker-gi|1002318540|dbj|BCIP01000021.1|-snap-gene-0.97&CDS=1-3675	YCR011C
OG0001416	-processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.83&CDS=1-2082	YOR356W
OG0001417	-processed-gene-0.84-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.84&CDS=1-2415	YLR222C
OG0001418	-processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.92&CDS=1-2565	YAL041W
OG0001419	-processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.93&CDS=1-1224	YAL042W
OG0001420	-processed-gene-0.95-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.95&CDS=1-2019	YNL251C
OG0001421	-processed-gene-1.66-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.66&CDS=1-888	YJL068C
OG0001422	-processed-gene-1.67-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.67&CDS=1-1689	YOR378W
OG0001423	-processed-gene-1.53-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.53&CDS=1-1017	YLR377C
OG0001424	-processed-gene-1.54-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.54&CDS=1-1428	YLR378C
OG0001425	-processed-gene-1.55-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.55&CDS=1-699	YNL107W
OG0001426	-snap-gene-1.78-mRNA-1_1&gene=maker-gi|1002318540|dbj|BCIP01000021.1|-snap-gene-1.78&CDS=1-2079	YKL047W
OG0001427	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.70&CDS=1-792	YAL039C
OG0001428	-processed-gene-1.57-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.57&CDS=1-927	YHL013C
OG0001429	-processed-gene-1.71-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.71&CDS=1-1242	YHL014C
OG0001430	-processed-gene-1.20-mRNA-1_1&gene=snap_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.20&CDS=1-1701	YNL073W
OG0001431	-processed-gene-1.58-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.58&CDS=1-810	YFR052W
OG0001432	-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.46&CDS=1-2187	YBR015C
OG0001433	-processed-gene-1.76-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.76&CDS=1-1395	YHL004W
OG0001434	-processed-gene-1.77-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.77&CDS=1-2022	YLR153C
OG0001435	-processed-gene-2.32-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.32&CDS=1-366	YNL111C
OG0001436	-processed-gene-2.9-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.9&CDS=1-975	YNL110C
OG0001437	-processed-gene-2.10-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.10&CDS=1-666	YOR111W
OG0001438	-processed-gene-2.11-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.11&CDS=1-1410	YNL071W
OG0001439	-processed-gene-2.13-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.13&CDS=1-1719	YDR171W
OG0001440	-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.55&CDS=1-2280	YGL215W
OG0001441	-processed-gene-2.37-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.37&CDS=1-726	YMR038C
OG0001442	-processed-gene-2.19-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.19&CDS=1-468	YMR035W
OG0001443	-processed-gene-2.38-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.38&CDS=1-2853	YMR036C
OG0001444	-processed-gene-2.40-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.40&CDS=1-1461	YOR051C
OG0001445	-processed-gene-2.20-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.20&CDS=1-1650	YKR069W
OG0001446	-processed-gene-2.21-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.21&CDS=1-177	YDR276C
OG0001447	-processed-gene-2.26-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.26&CDS=1-861	YDR116C
OG0001448	-processed-gene-2.27-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.27&CDS=1-1365	YLR387C
OG0001449	-snap-gene-3.174-mRNA-1_1&gene=maker-gi|1002318540|dbj|BCIP01000021.1|-snap-gene-3.174&CDS=1-3597	YLR386W
OG0001450	-processed-gene-3.6-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.6&CDS=1-807	YHR200W
OG0001451	-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.120&CDS=1-4164	YJR137C
OG0001452	-processed-gene-3.32-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.32&CDS=1-1563	YMR015C
OG0001453	-processed-gene-3.36-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.36&CDS=1-2340	YDL060W
OG0001454	-processed-gene-3.9-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.9&CDS=1-1431	YKR063C
OG0001455	-augustus-gene-3.166-mRNA-1_1&gene=maker-gi|1002318540|dbj|BCIP01000021.1|-augustus-gene-3.166&CDS=1-2622	YLR397C
OG0001456	-processed-gene-3.12-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.12&CDS=1-1872	YDL063C
OG0001457	-processed-gene-3.39-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.39&CDS=1-483	YDL064W
OG0001458	-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.124&CDS=1-1029	YDL065C
OG0001459	-processed-gene-3.40-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.40&CDS=1-636	YOR289W
OG0001460	-snap-gene-3.172-mRNA-1_1&gene=maker-gi|1002318540|dbj|BCIP01000021.1|-snap-gene-3.172&CDS=1-1008	YER042W
OG0001461	-processed-gene-3.150-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.150&CDS=1-2319	YMR213W
OG0001462	-processed-gene-3.16-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.16&CDS=1-2685	YMR212C
OG0001463	-processed-gene-3.43-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.43&CDS=1-486	YOR276W
OG0001464	-processed-gene-3.17-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.17&CDS=1-546	YOR252W
OG0001465	-processed-gene-3.154-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.154&CDS=1-5502	YLR305C
OG0001466	-processed-gene-3.155-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.155&CDS=1-735	YPR016C
OG0001467	-processed-gene-3.48-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.48&CDS=1-2688	YLL026W
OG0001468	-processed-gene-3.22-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.22&CDS=1-1353	YMR091C
OG0001469	-processed-gene-3.23-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.23&CDS=1-885	YGR096W
OG0001470	-processed-gene-3.49-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.49&CDS=1-1815	YPR144C
OG0001471	-processed-gene-3.50-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.50&CDS=1-2268	YHR197W
OG0001472	-processed-gene-3.24-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.24&CDS=1-660	YGR095C
OG0001473	-processed-gene-3.51-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.51&CDS=1-3180	YGR094W
OG0001474	-processed-gene-3.25-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.25&CDS=1-1611	YGR091W
OG0001475	-processed-gene-3.160-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.160&CDS=1-4608	YOR326W
OG0001476	-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.161&CDS=1-5235	YAL024C
OG0001477	-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.138&CDS=1-2001	YHL008C
OG0001478	-processed-gene-3.163-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.163&CDS=1-1584	YOR374W
OG0001479	-processed-gene-3.164-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.164&CDS=1-921	YML125C
OG0001480	-processed-gene-3.165-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.165&CDS=1-1923	YOR273C
OG0001481	-processed-gene-3.29-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.29&CDS=1-315	YLR364W
OG0001482	-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.140&CDS=1-2475	YMR078C
OG0001483	-processed-gene-0.31-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.31&CDS=1-924	YMR241W
OG0001484	-processed-gene-0.40-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.40&CDS=1-1335	YOR307C
OG0001485	-processed-gene-0.34-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.34&CDS=1-6666	YNR016C
OG0001486	-processed-gene-0.42-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.42&CDS=1-1596	YJR010W
OG0001487	-processed-gene-0.43-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.43&CDS=1-978	YEL029C
OG0001488	-processed-gene-0.13-mRNA-1_1&gene=snap_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.13&CDS=1-3114	YJL100W
OG0001489	-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.20&CDS=1-1680	YMR258C
OG0001490	-processed-gene-0.7-mRNA-1_1&gene=snap_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.7&CDS=1-12114	YKR054C
OG0001491	-processed-gene-1.58-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.58&CDS=1-2700	YGL008C
OG0001492	-processed-gene-1.80-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.80&CDS=1-2130	YEL011W
OG0001493	-augustus-gene-1.102-mRNA-1_1&gene=maker-gi|1002318541|dbj|BCIP01000020.1|-augustus-gene-1.102&CDS=1-6648	YBR097W
OG0001494	-processed-gene-1.83-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.83&CDS=1-1359	YPR054W
OG0001495	-processed-gene-1.84-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.84&CDS=1-909	YBR105C
OG0001496	-processed-gene-1.85-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.85&CDS=1-786	YPR060C
OG0001497	-processed-gene-1.88-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.88&CDS=1-1470	YJL054W
OG0001498	-processed-gene-1.89-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.89&CDS=1-1017	YNL229C
OG0001499	-processed-gene-1.69-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.69&CDS=1-897	YLR126C
OG0001500	-processed-gene-1.56-mRNA-1_1&gene=snap_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.56&CDS=1-648	YMR042W
OG0001501	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.70&CDS=1-843	YLR243W
OG0001502	-processed-gene-2.3-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-2.3&CDS=1-1578	YDR191W
OG0001503	-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-2.34&CDS=1-4680	YDR135C
