	Metschnikowia_hawaiiensis	Saccharomyces_cerevisiae
OG0001486	snap_masked-haw-_s214-processed-gene-0.29-mRNA-1_1&gene=snap_masked-haw-_s214-processed-gene-0.29&CDS=1-2301	YER091C
OG0001487	snap_masked-haw-_s22-processed-gene-0.28-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.28&CDS=1-648	YLR390W-A
OG0001488	snap_masked-haw-_s22-processed-gene-0.21-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.21&CDS=1-1119	YDR202C
OG0001489	snap_masked-haw-_s22-processed-gene-0.23-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.23&CDS=1-1860	YGL095C
OG0001490	snap_masked-haw-_s22-processed-gene-0.31-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.31&CDS=1-1113	YPL181W
OG0001491	snap_masked-haw-_s22-processed-gene-0.24-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.24&CDS=1-1665	YML086C
OG0001492	snap_masked-haw-_s22-processed-gene-0.32-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.32&CDS=1-2763	YML093W
OG0001493	maker-haw-_s22-snap-gene-0.19-mRNA-1_1&gene=maker-haw-_s22-snap-gene-0.19&CDS=1-750	YML092C
OG0001494	snap_masked-haw-_s22-processed-gene-0.34-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.34&CDS=1-3516	YPL226W
OG0001495	snap_masked-haw-_s22-processed-gene-0.36-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.36&CDS=1-435	YPL225W
OG0001496	snap_masked-haw-_s22-processed-gene-0.27-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.27&CDS=1-576	YBR106W
OG0001497	augustus_masked-haw-_s220-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-haw-_s220-processed-gene-0.64&CDS=1-1926	YDR386W
OG0001498	augustus_masked-haw-_s220-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-haw-_s220-processed-gene-0.65&CDS=1-918	YOR158W
OG0001499	snap_masked-haw-_s220-processed-gene-0.31-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.31&CDS=1-2214	YML031W
OG0001500	snap_masked-haw-_s220-processed-gene-0.50-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.50&CDS=1-1932	YDR456W
OG0001501	snap_masked-haw-_s220-processed-gene-0.33-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.33&CDS=1-1359	YOR307C
OG0001502	snap_masked-haw-_s220-processed-gene-0.51-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.51&CDS=1-912	YMR241W
OG0001503	snap_masked-haw-_s220-processed-gene-0.52-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.52&CDS=1-660	YDR410C
OG0001504	snap_masked-haw-_s220-processed-gene-0.53-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.53&CDS=1-525	YLR370C
OG0001505	augustus_masked-haw-_s220-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-haw-_s220-processed-gene-0.74&CDS=1-720	YBR096W
OG0001506	snap_masked-haw-_s220-processed-gene-0.56-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.56&CDS=1-9705	YDR457W
OG0001507	snap_masked-haw-_s220-processed-gene-0.42-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.42&CDS=1-264	YOR159C
OG0001508	maker-haw-_s220-snap-gene-0.62-mRNA-1_1&gene=maker-haw-_s220-snap-gene-0.62&CDS=1-2625	YPR066W
OG0001509	snap_masked-haw-_s220-processed-gene-0.59-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.59&CDS=1-1323	YGR110W
OG0001510	augustus_masked-haw-_s220-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-haw-_s220-processed-gene-0.91&CDS=1-1356	YHR011W
OG0001511	snap_masked-haw-_s225-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s225-processed-gene-0.4&CDS=1-1845	YMR036C
OG0001512	augustus_masked-haw-_s229-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s229-processed-gene-0.0&CDS=1-729	YML041C
OG0001513	augustus_masked-haw-_s229-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-haw-_s229-processed-gene-0.1&CDS=1-4590	YMR190C
OG0001514	snap_masked-haw-_s229-processed-gene-0.14-mRNA-1_1&gene=snap_masked-haw-_s229-processed-gene-0.14&CDS=1-1074	YPL248C
OG0001515	snap_masked-haw-_s229-processed-gene-0.16-mRNA-1_1&gene=snap_masked-haw-_s229-processed-gene-0.16&CDS=1-2829	YPL249C
OG0001516	snap_masked-haw-_s23-processed-gene-0.73-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.73&CDS=1-1383	YOR197W
OG0001517	snap_masked-haw-_s23-processed-gene-0.75-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.75&CDS=1-945	YMR161W
OG0001518	augustus_masked-haw-_s23-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-haw-_s23-processed-gene-0.26&CDS=1-3279	YDL102W
OG0001519	snap_masked-haw-_s23-processed-gene-0.78-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.78&CDS=1-1140	YGL153W
OG0001520	snap_masked-haw-_s23-processed-gene-0.79-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.79&CDS=1-948	YDL119C
OG0001521	snap_masked-haw-_s23-processed-gene-0.80-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.80&CDS=1-1149	YGL155W
OG0001522	snap_masked-haw-_s23-processed-gene-0.81-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.81&CDS=1-816	YGL154C
OG0001523	snap_masked-haw-_s23-processed-gene-0.82-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.82&CDS=1-3990	YGL150C
OG0001524	augustus_masked-haw-_s23-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-haw-_s23-processed-gene-0.6&CDS=1-321	YJR085C
OG0001525	snap_masked-haw-_s23-processed-gene-0.84-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.84&CDS=1-732	YNL178W
OG0001526	snap_masked-haw-_s23-processed-gene-0.85-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.85&CDS=1-4047	YGR061C
OG0001527	snap_masked-haw-_s23-processed-gene-0.57-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.57&CDS=1-444	YOR224C
OG0001528	snap_masked-haw-_s23-processed-gene-0.89-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.89&CDS=1-1494	YKL035W
OG0001529	snap_masked-haw-_s23-processed-gene-0.59-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.59&CDS=1-1263	YOR209C
OG0001530	genemark-haw-_s23-processed-gene-0.106-mRNA-1_1&gene=genemark-haw-_s23-processed-gene-0.106&CDS=1-2964	YPL125W
OG0001531	genemark-haw-_s23-processed-gene-0.107-mRNA-1_1&gene=genemark-haw-_s23-processed-gene-0.107&CDS=1-1806	YPL132W
OG0001532	snap_masked-haw-_s23-processed-gene-0.91-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.91&CDS=1-1350	YBR199W
OG0001533	snap_masked-haw-_s23-processed-gene-0.64-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.64&CDS=1-1989	YPL104W
OG0001534	snap_masked-haw-_s23-processed-gene-0.92-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.92&CDS=1-2130	YJL010C
OG0001535	snap_masked-haw-_s23-processed-gene-0.65-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.65&CDS=1-1404	YOR056C
OG0001536	snap_masked-haw-_s23-processed-gene-0.67-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.67&CDS=1-2079	YDR295C
OG0001537	snap_masked-haw-_s23-processed-gene-0.68-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.68&CDS=1-1767	YDR294C
OG0001538	snap_masked-haw-_s232-processed-gene-0.27-mRNA-1_1&gene=snap_masked-haw-_s232-processed-gene-0.27&CDS=1-1305	YBR143C
OG0001539	snap_masked-haw-_s232-processed-gene-0.17-mRNA-1_1&gene=snap_masked-haw-_s232-processed-gene-0.17&CDS=1-3153	YOL145C
OG0001540	snap_masked-haw-_s232-processed-gene-0.28-mRNA-1_1&gene=snap_masked-haw-_s232-processed-gene-0.28&CDS=1-522	YOL146W
OG0001541	snap_masked-haw-_s232-processed-gene-0.18-mRNA-1_1&gene=snap_masked-haw-_s232-processed-gene-0.18&CDS=1-732	YBR261C
OG0001542	snap_masked-haw-_s232-processed-gene-0.19-mRNA-1_1&gene=snap_masked-haw-_s232-processed-gene-0.19&CDS=1-1296	YKL027W
OG0001543	snap_masked-haw-_s232-processed-gene-0.20-mRNA-1_1&gene=snap_masked-haw-_s232-processed-gene-0.20&CDS=1-834	YGR147C
OG0001544	snap_masked-haw-_s232-processed-gene-0.29-mRNA-1_1&gene=snap_masked-haw-_s232-processed-gene-0.29&CDS=1-1209	YHR002W
OG0001545	snap_masked-haw-_s232-processed-gene-0.24-mRNA-1_1&gene=snap_masked-haw-_s232-processed-gene-0.24&CDS=1-1233	YML048W
OG0001546	snap_masked-haw-_s236-processed-gene-0.14-mRNA-1_1&gene=snap_masked-haw-_s236-processed-gene-0.14&CDS=1-897	YOR251C
OG0001547	augustus_masked-haw-_s236-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-haw-_s236-processed-gene-0.7&CDS=1-1578	YOR269W
OG0001548	augustus_masked-haw-_s236-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-haw-_s236-processed-gene-0.8&CDS=1-1014	YNL265C
OG0001549	snap_masked-haw-_s236-processed-gene-0.25-mRNA-1_1&gene=snap_masked-haw-_s236-processed-gene-0.25&CDS=1-1395	YLL011W
OG0001550	snap_masked-haw-_s236-processed-gene-0.26-mRNA-1_1&gene=snap_masked-haw-_s236-processed-gene-0.26&CDS=1-1071	YLR019W
OG0001551	snap_masked-haw-_s236-processed-gene-0.17-mRNA-1_1&gene=snap_masked-haw-_s236-processed-gene-0.17&CDS=1-1461	YOR250C
OG0001552	augustus_masked-haw-_s236-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-haw-_s236-processed-gene-0.12&CDS=1-1068	YPL152W
OG0001553	snap_masked-haw-_s236-processed-gene-0.27-mRNA-1_1&gene=snap_masked-haw-_s236-processed-gene-0.27&CDS=1-1161	YPL151C
OG0001554	snap_masked-haw-_s243-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s243-processed-gene-0.8&CDS=1-3543	YNL329C
OG0001555	snap_masked-haw-_s243-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s243-processed-gene-0.12&CDS=1-426	YNL328C
OG0001556	snap_masked-haw-_s243-processed-gene-0.9-mRNA-1_1&gene=snap_masked-haw-_s243-processed-gene-0.9&CDS=1-1512	YAL038W
OG0001557	snap_masked-haw-_s243-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s243-processed-gene-0.10&CDS=1-954	YML110C
OG0001558	snap_masked-haw-_s243-processed-gene-0.14-mRNA-1_1&gene=snap_masked-haw-_s243-processed-gene-0.14&CDS=1-1791	YPR070W
OG0001559	snap_masked-haw-_s243-processed-gene-0.11-mRNA-1_1&gene=snap_masked-haw-_s243-processed-gene-0.11&CDS=1-1077	YLR291C
OG0001560	snap_masked-haw-_s244-processed-gene-0.3-mRNA-1_1&gene=snap_masked-haw-_s244-processed-gene-0.3&CDS=1-3441	YDR270W
OG0001561	snap_masked-haw-_s244-processed-gene-0.9-mRNA-1_1&gene=snap_masked-haw-_s244-processed-gene-0.9&CDS=1-2874	YOR160W
OG0001562	snap_masked-haw-_s244-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s244-processed-gene-0.4&CDS=1-561	YDR454C
OG0001563	snap_masked-haw-_s247-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s247-processed-gene-0.4&CDS=1-510	YJL096W
OG0001564	snap_masked-haw-_s249-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s249-processed-gene-0.4&CDS=1-888	YOR261C
OG0001565	snap_masked-haw-_s249-processed-gene-0.5-mRNA-1_1&gene=snap_masked-haw-_s249-processed-gene-0.5&CDS=1-789	YNL085W
OG0001566	snap_masked-haw-_s249-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s249-processed-gene-0.8&CDS=1-2037	YHR042W
OG0001567	augustus_masked-haw-_s249-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-haw-_s249-processed-gene-0.1&CDS=1-2592	YER070W
OG0001568	augustus_masked-haw-_s25-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-haw-_s25-processed-gene-0.9&CDS=1-327	YDR115W
OG0001569	snap_masked-haw-_s25-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s25-processed-gene-0.2&CDS=1-4494	YLR086W
OG0001570	snap_masked-haw-_s250-processed-gene-0.22-mRNA-1_1&gene=snap_masked-haw-_s250-processed-gene-0.22&CDS=1-1191	YPR041W
OG0001571	augustus_masked-haw-_s250-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-haw-_s250-processed-gene-0.13&CDS=1-966	YJR093C
OG0001572	maker-haw-_s250-snap-gene-0.19-mRNA-1_1&gene=maker-haw-_s250-snap-gene-0.19&CDS=1-5418	YJR092W
OG0001573	snap_masked-haw-_s250-processed-gene-0.26-mRNA-1_1&gene=snap_masked-haw-_s250-processed-gene-0.26&CDS=1-1431	YDL103C
OG0001574	augustus_masked-haw-_s250-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-haw-_s250-processed-gene-0.4&CDS=1-1878	YHL032C
OG0001575	snap_masked-haw-_s250-processed-gene-0.29-mRNA-1_1&gene=snap_masked-haw-_s250-processed-gene-0.29&CDS=1-744	YKL152C
OG0001576	augustus_masked-haw-_s250-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-haw-_s250-processed-gene-0.7&CDS=1-2559	YJL041W
OG0001577	snap_masked-haw-_s250-processed-gene-0.33-mRNA-1_1&gene=snap_masked-haw-_s250-processed-gene-0.33&CDS=1-1020	YGL040C
OG0001578	snap_masked-haw-_s250-processed-gene-0.41-mRNA-1_1&gene=snap_masked-haw-_s250-processed-gene-0.41&CDS=1-717	YMR077C
OG0001579	snap_masked-haw-_s253-processed-gene-0.11-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.11&CDS=1-501	YJR118C
OG0001580	snap_masked-haw-_s253-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.2&CDS=1-780	YMR149W
OG0001581	snap_masked-haw-_s253-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.12&CDS=1-558	YMR150C
OG0001582	augustus_masked-haw-_s253-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-haw-_s253-processed-gene-0.38&CDS=1-1635	YOR037W
OG0001583	snap_masked-haw-_s253-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.4&CDS=1-3441	YKL033W
OG0001584	snap_masked-haw-_s253-processed-gene-0.14-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.14&CDS=1-720	YJL065C
OG0001585	snap_masked-haw-_s253-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.7&CDS=1-1032	YCR019W
OG0001586	snap_masked-haw-_s253-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.8&CDS=1-1209	YML018C
OG0001587	snap_masked-haw-_s253-processed-gene-0.9-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.9&CDS=1-1077	YML019W
OG0001588	augustus_masked-haw-_s256-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-haw-_s256-processed-gene-0.69&CDS=1-600	YKR081C
OG0001589	genemark-haw-_s256-processed-gene-0.25-mRNA-1_1&gene=genemark-haw-_s256-processed-gene-0.25&CDS=1-1149	YOR074C
OG0001590	snap_masked-haw-_s256-processed-gene-0.60-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.60&CDS=1-672	YBL095W
OG0001591	snap_masked-haw-_s256-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.39&CDS=1-1380	YBL098W
OG0001592	snap_masked-haw-_s256-processed-gene-0.40-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.40&CDS=1-1278	YIL022W
OG0001593	snap_masked-haw-_s256-processed-gene-0.41-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.41&CDS=1-1371	YER122C
OG0001594	snap_masked-haw-_s256-processed-gene-0.44-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.44&CDS=1-1185	YBR026C
OG0001595	snap_masked-haw-_s256-processed-gene-0.45-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.45&CDS=1-1947	YIR027C
OG0001596	snap_masked-haw-_s256-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.46&CDS=1-441	YDR512C
OG0001597	snap_masked-haw-_s256-processed-gene-0.62-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.62&CDS=1-663	YIL118W
OG0001598	snap_masked-haw-_s256-processed-gene-0.48-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.48&CDS=1-1578	YOR149C
OG0001599	snap_masked-haw-_s256-processed-gene-0.63-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.63&CDS=1-1215	YDR394W
OG0001600	snap_masked-haw-_s256-processed-gene-0.50-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.50&CDS=1-2766	YGR100W
OG0001601	snap_masked-haw-_s256-processed-gene-0.64-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.64&CDS=1-2541	YMR086W
OG0001602	snap_masked-haw-_s256-processed-gene-0.51-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.51&CDS=1-924	YIL021W
OG0001603	snap_masked-haw-_s256-processed-gene-0.66-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.66&CDS=1-819	YIL020C
OG0001604	snap_masked-haw-_s256-processed-gene-0.52-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.52&CDS=1-984	YIL019W
OG0001605	snap_masked-haw-_s256-processed-gene-0.53-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.53&CDS=1-2139	YBL097W
OG0001606	genemark-haw-_s256-processed-gene-0.22-mRNA-1_1&gene=genemark-haw-_s256-processed-gene-0.22&CDS=1-2049	YPR024W
OG0001607	snap_masked-haw-_s256-processed-gene-0.67-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.67&CDS=1-2025	YNL251C
OG0001608	snap_masked-haw-_s256-processed-gene-0.55-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.55&CDS=1-822	YNL252C
OG0001609	snap_masked-haw-_s256-processed-gene-0.68-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.68&CDS=1-1242	YAL042W
OG0001610	maker-haw-_s257-snap-gene-0.25-mRNA-1_1&gene=maker-haw-_s257-snap-gene-0.25&CDS=1-2220	YNL186W
OG0001611	augustus_masked-haw-_s257-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-haw-_s257-processed-gene-0.32&CDS=1-621	YBL049W
OG0001612	snap_masked-haw-_s257-processed-gene-0.19-mRNA-1_1&gene=snap_masked-haw-_s257-processed-gene-0.19&CDS=1-900	YNL177C
OG0001613	snap_masked-haw-_s257-processed-gene-0.22-mRNA-1_1&gene=snap_masked-haw-_s257-processed-gene-0.22&CDS=1-636	YDL212W
OG0001614	snap_masked-haw-_s26-processed-gene-0.24-mRNA-1_1&gene=snap_masked-haw-_s26-processed-gene-0.24&CDS=1-741	YDL213C
OG0001615	augustus_masked-haw-_s26-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-haw-_s26-processed-gene-0.43&CDS=1-1377	YNL182C
OG0001616	augustus_masked-haw-_s26-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-haw-_s26-processed-gene-0.36&CDS=1-1335	YNL181W
OG0001617	augustus_masked-haw-_s26-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-haw-_s26-processed-gene-0.45&CDS=1-429	YNL185C
OG0001618	augustus_masked-haw-_s26-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-haw-_s26-processed-gene-0.48&CDS=1-1446	YPL247C
OG0001619	snap_masked-haw-_s268-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s268-processed-gene-0.2&CDS=1-4980	YML103C
OG0001620	snap_masked-haw-_s270-processed-gene-0.22-mRNA-1_1&gene=snap_masked-haw-_s270-processed-gene-0.22&CDS=1-2307	YOR014W
OG0001621	augustus_masked-haw-_s270-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-haw-_s270-processed-gene-0.5&CDS=1-1341	YLR251W
OG0001622	snap_masked-haw-_s270-processed-gene-0.21-mRNA-1_1&gene=snap_masked-haw-_s270-processed-gene-0.21&CDS=1-972	YGR080W
OG0001623	snap_masked-haw-_s274-processed-gene-0.30-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.30&CDS=1-1146	YJL171C
OG0001624	snap_masked-haw-_s274-processed-gene-0.45-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.45&CDS=1-696	YGL136C
OG0001625	snap_masked-haw-_s274-processed-gene-0.31-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.31&CDS=1-1824	YJR002W
OG0001626	maker-haw-_s274-augustus-gene-0.0-mRNA-1_1&gene=maker-haw-_s274-augustus-gene-0.0&CDS=1-3885	YOL021C
OG0001627	snap_masked-haw-_s274-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.47&CDS=1-606	YDR487C
OG0001628	snap_masked-haw-_s274-processed-gene-0.36-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.36&CDS=1-2559	YOL078W
OG0001629	snap_masked-haw-_s274-processed-gene-0.37-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.37&CDS=1-198	YOL077W-A
OG0001630	snap_masked-haw-_s274-processed-gene-0.38-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.38&CDS=1-864	YOL077C
OG0001631	snap_masked-haw-_s274-processed-gene-0.53-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.53&CDS=1-627	YKL119C
OG0001632	snap_masked-haw-_s274-processed-gene-0.41-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.41&CDS=1-1332	YNL040W
OG0001633	snap_masked-haw-_s274-processed-gene-0.54-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.54&CDS=1-945	YBR146W
OG0001634	snap_masked-haw-_s274-processed-gene-0.55-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.55&CDS=1-3387	YCR033W
OG0001635	snap_masked-haw-_s274-processed-gene-0.56-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.56&CDS=1-1461	YJL194W
OG0001636	snap_masked-haw-_s274-processed-gene-0.42-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.42&CDS=1-282	YOL086W-A
OG0001637	snap_masked-haw-_s275-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s275-processed-gene-0.4&CDS=1-2052	YCL057W
OG0001638	snap_masked-haw-_s276-processed-gene-0.21-mRNA-1_1&gene=snap_masked-haw-_s276-processed-gene-0.21&CDS=1-1575	YGL138C
OG0001639	snap_masked-haw-_s276-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s276-processed-gene-0.13&CDS=1-3564	YPL217C
OG0001640	snap_masked-haw-_s28-processed-gene-0.19-mRNA-1_1&gene=snap_masked-haw-_s28-processed-gene-0.19&CDS=1-1083	YML060W
OG0001641	snap_masked-haw-_s28-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s28-processed-gene-0.12&CDS=1-2220	YNL218W
OG0001642	snap_masked-haw-_s28-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s28-processed-gene-0.13&CDS=1-267	YDR510W
OG0001643	genemark-haw-_s28-processed-gene-0.31-mRNA-1_1&gene=genemark-haw-_s28-processed-gene-0.31&CDS=1-3201	YLR187W
OG0001644	genemark-haw-_s280-processed-gene-0.19-mRNA-1_1&gene=genemark-haw-_s280-processed-gene-0.19&CDS=1-3501	YPR049C
OG0001645	augustus_masked-haw-_s280-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-haw-_s280-processed-gene-0.7&CDS=1-1863	YML042W
OG0001646	snap_masked-haw-_s281-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s281-processed-gene-0.2&CDS=1-3171	YMR189W
OG0001647	snap_masked-haw-_s284-processed-gene-0.159-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.159&CDS=1-1113	YKR038C
OG0001648	genemark-haw-_s284-processed-gene-0.96-mRNA-1_1&gene=genemark-haw-_s284-processed-gene-0.96&CDS=1-315	YGL030W
OG0001649	genemark-haw-_s284-processed-gene-0.64-mRNA-1_1&gene=genemark-haw-_s284-processed-gene-0.64&CDS=1-1638	YNL275W
OG0001650	augustus_masked-haw-_s284-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-haw-_s284-processed-gene-0.35&CDS=1-1158	YBR057C
OG0001651	augustus_masked-haw-_s284-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-haw-_s284-processed-gene-0.4&CDS=1-1233	YLR116W
OG0001652	snap_masked-haw-_s284-processed-gene-0.131-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.131&CDS=1-1155	YGL213C
OG0001653	genemark-haw-_s284-processed-gene-0.69-mRNA-1_1&gene=genemark-haw-_s284-processed-gene-0.69&CDS=1-2697	YLR382C
OG0001654	snap_masked-haw-_s284-processed-gene-0.168-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.168&CDS=1-2265	YGR150C
OG0001655	snap_masked-haw-_s284-processed-gene-0.169-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.169&CDS=1-1926	YLR143W
OG0001656	snap_masked-haw-_s284-processed-gene-0.134-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.134&CDS=1-564	YBR189W
OG0001657	snap_masked-haw-_s284-processed-gene-0.135-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.135&CDS=1-1983	YKL179C
OG0001658	snap_masked-haw-_s284-processed-gene-0.170-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.170&CDS=1-594	YPR165W
OG0001659	snap_masked-haw-_s284-processed-gene-0.171-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.171&CDS=1-948	YOL093W
OG0001660	snap_masked-haw-_s284-processed-gene-0.138-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.138&CDS=1-1428	YOL072W
OG0001661	snap_masked-haw-_s284-processed-gene-0.178-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.178&CDS=1-2181	YLR047C
OG0001662	snap_masked-haw-_s284-processed-gene-0.179-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.179&CDS=1-516	YMR071C
