	Metschnikowia_santaceciliae	Saccharomyces_cerevisiae
OG0001827	genemark-sce_s360-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s360-processed-gene-0.1&CDS=1-2319	YJR090C
OG0001828	genemark-sce_s363-processed-gene-0.3-mRNA-1_1&gene=genemark-sce_s363-processed-gene-0.3&CDS=1-1581	YER025W
OG0001829	genemark-sce_s363-processed-gene-0.5-mRNA-1_1&gene=genemark-sce_s363-processed-gene-0.5&CDS=1-2289	YKL213C
OG0001830	maker-sce_s363-snap-gene-0.11-mRNA-1_1&gene=maker-sce_s363-snap-gene-0.11&CDS=1-1188	YJR122W
OG0001831	genemark-sce_s367-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s367-processed-gene-0.12&CDS=1-2967	YKL205W
OG0001832	genemark-sce_s373-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s373-processed-gene-0.10&CDS=1-846	YGR158C
OG0001833	snap_masked-sce_s374-processed-gene-0.17-mRNA-1_1&gene=snap_masked-sce_s374-processed-gene-0.17&CDS=1-1089	YHR034C
OG0001834	genemark-sce_s374-processed-gene-0.58-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.58&CDS=1-2124	YDL141W
OG0001835	genemark-sce_s374-processed-gene-0.59-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.59&CDS=1-381	YDL008W
OG0001836	genemark-sce_s374-processed-gene-0.60-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.60&CDS=1-1047	YNR041C
OG0001837	augustus_masked-sce_s374-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-sce_s374-processed-gene-0.46&CDS=1-4017	YDR495C
OG0001838	genemark-sce_s374-processed-gene-0.62-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.62&CDS=1-1938	YDR143C
OG0001839	genemark-sce_s374-processed-gene-0.78-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.78&CDS=1-825	YGL050W
OG0001840	augustus_masked-sce_s374-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-sce_s374-processed-gene-0.48&CDS=1-3768	YLR309C
OG0001841	genemark-sce_s374-processed-gene-0.63-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.63&CDS=1-1104	YJL053W
OG0001842	augustus_masked-sce_s374-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-sce_s374-processed-gene-0.50&CDS=1-789	YEL021W
OG0001843	genemark-sce_s374-processed-gene-0.66-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.66&CDS=1-2310	YMR075W
OG0001844	genemark-sce_s374-processed-gene-0.67-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.67&CDS=1-1290	YMR062C
OG0001845	genemark-sce_s374-processed-gene-0.84-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.84&CDS=1-825	YDL114W
OG0001846	genemark-sce_s374-processed-gene-0.86-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.86&CDS=1-639	YOR115C
OG0001847	genemark-sce_s379-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s379-processed-gene-0.2&CDS=1-1221	YDR427W
OG0001848	genemark-sce_s38-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s38-processed-gene-0.20&CDS=1-1311	YDR148C
OG0001849	genemark-sce_s385-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.12&CDS=1-891	YCL009C
OG0001850	maker-sce_s385-augustus-gene-0.63-mRNA-1_1&gene=maker-sce_s385-augustus-gene-0.63&CDS=1-2718	YGR231C
OG0001851	genemark-sce_s385-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.2&CDS=1-2670	YJL092W
OG0001852	genemark-sce_s385-processed-gene-0.15-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.15&CDS=1-594	YDL135C
OG0001853	snap_masked-sce_s385-processed-gene-0.36-mRNA-1_1&gene=snap_masked-sce_s385-processed-gene-0.36&CDS=1-3123	YDL190C
OG0001854	genemark-sce_s385-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.18&CDS=1-825	YDL193W
OG0001855	genemark-sce_s385-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.19&CDS=1-2397	YDL148C
OG0001856	genemark-sce_s385-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.20&CDS=1-2697	YDL149W
OG0001857	genemark-sce_s385-processed-gene-0.21-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.21&CDS=1-1305	YER061C
OG0001858	genemark-sce_s385-processed-gene-0.9-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.9&CDS=1-1662	YDR212W
OG0001859	genemark-sce_s385-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.23&CDS=1-1236	YDL128W
OG0001860	maker-sce_s385-snap-gene-0.31-mRNA-1_1&gene=maker-sce_s385-snap-gene-0.31&CDS=1-3210	YGR175C
OG0001861	augustus_masked-sce_s385-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-sce_s385-processed-gene-0.91&CDS=1-4245	YGL156W
OG0001862	genemark-sce_s393-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s393-processed-gene-0.6&CDS=1-3534	YPL217C
OG0001863	augustus_masked-sce_s393-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sce_s393-processed-gene-0.14&CDS=1-1548	YGL138C
OG0001864	augustus_masked-sce_s393-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-sce_s393-processed-gene-0.25&CDS=1-252	YMR286W
OG0001865	snap_masked-sce_s393-processed-gene-0.31-mRNA-1_1&gene=snap_masked-sce_s393-processed-gene-0.31&CDS=1-3252	YOR349W
OG0001866	genemark-sce_s393-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s393-processed-gene-0.13&CDS=1-1551	YJL153C
OG0001867	genemark-sce_s394-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s394-processed-gene-0.6&CDS=1-2661	YLL026W
OG0001868	genemark-sce_s394-processed-gene-0.7-mRNA-1_1&gene=genemark-sce_s394-processed-gene-0.7&CDS=1-735	YPR016C
OG0001869	augustus_masked-sce_s394-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sce_s394-processed-gene-0.4&CDS=1-5967	YLR305C
OG0001870	genemark-sce_s398-processed-gene-0.7-mRNA-1_1&gene=genemark-sce_s398-processed-gene-0.7&CDS=1-1431	YDL103C
OG0001871	genemark-sce_s398-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s398-processed-gene-0.8&CDS=1-1878	YHL032C
OG0001872	genemark-sce_s399-processed-gene-0.39-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.39&CDS=1-957	YOR287C
OG0001873	genemark-sce_s399-processed-gene-0.57-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.57&CDS=1-546	YOR285W
OG0001874	genemark-sce_s399-processed-gene-0.59-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.59&CDS=1-957	YOR221C
OG0001875	genemark-sce_s399-processed-gene-0.40-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.40&CDS=1-906	YDR174W
OG0001876	genemark-sce_s399-processed-gene-0.60-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.60&CDS=1-2295	YGR245C
OG0001877	maker-sce_s399-snap-gene-0.77-mRNA-1_1&gene=maker-sce_s399-snap-gene-0.77&CDS=1-1197	YGR246C
OG0001878	genemark-sce_s399-processed-gene-0.62-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.62&CDS=1-1302	YHR169W
OG0001879	genemark-sce_s399-processed-gene-0.42-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.42&CDS=1-1575	YHR168W
OG0001880	genemark-sce_s399-processed-gene-0.43-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.43&CDS=1-1521	YPL122C
OG0001881	genemark-sce_s399-processed-gene-0.44-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.44&CDS=1-3477	YOR207C
OG0001882	genemark-sce_s399-processed-gene-0.46-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.46&CDS=1-1545	YPL133C
OG0001883	genemark-sce_s399-processed-gene-0.65-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.65&CDS=1-2166	YOR206W
OG0001884	genemark-sce_s399-processed-gene-0.67-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.67&CDS=1-852	YPL134C
OG0001885	genemark-sce_s399-processed-gene-0.68-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.68&CDS=1-873	YOR223W
OG0001886	genemark-sce_s399-processed-gene-0.48-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.48&CDS=1-516	YJR025C
OG0001887	genemark-sce_s399-processed-gene-0.70-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.70&CDS=1-2526	YDR089W
OG0001888	genemark-sce_s399-processed-gene-0.51-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.51&CDS=1-4251	YJR137C
OG0001889	augustus_masked-sce_s399-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-sce_s399-processed-gene-0.92&CDS=1-783	YHR200W
OG0001890	genemark-sce_s399-processed-gene-0.72-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.72&CDS=1-819	YMR048W
OG0001891	genemark-sce_s399-processed-gene-0.55-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.55&CDS=1-1095	YJR141W
OG0001892	augustus_masked-sce_s399-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-sce_s399-processed-gene-0.113&CDS=1-1203	YHR201C
OG0001893	genemark-sce_s399-processed-gene-0.74-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.74&CDS=1-2244	YJR143C
OG0001894	genemark-sce_s4-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s4-processed-gene-0.13&CDS=1-1170	YDR435C
OG0001895	genemark-sce_s4-processed-gene-0.15-mRNA-1_1&gene=genemark-sce_s4-processed-gene-0.15&CDS=1-741	YML014W
OG0001896	augustus_masked-sce_s40-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s40-processed-gene-0.0&CDS=1-5265	YFL033C
OG0001897	genemark-sce_s40-processed-gene-0.11-mRNA-1_1&gene=genemark-sce_s40-processed-gene-0.11&CDS=1-891	YLR059C
OG0001898	genemark-sce_s40-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s40-processed-gene-0.8&CDS=1-474	YLR050C
OG0001899	genemark-sce_s40-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s40-processed-gene-0.12&CDS=1-258	YGR037C
OG0001900	genemark-sce_s40-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s40-processed-gene-0.13&CDS=1-1641	YGL244W
OG0001901	genemark-sce_s406-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s406-processed-gene-0.22&CDS=1-1404	YDR235W
OG0001902	genemark-sce_s406-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s406-processed-gene-0.28&CDS=1-966	YLR354C
OG0001903	augustus_masked-sce_s406-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-sce_s406-processed-gene-0.39&CDS=1-642	YPR113W
OG0001904	augustus_masked-sce_s406-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-sce_s406-processed-gene-0.46&CDS=1-1737	YFR021W
OG0001905	genemark-sce_s406-processed-gene-0.33-mRNA-1_1&gene=genemark-sce_s406-processed-gene-0.33&CDS=1-444	YFR011C
OG0001906	genemark-sce_s406-processed-gene-0.27-mRNA-1_1&gene=genemark-sce_s406-processed-gene-0.27&CDS=1-303	YPL098C
OG0001907	augustus_masked-sce_s406-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-sce_s406-processed-gene-0.49&CDS=1-1191	YPL103C
OG0001908	genemark-sce_s409-processed-gene-0.7-mRNA-1_1&gene=genemark-sce_s409-processed-gene-0.7&CDS=1-2592	YER070W
OG0001909	augustus_masked-sce_s409-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sce_s409-processed-gene-0.1&CDS=1-2319	YJL212C
OG0001910	genemark-sce_s409-processed-gene-0.9-mRNA-1_1&gene=genemark-sce_s409-processed-gene-0.9&CDS=1-1110	YIL067C
OG0001911	genemark-sce_s409-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s409-processed-gene-0.12&CDS=1-1173	YJR076C
OG0001912	genemark-sce_s409-processed-gene-0.11-mRNA-1_1&gene=genemark-sce_s409-processed-gene-0.11&CDS=1-753	YJR144W
OG0001913	genemark-sce_s410-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s410-processed-gene-0.22&CDS=1-1392	YAR003W
OG0001914	snap_masked-sce_s410-processed-gene-0.6-mRNA-1_1&gene=snap_masked-sce_s410-processed-gene-0.6&CDS=1-4071	YAL002W
OG0001915	genemark-sce_s410-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s410-processed-gene-0.18&CDS=1-2691	YGL008C
OG0001916	genemark-sce_s411-processed-gene-0.15-mRNA-1_1&gene=genemark-sce_s411-processed-gene-0.15&CDS=1-2022	YJL090C
OG0001917	snap_masked-sce_s411-processed-gene-0.43-mRNA-1_1&gene=snap_masked-sce_s411-processed-gene-0.43&CDS=1-5436	YMR176W
OG0001918	genemark-sce_s411-processed-gene-0.5-mRNA-1_1&gene=genemark-sce_s411-processed-gene-0.5&CDS=1-1722	YDL210W
OG0001919	genemark-sce_s411-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s411-processed-gene-0.10&CDS=1-447	YML094W
OG0001920	augustus_masked-sce_s411-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-sce_s411-processed-gene-0.32&CDS=1-213	YNL024C-A
OG0001921	genemark-sce_s411-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s411-processed-gene-0.23&CDS=1-2142	YIL091C
OG0001922	genemark-sce_s412-processed-gene-0.27-mRNA-1_1&gene=genemark-sce_s412-processed-gene-0.27&CDS=1-1674	YMR297W
OG0001923	maker-sce_s412-augustus-gene-0.23-mRNA-1_1&gene=maker-sce_s412-augustus-gene-0.23&CDS=1-5544	YJL050W
OG0001924	snap_masked-sce_s412-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sce_s412-processed-gene-0.5&CDS=1-1344	YNL217W
OG0001925	genemark-sce_s412-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s412-processed-gene-0.31&CDS=1-1782	YNL216W
OG0001926	genemark-sce_s416-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s416-processed-gene-0.20&CDS=1-1488	YHR113W
OG0001927	genemark-sce_s416-processed-gene-0.21-mRNA-1_1&gene=genemark-sce_s416-processed-gene-0.21&CDS=1-1554	YBL103C
OG0001928	genemark-sce_s416-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s416-processed-gene-0.22&CDS=1-1578	YOR119C
OG0001929	snap_masked-sce_s416-processed-gene-0.7-mRNA-1_1&gene=snap_masked-sce_s416-processed-gene-0.7&CDS=1-645	YDR367W
OG0001930	genemark-sce_s416-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s416-processed-gene-0.18&CDS=1-2118	YOR118W
OG0001931	augustus_masked-sce_s416-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sce_s416-processed-gene-0.2&CDS=1-2064	YDR365C
OG0001932	genemark-sce_s417-processed-gene-0.4-mRNA-1_1&gene=genemark-sce_s417-processed-gene-0.4&CDS=1-1386	YMR140W
OG0001933	genemark-sce_s42-processed-gene-0.52-mRNA-1_1&gene=genemark-sce_s42-processed-gene-0.52&CDS=1-414	YOL127W
OG0001934	snap_masked-sce_s42-processed-gene-0.7-mRNA-1_1&gene=snap_masked-sce_s42-processed-gene-0.7&CDS=1-2445	YKR090W
OG0001935	genemark-sce_s42-processed-gene-0.75-mRNA-1_1&gene=genemark-sce_s42-processed-gene-0.75&CDS=1-891	YKR088C
OG0001936	genemark-sce_s42-processed-gene-0.59-mRNA-1_1&gene=genemark-sce_s42-processed-gene-0.59&CDS=1-864	YJL068C
OG0001937	genemark-sce_s42-processed-gene-0.76-mRNA-1_1&gene=genemark-sce_s42-processed-gene-0.76&CDS=1-1296	YLR287C
OG0001938	genemark-sce_s42-processed-gene-0.77-mRNA-1_1&gene=genemark-sce_s42-processed-gene-0.77&CDS=1-1986	YOR181W
OG0001939	genemark-sce_s42-processed-gene-0.78-mRNA-1_1&gene=genemark-sce_s42-processed-gene-0.78&CDS=1-735	YJL063C
OG0001940	genemark-sce_s42-processed-gene-0.79-mRNA-1_1&gene=genemark-sce_s42-processed-gene-0.79&CDS=1-270	YLR262C-A
OG0001941	snap_masked-sce_s42-processed-gene-0.23-mRNA-1_1&gene=snap_masked-sce_s42-processed-gene-0.23&CDS=1-1035	YBR265W
OG0001942	genemark-sce_s42-processed-gene-0.81-mRNA-1_1&gene=genemark-sce_s42-processed-gene-0.81&CDS=1-864	YLR439W
OG0001943	augustus_masked-sce_s42-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-sce_s42-processed-gene-0.100&CDS=1-261	YLR438C-A
OG0001944	snap_masked-sce_s42-processed-gene-0.45-mRNA-1_1&gene=snap_masked-sce_s42-processed-gene-0.45&CDS=1-4632	YML059C
OG0001945	genemark-sce_s42-processed-gene-0.71-mRNA-1_1&gene=genemark-sce_s42-processed-gene-0.71&CDS=1-2262	YLR352W
OG0001946	maker-sce_s42-snap-gene-0.1-mRNA-1_1&gene=maker-sce_s42-snap-gene-0.1&CDS=1-378	YPR017C
OG0001947	snap_masked-sce_s420-processed-gene-0.6-mRNA-1_1&gene=snap_masked-sce_s420-processed-gene-0.6&CDS=1-975	YML004C
OG0001948	genemark-sce_s420-processed-gene-0.9-mRNA-1_1&gene=genemark-sce_s420-processed-gene-0.9&CDS=1-891	YBR176W
OG0001949	genemark-sce_s420-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s420-processed-gene-0.10&CDS=1-3357	YGR274C
OG0001950	genemark-sce_s421-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s421-processed-gene-0.6&CDS=1-1962	YBR121C
OG0001951	genemark-sce_s421-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s421-processed-gene-0.8&CDS=1-1884	YHR078W
OG0001952	genemark-sce_s421-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s421-processed-gene-0.1&CDS=1-705	YDR296W
OG0001953	genemark-sce_s421-processed-gene-0.3-mRNA-1_1&gene=genemark-sce_s421-processed-gene-0.3&CDS=1-1335	YKL145W
OG0001954	genemark-sce_s421-processed-gene-0.9-mRNA-1_1&gene=genemark-sce_s421-processed-gene-0.9&CDS=1-588	YKL144C
OG0001955	snap_masked-sce_s423-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sce_s423-processed-gene-0.0&CDS=1-4389	YBR097W
OG0001956	genemark-sce_s423-processed-gene-0.9-mRNA-1_1&gene=genemark-sce_s423-processed-gene-0.9&CDS=1-450	YPR062W
OG0001957	genemark-sce_s423-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s423-processed-gene-0.10&CDS=1-1158	YPR056W
OG0001958	genemark-sce_s43-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.22&CDS=1-1113	YKR038C
OG0001959	genemark-sce_s43-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.23&CDS=1-315	YGL030W
OG0001960	genemark-sce_s43-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.2&CDS=1-1638	YNL275W
OG0001961	augustus_masked-sce_s43-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-sce_s43-processed-gene-0.71&CDS=1-1146	YBR057C
OG0001962	genemark-sce_s43-processed-gene-0.4-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.4&CDS=1-1494	YLR116W
OG0001963	genemark-sce_s43-processed-gene-0.5-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.5&CDS=1-1155	YGL213C
OG0001964	snap_masked-sce_s43-processed-gene-0.95-mRNA-1_1&gene=snap_masked-sce_s43-processed-gene-0.95&CDS=1-2868	YLR382C
OG0001965	genemark-sce_s43-processed-gene-0.33-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.33&CDS=1-1923	YLR143W
OG0001966	genemark-sce_s43-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.8&CDS=1-567	YBR189W
OG0001967	genemark-sce_s43-processed-gene-0.9-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.9&CDS=1-1983	YKL179C
OG0001968	genemark-sce_s43-processed-gene-0.35-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.35&CDS=1-936	YOL093W
OG0001969	genemark-sce_s43-processed-gene-0.37-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.37&CDS=1-921	YOL092W
OG0001970	genemark-sce_s43-processed-gene-0.11-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.11&CDS=1-1353	YPL083C
OG0001971	genemark-sce_s43-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.12&CDS=1-1428	YOL072W
OG0001972	genemark-sce_s43-processed-gene-0.42-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.42&CDS=1-2181	YLR047C
OG0001973	genemark-sce_s43-processed-gene-0.44-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.44&CDS=1-516	YMR071C
OG0001974	genemark-sce_s43-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.16&CDS=1-1233	YGR210C
OG0001975	genemark-sce_s43-processed-gene-0.17-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.17&CDS=1-1056	YJL145W
OG0001976	genemark-sce_s43-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.19&CDS=1-2910	YKL165C
OG0001977	genemark-sce_s43-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.20&CDS=1-1506	YKL211C
OG0001978	augustus_masked-sce_s43-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-sce_s43-processed-gene-1.97&CDS=1-1833	YKL212W
OG0001979	genemark-sce_s43-processed-gene-1.3-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.3&CDS=1-909	YJR077C
OG0001980	genemark-sce_s43-processed-gene-1.9-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.9&CDS=1-738	YER010C
OG0001981	genemark-sce_s43-processed-gene-1.11-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.11&CDS=1-1140	YPL203W
OG0001982	snap_masked-sce_s43-processed-gene-1.80-mRNA-1_1&gene=snap_masked-sce_s43-processed-gene-1.80&CDS=1-372	YER009W
OG0001983	genemark-sce_s43-processed-gene-1.33-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.33&CDS=1-834	YKR062W
OG0001984	genemark-sce_s43-processed-gene-1.34-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.34&CDS=1-1704	YBR203W
OG0001985	genemark-sce_s43-processed-gene-1.36-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.36&CDS=1-2049	YML096W
OG0001986	genemark-sce_s43-processed-gene-1.37-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.37&CDS=1-678	YOR078W
OG0001987	snap_masked-sce_s43-processed-gene-1.86-mRNA-1_1&gene=snap_masked-sce_s43-processed-gene-1.86&CDS=1-2313	YOR080W
OG0001988	augustus_masked-sce_s43-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-sce_s43-processed-gene-1.113&CDS=1-852	YOR079C
OG0001989	augustus_masked-sce_s43-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-sce_s43-processed-gene-1.114&CDS=1-2574	YKR079C
OG0001990	genemark-sce_s43-processed-gene-1.18-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.18&CDS=1-615	YIL009C-A
OG0001991	genemark-sce_s43-processed-gene-1.40-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.40&CDS=1-1083	YEL050C
OG0001992	genemark-sce_s43-processed-gene-1.20-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.20&CDS=1-612	YDR298C
OG0001993	genemark-sce_s43-processed-gene-1.21-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.21&CDS=1-1437	YIL039W
OG0001994	genemark-sce_s43-processed-gene-1.41-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.41&CDS=1-615	YIL010W
OG0001995	genemark-sce_s43-processed-gene-1.24-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.24&CDS=1-810	YOR278W
OG0001996	genemark-sce_s43-processed-gene-1.44-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.44&CDS=1-399	YOL012C
OG0001997	genemark-sce_s43-processed-gene-1.45-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.45&CDS=1-2124	YEL062W
OG0001998	genemark-sce_s43-processed-gene-2.98-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.98&CDS=1-1701	YLR259C
OG0001999	augustus_masked-sce_s43-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-sce_s43-processed-gene-2.55&CDS=1-3084	YML043C
OG0002000	genemark-sce_s43-processed-gene-2.100-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.100&CDS=1-1563	YOL013C
OG0002001	genemark-sce_s43-processed-gene-2.125-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.125&CDS=1-351	YMR074C
OG0002002	genemark-sce_s43-processed-gene-2.102-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.102&CDS=1-612	YLR262C
OG0002003	genemark-sce_s43-processed-gene-2.106-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.106&CDS=1-387	YBR269C
OG0002004	genemark-sce_s43-processed-gene-2.107-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.107&CDS=1-1290	YBR271W
OG0002005	augustus_masked-sce_s43-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-sce_s43-processed-gene-2.82&CDS=1-1368	YJL060W
OG0002006	augustus_masked-sce_s43-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-sce_s43-processed-gene-2.64&CDS=1-774	YJR113C
OG0002007	genemark-sce_s43-processed-gene-2.111-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.111&CDS=1-1323	YBL045C
OG0002008	genemark-sce_s43-processed-gene-2.130-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.130&CDS=1-1227	YHR005C
OG0002009	genemark-sce_s43-processed-gene-2.112-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.112&CDS=1-1461	YHR045W
OG0002010	snap_masked-sce_s43-processed-gene-2.37-mRNA-1_1&gene=snap_masked-sce_s43-processed-gene-2.37&CDS=1-291	YDR016C
OG0002011	genemark-sce_s43-processed-gene-2.113-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.113&CDS=1-993	YKL095W
OG0002012	maker-sce_s43-augustus-gene-2.96-mRNA-1_1&gene=maker-sce_s43-augustus-gene-2.96&CDS=1-4857	YIL068C
OG0002013	genemark-sce_s43-processed-gene-2.135-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.135&CDS=1-1572	YKL047W
OG0002014	genemark-sce_s43-processed-gene-2.136-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.136&CDS=1-342	YER072W
OG0002015	genemark-sce_s43-processed-gene-2.138-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.138&CDS=1-4131	YOR291W
