	Candida_versatilis	Saccharomyces_cerevisiae
OG0001103	-processed-gene-7.93-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.93&CDS=1-1698	YCR008W
OG0001104	-processed-gene-7.95-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.95&CDS=1-1347	YCL017C
OG0001105	-processed-gene-7.69-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.69&CDS=1-795	YNL003C
OG0001106	-processed-gene-7.96-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.96&CDS=1-984	YCL016C
OG0001107	-processed-gene-7.70-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.70&CDS=1-3867	YCL014W
OG0001108	-processed-gene-7.97-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.97&CDS=1-1143	YBL029W
OG0001109	-processed-gene-7.98-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.98&CDS=1-1059	YML048W
OG0001110	-processed-gene-7.99-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.99&CDS=1-1143	YLR191W
OG0001111	-processed-gene-7.71-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.71&CDS=1-660	YDL212W
OG0001112	-processed-gene-7.101-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.101&CDS=1-1671	YJR110W
OG0001113	-processed-gene-7.102-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.102&CDS=1-789	YNL177C
OG0001114	-processed-gene-7.73-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.73&CDS=1-462	YBL049W
OG0001115	-processed-gene-7.159-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.159&CDS=1-1224	YLL036C
OG0001116	-processed-gene-7.103-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.103&CDS=1-1014	YHL029C
OG0001117	-processed-gene-7.77-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.77&CDS=1-4686	YHL030W
OG0001118	-processed-gene-7.78-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.78&CDS=1-7011	YKL203C
OG0001119	-processed-gene-7.104-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.104&CDS=1-288	YJL062W-A
OG0001120	-processed-gene-7.106-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.106&CDS=1-1122	YPL146C
OG0001121	-processed-gene-7.107-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.107&CDS=1-579	YMR269W
OG0001122	-processed-gene-7.109-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.109&CDS=1-1047	YJR072C
OG0001123	-processed-gene-7.81-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.81&CDS=1-600	YKL206C
OG0001124	-processed-gene-7.110-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.110&CDS=1-747	YKL207W
OG0001125	-augustus-gene-7.2-mRNA-1_1&gene=maker-gi|1002316100|dbj|BCJV01000002.1|-augustus-gene-7.2&CDS=1-2184	YJR064W
OG0001126	-processed-gene-7.113-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.113&CDS=1-3159	YGR098C
OG0001127	-snap-gene-7.121-mRNA-1_1&gene=maker-gi|1002316100|dbj|BCJV01000002.1|-snap-gene-7.121&CDS=1-1446	YNR053C
OG0001128	-processed-gene-7.87-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.87&CDS=1-1065	YNR051C
OG0001129	-processed-gene-7.115-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.115&CDS=1-1791	YNL045W
OG0001130	-processed-gene-7.117-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.117&CDS=1-612	YOL135C
OG0001131	-processed-gene-7.88-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.88&CDS=1-1248	YMR062C
OG0001132	-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.127&CDS=1-285	YDR322C-A
OG0001133	-processed-gene-8.95-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.95&CDS=1-1068	YDR322W
OG0001134	-processed-gene-8.65-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.65&CDS=1-1245	YJR006W
OG0001135	-processed-gene-8.66-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.66&CDS=1-963	YML060W
OG0001136	-processed-gene-8.67-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.67&CDS=1-1332	YMR033W
OG0001137	-processed-gene-8.68-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.68&CDS=1-2370	YPL268W
OG0001138	-processed-gene-8.69-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.69&CDS=1-1356	YGL097W
OG0001139	-snap-gene-8.123-mRNA-1_1&gene=maker-gi|1002316100|dbj|BCJV01000002.1|-snap-gene-8.123&CDS=1-2709	YBR248C
OG0001140	-processed-gene-8.101-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.101&CDS=1-1047	YJR122W
OG0001141	-processed-gene-8.70-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.70&CDS=1-1245	YBL051C
OG0001142	-processed-gene-8.102-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.102&CDS=1-1239	YER087W
OG0001143	-processed-gene-8.42-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.42&CDS=1-1365	YDL122W
OG0001144	-processed-gene-8.72-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.72&CDS=1-990	YIL083C
OG0001145	-processed-gene-8.43-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.43&CDS=1-1239	YNL026W
OG0001146	-processed-gene-8.73-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.73&CDS=1-759	YHR177W
OG0001147	-processed-gene-8.74-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.74&CDS=1-1497	YGL014W
OG0001148	-processed-gene-8.104-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.104&CDS=1-1509	YDR120C
OG0001149	-processed-gene-8.15-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.15&CDS=1-600	YPR073C
OG0001150	-processed-gene-8.105-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.105&CDS=1-1842	YIL038C
OG0001151	-processed-gene-8.76-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.76&CDS=1-3882	YBR115C
OG0001152	-processed-gene-8.77-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.77&CDS=1-1188	YGR002C
OG0001153	-processed-gene-8.106-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.106&CDS=1-1317	YBL098W
OG0001154	-processed-gene-8.79-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.79&CDS=1-1080	YPR023C
OG0001155	-processed-gene-8.108-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.108&CDS=1-606	YIR009W
OG0001156	-processed-gene-8.81-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.81&CDS=1-471	YBL057C
OG0001157	-processed-gene-8.82-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.82&CDS=1-1299	YDR448W
OG0001158	-processed-gene-8.111-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.111&CDS=1-1146	YDR449C
OG0001159	-processed-gene-8.112-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.112&CDS=1-342	YDR510W
OG0001160	-snap-gene-8.122-mRNA-1_1&gene=maker-gi|1002316100|dbj|BCJV01000002.1|-snap-gene-8.122&CDS=1-2370	YKL101W
OG0001161	-processed-gene-8.85-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.85&CDS=1-870	YNL097C
OG0001162	-processed-gene-8.86-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.86&CDS=1-654	YOR101W
OG0001163	-augustus-gene-8.181-mRNA-1_1&gene=maker-gi|1002316100|dbj|BCJV01000002.1|-augustus-gene-8.181&CDS=1-1353	YNL223W
OG0001164	-processed-gene-8.87-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.87&CDS=1-1704	YNL224C
OG0001165	-processed-gene-8.117-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.117&CDS=1-1173	YER051W
OG0001166	-processed-gene-8.88-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.88&CDS=1-468	YER050C
OG0001167	-processed-gene-8.89-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.89&CDS=1-939	YLR026C
OG0001168	-processed-gene-8.90-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.90&CDS=1-1443	YOR118W
OG0001169	-processed-gene-8.119-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.119&CDS=1-642	YLR025W
OG0001170	-processed-gene-8.121-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.121&CDS=1-3255	YMR129W
OG0001171	-processed-gene-9.122-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.122&CDS=1-1731	YDL074C
OG0001172	-processed-gene-9.123-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.123&CDS=1-3255	YHR164C
OG0001173	-processed-gene-9.127-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.127&CDS=1-660	YOR281C
OG0001174	-processed-gene-9.70-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.70&CDS=1-2796	YNL273W
OG0001175	-processed-gene-9.31-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.31&CDS=1-1680	YEL064C
OG0001176	-processed-gene-9.153-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.153&CDS=1-807	YGR205W
OG0001177	-processed-gene-9.154-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.154&CDS=1-771	YGR207C
OG0001178	-processed-gene-9.155-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.155&CDS=1-2289	YLR045C
OG0001179	-processed-gene-9.131-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.131&CDS=1-321	YGL030W
OG0001180	-processed-gene-9.161-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.161&CDS=1-528	YOR215C
OG0001181	-processed-gene-9.133-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.133&CDS=1-1332	YMR023C
OG0001182	-processed-gene-9.163-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.163&CDS=1-1320	YOR216C
OG0001183	-processed-gene-9.134-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.134&CDS=1-2403	YOR217W
OG0001184	-processed-gene-9.101-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.101&CDS=1-2550	YPL125W
OG0001185	-augustus-gene-9.63-mRNA-1_1&gene=maker-gi|1002316100|dbj|BCJV01000002.1|-augustus-gene-9.63&CDS=1-3336	YOR209C
OG0001186	-processed-gene-9.167-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.167&CDS=1-2298	YPR112C
OG0001187	-processed-gene-9.137-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.137&CDS=1-1533	YNL127W
OG0001188	-processed-gene-9.168-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.168&CDS=1-1671	YEL013W
OG0001189	-processed-gene-9.138-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.138&CDS=1-1926	YIL107C
OG0001190	-processed-gene-9.139-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.139&CDS=1-888	YGR112W
OG0001191	-processed-gene-9.171-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.171&CDS=1-1869	YIL108W
OG0001192	-processed-gene-9.172-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.172&CDS=1-2568	YNL049C
OG0001193	-processed-gene-9.176-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.176&CDS=1-1803	YDR194C
OG0001194	-processed-gene-9.144-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.144&CDS=1-2259	YLR241W
OG0001195	-processed-gene-9.177-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.177&CDS=1-690	YLR242C
OG0001196	-processed-gene-9.178-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.178&CDS=1-741	YLR192C
OG0001197	-processed-gene-9.180-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.180&CDS=1-1845	YLR234W
OG0001198	-processed-gene-9.57-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.57&CDS=1-930	YGR060W
OG0001199	-processed-gene-9.181-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.181&CDS=1-633	YGR066C
OG0001200	-processed-gene-9.182-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.182&CDS=1-789	YPR060C
OG0001201	-processed-gene-9.150-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-9.150&CDS=1-3618	YBR097W
OG0001202	-processed-gene-10.49-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.49&CDS=1-1575	YOR310C
OG0001203	-processed-gene-10.102-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.102&CDS=1-2067	YMR108W
OG0001204	-processed-gene-10.50-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.50&CDS=1-330	YLR295C
OG0001205	-processed-gene-10.51-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.51&CDS=1-1344	YFL016C
OG0001206	-processed-gene-10.74-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.74&CDS=1-537	YHR100C
OG0001207	-processed-gene-10.53-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.53&CDS=1-1479	YDR266C
OG0001208	-processed-gene-10.75-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.75&CDS=1-807	YDR265W
OG0001209	-processed-gene-10.54-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.54&CDS=1-3270	YOR296W
OG0001210	-processed-gene-10.76-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.76&CDS=1-1566	YDR419W
OG0001211	-processed-gene-10.8-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.8&CDS=1-846	YDR414C
OG0001212	-processed-gene-10.77-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.77&CDS=1-624	YDR412W
OG0001213	-processed-gene-10.131-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.131&CDS=1-2529	YHR079C
OG0001214	-processed-gene-10.56-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.56&CDS=1-3540	YHR186C
OG0001215	-processed-gene-10.58-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.58&CDS=1-1029	YOL052C
OG0001216	-processed-gene-10.59-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.59&CDS=1-3297	YMR247C
OG0001217	-processed-gene-10.60-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.60&CDS=1-615	YML001W
OG0001218	-processed-gene-10.119-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.119&CDS=1-1029	YBR004C
OG0001219	-processed-gene-10.82-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.82&CDS=1-558	YDR013W
OG0001220	-processed-gene-10.83-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.83&CDS=1-1347	YDR299W
OG0001221	-processed-gene-10.35-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.35&CDS=1-2517	YKL143W
OG0001222	-processed-gene-10.86-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.86&CDS=1-2013	YKL078W
OG0001223	-processed-gene-10.87-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.87&CDS=1-414	YIL087C
OG0001224	-processed-gene-10.67-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.67&CDS=1-1239	YPL181W
OG0001225	-processed-gene-10.71-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.71&CDS=1-513	YDR404C
OG0001226	-processed-gene-10.92-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.92&CDS=1-1128	YJR136C
OG0001227	-processed-gene-10.93-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.93&CDS=1-267	YJR135W-A
OG0001228	-processed-gene-10.72-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.72&CDS=1-1122	YIL116W
OG0001229	-processed-gene-10.95-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.95&CDS=1-1506	YOR149C
OG0001230	-processed-gene-10.73-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.73&CDS=1-759	YOR145C
OG0001231	-processed-gene-11.141-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.141&CDS=1-2730	YHR027C
OG0001232	-processed-gene-11.114-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.114&CDS=1-504	YJR025C
OG0001233	-processed-gene-11.143-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.143&CDS=1-2313	YHR028C
OG0001234	-processed-gene-11.144-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.144&CDS=1-1161	YHR030C
OG0001235	-processed-gene-11.3-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.3&CDS=1-426	YOR224C
OG0001236	-processed-gene-11.33-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.33&CDS=1-594	YHR026W
OG0001237	-processed-gene-11.118-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.118&CDS=1-750	YBL064C
OG0001238	-processed-gene-11.34-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.34&CDS=1-2565	YBL008W
OG0001239	-processed-gene-11.7-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.7&CDS=1-666	YOR039W
OG0001240	-processed-gene-11.119-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.119&CDS=1-975	YJR076C
OG0001241	-processed-gene-11.150-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.150&CDS=1-1053	YDR268W
OG0001242	-processed-gene-11.151-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.151&CDS=1-1239	YOR037W
OG0001243	-processed-gene-11.120-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.120&CDS=1-981	YDR267C
OG0001244	-processed-gene-11.121-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.121&CDS=1-3804	YFL036W
OG0001245	-processed-gene-11.39-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.39&CDS=1-771	YFL034C-B
OG0001246	-processed-gene-11.123-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.123&CDS=1-2598	YJL154C
OG0001247	-processed-gene-11.152-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.152&CDS=1-852	YOL002C
OG0001248	-processed-gene-11.124-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.124&CDS=1-1368	YJL194W
OG0001249	-processed-gene-11.127-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.127&CDS=1-669	YNL265C
OG0001250	-processed-gene-11.156-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.156&CDS=1-909	YGR046W
OG0001251	-processed-gene-11.101-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.101&CDS=1-1281	YHL020C
OG0001252	-processed-gene-11.128-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.128&CDS=1-1020	YDL020C
OG0001253	-processed-gene-11.129-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.129&CDS=1-1299	YGL112C
OG0001254	-processed-gene-11.49-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.49&CDS=1-402	YDR511W
OG0001255	-augustus-gene-11.172-mRNA-1_1&gene=maker-gi|1002316100|dbj|BCJV01000002.1|-augustus-gene-11.172&CDS=1-1815	YKL190W
OG0001256	-processed-gene-11.133-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.133&CDS=1-822	YPR147C
OG0001257	-processed-gene-11.134-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.134&CDS=1-2031	YPL147W
OG0001258	-processed-gene-11.166-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.166&CDS=1-510	YPL067C
OG0001259	-processed-gene-11.169-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.169&CDS=1-549	YJR074W
OG0001260	-processed-gene-11.137-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.137&CDS=1-1485	YGL252C
OG0001261	-processed-gene-11.170-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.170&CDS=1-1461	YGL253W
OG0001262	-processed-gene-11.138-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.138&CDS=1-1182	YPR108W
OG0001263	-processed-gene-11.139-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.139&CDS=1-540	YOL008W
OG0001264	-processed-gene-11.140-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.140&CDS=1-1497	YMR004W
OG0001265	-augustus-gene-12.128-mRNA-1_1&gene=maker-gi|1002316100|dbj|BCJV01000002.1|-augustus-gene-12.128&CDS=1-2256	YOR065W
OG0001266	-processed-gene-12.8-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-12.8&CDS=1-1257	YNL317W
OG0001267	-processed-gene-12.38-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-12.38&CDS=1-1020	YPR118W
OG0001268	-processed-gene-12.9-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-12.9&CDS=1-939	YJR070C
OG0001269	-processed-gene-12.39-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-12.39&CDS=1-372	YJR063W
OG0001270	-processed-gene-12.10-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-12.10&CDS=1-1512	YCR072C
OG0001271	-processed-gene-12.11-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-12.11&CDS=1-453	YCR071C
