	Metschnikowia_matae_maris	Saccharomyces_cerevisiae
OG0001109	snap_masked-mar-_s161-processed-gene-0.118-mRNA-1_1&gene=snap_masked-mar-_s161-processed-gene-0.118&CDS=1-723	YDR279W
OG0001110	snap_masked-mar-_s161-processed-gene-0.87-mRNA-1_1&gene=snap_masked-mar-_s161-processed-gene-0.87&CDS=1-615	YFR001W
OG0001111	augustus_masked-mar-_s161-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-mar-_s161-processed-gene-0.186&CDS=1-903	YGR101W
OG0001112	snap_masked-mar-_s161-processed-gene-0.88-mRNA-1_1&gene=snap_masked-mar-_s161-processed-gene-0.88&CDS=1-315	YDL130W
OG0001113	snap_masked-mar-_s161-processed-gene-0.92-mRNA-1_1&gene=snap_masked-mar-_s161-processed-gene-0.92&CDS=1-2691	YOR211C
OG0001114	augustus_masked-mar-_s161-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-mar-_s161-processed-gene-0.188&CDS=1-2415	YPL126W
OG0001115	augustus_masked-mar-_s161-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-mar-_s161-processed-gene-0.156&CDS=1-216	YOR210W
OG0001116	snap_masked-mar-_s161-processed-gene-0.127-mRNA-1_1&gene=snap_masked-mar-_s161-processed-gene-0.127&CDS=1-1128	YNL005C
OG0001117	snap_masked-mar-_s166-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mar-_s166-processed-gene-0.19&CDS=1-2148	YJL036W
OG0001118	snap_masked-mar-_s166-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mar-_s166-processed-gene-0.25&CDS=1-2544	YHR154W
OG0001119	augustus_masked-mar-_s172-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mar-_s172-processed-gene-0.20&CDS=1-3318	YMR288W
OG0001120	snap_masked-mar-_s172-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mar-_s172-processed-gene-0.14&CDS=1-807	YHR185C
OG0001121	snap_masked-mar-_s172-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mar-_s172-processed-gene-0.4&CDS=1-3462	YGR258C
OG0001122	snap_masked-mar-_s172-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mar-_s172-processed-gene-0.6&CDS=1-2523	YGR261C
OG0001123	snap_masked-mar-_s172-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mar-_s172-processed-gene-0.18&CDS=1-1200	YPL123C
OG0001124	snap_masked-mar-_s172-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mar-_s172-processed-gene-0.19&CDS=1-1341	YER043C
OG0001125	snap_masked-mar-_s18-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-0.14&CDS=1-2220	YNL272C
OG0001126	snap_masked-mar-_s18-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-0.15&CDS=1-5820	YNL271C
OG0001127	snap_masked-mar-_s18-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-0.17&CDS=1-882	YGL161C
OG0001128	augustus_masked-mar-_s18-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-mar-_s18-processed-gene-1.27&CDS=1-1542	YJR152W
OG0001129	snap_masked-mar-_s18-processed-gene-1.52-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-1.52&CDS=1-3531	YLR067C
OG0001130	snap_masked-mar-_s18-processed-gene-1.64-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-1.64&CDS=1-570	YLR066W
OG0001131	genemark-mar-_s18-processed-gene-1.17-mRNA-1_1&gene=genemark-mar-_s18-processed-gene-1.17&CDS=1-2253	YNL247W
OG0001132	augustus_masked-mar-_s18-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-mar-_s18-processed-gene-1.42&CDS=1-2292	YLR069C
OG0001133	snap_masked-mar-_s18-processed-gene-1.68-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-1.68&CDS=1-3414	YBR023C
OG0001134	snap_masked-mar-_s18-processed-gene-1.69-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-1.69&CDS=1-4749	YNL297C
OG0001135	snap_masked-mar-_s18-processed-gene-1.57-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-1.57&CDS=1-2604	YGR157W
OG0001136	snap_masked-mar-_s18-processed-gene-1.71-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-1.71&CDS=1-951	YGR158C
OG0001137	snap_masked-mar-_s181-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mar-_s181-processed-gene-0.20&CDS=1-660	YDR410C
OG0001138	augustus_masked-mar-_s181-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mar-_s181-processed-gene-0.11&CDS=1-915	YMR241W
OG0001139	augustus_masked-mar-_s181-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mar-_s181-processed-gene-0.16&CDS=1-1362	YOR307C
OG0001140	snap_masked-mar-_s181-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mar-_s181-processed-gene-0.21&CDS=1-1935	YDR456W
OG0001141	augustus_masked-mar-_s181-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mar-_s181-processed-gene-0.17&CDS=1-2067	YML031W
OG0001142	snap_masked-mar-_s181-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mar-_s181-processed-gene-0.29&CDS=1-918	YOR158W
OG0001143	snap_masked-mar-_s184-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mar-_s184-processed-gene-0.5&CDS=1-1449	YNL071W
OG0001144	snap_masked-mar-_s185-processed-gene-0.62-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.62&CDS=1-1056	YDR268W
OG0001145	snap_masked-mar-_s185-processed-gene-0.63-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.63&CDS=1-753	YOR039W
OG0001146	snap_masked-mar-_s185-processed-gene-0.46-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.46&CDS=1-2958	YOR038C
OG0001147	snap_masked-mar-_s185-processed-gene-0.47-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.47&CDS=1-1173	YDR267C
OG0001148	augustus_masked-mar-_s185-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-0.4&CDS=1-462	YJR104C
OG0001149	snap_masked-mar-_s185-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.48&CDS=1-1938	YDR311W
OG0001150	snap_masked-mar-_s185-processed-gene-0.49-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.49&CDS=1-909	YHR088W
OG0001151	snap_masked-mar-_s185-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.50&CDS=1-3693	YDR335W
OG0001152	snap_masked-mar-_s185-processed-gene-0.67-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.67&CDS=1-1044	YIL110W
OG0001153	augustus_masked-mar-_s185-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-0.8&CDS=1-2865	YIL107C
OG0001154	snap_masked-mar-_s185-processed-gene-0.52-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.52&CDS=1-2649	YNL054W
OG0001155	augustus_masked-mar-_s185-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-0.10&CDS=1-2109	YDR034C
OG0001156	snap_masked-mar-_s185-processed-gene-0.69-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.69&CDS=1-1767	YFL053W
OG0001157	snap_masked-mar-_s185-processed-gene-0.54-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.54&CDS=1-2502	YML099C
OG0001158	snap_masked-mar-_s185-processed-gene-0.70-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.70&CDS=1-1608	YML130C
OG0001159	snap_masked-mar-_s185-processed-gene-0.71-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.71&CDS=1-1605	YGL078C
OG0001160	snap_masked-mar-_s185-processed-gene-0.72-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.72&CDS=1-1554	YFL055W
OG0001161	snap_masked-mar-_s185-processed-gene-0.73-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.73&CDS=1-207	YCL005W-A
OG0001162	snap_masked-mar-_s185-processed-gene-0.56-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.56&CDS=1-1443	YCL008C
OG0001163	snap_masked-mar-_s185-processed-gene-0.57-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.57&CDS=1-1410	YLR175W
OG0001164	snap_masked-mar-_s185-processed-gene-0.58-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.58&CDS=1-1662	YBL019W
OG0001165	snap_masked-mar-_s185-processed-gene-0.76-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.76&CDS=1-705	YER148W
OG0001166	snap_masked-mar-_s185-processed-gene-0.81-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.81&CDS=1-792	YCR009C
OG0001167	maker-mar-_s185-snap-gene-0.1-mRNA-1_1&gene=maker-mar-_s185-snap-gene-0.1&CDS=1-3033	YER171W
OG0001168	snap_masked-mar-_s185-processed-gene-0.86-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.86&CDS=1-1716	YDR389W
OG0001169	snap_masked-mar-_s185-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.60&CDS=1-960	YPL209C
OG0001170	snap_masked-mar-_s185-processed-gene-0.87-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-0.87&CDS=1-1473	YGL066W
OG0001171	maker-mar-_s185-augustus-gene-1.162-mRNA-1_1&gene=maker-mar-_s185-augustus-gene-1.162&CDS=1-3606	YPL207W
OG0001172	snap_masked-mar-_s185-processed-gene-1.8-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.8&CDS=1-903	YBR187W
OG0001173	snap_masked-mar-_s185-processed-gene-1.10-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.10&CDS=1-618	YBR193C
OG0001174	augustus_masked-mar-_s185-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-1.119&CDS=1-1083	YBR192W
OG0001175	snap_masked-mar-_s185-processed-gene-1.12-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.12&CDS=1-5709	YPL082C
OG0001176	snap_masked-mar-_s185-processed-gene-1.13-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.13&CDS=1-1614	YOR241W
OG0001177	snap_masked-mar-_s185-processed-gene-1.29-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.29&CDS=1-2601	YPL150W
OG0001178	maker-mar-_s185-snap-gene-1.0-mRNA-1_1&gene=maker-mar-_s185-snap-gene-1.0&CDS=1-1968	YPL029W
OG0001179	snap_masked-mar-_s185-processed-gene-1.15-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.15&CDS=1-540	YDR248C
OG0001180	snap_masked-mar-_s185-processed-gene-1.30-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.30&CDS=1-1203	YPL028W
OG0001181	augustus_masked-mar-_s185-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-1.124&CDS=1-582	YPL041C
OG0001182	snap_masked-mar-_s185-processed-gene-1.31-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.31&CDS=1-1224	YMR139W
OG0001183	snap_masked-mar-_s185-processed-gene-1.33-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.33&CDS=1-936	YFL029C
OG0001184	snap_masked-mar-_s185-processed-gene-1.34-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.34&CDS=1-1347	YPL042C
OG0001185	snap_masked-mar-_s185-processed-gene-1.35-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.35&CDS=1-1104	YLR056W
OG0001186	augustus_masked-mar-_s185-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-1.143&CDS=1-1059	YDL205C
OG0001187	snap_masked-mar-_s185-processed-gene-1.38-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.38&CDS=1-3204	YPL022W
OG0001188	snap_masked-mar-_s185-processed-gene-1.39-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.39&CDS=1-1893	YPL023C
OG0001189	snap_masked-mar-_s185-processed-gene-1.41-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.41&CDS=1-2559	YCL030C
OG0001190	snap_masked-mar-_s185-processed-gene-1.42-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.42&CDS=1-1770	YDR244W
OG0001191	augustus_masked-mar-_s185-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-1.150&CDS=1-3432	YPL016W
OG0001192	snap_masked-mar-_s185-processed-gene-1.45-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.45&CDS=1-1074	YDR245W
OG0001193	genemark-mar-_s185-processed-gene-1.103-mRNA-1_1&gene=genemark-mar-_s185-processed-gene-1.103&CDS=1-3219	YDR265W
OG0001194	snap_masked-mar-_s185-processed-gene-1.49-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.49&CDS=1-3531	YNL233W
OG0001195	snap_masked-mar-_s185-processed-gene-1.50-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.50&CDS=1-1056	YNL234W
OG0001196	snap_masked-mar-_s185-processed-gene-1.22-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.22&CDS=1-753	YGL123W
OG0001197	augustus_masked-mar-_s185-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-1.159&CDS=1-1389	YGL122C
OG0001198	snap_masked-mar-_s185-processed-gene-1.23-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.23&CDS=1-1578	YIL142W
OG0001199	snap_masked-mar-_s185-processed-gene-1.55-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.55&CDS=1-1668	YLL018C
OG0001200	snap_masked-mar-_s185-processed-gene-2.106-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.106&CDS=1-1470	YOL049W
OG0001201	snap_masked-mar-_s185-processed-gene-2.107-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.107&CDS=1-1215	YOL031C
OG0001202	maker-mar-_s185-augustus-gene-2.1-mRNA-1_1&gene=maker-mar-_s185-augustus-gene-2.1&CDS=1-2265	YKR074W
OG0001203	augustus_masked-mar-_s185-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-2.4&CDS=1-846	YOR060C
OG0001204	snap_masked-mar-_s185-processed-gene-2.112-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.112&CDS=1-852	YNL284C
OG0001205	snap_masked-mar-_s185-processed-gene-2.140-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.140&CDS=1-2196	YHR072W
OG0001206	snap_masked-mar-_s185-processed-gene-2.113-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.113&CDS=1-3510	YGR090W
OG0001207	snap_masked-mar-_s185-processed-gene-2.115-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.115&CDS=1-999	YPR110C
OG0001208	snap_masked-mar-_s185-processed-gene-2.141-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.141&CDS=1-636	YDL018C
OG0001209	maker-mar-_s185-snap-gene-2.103-mRNA-1_1&gene=maker-mar-_s185-snap-gene-2.103&CDS=1-948	YGR165W
OG0001210	snap_masked-mar-_s185-processed-gene-2.116-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.116&CDS=1-1809	YDL017W
OG0001211	maker-mar-_s185-augustus-gene-2.0-mRNA-1_1&gene=maker-mar-_s185-augustus-gene-2.0&CDS=1-4380	YKR081C
OG0001212	snap_masked-mar-_s185-processed-gene-2.144-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.144&CDS=1-318	YKR083C
OG0001213	snap_masked-mar-_s185-processed-gene-2.145-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.145&CDS=1-900	YOR074C
OG0001214	snap_masked-mar-_s185-processed-gene-2.147-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.147&CDS=1-672	YBL095W
OG0001215	maker-mar-_s185-snap-gene-2.102-mRNA-1_1&gene=maker-mar-_s185-snap-gene-2.102&CDS=1-3006	YIL031W
OG0001216	snap_masked-mar-_s185-processed-gene-2.122-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.122&CDS=1-1380	YBL098W
OG0001217	snap_masked-mar-_s185-processed-gene-2.123-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.123&CDS=1-1278	YIL022W
OG0001218	snap_masked-mar-_s185-processed-gene-2.124-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.124&CDS=1-1371	YER122C
OG0001219	snap_masked-mar-_s185-processed-gene-2.127-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.127&CDS=1-1200	YBR026C
OG0001220	snap_masked-mar-_s185-processed-gene-2.128-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.128&CDS=1-1947	YIR027C
OG0001221	snap_masked-mar-_s185-processed-gene-2.129-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.129&CDS=1-441	YDR512C
OG0001222	snap_masked-mar-_s185-processed-gene-2.149-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.149&CDS=1-663	YIL118W
OG0001223	snap_masked-mar-_s185-processed-gene-2.131-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.131&CDS=1-1578	YOR149C
OG0001224	snap_masked-mar-_s185-processed-gene-2.150-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.150&CDS=1-1215	YDR394W
OG0001225	snap_masked-mar-_s185-processed-gene-2.133-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.133&CDS=1-2766	YGR100W
OG0001226	snap_masked-mar-_s185-processed-gene-2.134-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.134&CDS=1-924	YIL021W
OG0001227	snap_masked-mar-_s185-processed-gene-2.153-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.153&CDS=1-819	YIL020C
OG0001228	snap_masked-mar-_s185-processed-gene-2.135-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.135&CDS=1-990	YIL019W
OG0001229	snap_masked-mar-_s185-processed-gene-2.136-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.136&CDS=1-2139	YBL097W
OG0001230	snap_masked-mar-_s185-processed-gene-2.137-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.137&CDS=1-2049	YPR024W
OG0001231	snap_masked-mar-_s185-processed-gene-2.154-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.154&CDS=1-2007	YNL251C
OG0001232	snap_masked-mar-_s185-processed-gene-2.138-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.138&CDS=1-822	YNL252C
OG0001233	snap_masked-mar-_s185-processed-gene-3.24-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.24&CDS=1-1242	YAL042W
OG0001234	snap_masked-mar-_s185-processed-gene-3.22-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.22&CDS=1-2364	YAL041W
OG0001235	snap_masked-mar-_s185-processed-gene-3.23-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.23&CDS=1-2070	YOR356W
OG0001236	snap_masked-mar-_s185-processed-gene-3.35-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.35&CDS=1-1635	YOR355W
OG0001237	snap_masked-mar-_s185-processed-gene-3.26-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.26&CDS=1-903	YHL013C
OG0001238	snap_masked-mar-_s185-processed-gene-3.27-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.27&CDS=1-798	YAL039C
OG0001239	snap_masked-mar-_s185-processed-gene-3.29-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.29&CDS=1-1197	YNL292W
OG0001240	snap_masked-mar-_s185-processed-gene-3.41-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.41&CDS=1-2067	YKR001C
OG0001241	snap_masked-mar-_s185-processed-gene-3.32-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.32&CDS=1-1287	YOL052C
OG0001242	snap_masked-mar-_s185-processed-gene-3.43-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.43&CDS=1-897	YBR085W
OG0001243	snap_masked-mar-_s185-processed-gene-3.45-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.45&CDS=1-453	YDR092W
OG0001244	snap_masked-mar-_s185-processed-gene-3.46-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.46&CDS=1-2793	YMR080C
OG0001245	snap_masked-mar-_s185-processed-gene-4.0-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.0&CDS=1-3534	YKL092C
OG0001246	snap_masked-mar-_s185-processed-gene-4.1-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.1&CDS=1-897	YMR079W
OG0001247	snap_masked-mar-_s185-processed-gene-4.2-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.2&CDS=1-2427	YMR078C
OG0001248	maker-mar-_s185-snap-gene-4.74-mRNA-1_1&gene=maker-mar-_s185-snap-gene-4.74&CDS=1-2280	YMR100W
OG0001249	snap_masked-mar-_s185-processed-gene-4.40-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.40&CDS=1-4776	YGR098C
OG0001250	snap_masked-mar-_s185-processed-gene-4.7-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.7&CDS=1-1143	YJL171C
OG0001251	snap_masked-mar-_s185-processed-gene-4.42-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.42&CDS=1-747	YGL136C
OG0001252	snap_masked-mar-_s185-processed-gene-4.8-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.8&CDS=1-1836	YJR002W
OG0001253	maker-mar-_s185-augustus-gene-4.228-mRNA-1_1&gene=maker-mar-_s185-augustus-gene-4.228&CDS=1-3891	YOL021C
OG0001254	snap_masked-mar-_s185-processed-gene-4.44-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.44&CDS=1-606	YDR487C
OG0001255	snap_masked-mar-_s185-processed-gene-4.45-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.45&CDS=1-1281	YOL097C
OG0001256	augustus_masked-mar-_s185-processed-gene-4.168-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-4.168&CDS=1-2568	YOL078W
OG0001257	snap_masked-mar-_s185-processed-gene-4.15-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.15&CDS=1-864	YOL077C
OG0001258	augustus_masked-mar-_s185-processed-gene-4.205-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-4.205&CDS=1-627	YKL119C
OG0001259	snap_masked-mar-_s185-processed-gene-4.50-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.50&CDS=1-948	YBR146W
OG0001260	snap_masked-mar-_s185-processed-gene-4.51-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.51&CDS=1-3375	YCR033W
OG0001261	snap_masked-mar-_s185-processed-gene-4.52-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.52&CDS=1-1461	YJL194W
OG0001262	snap_masked-mar-_s185-processed-gene-4.22-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.22&CDS=1-639	YBR154C
OG0001263	snap_masked-mar-_s185-processed-gene-4.53-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.53&CDS=1-741	YBR153W
OG0001264	snap_masked-mar-_s185-processed-gene-4.56-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.56&CDS=1-900	YDR361C
OG0001265	snap_masked-mar-_s185-processed-gene-4.24-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.24&CDS=1-1314	YDR364C
OG0001266	snap_masked-mar-_s185-processed-gene-4.25-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.25&CDS=1-2169	YPR031W
OG0001267	snap_masked-mar-_s185-processed-gene-4.60-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.60&CDS=1-1683	YOR128C
OG0001268	augustus_masked-mar-_s185-processed-gene-4.215-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-4.215&CDS=1-1359	YOR301W
OG0001269	genemark-mar-_s185-processed-gene-4.141-mRNA-1_1&gene=genemark-mar-_s185-processed-gene-4.141&CDS=1-189	YER180C-A
OG0001270	maker-mar-_s185-snap-gene-4.76-mRNA-1_1&gene=maker-mar-_s185-snap-gene-4.76&CDS=1-651	YDR381W
OG0001271	snap_masked-mar-_s185-processed-gene-4.29-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.29&CDS=1-1881	YOR129C
OG0001272	snap_masked-mar-_s185-processed-gene-4.30-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.30&CDS=1-855	YDL052C
OG0001273	snap_masked-mar-_s185-processed-gene-4.31-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.31&CDS=1-3873	YLL021W
OG0001274	snap_masked-mar-_s185-processed-gene-4.63-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.63&CDS=1-1143	YDR161W
OG0001275	snap_masked-mar-_s185-processed-gene-4.33-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.33&CDS=1-672	YLR145W
OG0001276	snap_masked-mar-_s185-processed-gene-4.34-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.34&CDS=1-936	YLR146C
OG0001277	snap_masked-mar-_s185-processed-gene-4.66-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.66&CDS=1-1734	YJL201W
OG0001278	snap_masked-mar-_s185-processed-gene-4.36-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.36&CDS=1-2835	YHR027C
OG0001279	snap_masked-mar-_s185-processed-gene-4.67-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.67&CDS=1-588	YHR026W
OG0001280	snap_masked-mar-_s185-processed-gene-4.70-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.70&CDS=1-1158	YDR459C
OG0001281	snap_masked-mar-_s185-processed-gene-4.73-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.73&CDS=1-1389	YPL120W
OG0001282	augustus_masked-mar-_s187-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mar-_s187-processed-gene-0.23&CDS=1-1419	YPL247C
OG0001283	augustus_masked-mar-_s187-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-mar-_s187-processed-gene-0.25&CDS=1-429	YNL185C
OG0001284	augustus_masked-mar-_s187-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-mar-_s187-processed-gene-0.28&CDS=1-1347	YNL181W
OG0001285	snap_masked-mar-_s189-processed-gene-0.160-mRNA-1_1&gene=snap_masked-mar-_s189-processed-gene-0.160&CDS=1-969	YPL031C
