	Saccharomyces_cerevisiae	yHMPu5000035684_Kloeckera_hatyaiensis
OG0001531	YHR064C	augustus_masked-flattened_line_8-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.34&CDS=1-1683
OG0001532	YHR065C	augustus_masked-flattened_line_8-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.112&CDS=1-1503
OG0001533	YHR068W	augustus_masked-flattened_line_8-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.107&CDS=1-1200
OG0001534	YHR069C	augustus_masked-flattened_line_8-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.78&CDS=1-1167
OG0001535	YHR070W	augustus_masked-flattened_line_8-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.106&CDS=1-1584
OG0001536	YHR072W	augustus_masked-flattened_line_94-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.63&CDS=1-2178
OG0001537	YHR073W	snap_masked-flattened_line_94-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.80&CDS=1-2730
OG0001538	YHR074W	augustus_masked-flattened_line_8-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.65&CDS=1-2259
OG0001539	YHR075C	genemark-flattened_line_8-processed-gene-1.131-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.131&CDS=1-1239
OG0001540	YHR076W	augustus_masked-flattened_line_6-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.91&CDS=1-933
OG0001541	YHR078W	augustus_masked-flattened_line_30-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.29&CDS=1-1698
OG0001542	YHR079C	augustus_masked-flattened_line_30-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.30&CDS=1-3768
OG0001543	YHR082C	augustus_masked-flattened_line_12-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.117&CDS=1-2856
OG0001544	YHR084W	augustus_masked-flattened_line_12-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.116&CDS=1-1953
OG0001545	YHR085W	augustus_masked-flattened_line_12-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.115&CDS=1-1167
OG0001546	YHR087W	augustus_masked-flattened_line_12-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.101&CDS=1-351
OG0001547	YHR088W	augustus_masked-flattened_line_8-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.95&CDS=1-981
OG0001548	YHR089C	augustus_masked-flattened_line_8-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.66&CDS=1-699
OG0001549	YHR090C	augustus_masked-flattened_line_8-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.86&CDS=1-960
OG0001550	YHR098C	augustus_masked-flattened_line_30-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.59&CDS=1-2886
OG0001551	YHR099W	augustus_masked-flattened_line_30-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.26&CDS=1-11829
OG0001552	YHR100C	augustus_masked-flattened_line_30-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.23&CDS=1-627
OG0001553	YHR101C	snap_masked-flattened_line_28-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.86&CDS=1-939
OG0001554	YHR102W	augustus_masked-flattened_line_28-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.214&CDS=1-4959
OG0001555	YHR104W	augustus_masked-flattened_line_4-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.155&CDS=1-1008
OG0001556	YHR105W	snap_masked-flattened_line_58-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.50&CDS=1-594
OG0001557	YHR107C	augustus_masked-flattened_line_58-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.81&CDS=1-1236
OG0001558	YHR111W	genemark-flattened_line_58-processed-gene-0.129-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.129&CDS=1-1239
OG0001559	YHR112C	augustus_masked-flattened_line_6-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.140&CDS=1-1233
OG0001560	YHR113W	augustus_masked-flattened_line_58-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.80&CDS=1-1521
OG0001561	YHR114W	snap_masked-flattened_line_42-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.93&CDS=1-1833
OG0001562	YHR116W	augustus_masked-flattened_line_42-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.15&CDS=1-387
OG0001563	YHR119W	augustus_masked-flattened_line_42-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.18&CDS=1-3930
OG0001564	YHR122W	augustus_masked-flattened_line_42-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.21&CDS=1-720
OG0001565	YHR124W	augustus_masked-flattened_line_42-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.23&CDS=1-2082
OG0001566	YHR128W	augustus_masked-flattened_line_34-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.6&CDS=1-690
OG0001567	YHR132C	augustus_masked-flattened_line_34-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.44&CDS=1-1383
OG0001568	YHR134W	augustus_masked-flattened_line_34-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.11&CDS=1-822
OG0001569	YHR140W	augustus_masked-flattened_line_0-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.20&CDS=1-708
OG0001570	YHR143W-A	augustus_masked-flattened_line_6-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.59&CDS=1-210
OG0001571	YHR144C	genemark-flattened_line_6-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.116&CDS=1-1119
OG0001572	YHR147C	augustus_masked-flattened_line_10-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.40&CDS=1-831
OG0001573	YHR148W	augustus_masked-flattened_line_10-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.63&CDS=1-543
OG0001574	YHR151C	augustus_masked-flattened_line_222-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_222-processed-gene-0.5&CDS=1-1614
OG0001575	YHR158C	snap_masked-flattened_line_0-processed-gene-1.26-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.26&CDS=1-3282
OG0001576	YHR164C	augustus_masked-flattened_line_0-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.45&CDS=1-4557
OG0001577	YHR165C	augustus_masked-flattened_line_0-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.7&CDS=1-11241
OG0001578	YHR166C	augustus_masked-flattened_line_0-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.6&CDS=1-1707
OG0001579	YHR170W	augustus_masked-flattened_line_0-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.8&CDS=1-1536
OG0001580	YHR171W	augustus_masked-flattened_line_0-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.9&CDS=1-1728
OG0001581	YHR172W	genemark-flattened_line_0-processed-gene-2.130-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.130&CDS=1-2466
OG0001582	YHR175W	augustus_masked-flattened_line_0-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.13&CDS=1-435
OG0001583	YHR176W	augustus_masked-flattened_line_22-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.45&CDS=1-1509
OG0001584	YHR178W	augustus_masked-flattened_line_0-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.39&CDS=1-2307
OG0001585	YHR181W	augustus_masked-flattened_line_0-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.14&CDS=1-711
OG0001586	YHR186C	augustus_masked-flattened_line_50-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.80&CDS=1-4962
OG0001587	YHR187W	augustus_masked-flattened_line_50-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.56&CDS=1-981
OG0001588	YHR188C	augustus_masked-flattened_line_50-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.81&CDS=1-1935
OG0001589	YHR189W	snap_masked-flattened_line_0-processed-gene-1.28-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.28&CDS=1-900
OG0001590	YHR190W	maker-flattened_line_2-augustus-gene-0.94-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-0.94&CDS=1-2844
OG0001591	YHR191C	augustus_masked-flattened_line_10-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.69&CDS=1-465
OG0001592	YHR192W	augustus_masked-flattened_line_10-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.51&CDS=1-768
OG0001593	YHR194W	augustus_masked-flattened_line_94-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.38&CDS=1-1590
OG0001594	YHR196W	augustus_masked-flattened_line_94-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.55&CDS=1-2100
OG0001595	YHR197W	augustus_masked-flattened_line_10-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.168&CDS=1-2265
OG0001596	YHR200W	augustus_masked-flattened_line_10-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.137&CDS=1-696
OG0001597	YHR201C	augustus_masked-flattened_line_10-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.76&CDS=1-1236
OG0001598	YHR202W	augustus_masked-flattened_line_10-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.73&CDS=1-1752
OG0001599	YHR204W	augustus_masked-flattened_line_10-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.56&CDS=1-2418
OG0001600	YHR208W	augustus_masked-flattened_line_10-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.70&CDS=1-1194
OG0001601	YIL002C	augustus_masked-flattened_line_130-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.68&CDS=1-3189
OG0001602	YIL003W	augustus_masked-flattened_line_130-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.56&CDS=1-840
OG0001603	YIL004C	augustus_masked-flattened_line_130-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.65&CDS=1-432
OG0001604	YIL005W	genemark-flattened_line_130-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_130-processed-gene-0.23&CDS=1-2346
OG0001605	YIL008W	augustus_masked-flattened_line_48-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.79&CDS=1-315
OG0001606	YIL010W	augustus_masked-flattened_line_32-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.174&CDS=1-573
OG0001607	YIL016W	augustus_masked-flattened_line_32-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.170&CDS=1-543
OG0001608	YIL019W	augustus_masked-flattened_line_32-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.165&CDS=1-1023
OG0001609	YIL020C	augustus_masked-flattened_line_32-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.193&CDS=1-825
OG0001610	YIL021W	augustus_masked-flattened_line_32-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.164&CDS=1-1080
OG0001611	YIL022W	augustus_masked-flattened_line_32-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.163&CDS=1-1392
OG0001612	YIL026C	augustus_masked-flattened_line_32-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.211&CDS=1-2868
OG0001613	YIL027C	augustus_masked-flattened_line_116-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.53&CDS=1-399
OG0001614	YIL030C	augustus_masked-flattened_line_116-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.52&CDS=1-3849
OG0001615	YIL031W	snap_masked-flattened_line_116-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.7&CDS=1-3621
OG0001616	YIL033C	augustus_masked-flattened_line_38-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.81&CDS=1-1287
OG0001617	YIL039W	snap_masked-flattened_line_60-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.18&CDS=1-1554
OG0001618	YIL042C	augustus_masked-flattened_line_24-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.202&CDS=1-2328
OG0001619	YIL043C	augustus_masked-flattened_line_24-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.203&CDS=1-942
OG0001620	YIL044C	augustus_masked-flattened_line_24-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.205&CDS=1-840
OG0001621	YIL046W	augustus_masked-flattened_line_40-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.56&CDS=1-2250
OG0001622	YIL047C	augustus_masked-flattened_line_60-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.66&CDS=1-2907
OG0001623	YIL048W	maker-flattened_line_60-snap-gene-0.38-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.38&CDS=1-3957
OG0001624	YIL051C	augustus_masked-flattened_line_60-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.44&CDS=1-414
OG0001625	YIL062C	augustus_masked-flattened_line_40-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.92&CDS=1-480
OG0001626	YIL063C	augustus_masked-flattened_line_40-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.91&CDS=1-894
OG0001627	YIL064W	augustus_masked-flattened_line_40-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.66&CDS=1-789
OG0001628	YIL065C	augustus_masked-flattened_line_40-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.90&CDS=1-480
OG0001629	YIL067C	augustus_masked-flattened_line_40-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.65&CDS=1-2223
OG0001630	YIL074C	augustus_masked-flattened_line_118-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.41&CDS=1-1398
OG0001631	YIL075C	augustus_masked-flattened_line_118-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.42&CDS=1-2916
OG0001632	YIL078W	augustus_masked-flattened_line_38-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.114&CDS=1-2223
OG0001633	YIL083C	augustus_masked-flattened_line_6-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.131&CDS=1-996
OG0001634	YIL084C	augustus_masked-flattened_line_6-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.130&CDS=1-1266
OG0001635	YIL087C	augustus_masked-flattened_line_6-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.127&CDS=1-489
OG0001636	YIL088C	augustus_masked-flattened_line_6-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.126&CDS=1-1296
OG0001637	YIL090W	augustus_masked-flattened_line_6-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.121&CDS=1-2313
OG0001638	YIL091C	augustus_masked-flattened_line_6-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.85&CDS=1-2439
OG0001639	YIL093C	augustus_masked-flattened_line_6-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.86&CDS=1-801
OG0001640	YIL094C	augustus_masked-flattened_line_6-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.87&CDS=1-1101
OG0001641	YIL096C	augustus_masked-flattened_line_6-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.90&CDS=1-984
OG0001642	YIL098C	augustus_masked-flattened_line_6-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.92&CDS=1-495
OG0001643	YIL103W	genemark-flattened_line_6-processed-gene-1.196-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.196&CDS=1-1341
OG0001644	YIL104C	augustus_masked-flattened_line_6-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.82&CDS=1-2025
OG0001645	YIL106W	augustus_masked-flattened_line_6-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.63&CDS=1-807
OG0001646	YIL108W	augustus_masked-flattened_line_6-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.62&CDS=1-2751
OG0001647	YIL110W	augustus_masked-flattened_line_146-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.39&CDS=1-1056
OG0001648	YIL112W	augustus_masked-flattened_line_146-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.37&CDS=1-4068
OG0001649	YIL116W	augustus_masked-flattened_line_146-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.35&CDS=1-1155
OG0001650	YIL118W	augustus_masked-flattened_line_146-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.34&CDS=1-720
OG0001651	YIL124W	augustus_masked-flattened_line_34-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.29&CDS=1-975
OG0001652	YIL125W	augustus_masked-flattened_line_34-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.28&CDS=1-3075
OG0001653	YIL127C	augustus_masked-flattened_line_34-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.58&CDS=1-735
OG0001654	YIL128W	augustus_masked-flattened_line_34-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.25&CDS=1-3108
OG0001655	YIL129C	maker-flattened_line_34-snap-gene-0.67-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.67&CDS=1-8961
OG0001656	YIL130W	snap_masked-flattened_line_34-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.126&CDS=1-3423
OG0001657	YIL133C	augustus_masked-flattened_line_34-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.54&CDS=1-597
OG0001658	YIL134W	augustus_masked-flattened_line_34-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.24&CDS=1-897
OG0001659	YIL137C	augustus_masked-flattened_line_34-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.52&CDS=1-2649
OG0001660	YIL139C	augustus_masked-flattened_line_34-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.48&CDS=1-873
OG0001661	YIL140W	genemark-flattened_line_34-processed-gene-0.178-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.178&CDS=1-2214
OG0001662	YIL142W	augustus_masked-flattened_line_34-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.47&CDS=1-1593
OG0001663	YIL143C	snap_masked-flattened_line_48-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.48&CDS=1-2892
OG0001664	YIL147C	snap_masked-flattened_line_46-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.86&CDS=1-4092
OG0001665	YIL153W	genemark-flattened_line_46-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.133&CDS=1-1227
OG0001666	YIL154C	augustus_masked-flattened_line_46-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.43&CDS=1-1401
OG0001667	YIL156W-B	augustus_masked-flattened_line_46-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.42&CDS=1-255
OG0001668	YIL157C	augustus_masked-flattened_line_46-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.18&CDS=1-573
OG0001669	YIL164C	augustus_masked-flattened_line_14-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.49&CDS=1-975
OG0001670	YIR001C	augustus_masked-flattened_line_130-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.70&CDS=1-345
OG0001671	YIR002C	augustus_masked-flattened_line_210-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_210-processed-gene-0.10&CDS=1-2826
OG0001672	YIR004W	maker-flattened_line_130-snap-gene-0.49-mRNA-1_1&gene=maker-flattened_line_130-snap-gene-0.49&CDS=1-1515
OG0001673	YIR005W	augustus_masked-flattened_line_130-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.74&CDS=1-519
OG0001674	YIR006C	augustus_masked-flattened_line_130-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.59&CDS=1-3921
OG0001675	YIR008C	snap_masked-flattened_line_210-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_210-processed-gene-0.12&CDS=1-1266
OG0001676	YIR012W	augustus_masked-flattened_line_32-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.195&CDS=1-1320
OG0001677	YIR022W	augustus_masked-flattened_line_132-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.22&CDS=1-537
OG0001678	YIR023W	augustus_masked-flattened_line_132-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.24&CDS=1-2940
OG0001679	YIR026C	augustus_masked-flattened_line_132-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.39&CDS=1-1086
OG0001680	YIR027C	augustus_masked-flattened_line_76-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.73&CDS=1-1527
OG0001681	YIR029W	augustus_masked-flattened_line_10-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.158&CDS=1-2355
OG0001682	YIR032C	augustus_masked-flattened_line_22-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.17&CDS=1-549
OG0001683	YIR034C	augustus_masked-flattened_line_132-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.40&CDS=1-1122
OG0001684	YJL001W	augustus_masked-flattened_line_8-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.98&CDS=1-651
OG0001685	YJL002C	augustus_masked-flattened_line_8-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.72&CDS=1-1386
OG0001686	YJL003W	augustus_masked-flattened_line_8-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.97&CDS=1-372
OG0001687	YJL004C	augustus_masked-flattened_line_94-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.40&CDS=1-570
OG0001688	YJL005W	augustus_masked-flattened_line_94-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.58&CDS=1-5772
OG0001689	YJL008C	augustus_masked-flattened_line_82-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.73&CDS=1-1722
OG0001690	YJL010C	augustus_masked-flattened_line_134-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.37&CDS=1-2085
OG0001691	YJL011C	augustus_masked-flattened_line_80-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.71&CDS=1-435
OG0001692	YJL012C	snap_masked-flattened_line_80-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.14&CDS=1-2151
OG0001693	YJL014W	augustus_masked-flattened_line_80-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.70&CDS=1-1587
OG0001694	YJL024C	augustus_masked-flattened_line_10-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.143&CDS=1-552
OG0001695	YJL025W	augustus_masked-flattened_line_10-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.141&CDS=1-1791
OG0001696	YJL026W	augustus_masked-flattened_line_20-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.139&CDS=1-1245
OG0001697	YJL029C	augustus_masked-flattened_line_82-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.83&CDS=1-3468
OG0001698	YJL033W	augustus_masked-flattened_line_82-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.84&CDS=1-2352
OG0001699	YJL035C	snap_masked-flattened_line_8-processed-gene-1.20-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.20&CDS=1-798
OG0001700	YJL036W	augustus_masked-flattened_line_8-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.108&CDS=1-1323
