	Saccharomyces_cerevisiae	yHMPu5000034892_Ogataea_pilisensis
OG0001709	YHR001W-A	genemark-NODE_86_length_44896_cov_14.5394_ID_171-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_86_length_44896_cov_14.5394_ID_171-processed-gene-0.22&CDS=1-234
OG0001710	YHR002W	genemark-NODE_99_length_35761_cov_13.9641_ID_197-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_99_length_35761_cov_13.9641_ID_197-processed-gene-0.11&CDS=1-1323
OG0001711	YHR004C	genemark-NODE_78_length_50736_cov_14.6345_ID_155-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_78_length_50736_cov_14.6345_ID_155-processed-gene-0.5&CDS=1-1734
OG0001712	YHR005C	genemark-NODE_40_length_126251_cov_14.2008_ID_79-processed-gene-0.146-mRNA-1_1&gene=genemark-NODE_40_length_126251_cov_14.2008_ID_79-processed-gene-0.146&CDS=1-1359
OG0001713	YHR005C-A	snap_masked-NODE_84_length_45566_cov_15.9488_ID_167-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_84_length_45566_cov_15.9488_ID_167-processed-gene-0.22&CDS=1-279
OG0001714	YHR007C	genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.35&CDS=1-1599
OG0001715	YHR008C	genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.9&CDS=1-675
OG0001716	YHR009C	genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.110-mRNA-1_1&gene=genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.110&CDS=1-1812
OG0001717	YHR011W	genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.250-mRNA-1_1&gene=genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.250&CDS=1-1551
OG0001718	YHR012W	genemark-NODE_55_length_93248_cov_14.6245_ID_109-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_55_length_93248_cov_14.6245_ID_109-processed-gene-0.46&CDS=1-1023
OG0001719	YHR013C	genemark-NODE_55_length_93248_cov_14.6245_ID_109-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_55_length_93248_cov_14.6245_ID_109-processed-gene-0.63&CDS=1-651
OG0001720	YHR018C	genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.3-mRNA-1_1&gene=genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.3&CDS=1-1395
OG0001721	YHR024C	genemark-NODE_20_length_203651_cov_14.1089_ID_39-processed-gene-1.75-mRNA-1_1&gene=genemark-NODE_20_length_203651_cov_14.1089_ID_39-processed-gene-1.75&CDS=1-1464
OG0001722	YHR025W	genemark-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.23&CDS=1-1080
OG0001723	YHR026W	augustus_masked-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.4&CDS=1-588
OG0001724	YHR027C	genemark-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.17&CDS=1-2871
OG0001725	YHR029C	augustus_masked-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-1.91&CDS=1-951
OG0001726	YHR030C	genemark-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.22&CDS=1-1566
OG0001727	YHR031C	genemark-NODE_24_length_191322_cov_18.2082_ID_47-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_24_length_191322_cov_18.2082_ID_47-processed-gene-0.6&CDS=1-2205
OG0001728	YHR034C	genemark-NODE_104_length_31253_cov_15.1031_ID_207-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_104_length_31253_cov_15.1031_ID_207-processed-gene-0.31&CDS=1-1311
OG0001729	YHR036W	genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.42&CDS=1-1353
OG0001730	YHR037W	genemark-NODE_60_length_78788_cov_14.4425_ID_119-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_60_length_78788_cov_14.4425_ID_119-processed-gene-0.86&CDS=1-1815
OG0001731	YHR038W	genemark-NODE_115_length_21293_cov_15.6273_ID_229-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_115_length_21293_cov_15.6273_ID_229-processed-gene-0.8&CDS=1-798
OG0001732	YHR039C	genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.44&CDS=1-1926
OG0001733	YHR039C-A	genemark-NODE_59_length_84501_cov_15.2233_ID_117-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_59_length_84501_cov_15.2233_ID_117-processed-gene-0.69&CDS=1-318
OG0001734	YHR041C	genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-2.204-mRNA-1_1&gene=genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-2.204&CDS=1-888
OG0001735	YHR042W	genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.178-mRNA-1_1&gene=genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.178&CDS=1-2085
OG0001736	YHR045W	genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.62&CDS=1-1524
OG0001737	YHR048W	genemark-NODE_29_length_159323_cov_14.5535_ID_57-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_29_length_159323_cov_14.5535_ID_57-processed-gene-0.18&CDS=1-1782
OG0001738	YHR051W	maker-NODE_3_length_403670_cov_14.6937_ID_5-snap-gene-1.123-mRNA-1_1&gene=maker-NODE_3_length_403670_cov_14.6937_ID_5-snap-gene-1.123&CDS=1-441
OG0001739	YHR052W	genemark-NODE_56_length_91527_cov_14.5165_ID_111-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_56_length_91527_cov_14.5165_ID_111-processed-gene-0.63&CDS=1-1284
OG0001740	YHR058C	maker-NODE_2_length_407174_cov_14.0731_ID_3-snap-gene-1.0-mRNA-1_1&gene=maker-NODE_2_length_407174_cov_14.0731_ID_3-snap-gene-1.0&CDS=1-1200
OG0001741	YHR059W	genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-1.121-mRNA-1_1&gene=genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-1.121&CDS=1-561
OG0001742	YHR062C	genemark-NODE_26_length_183408_cov_14.1505_ID_51-processed-gene-0.195-mRNA-1_1&gene=genemark-NODE_26_length_183408_cov_14.1505_ID_51-processed-gene-0.195&CDS=1-891
OG0001743	YHR063C	genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-1.13-mRNA-1_1&gene=genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-1.13&CDS=1-1080
OG0001744	YHR064C	genemark-NODE_60_length_78788_cov_14.4425_ID_119-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_60_length_78788_cov_14.4425_ID_119-processed-gene-0.67&CDS=1-1605
OG0001745	YHR065C	maker-NODE_6_length_344941_cov_13.9826_ID_11-snap-gene-2.110-mRNA-1_1&gene=maker-NODE_6_length_344941_cov_13.9826_ID_11-snap-gene-2.110&CDS=1-3210
OG0001746	YHR067W	snap_masked-NODE_65_length_72876_cov_14.2786_ID_129-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_65_length_72876_cov_14.2786_ID_129-processed-gene-0.47&CDS=1-1068
OG0001747	YHR068W	genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-0.47&CDS=1-1116
OG0001748	YHR069C	genemark-NODE_60_length_78788_cov_14.4425_ID_119-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_60_length_78788_cov_14.4425_ID_119-processed-gene-0.83&CDS=1-1122
OG0001749	YHR070W	genemark-NODE_66_length_72620_cov_17.7422_ID_131-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_66_length_72620_cov_17.7422_ID_131-processed-gene-0.46&CDS=1-1515
OG0001750	YHR071W	genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.61&CDS=1-1053
OG0001751	YHR072W	genemark-NODE_83_length_45853_cov_15.1385_ID_165-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_83_length_45853_cov_15.1385_ID_165-processed-gene-0.6&CDS=1-2169
OG0001752	YHR072W-A	snap_masked-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-0.9&CDS=1-177
OG0001753	YHR073W	genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.24-mRNA-1_1&gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.24&CDS=1-3564
OG0001754	YHR074W	genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-0.78&CDS=1-2130
OG0001755	YHR075C	genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-0.98&CDS=1-1383
OG0001756	YHR076W	genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.37&CDS=1-1128
OG0001757	YHR077C	genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.39&CDS=1-3219
OG0001758	YHR078W	genemark-NODE_53_length_95441_cov_14.3676_ID_105-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_53_length_95441_cov_14.3676_ID_105-processed-gene-0.71&CDS=1-1794
OG0001759	YHR079C	maker-NODE_20_length_203651_cov_14.1089_ID_39-snap-gene-1.109-mRNA-1_1&gene=maker-NODE_20_length_203651_cov_14.1089_ID_39-snap-gene-1.109&CDS=1-3804
OG0001760	YHR081W	genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.180-mRNA-1_1&gene=genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.180&CDS=1-711
OG0001761	YHR084W	genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-3.46-mRNA-1_1&gene=genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-3.46&CDS=1-2331
OG0001762	YHR085W	genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.18&CDS=1-1203
OG0001763	YHR087W	genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.26&CDS=1-348
OG0001764	YHR088W	genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.177-mRNA-1_1&gene=genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.177&CDS=1-888
OG0001765	YHR089C	genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.113-mRNA-1_1&gene=genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.113&CDS=1-642
OG0001766	YHR098C	genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.21&CDS=1-2862
OG0001767	YHR099W	snap_masked-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-0.1&CDS=1-11397
OG0001768	YHR100C	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-0.62&CDS=1-609
OG0001769	YHR102W	genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.91&CDS=1-3630
OG0001770	YHR109W	genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.176-mRNA-1_1&gene=genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.176&CDS=1-1749
OG0001771	YHR110W	genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.135-mRNA-1_1&gene=genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.135&CDS=1-645
OG0001772	YHR111W	genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.136-mRNA-1_1&gene=genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.136&CDS=1-1395
OG0001773	YHR112C	genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.171-mRNA-1_1&gene=genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.171&CDS=1-1131
OG0001774	YHR113W	maker-NODE_11_length_237806_cov_15.2749_ID_21-snap-gene-1.116-mRNA-1_1&gene=maker-NODE_11_length_237806_cov_15.2749_ID_21-snap-gene-1.116&CDS=1-4563
OG0001775	YHR114W	genemark-NODE_25_length_186291_cov_14.9916_ID_49-processed-gene-0.174-mRNA-1_1&gene=genemark-NODE_25_length_186291_cov_14.9916_ID_49-processed-gene-0.174&CDS=1-1887
OG0001776	YHR116W	genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-0.73&CDS=1-435
OG0001777	YHR119W	genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-1.200-mRNA-1_1&gene=genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-1.200&CDS=1-3492
OG0001778	YHR120W	genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-1.198-mRNA-1_1&gene=genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-1.198&CDS=1-2943
OG0001779	YHR122W	genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-1.189-mRNA-1_1&gene=genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-1.189&CDS=1-720
OG0001780	YHR132C	genemark-NODE_118_length_18574_cov_14.4717_ID_235-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_118_length_18574_cov_14.4717_ID_235-processed-gene-0.10&CDS=1-1551
OG0001781	YHR134W	genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.40-mRNA-1_1&gene=genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.40&CDS=1-1149
OG0001782	YHR137W	genemark-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-1.136-mRNA-1_1&gene=genemark-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-1.136&CDS=1-1488
OG0001783	YHR140W	genemark-NODE_118_length_18574_cov_14.4717_ID_235-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_118_length_18574_cov_14.4717_ID_235-processed-gene-0.12&CDS=1-675
OG0001784	YHR143W-A	snap_masked-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-0.8&CDS=1-216
OG0001785	YHR144C	genemark-NODE_10_length_268378_cov_14.3927_ID_19-processed-gene-1.68-mRNA-1_1&gene=genemark-NODE_10_length_268378_cov_14.3927_ID_19-processed-gene-1.68&CDS=1-957
OG0001786	YHR147C	genemark-NODE_46_length_114098_cov_14.6674_ID_91-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_46_length_114098_cov_14.6674_ID_91-processed-gene-0.56&CDS=1-672
OG0001787	YHR148W	genemark-NODE_46_length_114098_cov_14.6674_ID_91-processed-gene-0.81-mRNA-1_1&gene=genemark-NODE_46_length_114098_cov_14.6674_ID_91-processed-gene-0.81&CDS=1-549
OG0001788	YHR150W	genemark-NODE_30_length_156807_cov_14.6393_ID_59-processed-gene-0.143-mRNA-1_1&gene=genemark-NODE_30_length_156807_cov_14.6393_ID_59-processed-gene-0.143&CDS=1-1914
OG0001789	YHR151C	genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.29&CDS=1-1527
OG0001790	YHR154W	genemark-NODE_48_length_105303_cov_14.6058_ID_95-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_48_length_105303_cov_14.6058_ID_95-processed-gene-0.117&CDS=1-2691
OG0001791	YHR159W	genemark-NODE_104_length_31253_cov_15.1031_ID_207-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_104_length_31253_cov_15.1031_ID_207-processed-gene-0.38&CDS=1-1869
OG0001792	YHR164C	genemark-NODE_89_length_43145_cov_17.7825_ID_177-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_89_length_43145_cov_17.7825_ID_177-processed-gene-0.21&CDS=1-4980
OG0001793	YHR165C	maker-NODE_98_length_37627_cov_14.1645_ID_195-snap-gene-0.12-mRNA-1_1&gene=maker-NODE_98_length_37627_cov_14.1645_ID_195-snap-gene-0.12&CDS=1-8922
OG0001794	YHR168W	genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.233-mRNA-1_1&gene=genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.233&CDS=1-1719
OG0001795	YHR169W	genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.191-mRNA-1_1&gene=genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.191&CDS=1-1329
OG0001796	YHR170W	genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.189-mRNA-1_1&gene=genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.189&CDS=1-1545
OG0001797	YHR171W	genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.190-mRNA-1_1&gene=genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.190&CDS=1-1920
OG0001798	YHR172W	genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.192-mRNA-1_1&gene=genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.192&CDS=1-2364
OG0001799	YHR175W	genemark-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-0.59&CDS=1-501
OG0001800	YHR178W	genemark-NODE_26_length_183408_cov_14.1505_ID_51-processed-gene-0.153-mRNA-1_1&gene=genemark-NODE_26_length_183408_cov_14.1505_ID_51-processed-gene-0.153&CDS=1-1908
OG0001801	YHR181W	genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.10&CDS=1-687
OG0001802	YHR183W	snap_masked-NODE_44_length_120060_cov_14.1655_ID_87-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_44_length_120060_cov_14.1655_ID_87-processed-gene-0.21&CDS=1-1473
OG0001803	YHR186C	genemark-NODE_10_length_268378_cov_14.3927_ID_19-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_10_length_268378_cov_14.3927_ID_19-processed-gene-0.105&CDS=1-4284
OG0001804	YHR187W	genemark-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.169-mRNA-1_1&gene=genemark-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.169&CDS=1-939
OG0001805	YHR188C	genemark-NODE_79_length_49234_cov_13.7125_ID_157-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_79_length_49234_cov_13.7125_ID_157-processed-gene-0.12&CDS=1-1860
OG0001806	YHR189W	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.11-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.11&CDS=1-744
OG0001807	YHR190W	genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-2.43-mRNA-1_1&gene=genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-2.43&CDS=1-1338
OG0001808	YHR191C	genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.33&CDS=1-489
OG0001809	YHR192W	genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.13&CDS=1-867
OG0001810	YHR193C	genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.34&CDS=1-552
OG0001811	YHR194W	genemark-NODE_71_length_59880_cov_15.7042_ID_141-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_71_length_59880_cov_15.7042_ID_141-processed-gene-0.70&CDS=1-2118
OG0001812	YHR197W	genemark-NODE_33_length_151141_cov_14.8166_ID_65-processed-gene-0.200-mRNA-1_1&gene=genemark-NODE_33_length_151141_cov_14.8166_ID_65-processed-gene-0.200&CDS=1-2292
OG0001813	YHR198C	genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.70&CDS=1-1020
OG0001814	YHR200W	genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.57-mRNA-1_1&gene=genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.57&CDS=1-885
OG0001815	YHR201C	genemark-NODE_12_length_237061_cov_14.2503_ID_23-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_12_length_237061_cov_14.2503_ID_23-processed-gene-0.4&CDS=1-1203
OG0001816	YHR202W	genemark-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-1.129-mRNA-1_1&gene=genemark-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-1.129&CDS=1-2139
OG0001817	YHR204W	genemark-NODE_73_length_59078_cov_14.2134_ID_145-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_73_length_59078_cov_14.2134_ID_145-processed-gene-0.40&CDS=1-2838
OG0001818	YHR205W	genemark-NODE_73_length_59078_cov_14.2134_ID_145-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_73_length_59078_cov_14.2134_ID_145-processed-gene-0.39&CDS=1-2442
OG0001819	YHR206W	genemark-NODE_68_length_66672_cov_14.2099_ID_135-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_68_length_66672_cov_14.2099_ID_135-processed-gene-0.24&CDS=1-1788
OG0001820	YHR207C	augustus_masked-NODE_345_length_441_cov_0.963731_ID_689-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_345_length_441_cov_0.963731_ID_689-processed-gene-0.1&CDS=1-441
OG0001821	YHR208W	genemark-NODE_29_length_159323_cov_14.5535_ID_57-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_29_length_159323_cov_14.5535_ID_57-processed-gene-0.67&CDS=1-1194
OG0001822	YIL001W	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.109-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.109&CDS=1-1677
OG0001823	YIL003W	genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.78&CDS=1-834
OG0001824	YIL004C	maker-NODE_6_length_344941_cov_13.9826_ID_11-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_6_length_344941_cov_13.9826_ID_11-snap-gene-0.0&CDS=1-591
OG0001825	YIL005W	genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-0.84&CDS=1-2253
OG0001826	YIL007C	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.108-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.108&CDS=1-663
OG0001827	YIL008W	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.98-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.98&CDS=1-318
OG0001828	YIL010W	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.26-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.26&CDS=1-693
OG0001829	YIL019W	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-3.63-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-3.63&CDS=1-726
OG0001830	YIL020C	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-3.87-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-3.87&CDS=1-801
OG0001831	YIL021W	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-3.86-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-3.86&CDS=1-963
OG0001832	YIL022W	genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-1.113-mRNA-1_1&gene=genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-1.113&CDS=1-1233
OG0001833	YIL023C	genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.53&CDS=1-2025
OG0001834	YIL026C	maker-NODE_32_length_152021_cov_13.9144_ID_63-snap-gene-0.72-mRNA-1_1&gene=maker-NODE_32_length_152021_cov_13.9144_ID_63-snap-gene-0.72&CDS=1-3735
OG0001835	YIL027C	genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.9&CDS=1-411
OG0001836	YIL030C	genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.108-mRNA-1_1&gene=genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.108&CDS=1-3891
