	Saccharomyces_cerevisiae	yHMPu5000035681_Candida_gotoi
OG0001829	YIL001W	snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-4.152-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-4.152&CDS=1-1935
OG0001830	YIL002C	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.115-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.115&CDS=1-3129
OG0001831	YIL003W	augustus_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-1.104&CDS=1-915
OG0001832	YIL004C	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-1.81&CDS=1-450
OG0001833	YIL007C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-4.84-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-4.84&CDS=1-681
OG0001834	YIL008W	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-4.118-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-4.118&CDS=1-303
OG0001835	YIL010W	snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.106&CDS=1-672
OG0001836	YIL016W	snap_masked-NODE_21_length_207486_cov_71.6837_ID_41-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_21_length_207486_cov_71.6837_ID_41-processed-gene-0.62&CDS=1-642
OG0001837	YIL019W	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.84-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.84&CDS=1-996
OG0001838	YIL020C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.114-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.114&CDS=1-837
OG0001839	YIL021W	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.83-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.83&CDS=1-939
OG0001840	YIL022W	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.118-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.118&CDS=1-1266
OG0001841	YIL026C	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-0.63&CDS=1-3642
OG0001842	YIL027C	snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-2.87&CDS=1-372
OG0001843	YIL030C	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-3.32&CDS=1-3720
OG0001844	YIL031W	augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.192-mRNA-1_1&gene=augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.192&CDS=1-3849
OG0001845	YIL033C	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.49&CDS=1-1323
OG0001846	YIL039W	snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.108&CDS=1-1524
OG0001847	YIL041W	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.109-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.109&CDS=1-978
OG0001848	YIL042C	snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-2.113-mRNA-1_1&gene=snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-2.113&CDS=1-1269
OG0001849	YIL043C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.107-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.107&CDS=1-852
OG0001850	YIL044C	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-1.86&CDS=1-1125
OG0001851	YIL046W	snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-1.88&CDS=1-2040
OG0001852	YIL047C	augustus_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.119&CDS=1-2967
OG0001853	YIL048W	snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.51&CDS=1-3483
OG0001854	YIL049W	augustus_masked-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.5&CDS=1-948
OG0001855	YIL061C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-3.117-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-3.117&CDS=1-1032
OG0001856	YIL062C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-6.62-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-6.62&CDS=1-465
OG0001857	YIL063C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-3.118-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-3.118&CDS=1-1083
OG0001858	YIL064W	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-3.141-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-3.141&CDS=1-732
OG0001859	YIL065C	augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.11&CDS=1-1941
OG0001860	YIL067C	augustus_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-1.132&CDS=1-1983
OG0001861	YIL068C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-6.88-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-6.88&CDS=1-2514
OG0001862	YIL070C	snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-0.63&CDS=1-807
OG0001863	YIL072W	snap_masked-NODE_22_length_202797_cov_90.5711_ID_43-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NODE_22_length_202797_cov_90.5711_ID_43-processed-gene-1.88&CDS=1-879
OG0001864	YIL074C	snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.72&CDS=1-1404
OG0001865	YIL075C	snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.71&CDS=1-2862
OG0001866	YIL078W	augustus_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.138&CDS=1-2163
OG0001867	YIL083C	snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-0.97&CDS=1-1029
OG0001868	YIL087C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-3.73-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-3.73&CDS=1-408
OG0001869	YIL090W	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-3.72-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-3.72&CDS=1-1512
OG0001870	YIL091C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-3.56-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-3.56&CDS=1-2112
OG0001871	YIL093C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.106&CDS=1-798
OG0001872	YIL094C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.81-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.81&CDS=1-1122
OG0001873	YIL098C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-0.39&CDS=1-423
OG0001874	YIL099W	snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-2.108&CDS=1-1644
OG0001875	YIL101C	augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-5.74&CDS=1-1527
OG0001876	YIL103W	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-5.8-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-5.8&CDS=1-1254
OG0001877	YIL104C	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-5.22-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-5.22&CDS=1-1500
OG0001878	YIL106W	snap_masked-NODE_33_length_84843_cov_76.1117_ID_65-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_33_length_84843_cov_76.1117_ID_65-processed-gene-0.26&CDS=1-765
OG0001879	YIL107C	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-3.77-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-3.77&CDS=1-2910
OG0001880	YIL108W	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-0.78&CDS=1-2175
OG0001881	YIL109C	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-4.43-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-4.43&CDS=1-2793
OG0001882	YIL110W	maker-NODE_1_length_933283_cov_68.0403_ID_1-snap-gene-3.38-mRNA-1_1&gene=maker-NODE_1_length_933283_cov_68.0403_ID_1-snap-gene-3.38&CDS=1-1521
OG0001883	YIL116W	snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.193-mRNA-1_1&gene=snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.193&CDS=1-1191
OG0001884	YIL118W	snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.93&CDS=1-672
OG0001885	YIL124W	snap_masked-NODE_16_length_382779_cov_70.9361_ID_31-processed-gene-2.171-mRNA-1_1&gene=snap_masked-NODE_16_length_382779_cov_70.9361_ID_31-processed-gene-2.171&CDS=1-882
OG0001886	YIL125W	snap_masked-NODE_16_length_382779_cov_70.9361_ID_31-processed-gene-2.126-mRNA-1_1&gene=snap_masked-NODE_16_length_382779_cov_70.9361_ID_31-processed-gene-2.126&CDS=1-3018
OG0001887	YIL127C	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.81-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.81&CDS=1-573
OG0001888	YIL128W	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.112-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.112&CDS=1-3369
OG0001889	YIL129C	augustus_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.143&CDS=1-9426
OG0001890	YIL130W	snap_masked-NODE_25_length_171835_cov_70.1684_ID_49-processed-gene-0.166-mRNA-1_1&gene=snap_masked-NODE_25_length_171835_cov_70.1684_ID_49-processed-gene-0.166&CDS=1-2880
OG0001891	YIL131C	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.74-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.74&CDS=1-2133
OG0001892	YIL137C	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.7-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.7&CDS=1-2763
OG0001893	YIL140W	augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-8.36&CDS=1-2634
OG0001894	YIL142W	augustus_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.54&CDS=1-1578
OG0001895	YIL143C	snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-0.33&CDS=1-2532
OG0001896	YIL144W	snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-1.54&CDS=1-1911
OG0001897	YIL145C	snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-1.47-mRNA-1_1&gene=snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-1.47&CDS=1-927
OG0001898	YIL147C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-0.52&CDS=1-4077
OG0001899	YIL150C	augustus_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.23&CDS=1-1446
OG0001900	YIL153W	augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-1.79&CDS=1-1287
OG0001901	YIL155C	snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-1.97-mRNA-1_1&gene=snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-1.97&CDS=1-1953
OG0001902	YIL156W-B	maker-NODE_3_length_842064_cov_74.5486_ID_5-snap-gene-1.83-mRNA-1_1&gene=maker-NODE_3_length_842064_cov_74.5486_ID_5-snap-gene-1.83&CDS=1-210
OG0001903	YIL157C	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-4.66-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-4.66&CDS=1-576
OG0001904	YIL160C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.39&CDS=1-1245
OG0001905	YIL162W	augustus_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-0.38&CDS=1-1599
OG0001906	YIL164C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.48&CDS=1-927
OG0001907	YIR002C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-3.69-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-3.69&CDS=1-3111
OG0001908	YIR004W	maker-NODE_21_length_207486_cov_71.6837_ID_41-augustus-gene-0.71-mRNA-1_1&gene=maker-NODE_21_length_207486_cov_71.6837_ID_41-augustus-gene-0.71&CDS=1-2505
OG0001909	YIR005W	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-3.90-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-3.90&CDS=1-621
OG0001910	YIR006C	snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-1.48&CDS=1-4143
OG0001911	YIR007W	snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.62&CDS=1-2892
OG0001912	YIR008C	snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.86&CDS=1-1452
OG0001913	YIR009W	snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.130&CDS=1-432
OG0001914	YIR011C	augustus_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-5.150-mRNA-1_1&gene=augustus_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-5.150&CDS=1-1056
OG0001915	YIR012W	snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-0.87&CDS=1-1254
OG0001916	YIR015W	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.96&CDS=1-414
OG0001917	YIR022W	augustus_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.117&CDS=1-498
OG0001918	YIR023W	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.54&CDS=1-3126
OG0001919	YIR026C	augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-8.83-mRNA-1_1&gene=augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-8.83&CDS=1-2466
OG0001920	YIR027C	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.113-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.113&CDS=1-2091
OG0001921	YIR029W	maker-NODE_7_length_591050_cov_76.165_ID_13-snap-gene-3.85-mRNA-1_1&gene=maker-NODE_7_length_591050_cov_76.165_ID_13-snap-gene-3.85&CDS=1-1977
OG0001922	YIR030C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-0.73&CDS=1-705
OG0001923	YIR032C	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-1.95&CDS=1-624
OG0001924	YIR034C	maker-NODE_3_length_842064_cov_74.5486_ID_5-snap-gene-7.185-mRNA-1_1&gene=maker-NODE_3_length_842064_cov_74.5486_ID_5-snap-gene-7.185&CDS=1-2208
OG0001925	YIR037W	snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-3.70-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-3.70&CDS=1-480
OG0001926	YJL001W	snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.95-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.95&CDS=1-648
OG0001927	YJL002C	snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.96&CDS=1-1437
OG0001928	YJL003W	maker-NODE_12_length_465408_cov_66.2617_ID_23-snap-gene-3.86-mRNA-1_1&gene=maker-NODE_12_length_465408_cov_66.2617_ID_23-snap-gene-3.86&CDS=1-807
OG0001929	YJL004C	snap_masked-NODE_19_length_288497_cov_86.145_ID_37-processed-gene-1.170-mRNA-1_1&gene=snap_masked-NODE_19_length_288497_cov_86.145_ID_37-processed-gene-1.170&CDS=1-576
OG0001930	YJL005W	snap_masked-NODE_19_length_288497_cov_86.145_ID_37-processed-gene-1.168-mRNA-1_1&gene=snap_masked-NODE_19_length_288497_cov_86.145_ID_37-processed-gene-1.168&CDS=1-6030
OG0001931	YJL006C	augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-4.51&CDS=1-1188
OG0001932	YJL008C	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-0.50&CDS=1-1671
OG0001933	YJL010C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-4.124-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-4.124&CDS=1-2163
OG0001934	YJL011C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.96&CDS=1-483
OG0001935	YJL012C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-3.51-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-3.51&CDS=1-2127
OG0001936	YJL014W	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.102-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.102&CDS=1-1581
OG0001937	YJL020C	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.28&CDS=1-3087
OG0001938	YJL024C	augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-2.107&CDS=1-474
OG0001939	YJL025W	augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-6.34&CDS=1-1488
OG0001940	YJL026W	snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.68&CDS=1-1272
OG0001941	YJL029C	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-0.72&CDS=1-2493
OG0001942	YJL030W	augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-3.46&CDS=1-654
OG0001943	YJL031C	genemark-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-4.6-mRNA-1_1&gene=genemark-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-4.6&CDS=1-1794
OG0001944	YJL033W	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.38-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.38&CDS=1-2295
OG0001945	YJL034W	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.45-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.45&CDS=1-2043
OG0001946	YJL035C	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.122-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.122&CDS=1-948
OG0001947	YJL036W	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-2.86-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-2.86&CDS=1-1821
OG0001948	YJL039C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-1.43&CDS=1-5973
OG0001949	YJL041W	snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-1.71&CDS=1-2322
OG0001950	YJL042W	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-0.81&CDS=1-4029
OG0001951	YJL044C	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-0.97&CDS=1-1572
OG0001952	YJL046W	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-2.117-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-2.117&CDS=1-1401
