	Lachancea_lanzarotensis	Saccharomyces_cerevisiae
OG0002347	augustus_masked-LN736365.1-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-2.22&CDS=1-4098	YJR001W
OG0002348	snap_masked-LN736365.1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.91&CDS=1-2601	YLR001C
OG0002349	maker-LN736365.1-snap-gene-2.33-mRNA-1_1&gene=maker-LN736365.1-snap-gene-2.33&CDS=1-645	YJL001W
OG0002350	snap_masked-LN736365.1-processed-gene-2.112-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.112&CDS=1-2892	YLL003W
OG0002351	snap_masked-LN736365.1-processed-gene-2.92-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.92&CDS=1-1413	YJL002C
OG0002352	snap_masked-LN736365.1-processed-gene-2.113-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.113&CDS=1-1902	YLL004W
OG0002353	snap_masked-LN736365.1-processed-gene-2.115-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.115&CDS=1-354	YJL003W
OG0002354	snap_masked-LN736365.1-processed-gene-2.116-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.116&CDS=1-1353	YLL006W
OG0002355	augustus_masked-LN736365.1-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-2.11&CDS=1-1899	YLL007C
OG0002356	snap_masked-LN736365.1-processed-gene-2.117-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.117&CDS=1-2229	YLL008W
OG0002357	snap_masked-LN736365.1-processed-gene-2.94-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.94&CDS=1-597	YJL004C
OG0002358	snap_masked-LN736365.1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.118&CDS=1-5640	YJL005W
OG0002359	snap_masked-LN736365.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.95&CDS=1-192	YLL009C
OG0002360	snap_masked-LN736365.1-processed-gene-2.96-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.96&CDS=1-960	YLR017W
OG0002361	augustus_masked-LN736365.1-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-2.28&CDS=1-1047	YLR018C
OG0002362	snap_masked-LN736365.1-processed-gene-2.97-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.97&CDS=1-1257	YLR019W
OG0002363	snap_masked-LN736365.1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.120&CDS=1-1431	YLL011W
OG0002364	snap_masked-LN736365.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.121&CDS=1-1515	YLR020C
OG0002365	snap_masked-LN736365.1-processed-gene-2.98-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.98&CDS=1-540	YLR021W
OG0002366	snap_masked-LN736365.1-processed-gene-2.122-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.122&CDS=1-726	YLR022C
OG0002367	snap_masked-LN736365.1-processed-gene-2.123-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.123&CDS=1-2037	YLR023C
OG0002368	snap_masked-LN736365.1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.99&CDS=1-2283	YLL013C
OG0002369	snap_masked-LN736365.1-processed-gene-2.124-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.124&CDS=1-321	YLL014W
OG0002370	snap_masked-LN736365.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.100&CDS=1-1146	YGR187C
OG0002371	snap_masked-LN736365.1-processed-gene-2.125-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.125&CDS=1-2046	YGR186W
OG0002372	snap_masked-LN736365.1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.101&CDS=1-1224	YGR185C
OG0002373	augustus_masked-LN736365.1-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-2.32&CDS=1-5361	YLR024C
OG0002374	snap_masked-LN736365.1-processed-gene-2.102-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-2.102&CDS=1-5817	YGR184C
OG0002375	augustus_masked-LN736365.1-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-2.19&CDS=1-336	YGR183C
OG0002376	snap_masked-LN736365.1-processed-gene-3.40-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.40&CDS=1-318	YGR181W
OG0002377	augustus_masked-LN736365.1-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.0&CDS=1-573	YJL024C
OG0002378	maker-LN736365.1-augustus-gene-3.82-mRNA-1_1&gene=maker-LN736365.1-augustus-gene-3.82&CDS=1-1926	YGR175C
OG0002379	snap_masked-LN736365.1-processed-gene-3.44-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.44&CDS=1-1506	YJL025W
OG0002380	snap_masked-LN736365.1-processed-gene-3.60-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.60&CDS=1-2232	YGR178C
OG0002381	augustus_masked-LN736365.1-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.22&CDS=1-1047	YGR179C
OG0002382	snap_masked-LN736365.1-processed-gene-3.46-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.46&CDS=1-984	YGR144W
OG0002383	snap_masked-LN736365.1-processed-gene-3.63-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.63&CDS=1-1227	YJL026W
OG0002384	snap_masked-LN736365.1-processed-gene-3.65-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.65&CDS=1-456	YKL067W
OG0002385	snap_masked-LN736365.1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.47&CDS=1-699	YMR043W
OG0002386	augustus_masked-LN736365.1-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.8&CDS=1-1308	YMR044W
OG0002387	snap_masked-LN736365.1-processed-gene-3.66-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.66&CDS=1-3606	YKL068W
OG0002388	snap_masked-LN736365.1-processed-gene-3.67-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.67&CDS=1-225	YKL068W-A
OG0002389	augustus_masked-LN736365.1-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.9&CDS=1-855	YMR048W
OG0002390	augustus_masked-LN736365.1-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.27&CDS=1-2451	YMR049C
OG0002391	snap_masked-LN736365.1-processed-gene-3.69-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.69&CDS=1-537	YKL069W
OG0002392	snap_masked-LN736365.1-processed-gene-3.49-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.49&CDS=1-609	YMR052W
OG0002393	snap_masked-LN736365.1-processed-gene-3.71-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.71&CDS=1-2628	YKL073W
OG0002394	augustus_masked-LN736365.1-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.12&CDS=1-1419	YKL074C
OG0002395	snap_masked-LN736365.1-processed-gene-3.72-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.72&CDS=1-906	YMR055C
OG0002396	augustus_masked-LN736365.1-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.14&CDS=1-1041	YKL075C
OG0002397	snap_masked-LN736365.1-processed-gene-3.76-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.76&CDS=1-1173	YKL077W
OG0002398	snap_masked-LN736365.1-processed-gene-3.54-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.54&CDS=1-345	YMR059W
OG0002399	augustus_masked-LN736365.1-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.33&CDS=1-921	YMR060C
OG0002400	snap_masked-LN736365.1-processed-gene-3.55-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.55&CDS=1-1965	YMR061W
OG0002401	snap_masked-LN736365.1-processed-gene-3.78-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.78&CDS=1-1323	YMR062C
OG0002402	snap_masked-LN736365.1-processed-gene-3.79-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.79&CDS=1-1743	YDR536W
OG0002403	snap_masked-LN736365.1-processed-gene-3.56-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.56&CDS=1-3411	YPR026W
OG0002404	snap_masked-LN736365.1-processed-gene-3.57-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.57&CDS=1-558	YPR028W
OG0002405	snap_masked-LN736365.1-processed-gene-3.81-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.81&CDS=1-2370	YPR029C
OG0002406	augustus_masked-LN736365.1-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.19&CDS=1-2814	YBL101C
OG0002407	augustus_masked-LN736365.1-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.37&CDS=1-633	YBL102W
OG0002408	augustus_masked-LN736365.1-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-3.20&CDS=1-1224	YBL103C
OG0002409	snap_masked-LN736365.1-processed-gene-4.0-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.0&CDS=1-2226	YPR031W
OG0002410	snap_masked-LN736365.1-processed-gene-4.1-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.1&CDS=1-2949	YBL104C
OG0002411	genemark-LN736365.1-processed-gene-4.53-mRNA-1_1&gene=genemark-LN736365.1-processed-gene-4.53&CDS=1-3459	YBL105C
OG0002412	genemark-LN736365.1-processed-gene-4.54-mRNA-1_1&gene=genemark-LN736365.1-processed-gene-4.54&CDS=1-3045	YBL106C
OG0002413	snap_masked-LN736365.1-processed-gene-4.3-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.3&CDS=1-585	YBL107C
OG0002414	snap_masked-LN736365.1-processed-gene-4.4-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.4&CDS=1-1446	YJR078W
OG0002415	snap_masked-LN736365.1-processed-gene-4.5-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.5&CDS=1-1536	YPR033C
OG0002416	snap_masked-LN736365.1-processed-gene-4.6-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.6&CDS=1-1215	YJR080C
OG0002417	snap_masked-LN736365.1-processed-gene-4.28-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.28&CDS=1-291	YJR082C
OG0002418	snap_masked-LN736365.1-processed-gene-4.7-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.7&CDS=1-1188	YPR034W
OG0002419	snap_masked-LN736365.1-processed-gene-4.9-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.9&CDS=1-825	YBR065C
OG0002420	snap_masked-LN736365.1-processed-gene-4.10-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.10&CDS=1-459	YBR062C
OG0002421	snap_masked-LN736365.1-processed-gene-4.29-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.29&CDS=1-618	YDR041W
OG0002422	snap_masked-LN736365.1-processed-gene-4.11-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.11&CDS=1-912	YBR061C
OG0002423	snap_masked-LN736365.1-processed-gene-4.30-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.30&CDS=1-1773	YDR037W
OG0002424	snap_masked-LN736365.1-processed-gene-4.12-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.12&CDS=1-930	YDR051C
OG0002425	snap_masked-LN736365.1-processed-gene-4.13-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.13&CDS=1-744	YDR050C
OG0002426	snap_masked-LN736365.1-processed-gene-4.31-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.31&CDS=1-693	YBR070C
OG0002427	snap_masked-LN736365.1-processed-gene-4.14-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.14&CDS=1-576	YBR071W
OG0002428	snap_masked-LN736365.1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.15&CDS=1-2727	YBR073W
OG0002429	augustus_masked-LN736365.1-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-4.125&CDS=1-2958	YDR047W
OG0002430	snap_masked-LN736365.1-processed-gene-4.16-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.16&CDS=1-2862	YBR074W
OG0002431	snap_masked-LN736365.1-processed-gene-4.37-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.37&CDS=1-1905	YDR052C
OG0002432	snap_masked-LN736365.1-processed-gene-4.38-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.38&CDS=1-474	YBR077C
OG0002433	snap_masked-LN736365.1-processed-gene-4.39-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.39&CDS=1-825	YDR054C
OG0002434	snap_masked-LN736365.1-processed-gene-4.40-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.40&CDS=1-363	YMR252C
OG0002435	snap_masked-LN736365.1-processed-gene-4.42-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.42&CDS=1-969	YOL053W
OG0002436	snap_masked-LN736365.1-processed-gene-4.43-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.43&CDS=1-180	YMR256C
OG0002437	snap_masked-LN736365.1-processed-gene-4.44-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.44&CDS=1-2529	YMR257C
OG0002438	snap_masked-LN736365.1-processed-gene-4.45-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.45&CDS=1-1659	YMR258C
OG0002439	augustus_masked-LN736365.1-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-4.135&CDS=1-4353	YMR259C
OG0002440	snap_masked-LN736365.1-processed-gene-4.47-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.47&CDS=1-459	YMR260C
OG0002441	snap_masked-LN736365.1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.48&CDS=1-3372	YMR261C
OG0002442	augustus_masked-LN736365.1-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-4.118&CDS=1-1848	YMR262W
OG0002443	genemark-LN736365.1-processed-gene-4.94-mRNA-1_1&gene=genemark-LN736365.1-processed-gene-4.94&CDS=1-1527	YML102W
OG0002444	snap_masked-LN736365.1-processed-gene-4.26-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.26&CDS=1-897	YMR267W
OG0002445	snap_masked-LN736365.1-processed-gene-4.27-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.27&CDS=1-4860	YML103C
OG0002446	snap_masked-LN736365.1-processed-gene-4.50-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-4.50&CDS=1-1308	YMR268C
OG0002447	snap_masked-LN736365.1-processed-gene-5.0-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.0&CDS=1-606	YMR269W
OG0002448	snap_masked-LN736365.1-processed-gene-5.1-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.1&CDS=1-3423	YML104C
OG0002449	genemark-LN736365.1-processed-gene-5.58-mRNA-1_1&gene=genemark-LN736365.1-processed-gene-5.58&CDS=1-1101	YMR270C
OG0002450	snap_masked-LN736365.1-processed-gene-5.2-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.2&CDS=1-774	YML105C
OG0002451	snap_masked-LN736365.1-processed-gene-5.4-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.4&CDS=1-672	YML106W
OG0002452	snap_masked-LN736365.1-processed-gene-5.3-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.3&CDS=1-966	YML107C
OG0002453	snap_masked-LN736365.1-processed-gene-5.5-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.5&CDS=1-1143	YMR272C
OG0002454	snap_masked-LN736365.1-processed-gene-5.32-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.32&CDS=1-2430	YDR416W
OG0002455	snap_masked-LN736365.1-processed-gene-5.6-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.6&CDS=1-813	YEL051W
OG0002456	snap_masked-LN736365.1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.7&CDS=1-1119	YDR415C
OG0002457	snap_masked-LN736365.1-processed-gene-5.33-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.33&CDS=1-1152	YEL050C
OG0002458	snap_masked-LN736365.1-processed-gene-5.9-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.9&CDS=1-1137	YDR414C
OG0002459	snap_masked-LN736365.1-processed-gene-5.34-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.34&CDS=1-708	YDR412W
OG0002460	snap_masked-LN736365.1-processed-gene-5.10-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.10&CDS=1-960	YDR411C
OG0002461	augustus_masked-LN736365.1-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-5.121&CDS=1-3450	YML042W
OG0002462	snap_masked-LN736365.1-processed-gene-5.35-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.35&CDS=1-2610	YOR156C
OG0002463	snap_masked-LN736365.1-processed-gene-5.13-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.13&CDS=1-630	YDR408C
OG0002464	snap_masked-LN736365.1-processed-gene-5.36-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.36&CDS=1-789	YOR157C
OG0002465	snap_masked-LN736365.1-processed-gene-5.14-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.14&CDS=1-3375	YDR407C
OG0002466	snap_masked-LN736365.1-processed-gene-5.15-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.15&CDS=1-915	YOR158W
OG0002467	snap_masked-LN736365.1-processed-gene-5.37-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.37&CDS=1-282	YOR159C
OG0002468	augustus_masked-LN736365.1-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-5.125&CDS=1-2898	YOR160W
OG0002469	snap_masked-LN736365.1-processed-gene-5.38-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.38&CDS=1-1611	YOR161C
OG0002470	snap_masked-LN736365.1-processed-gene-5.17-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.17&CDS=1-1287	YOR155C
OG0002471	snap_masked-LN736365.1-processed-gene-5.39-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.39&CDS=1-741	YDR405W
OG0002472	snap_masked-LN736365.1-processed-gene-5.19-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.19&CDS=1-3657	YOR151C
OG0002473	snap_masked-LN736365.1-processed-gene-5.40-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.40&CDS=1-480	YOR150W
OG0002474	snap_masked-LN736365.1-processed-gene-5.20-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.20&CDS=1-513	YDR404C
OG0002475	snap_masked-LN736365.1-processed-gene-5.41-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.41&CDS=1-1557	YDR403W
OG0002476	snap_masked-LN736365.1-processed-gene-5.21-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.21&CDS=1-1563	YDR402C
OG0002477	augustus_masked-LN736365.1-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-5.147&CDS=1-1032	YDR400W
OG0002478	snap_masked-LN736365.1-processed-gene-5.23-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.23&CDS=1-501	YDR397C
OG0002479	snap_masked-LN736365.1-processed-gene-5.44-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.44&CDS=1-2847	YDR395W
OG0002480	snap_masked-LN736365.1-processed-gene-5.24-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.24&CDS=1-1521	YOR149C
OG0002481	snap_masked-LN736365.1-processed-gene-5.45-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.45&CDS=1-1290	YDR394W
OG0002482	snap_masked-LN736365.1-processed-gene-5.46-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.46&CDS=1-1209	YDR393W
OG0002483	snap_masked-LN736365.1-processed-gene-5.25-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.25&CDS=1-627	YOR148C
OG0002484	snap_masked-LN736365.1-processed-gene-5.26-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.26&CDS=1-828	YOR145C
OG0002485	snap_masked-LN736365.1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.27&CDS=1-2352	YOR144C
OG0002486	snap_masked-LN736365.1-processed-gene-5.48-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.48&CDS=1-990	YDR392W
OG0002487	genemark-LN736365.1-processed-gene-5.84-mRNA-1_1&gene=genemark-LN736365.1-processed-gene-5.84&CDS=1-933	YOR143C
OG0002488	snap_masked-LN736365.1-processed-gene-5.49-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.49&CDS=1-990	YOR142W
OG0002489	snap_masked-LN736365.1-processed-gene-5.30-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.30&CDS=1-3354	YGR134W
OG0002490	snap_masked-LN736365.1-processed-gene-5.50-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.50&CDS=1-1317	YPR152C
OG0002491	maker-LN736365.1-snap-gene-6.251-mRNA-1_1&gene=maker-LN736365.1-snap-gene-6.251&CDS=1-1164	YGR135W
OG0002492	snap_masked-LN736365.1-processed-gene-6.1-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.1&CDS=1-1800	YPR155C
OG0002493	snap_masked-LN736365.1-processed-gene-6.4-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.4&CDS=1-2436	YGR140W
OG0002494	augustus_masked-LN736365.1-processed-gene-6.180-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-6.180&CDS=1-1329	YGR141W
OG0002495	snap_masked-LN736365.1-processed-gene-6.6-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.6&CDS=1-1188	YGR142W
OG0002496	snap_masked-LN736365.1-processed-gene-6.8-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.8&CDS=1-2187	YPR159W
OG0002497	snap_masked-LN736365.1-processed-gene-6.9-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.9&CDS=1-3102	YGL201C
OG0002498	snap_masked-LN736365.1-processed-gene-6.10-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.10&CDS=1-2745	YPR160W
OG0002499	snap_masked-LN736365.1-processed-gene-6.11-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.11&CDS=1-1653	YKL217W
OG0002500	snap_masked-LN736365.1-processed-gene-6.43-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.43&CDS=1-1488	YGL202W
OG0002501	snap_masked-LN736365.1-processed-gene-6.12-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.12&CDS=1-2100	YGL203C
OG0002502	snap_masked-LN736365.1-processed-gene-6.44-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.44&CDS=1-792	YER026C
OG0002503	snap_masked-LN736365.1-processed-gene-6.45-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.45&CDS=1-2211	YGL205W
OG0002504	snap_masked-LN736365.1-processed-gene-6.14-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.14&CDS=1-4971	YGL206C
OG0002505	snap_masked-LN736365.1-processed-gene-6.48-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.48&CDS=1-3102	YGL207W
OG0002506	augustus_masked-LN736365.1-processed-gene-6.218-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-6.218&CDS=1-1392	YER027C
OG0002507	snap_masked-LN736365.1-processed-gene-6.51-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.51&CDS=1-507	YER029C
OG0002508	snap_masked-LN736365.1-processed-gene-6.16-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.16&CDS=1-435	YER030W
OG0002509	snap_masked-LN736365.1-processed-gene-6.52-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.52&CDS=1-666	YGL210W
OG0002510	snap_masked-LN736365.1-processed-gene-6.17-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.17&CDS=1-2775	YER032W
OG0002511	snap_masked-LN736365.1-processed-gene-6.53-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.53&CDS=1-2589	YER033C
OG0002512	snap_masked-LN736365.1-processed-gene-6.54-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.54&CDS=1-1119	YGL211W
OG0002513	snap_masked-LN736365.1-processed-gene-6.55-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.55&CDS=1-1026	YGL212W
OG0002514	snap_masked-LN736365.1-processed-gene-6.18-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.18&CDS=1-1227	YGL213C
OG0002515	snap_masked-LN736365.1-processed-gene-6.56-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.56&CDS=1-1236	YGL215W
OG0002516	genemark-LN736365.1-processed-gene-6.141-mRNA-1_1&gene=genemark-LN736365.1-processed-gene-6.141&CDS=1-2454	YGL216W
OG0002517	snap_masked-LN736365.1-processed-gene-6.19-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.19&CDS=1-1644	YGL219C
OG0002518	snap_masked-LN736365.1-processed-gene-6.58-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.58&CDS=1-252	YGL220W
OG0002519	augustus_masked-LN736365.1-processed-gene-6.194-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-6.194&CDS=1-1443	YGL221C
OG0002520	snap_masked-LN736365.1-processed-gene-6.22-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.22&CDS=1-1221	YGL222C
OG0002521	snap_masked-LN736365.1-processed-gene-6.59-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.59&CDS=1-1821	YER036C
OG0002522	snap_masked-LN736365.1-processed-gene-6.24-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.24&CDS=1-1695	YGL223C
OG0002523	snap_masked-LN736365.1-processed-gene-6.25-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.25&CDS=1-840	YGL224C
