	Saccharomyces_cerevisiae	yHMPu5000035296_Priceomyces_carsonii
OG0001456	YGL172W	genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.82-mRNA-1_1&gene=genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.82&CDS=1-1371
OG0001457	YGL173C	genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.111-mRNA-1_1&gene=genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.111&CDS=1-5502
OG0001458	YGL174W	snap_masked-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.146-mRNA-1_1&gene=snap_masked-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.146&CDS=1-816
OG0001459	YGL178W	genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.108-mRNA-1_1&gene=genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.108&CDS=1-2100
OG0001460	YGL179C	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-2.23-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-2.23&CDS=1-3429
OG0001461	YGL180W	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-2.41-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-2.41&CDS=1-2601
OG0001462	YGL181W	genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.221-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.221&CDS=1-1293
OG0001463	YGL183C	maker-NODE_14_length_379892_cov_20.1739_ID_2446-augustus-gene-2.267-mRNA-1_1&gene=maker-NODE_14_length_379892_cov_20.1739_ID_2446-augustus-gene-2.267&CDS=1-2763
OG0001464	YGL184C	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.49&CDS=1-1212
OG0001465	YGL186C	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-1.114-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-1.114&CDS=1-1611
OG0001466	YGL187C	genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.71&CDS=1-480
OG0001467	YGL190C	genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.103&CDS=1-1461
OG0001468	YGL191W	genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.70&CDS=1-399
OG0001469	YGL192W	genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.75&CDS=1-1611
OG0001470	YGL194C	maker-NODE_2_length_754996_cov_19.8997_ID_1384-snap-gene-4.8-mRNA-1_1&gene=maker-NODE_2_length_754996_cov_19.8997_ID_1384-snap-gene-4.8&CDS=1-3345
OG0001471	YGL195W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.39-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.39&CDS=1-7968
OG0001472	YGL196W	genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.115&CDS=1-1269
OG0001473	YGL198W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.47&CDS=1-924
OG0001474	YGL201C	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.83-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.83&CDS=1-2841
OG0001475	YGL202W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.180-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.180&CDS=1-4236
OG0001476	YGL203C	maker-NODE_13_length_391765_cov_19.519_ID_1425-augustus-gene-2.307-mRNA-1_1&gene=maker-NODE_13_length_391765_cov_19.519_ID_1425-augustus-gene-2.307&CDS=1-2823
OG0001477	YGL206C	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.67-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.67&CDS=1-5001
OG0001478	YGL207W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.166-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.166&CDS=1-3045
OG0001479	YGL210W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.165-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.165&CDS=1-660
OG0001480	YGL211W	genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.211-mRNA-1_1&gene=genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.211&CDS=1-1146
OG0001481	YGL212W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.106-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.106&CDS=1-987
OG0001482	YGL213C	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.195-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.195&CDS=1-1146
OG0001483	YGL215W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.140-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.140&CDS=1-1005
OG0001484	YGL216W	genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.79-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.79&CDS=1-2847
OG0001485	YGL221C	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.37-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.37&CDS=1-846
OG0001486	YGL225W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.296-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.296&CDS=1-1017
OG0001487	YGL227W	snap_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.59&CDS=1-2439
OG0001488	YGL231C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-6.149-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-6.149&CDS=1-537
OG0001489	YGL232W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-6.123-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-6.123&CDS=1-816
OG0001490	YGL233W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.106-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.106&CDS=1-2562
OG0001491	YGL234W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.245-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.245&CDS=1-2388
OG0001492	YGL236C	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.293-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.293&CDS=1-2064
OG0001493	YGL237C	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.252-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.252&CDS=1-693
OG0001494	YGL238W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.295-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.295&CDS=1-2919
OG0001495	YGL240W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.248-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.248&CDS=1-1077
OG0001496	YGL241W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.21-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.21&CDS=1-3147
OG0001497	YGL242C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.20-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.20&CDS=1-564
OG0001498	YGL243W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.46-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.46&CDS=1-1170
OG0001499	YGL244W	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.18-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.18&CDS=1-1740
OG0001500	YGL245W	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.54-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.54&CDS=1-2172
OG0001501	YGL246C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-3.97-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-3.97&CDS=1-1176
OG0001502	YGL248W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.158-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.158&CDS=1-1080
OG0001503	YGL250W	snap_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-1.152-mRNA-1_1&gene=snap_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-1.152&CDS=1-1455
OG0001504	YGR002C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.110-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.110&CDS=1-1710
OG0001505	YGR003W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.111-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.111&CDS=1-2550
OG0001506	YGR005C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.174-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.174&CDS=1-1164
OG0001507	YGR006W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.125-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.125&CDS=1-906
OG0001508	YGR007W	maker-NODE_2_length_754996_cov_19.8997_ID_1384-augustus-gene-6.278-mRNA-1_1&gene=maker-NODE_2_length_754996_cov_19.8997_ID_1384-augustus-gene-6.278&CDS=1-1149
OG0001509	YGR009C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.86&CDS=1-1506
OG0001510	YGR012W	snap_masked-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.104&CDS=1-1173
OG0001511	YGR013W	augustus_masked-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.55&CDS=1-1695
OG0001512	YGR014W	genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.79&CDS=1-3165
OG0001513	YGR017W	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.81-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.81&CDS=1-834
OG0001514	YGR019W	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.45-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.45&CDS=1-1413
OG0001515	YGR020C	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.47&CDS=1-375
OG0001516	YGR021W	augustus_masked-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.307-mRNA-1_1&gene=augustus_masked-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.307&CDS=1-843
OG0001517	YGR024C	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.15-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.15&CDS=1-801
OG0001518	YGR026W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.27-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.27&CDS=1-789
OG0001519	YGR028W	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.96&CDS=1-1095
OG0001520	YGR029W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.68-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.68&CDS=1-540
OG0001521	YGR031W	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-1.112-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-1.112&CDS=1-972
OG0001522	YGR033C	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.46-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.46&CDS=1-834
OG0001523	YGR036C	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.44-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.44&CDS=1-708
OG0001524	YGR037C	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.19-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.19&CDS=1-258
OG0001525	YGR042W	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.90&CDS=1-885
OG0001526	YGR044C	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.109&CDS=1-1197
OG0001527	YGR046W	augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.6&CDS=1-1530
OG0001528	YGR047C	augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-4.132&CDS=1-3426
OG0001529	YGR048W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.105-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.105&CDS=1-1071
OG0001530	YGR053C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.26&CDS=1-942
OG0001531	YGR054W	augustus_masked-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.152&CDS=1-1908
OG0001532	YGR055W	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.70&CDS=1-1641
OG0001533	YGR057C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.162-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.162&CDS=1-708
OG0001534	YGR058W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.111-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.111&CDS=1-1221
OG0001535	YGR060W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.57-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.57&CDS=1-921
OG0001536	YGR061C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.63-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.63&CDS=1-4026
OG0001537	YGR062C	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.111&CDS=1-1329
OG0001538	YGR063C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.8-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.8&CDS=1-336
OG0001539	YGR080W	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.172-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.172&CDS=1-1017
OG0001540	YGR081C	augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.77&CDS=1-525
OG0001541	YGR082W	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.121-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.121&CDS=1-525
OG0001542	YGR086C	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.175-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.175&CDS=1-921
OG0001543	YGR088W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.51-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.51&CDS=1-1662
OG0001544	YGR089W	augustus_masked-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-1.130&CDS=1-1974
OG0001545	YGR090W	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-0.54&CDS=1-3513
OG0001546	YGR093W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.54-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.54&CDS=1-1515
OG0001547	YGR094W	augustus_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.19&CDS=1-4680
OG0001548	YGR095C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.76-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.76&CDS=1-666
OG0001549	YGR096W	maker-NODE_4_length_685946_cov_20.3066_ID_2302-augustus-gene-5.7-mRNA-1_1&gene=maker-NODE_4_length_685946_cov_20.3066_ID_2302-augustus-gene-5.7&CDS=1-906
OG0001550	YGR098C	genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-1.71&CDS=1-4890
OG0001551	YGR099W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.15-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.15&CDS=1-2520
OG0001552	YGR100W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.7-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.7&CDS=1-2811
OG0001553	YGR101W	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-0.38&CDS=1-999
OG0001554	YGR103W	genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.31&CDS=1-1788
OG0001555	YGR104C	genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.52-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.52&CDS=1-918
OG0001556	YGR105W	maker-NODE_15_length_360542_cov_26.2381_ID_2597-augustus-gene-1.180-mRNA-1_1&gene=maker-NODE_15_length_360542_cov_26.2381_ID_2597-augustus-gene-1.180&CDS=1-231
OG0001557	YGR106C	genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.32-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.32&CDS=1-915
OG0001558	YGR110W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-14.102-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-14.102&CDS=1-1248
OG0001559	YGR111W	augustus_masked-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.219-mRNA-1_1&gene=augustus_masked-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.219&CDS=1-1254
OG0001560	YGR112W	genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-1.132-mRNA-1_1&gene=genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-1.132&CDS=1-1032
OG0001561	YGR116W	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.55-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.55&CDS=1-4320
OG0001562	YGR117C	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.74-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.74&CDS=1-1257
OG0001563	YGR119C	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-5.79-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-5.79&CDS=1-1641
OG0001564	YGR123C	genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-1.105-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-1.105&CDS=1-1590
OG0001565	YGR124W	genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.96&CDS=1-1722
OG0001566	YGR125W	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-0.71&CDS=1-2985
OG0001567	YGR129W	augustus_masked-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.163-mRNA-1_1&gene=augustus_masked-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.163&CDS=1-627
OG0001568	YGR132C	maker-NODE_20_length_178871_cov_19.8994_ID_2165-augustus-gene-0.281-mRNA-1_1&gene=maker-NODE_20_length_178871_cov_19.8994_ID_2165-augustus-gene-0.281&CDS=1-1791
OG0001569	YGR135W	genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.163-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.163&CDS=1-759
OG0001570	YGR144W	genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-0.32&CDS=1-966
OG0001571	YGR145W	augustus_masked-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.35&CDS=1-2865
OG0001572	YGR147C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.170-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.170&CDS=1-690
OG0001573	YGR149W	genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.143-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.143&CDS=1-1332
OG0001574	YGR150C	augustus_masked-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.245-mRNA-1_1&gene=augustus_masked-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.245&CDS=1-2220
OG0001575	YGR155W	maker-NODE_7_length_610485_cov_21.9312_ID_4191-augustus-gene-5.202-mRNA-1_1&gene=maker-NODE_7_length_610485_cov_21.9312_ID_4191-augustus-gene-5.202&CDS=1-3576
OG0001576	YGR156W	genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-5.65-mRNA-1_1&gene=genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-5.65&CDS=1-1053
OG0001577	YGR157W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.97-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.97&CDS=1-2517
OG0001578	YGR158C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.71-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.71&CDS=1-825
OG0001579	YGR159C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.77-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.77&CDS=1-1392
OG0001580	YGR163W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.87-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.87&CDS=1-1005
