	Nakaseomyces_delphensis	Saccharomyces_cerevisiae
OG0002258	snap_masked-NADE0S09-processed-gene-6.29-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-6.29&CDS=1-4233	YOR191W
OG0002259	augustus_masked-NADE0S09-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-6.129&CDS=1-1377	YGR189C
OG0002260	snap_masked-NADE0S09-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-6.48&CDS=1-441	YGL226W
OG0002261	snap_masked-NADE0S09-processed-gene-6.30-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-6.30&CDS=1-258	YGL226C-A
OG0002262	snap_masked-NADE0S09-processed-gene-6.49-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-6.49&CDS=1-2652	YGL227W
OG0002263	snap_masked-NADE0S09-processed-gene-6.50-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-6.50&CDS=1-1713	YGL228W
OG0002264	snap_masked-NADE0S09-processed-gene-6.31-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-6.31&CDS=1-897	YDL052C
OG0002265	augustus_masked-NADE0S09-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-7.83&CDS=1-474	YDL053C
OG0002266	snap_masked-NADE0S09-processed-gene-7.1-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.1&CDS=1-1416	YDL054C
OG0002267	snap_masked-NADE0S09-processed-gene-7.3-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.3&CDS=1-2412	YDL056W
OG0002268	snap_masked-NADE0S09-processed-gene-7.4-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.4&CDS=1-939	YDL057W
OG0002269	snap_masked-NADE0S09-processed-gene-7.26-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.26&CDS=1-5916	YDL058W
OG0002270	snap_masked-NADE0S09-processed-gene-7.27-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.27&CDS=1-4665	YGR098C
OG0002271	augustus_masked-NADE0S09-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-7.89&CDS=1-2016	YGR099W
OG0002272	snap_masked-NADE0S09-processed-gene-7.7-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.7&CDS=1-2847	YGR100W
OG0002273	snap_masked-NADE0S09-processed-gene-7.8-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.8&CDS=1-1008	YGR101W
OG0002274	snap_masked-NADE0S09-processed-gene-7.28-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.28&CDS=1-501	YGR102C
OG0002275	snap_masked-NADE0S09-processed-gene-7.9-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.9&CDS=1-1326	YKL082C
OG0002276	snap_masked-NADE0S09-processed-gene-7.29-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.29&CDS=1-1011	YKL085W
OG0002277	snap_masked-NADE0S09-processed-gene-7.30-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.30&CDS=1-411	YKL086W
OG0002278	snap_masked-NADE0S09-processed-gene-7.10-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.10&CDS=1-639	YKL087C
OG0002279	snap_masked-NADE0S09-processed-gene-7.31-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.31&CDS=1-1473	YKL088W
OG0002280	augustus_masked-NADE0S09-processed-gene-7.94-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-7.94&CDS=1-939	YKL011C
OG0002281	snap_masked-NADE0S09-processed-gene-7.33-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.33&CDS=1-1776	YKL012W
OG0002282	snap_masked-NADE0S09-processed-gene-7.11-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.11&CDS=1-513	YKL013C
OG0002283	snap_masked-NADE0S09-processed-gene-7.34-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.34&CDS=1-894	YJL115W
OG0002284	snap_masked-NADE0S09-processed-gene-7.35-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.35&CDS=1-918	YJL117W
OG0002285	snap_masked-NADE0S09-processed-gene-7.13-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.13&CDS=1-729	YJL121C
OG0002286	augustus_masked-NADE0S09-processed-gene-7.118-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-7.118&CDS=1-489	YJL122W
OG0002287	augustus_masked-NADE0S09-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-7.98&CDS=1-1380	YJL123C
OG0002288	snap_masked-NADE0S09-processed-gene-7.15-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.15&CDS=1-462	YJL124C
OG0002289	snap_masked-NADE0S09-processed-gene-7.16-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.16&CDS=1-1119	YJL125C
OG0002290	snap_masked-NADE0S09-processed-gene-7.36-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.36&CDS=1-918	YJL126W
OG0002291	snap_masked-NADE0S09-processed-gene-7.17-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.17&CDS=1-1614	YJL127C
OG0002292	snap_masked-NADE0S09-processed-gene-7.18-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.18&CDS=1-2109	YJL128C
OG0002293	maker-NADE0S09-snap-gene-7.41-mRNA-1_1&gene=maker-NADE0S09-snap-gene-7.41&CDS=1-3438	YJL129C
OG0002294	snap_masked-NADE0S09-processed-gene-7.21-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.21&CDS=1-1017	YJL131C
OG0002295	snap_masked-NADE0S09-processed-gene-7.39-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.39&CDS=1-1413	YGL172W
OG0002296	snap_masked-NADE0S09-processed-gene-7.23-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.23&CDS=1-4506	YGL173C
OG0002297	snap_masked-NADE0S09-processed-gene-7.40-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.40&CDS=1-696	YGL174W
OG0002298	augustus_masked-NADE0S09-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-7.108&CDS=1-834	YGL175C
OG0002299	augustus_masked-NADE0S09-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-7.109&CDS=1-1455	YGL176C
OG0002300	snap_masked-NADE0S09-processed-gene-8.91-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.91&CDS=1-2715	YGL178W
OG0002301	snap_masked-NADE0S09-processed-gene-8.92-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.92&CDS=1-2904	YGL180W
OG0002302	snap_masked-NADE0S09-processed-gene-8.93-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.93&CDS=1-1371	YGL181W
OG0002303	augustus_masked-NADE0S09-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-8.0&CDS=1-672	YGL183C
OG0002304	snap_masked-NADE0S09-processed-gene-8.94-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.94&CDS=1-1356	YGL184C
OG0002305	snap_masked-NADE0S09-processed-gene-8.95-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.95&CDS=1-1179	YGL185C
OG0002306	snap_masked-NADE0S09-processed-gene-8.96-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.96&CDS=1-1848	YGL186C
OG0002307	snap_masked-NADE0S09-processed-gene-8.97-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.97&CDS=1-474	YGL187C
OG0002308	snap_masked-NADE0S09-processed-gene-8.98-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.98&CDS=1-1491	YGL190C
OG0002309	snap_masked-NADE0S09-processed-gene-8.115-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.115&CDS=1-384	YGL191W
OG0002310	snap_masked-NADE0S09-processed-gene-8.117-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.117&CDS=1-351	YBR085C-A
OG0002311	snap_masked-NADE0S09-processed-gene-8.100-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.100&CDS=1-423	YDR100W
OG0002312	snap_masked-NADE0S09-processed-gene-8.118-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.118&CDS=1-1764	YDR101C
OG0002313	augustus_masked-NADE0S09-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-8.11&CDS=1-1875	YDR103W
OG0002314	snap_masked-NADE0S09-processed-gene-8.119-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.119&CDS=1-1431	YDR105C
OG0002315	snap_masked-NADE0S09-processed-gene-8.120-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.120&CDS=1-198	YER180C-A
OG0002316	snap_masked-NADE0S09-processed-gene-8.121-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.121&CDS=1-1425	YHR113W
OG0002317	snap_masked-NADE0S09-processed-gene-8.122-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.122&CDS=1-672	YML106W
OG0002318	snap_masked-NADE0S09-processed-gene-8.105-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.105&CDS=1-957	YML107C
OG0002319	genemark-NADE0S09-processed-gene-8.77-mRNA-1_1&gene=genemark-NADE0S09-processed-gene-8.77&CDS=1-354	YML108W
OG0002320	snap_masked-NADE0S09-processed-gene-8.106-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.106&CDS=1-2061	YHR042W
OG0002321	snap_masked-NADE0S09-processed-gene-8.125-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.125&CDS=1-813	YGR021W
OG0002322	snap_masked-NADE0S09-processed-gene-8.107-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.107&CDS=1-354	YGR020C
OG0002323	snap_masked-NADE0S09-processed-gene-8.108-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.108&CDS=1-1005	YFR045W
OG0002324	augustus_masked-NADE0S09-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-8.18&CDS=1-1842	YFR048W
OG0002325	snap_masked-NADE0S09-processed-gene-8.128-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.128&CDS=1-2118	YGL245W
OG0002326	snap_masked-NADE0S09-processed-gene-8.109-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.109&CDS=1-1152	YGL246C
OG0002327	maker-NADE0S09-snap-gene-8.89-mRNA-1_1&gene=maker-NADE0S09-snap-gene-8.89&CDS=1-2010	YBL084C
OG0002328	snap_masked-NADE0S09-processed-gene-8.111-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.111&CDS=1-1458	YBL086C
OG0002329	snap_masked-NADE0S09-processed-gene-8.112-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.112&CDS=1-8331	YBL088C
OG0002330	augustus_masked-NADE0S09-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-8.41&CDS=1-453	YBL090W
OG0002331	snap_masked-NADE0S09-processed-gene-8.132-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.132&CDS=1-393	YBL092W
OG0002332	snap_masked-NADE0S09-processed-gene-8.113-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.113&CDS=1-702	YMR161W
OG0002333	snap_masked-NADE0S09-processed-gene-8.134-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.134&CDS=1-4914	YMR162C
OG0002334	snap_masked-NADE0S09-processed-gene-9.129-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.129&CDS=1-777	YLR126C
OG0002335	augustus_masked-NADE0S09-processed-gene-9.3-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-9.3&CDS=1-2367	YLR127C
OG0002336	maker-NADE0S09-augustus-gene-9.59-mRNA-1_1&gene=maker-NADE0S09-augustus-gene-9.59&CDS=1-3648	YLR129W
OG0002337	snap_masked-NADE0S09-processed-gene-9.161-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.161&CDS=1-2094	YLR131C
OG0002338	augustus_masked-NADE0S09-processed-gene-9.34-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-9.34&CDS=1-843	YLR132C
OG0002339	snap_masked-NADE0S09-processed-gene-9.131-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.131&CDS=1-1800	YLR133W
OG0002340	augustus_masked-NADE0S09-processed-gene-9.5-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-9.5&CDS=1-2097	YLR135W
OG0002341	snap_masked-NADE0S09-processed-gene-9.133-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.133&CDS=1-1065	YLR137W
OG0002342	snap_masked-NADE0S09-processed-gene-9.134-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.134&CDS=1-2760	YLR138W
OG0002343	augustus_masked-NADE0S09-processed-gene-9.35-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-9.35&CDS=1-2037	YLR139C
OG0002344	augustus_masked-NADE0S09-processed-gene-9.7-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-9.7&CDS=1-1608	YLR141W
OG0002345	snap_masked-NADE0S09-processed-gene-9.136-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.136&CDS=1-1410	YLR142W
OG0002346	snap_masked-NADE0S09-processed-gene-9.137-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.137&CDS=1-2097	YLR143W
OG0002347	snap_masked-NADE0S09-processed-gene-9.164-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.164&CDS=1-2292	YLR144C
OG0002348	snap_masked-NADE0S09-processed-gene-9.139-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.139&CDS=1-609	YLR145W
OG0002349	snap_masked-NADE0S09-processed-gene-9.166-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.166&CDS=1-294	YLR147C
OG0002350	augustus_masked-NADE0S09-processed-gene-9.12-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-9.12&CDS=1-2829	YLR148W
OG0002351	maker-NADE0S09-augustus-gene-9.60-mRNA-1_1&gene=maker-NADE0S09-augustus-gene-9.60&CDS=1-882	YOR285W
OG0002352	maker-NADE0S09-augustus-gene-9.61-mRNA-1_1&gene=maker-NADE0S09-augustus-gene-9.61&CDS=1-1731	YOR288C
OG0002353	snap_masked-NADE0S09-processed-gene-9.143-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.143&CDS=1-696	YOR289W
OG0002354	snap_masked-NADE0S09-processed-gene-9.144-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.144&CDS=1-2148	YDR499W
OG0002355	snap_masked-NADE0S09-processed-gene-9.170-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.170&CDS=1-810	YDR503C
OG0002356	snap_masked-NADE0S09-processed-gene-9.172-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.172&CDS=1-1740	YDR506C
OG0002357	snap_masked-NADE0S09-processed-gene-9.174-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.174&CDS=1-3318	YDR507C
OG0002358	snap_masked-NADE0S09-processed-gene-9.175-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.175&CDS=1-309	YDR510W
OG0002359	snap_masked-NADE0S09-processed-gene-9.148-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.148&CDS=1-387	YDR511W
OG0002360	snap_masked-NADE0S09-processed-gene-9.176-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.176&CDS=1-258	YDR512C
OG0002361	snap_masked-NADE0S09-processed-gene-9.177-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.177&CDS=1-1512	YDR514C
OG0002362	snap_masked-NADE0S09-processed-gene-9.178-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.178&CDS=1-1485	YCL040W
OG0002363	snap_masked-NADE0S09-processed-gene-9.151-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.151&CDS=1-1071	YDR517W
OG0002364	snap_masked-NADE0S09-processed-gene-9.152-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.152&CDS=1-384	YJR063W
OG0002365	snap_masked-NADE0S09-processed-gene-9.153-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.153&CDS=1-1695	YJR064W
OG0002366	snap_masked-NADE0S09-processed-gene-9.179-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.179&CDS=1-1353	YJR065C
OG0002367	snap_masked-NADE0S09-processed-gene-9.180-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.180&CDS=1-459	YJR067C
OG0002368	snap_masked-NADE0S09-processed-gene-9.155-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.155&CDS=1-1047	YJR068W
OG0002369	snap_masked-NADE0S09-processed-gene-9.181-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.181&CDS=1-573	YJR069C
OG0002370	snap_masked-NADE0S09-processed-gene-9.182-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.182&CDS=1-957	YJR070C
OG0002371	snap_masked-NADE0S09-processed-gene-9.183-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.183&CDS=1-651	YJR073C
OG0002372	snap_masked-NADE0S09-processed-gene-9.156-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.156&CDS=1-552	YJR074W
OG0002373	snap_masked-NADE0S09-processed-gene-9.157-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.157&CDS=1-1182	YJR075W
OG0002374	snap_masked-NADE0S09-processed-gene-9.158-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.158&CDS=1-1476	YKL211C
OG0002375	snap_masked-NADE0S09-processed-gene-9.186-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.186&CDS=1-927	YJR077C
OG0002376	snap_masked-NADE0S09-processed-gene-9.187-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.187&CDS=1-1752	YMR319C
OG0002377	maker-NADE0S10-snap-gene-0.1-mRNA-1_1&gene=maker-NADE0S10-snap-gene-0.1&CDS=1-1023	Q0060
OG0002378	maker-NADE0S10-snap-gene-0.7-mRNA-1_1&gene=maker-NADE0S10-snap-gene-0.7&CDS=1-504	Q0085
OG0002379	genemark-NADE0S10-processed-gene-0.10-mRNA-1_1&gene=genemark-NADE0S10-processed-gene-0.10&CDS=1-225	Q0130
OG0002380	augustus_masked-NADE0S11-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NADE0S11-processed-gene-0.3&CDS=1-1608	YOL144W
OG0002381	snap_masked-NADE0S11-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NADE0S11-processed-gene-0.16&CDS=1-3372	YOL145C
OG0002382	snap_masked-NADE0S11-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NADE0S11-processed-gene-0.19&CDS=1-798	YOL146W
OG0002383	snap_masked-NADE0S11-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NADE0S11-processed-gene-0.17&CDS=1-723	YOL147C
OG0002384	maker-NADE0S11-snap-gene-0.7-mRNA-1_1&gene=maker-NADE0S11-snap-gene-0.7&CDS=1-1698	YOL148C
OG0002385	snap_masked-NADE0S11-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NADE0S11-processed-gene-0.20&CDS=1-618	YOL149W
OG0002386	snap_masked-NADE0S12-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.25&CDS=1-834	YGR026W
OG0002387	augustus_masked-NADE0S12-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-0.85&CDS=1-711	YGR024C
OG0002388	snap_masked-NADE0S12-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.26&CDS=1-909	YDR280W
OG0002389	snap_masked-NADE0S12-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.8&CDS=1-1701	YHR045W
OG0002390	snap_masked-NADE0S12-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.27&CDS=1-888	YHR046C
OG0002391	augustus_masked-NADE0S12-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-0.88&CDS=1-1470	YHR048W
OG0002392	snap_masked-NADE0S12-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.9&CDS=1-723	YHR049W
OG0002393	snap_masked-NADE0S12-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.11&CDS=1-444	YHR051W
OG0002394	snap_masked-NADE0S12-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.12&CDS=1-1206	YHR052W
OG0002395	snap_masked-NADE0S12-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.33&CDS=1-2001	YHR032W
OG0002396	snap_masked-NADE0S12-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.13&CDS=1-2100	YHR031C
OG0002397	snap_masked-NADE0S12-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.14&CDS=1-1464	YHR030C
OG0002398	maker-NADE0S12-snap-gene-0.0-mRNA-1_1&gene=maker-NADE0S12-snap-gene-0.0&CDS=1-3351	YHR028C
OG0002399	snap_masked-NADE0S12-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.16&CDS=1-2931	YHR027C
OG0002400	augustus_masked-NADE0S12-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-0.114&CDS=1-630	YHR026W
OG0002401	augustus_masked-NADE0S12-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-0.115&CDS=1-1071	YHR025W
OG0002402	augustus_masked-NADE0S12-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-0.97&CDS=1-1422	YHR024C
OG0002403	snap_masked-NADE0S12-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.36&CDS=1-5649	YHR023W
OG0002404	augustus_masked-NADE0S12-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-0.100&CDS=1-5178	YJL039C
OG0002405	snap_masked-NADE0S12-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.37&CDS=1-2472	YJL041W
OG0002406	snap_masked-NADE0S12-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.38&CDS=1-4086	YJL042W
OG0002407	snap_masked-NADE0S12-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.20&CDS=1-1257	YJL044C
OG0002408	snap_masked-NADE0S12-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.39&CDS=1-1878	YKL148C
OG0002409	snap_masked-NADE0S12-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.40&CDS=1-618	YKL144C
OG0002410	snap_masked-NADE0S12-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.21&CDS=1-1395	YKL143W
OG0002411	snap_masked-NADE0S12-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.22&CDS=1-1002	YLR007W
OG0002412	snap_masked-NADE0S12-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.41&CDS=1-444	YLR008C
OG0002413	augustus_masked-NADE0S12-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-0.104&CDS=1-582	YLR009W
OG0002414	snap_masked-NADE0S12-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-0.24&CDS=1-1239	YJL036W
OG0002415	snap_masked-NADE0S12-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.4&CDS=1-774	YJL035C
OG0002416	snap_masked-NADE0S12-processed-gene-1.0-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.0&CDS=1-2301	YJL033W
OG0002417	snap_masked-NADE0S12-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.5&CDS=1-990	YJL031C
OG0002418	snap_masked-NADE0S12-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.1&CDS=1-588	YJL030W
OG0002419	snap_masked-NADE0S12-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.6&CDS=1-2472	YJL029C
OG0002420	snap_masked-NADE0S12-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.2&CDS=1-840	YLR003C
OG0002421	snap_masked-NADE0S12-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.3&CDS=1-1545	YJR003C
OG0002422	snap_masked-NADE0S12-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.7&CDS=1-2007	YLR002C
OG0002423	snap_masked-NADE0S12-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.24&CDS=1-1791	YJR002W
OG0002424	snap_masked-NADE0S12-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.8&CDS=1-2541	YLR001C
OG0002425	snap_masked-NADE0S12-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.25&CDS=1-2337	YLL001W
OG0002426	snap_masked-NADE0S12-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.26&CDS=1-1260	YLL002W
OG0002427	augustus_masked-NADE0S12-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-1.139&CDS=1-2679	YLL003W
OG0002428	snap_masked-NADE0S12-processed-gene-1.9-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.9&CDS=1-1515	YJL002C
OG0002429	genemark-NADE0S12-processed-gene-1.64-mRNA-1_1&gene=genemark-NADE0S12-processed-gene-1.64&CDS=1-2313	YLL005C
OG0002430	snap_masked-NADE0S12-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.29&CDS=1-1296	YLL006W
OG0002431	snap_masked-NADE0S12-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.10&CDS=1-1956	YLL007C
OG0002432	snap_masked-NADE0S12-processed-gene-1.31-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.31&CDS=1-1419	YLL011W
OG0002433	snap_masked-NADE0S12-processed-gene-1.12-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.12&CDS=1-2670	YLL013C
OG0002434	snap_masked-NADE0S12-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.33&CDS=1-321	YLL014W
