	Alloascoidea_hylecoeti	Saccharomyces_cerevisiae
OG0001829	-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-5.55&CDS=1-1500	YDR330W
OG0001830	-snap-gene-5.8-mRNA-1_1&gene=maker-gi|1002318369|dbj|BCKZ01000014.1|-snap-gene-5.8&CDS=1-255	YHR079C-A
OG0001831	-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-5.66&CDS=1-921	YGR282C
OG0001832	-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-5.34&CDS=1-678	YMR311C
OG0001833	-augustus-gene-5.143-mRNA-1_1&gene=maker-gi|1002318369|dbj|BCKZ01000014.1|-augustus-gene-5.143&CDS=1-2322	YNL221C
OG0001834	-augustus-gene-5.151-mRNA-1_1&gene=maker-gi|1002318369|dbj|BCKZ01000014.1|-augustus-gene-5.151&CDS=1-774	YLR145W
OG0001835	-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-0.35&CDS=1-8214	YGL195W
OG0001836	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-0.36&CDS=1-1800	YER036C
OG0001837	-augustus-gene-0.47-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-0.47&CDS=1-933	YGL198W
OG0001838	-processed-gene-1.5-mRNA-1_1&gene=genemark-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-1.5&CDS=1-603	YKL196C
OG0001839	-augustus-gene-1.115-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-1.115&CDS=1-252	YER074W-A
OG0001840	-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-1.41&CDS=1-1563	YML086C
OG0001841	-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-1.45&CDS=1-1362	YML126C
OG0001842	-augustus-gene-1.116-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-1.116&CDS=1-915	YGR208W
OG0001843	-processed-gene-1.95-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-1.95&CDS=1-1668	YJL025W
OG0001844	-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-1.61&CDS=1-1737	YDR232W
OG0001845	-snap-gene-1.1-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-snap-gene-1.1&CDS=1-2694	YGR178C
OG0001846	-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-1.53&CDS=1-1242	YPL146C
OG0001847	-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-1.65&CDS=1-2406	YPL147W
OG0001848	-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-2.102&CDS=1-525	YMR009W
OG0001849	-processed-gene-2.5-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-2.5&CDS=1-735	YEL001C
OG0001850	-augustus-gene-2.41-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-2.41&CDS=1-1641	YNL112W
OG0001851	-processed-gene-2.56-mRNA-1_1&gene=genemark-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-2.56&CDS=1-3087	YOR113W
OG0001852	-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-2.97&CDS=1-1494	YKL021C
OG0001853	-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-2.111&CDS=1-1119	YIR034C
OG0001854	-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-2.98&CDS=1-2013	YKL022C
OG0001855	-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-2.114&CDS=1-1311	YNL040W
OG0001856	-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-2.100&CDS=1-1836	YKL052C
OG0001857	-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-3.37&CDS=1-1050	YBR159W
OG0001858	-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-3.47&CDS=1-2781	YDL149W
OG0001859	-processed-gene-3.100-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-3.100&CDS=1-2454	YDL148C
OG0001860	-augustus-gene-3.104-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-3.104&CDS=1-1338	YDL147W
OG0001861	-processed-gene-3.84-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-3.84&CDS=1-1293	YDL146W
OG0001862	-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-3.63&CDS=1-672	YER050C
OG0001863	-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-3.51&CDS=1-1473	YER051W
OG0001864	-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.94&CDS=1-3627	YDL145C
OG0001865	-processed-gene-4.40-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.40&CDS=1-1125	YDL150W
OG0001866	-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.96&CDS=1-1755	YDL153C
OG0001867	-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.115&CDS=1-1017	YLR215C
OG0001868	-augustus-gene-4.126-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-4.126&CDS=1-1587	YDL143W
OG0001869	-augustus-gene-4.131-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-4.131&CDS=1-1017	YDL142C
OG0001870	-snap-gene-4.1-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-snap-gene-4.1&CDS=1-1377	YGL181W
OG0001871	-augustus-gene-4.132-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-4.132&CDS=1-1143	YGL148W
OG0001872	-processed-gene-4.47-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.47&CDS=1-924	YER128W
OG0001873	-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.100&CDS=1-795	YKL154W
OG0001874	-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.102&CDS=1-2175	YOR181W
OG0001875	-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.122&CDS=1-969	YFL028C
OG0001876	-augustus-gene-4.129-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-4.129&CDS=1-3552	YLR278C
OG0001877	-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.125&CDS=1-696	YOR332W
OG0001878	-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-5.44&CDS=1-1431	YIL153W
OG0001879	-augustus-gene-5.32-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-5.32&CDS=1-5391	YJL039C
OG0001880	-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-5.39&CDS=1-1956	YLR417W
OG0001881	-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-5.50&CDS=1-1530	YBL010C
OG0001882	-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-5.40&CDS=1-2184	YGL022W
OG0001883	-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-5.52&CDS=1-1401	YGL012W
OG0001884	-augustus-gene-5.35-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-5.35&CDS=1-3159	YGL178W
OG0001885	-snap-gene-5.31-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-snap-gene-5.31&CDS=1-2898	YGL008C
OG0001886	-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-5.42&CDS=1-3081	YPR091C
OG0001887	-snap-gene-5.25-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-snap-gene-5.25&CDS=1-6063	YBR136W
OG0001888	-processed-gene-6.10-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.10&CDS=1-1986	YBR131W
OG0001889	-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.100&CDS=1-1293	YNL253W
OG0001890	-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.101&CDS=1-1095	YBL013W
OG0001891	-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.122&CDS=1-2706	YOR154W
OG0001892	-snap-gene-6.5-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-snap-gene-6.5&CDS=1-4299	YCR042C
OG0001893	-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.103&CDS=1-2358	YNL258C
OG0001894	-augustus-gene-6.136-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-6.136&CDS=1-222	YNL259C
OG0001895	-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.106&CDS=1-1518	YNL261W
OG0001896	-augustus-gene-6.141-mRNA-1_1&gene=maker-gi|1002318370|dbj|BCKZ01000013.1|-augustus-gene-6.141&CDS=1-6630	YNL262W
OG0001897	-processed-gene-6.21-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.21&CDS=1-921	YNL263C
OG0001898	-processed-gene-6.22-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.22&CDS=1-3510	YGL140C
OG0001899	-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.127&CDS=1-1653	YHR048W
OG0001900	-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.109&CDS=1-1281	YBL091C
OG0001901	-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.113&CDS=1-4044	YGR061C
OG0001902	-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.114&CDS=1-2031	YKR001C
OG0001903	-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.101&CDS=1-1473	YDR257C
OG0001904	-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.105&CDS=1-735	YLR239C
OG0001905	-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.108&CDS=1-597	YOR252W
OG0001906	-processed-gene-0.4-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.4&CDS=1-627	YOL008W
OG0001907	-augustus-gene-0.50-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-0.50&CDS=1-1182	YBR025C
OG0001908	-augustus-gene-0.51-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-0.51&CDS=1-1197	YNL286W
OG0001909	-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.114&CDS=1-2622	YGR140W
OG0001910	-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.115&CDS=1-1194	YNL288W
OG0001911	-augustus-gene-0.52-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-0.52&CDS=1-1338	YFL037W
OG0001912	-augustus-gene-0.53-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-0.53&CDS=1-1161	YNR023W
OG0001913	-augustus-gene-0.49-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-0.49&CDS=1-1248	YEL056W
OG0001914	-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.118&CDS=1-660	YCR051W
OG0001915	-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.97&CDS=1-708	YNR020C
OG0001916	-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.120&CDS=1-1839	YDR477W
OG0001917	-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.99&CDS=1-3255	YBR237W
OG0001918	-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.54&CDS=1-1425	YGL112C
OG0001919	-processed-gene-1.93-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.93&CDS=1-2631	YGL113W
OG0001920	-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.59&CDS=1-1293	YBR233W
OG0001921	-processed-gene-1.121-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.121&CDS=1-3282	YEL055C
OG0001922	-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.60&CDS=1-2562	YPL270W
OG0001923	-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.62&CDS=1-984	YPL266W
OG0001924	-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.80&CDS=1-1914	YPL263C
OG0001925	-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.81&CDS=1-891	YDR175C
OG0001926	-augustus-gene-1.142-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-1.142&CDS=1-411	YGL087C
OG0001927	-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.63&CDS=1-1602	YEL058W
OG0001928	-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.64&CDS=1-2478	YDR176W
OG0001929	-processed-gene-1.106-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.106&CDS=1-5340	YDR180W
OG0001930	-augustus-gene-1.135-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-1.135&CDS=1-2406	YLR166C
OG0001931	-processed-gene-1.108-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.108&CDS=1-1494	YDR181C
OG0001932	-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.83&CDS=1-1230	YBR162C
OG0001933	-augustus-gene-1.143-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-1.143&CDS=1-789	YLR022C
OG0001934	-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.70&CDS=1-561	YLR168C
OG0001935	-processed-gene-1.47-mRNA-1_1&gene=genemark-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.47&CDS=1-666	YDR183W
OG0001936	-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.71&CDS=1-1413	YNL071W
OG0001937	-processed-gene-1.114-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.114&CDS=1-183	YNL070W
OG0001938	-augustus-gene-1.136-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-1.136&CDS=1-966	YIL134W
OG0001939	-augustus-gene-1.138-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-1.138&CDS=1-423	YNL113W
OG0001940	-augustus-gene-1.139-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-1.139&CDS=1-2214	YOR112W
OG0001941	-augustus-gene-1.140-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-1.140&CDS=1-819	YNL110C
OG0001942	-augustus-gene-1.146-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-1.146&CDS=1-681	YOR111W
OG0001943	-processed-gene-2.101-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.101&CDS=1-384	YIL027C
OG0001944	-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.58&CDS=1-1446	YJL036W
OG0001945	-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.61&CDS=1-669	YJL035C
OG0001946	-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.59&CDS=1-2004	YJL034W
OG0001947	-augustus-gene-2.154-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-2.154&CDS=1-711	YJL030W
OG0001948	-augustus-gene-2.151-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-2.151&CDS=1-996	YJL031C
OG0001949	-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.79&CDS=1-756	YJL006C
OG0001950	-processed-gene-2.18-mRNA-1_1&gene=genemark-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.18&CDS=1-1044	YKL151C
OG0001951	-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.67&CDS=1-822	YFR052W
OG0001952	-augustus-gene-2.155-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-2.155&CDS=1-2394	YBR202W
OG0001953	-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.86&CDS=1-2148	YOR361C
OG0001954	-processed-gene-2.113-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.113&CDS=1-2217	YGL086W
OG0001955	-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.87&CDS=1-1785	YGL084C
OG0001956	-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.70&CDS=1-1347	YIL023C
OG0001957	-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.89&CDS=1-1650	YJL008C
OG0001958	-augustus-gene-2.152-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-2.152&CDS=1-2421	YJL029C
OG0001959	-snap-gene-2.7-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-snap-gene-2.7&CDS=1-2112	YGL164C
OG0001960	-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.91&CDS=1-2415	YGL163C
OG0001961	-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.94&CDS=1-609	YFL038C
OG0001962	-processed-gene-2.51-mRNA-1_1&gene=genemark-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.51&CDS=1-1359	YGL065C
OG0001963	-augustus-gene-3.88-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-3.88&CDS=1-2136	YMR167W
OG0001964	-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.0&CDS=1-1158	YDL105W
OG0001965	-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.3&CDS=1-1188	YDL104C
OG0001966	-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.1&CDS=1-1224	YMR166C
OG0001967	-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.4&CDS=1-3132	YGL141W
OG0001968	-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.5&CDS=1-2403	YLR115W
OG0001969	-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.21&CDS=1-681	YLR118C
OG0001970	-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.26&CDS=1-588	YLR009W
OG0001971	-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.9&CDS=1-459	YLR008C
OG0001972	-processed-gene-3.68-mRNA-1_1&gene=genemark-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.68&CDS=1-1074	YGR173W
OG0001973	-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.33&CDS=1-2283	YMR061W
OG0001974	-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.15&CDS=1-2127	YJR005W
OG0001975	-augustus-gene-3.91-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-3.91&CDS=1-3507	YFR031C
OG0001976	-processed-gene-3.127-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.127&CDS=1-225	YFR032C-A
OG0001977	-augustus-gene-3.87-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-3.87&CDS=1-603	YEL048C
OG0001978	-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.41&CDS=1-2727	YEL044W
OG0001979	-processed-gene-4.82-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.82&CDS=1-3807	YEL043W
OG0001980	-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.7&CDS=1-2559	YBL023C
OG0001981	-processed-gene-4.89-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.89&CDS=1-1692	YHR084W
OG0001982	-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.13&CDS=1-2058	YDR332W
OG0001983	-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.27&CDS=1-1617	YPL254W
OG0001984	-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.16&CDS=1-855	YMR200W
OG0001985	-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.29&CDS=1-1014	YNR007C
OG0001986	-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.30&CDS=1-2115	YNR006W
OG0001987	-augustus-gene-4.78-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-4.78&CDS=1-1389	YLR085C
OG0001988	-augustus-gene-4.79-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-augustus-gene-4.79&CDS=1-867	YDR087C
OG0001989	-processed-gene-4.118-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.118&CDS=1-2763	YPR097W
OG0001990	-processed-gene-4.101-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.101&CDS=1-1560	YER014W
OG0001991	-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.22&CDS=1-519	YIR009W
OG0001992	-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.37&CDS=1-1044	YOL064C
OG0001993	-processed-gene-4.60-mRNA-1_1&gene=genemark-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.60&CDS=1-1992	YBR200W
OG0001994	-snap-gene-5.118-mRNA-1_1&gene=maker-gi|1002318371|dbj|BCKZ01000012.1|-snap-gene-5.118&CDS=1-1443	YPL204W
