	Saccharomyces_cerevisiae	yHMPu5000034883_Peterozyma_xylosa
OG0001633	YGR036C	snap_masked-flattened_line_24-processed-gene-2.97-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.97&CDS=1-726
OG0001634	YGR037C	snap_masked-flattened_line_0-processed-gene-6.30-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.30&CDS=1-261
OG0001635	YGR042W	snap_masked-flattened_line_0-processed-gene-3.44-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.44&CDS=1-1341
OG0001636	YGR044C	snap_masked-flattened_line_0-processed-gene-11.77-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.77&CDS=1-1281
OG0001637	YGR046W	genemark-flattened_line_4-processed-gene-1.142-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.142&CDS=1-1518
OG0001638	YGR047C	snap_masked-flattened_line_12-processed-gene-1.84-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.84&CDS=1-2988
OG0001639	YGR048W	genemark-flattened_line_12-processed-gene-1.66-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.66&CDS=1-990
OG0001640	YGR053C	snap_masked-flattened_line_0-processed-gene-11.73-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.73&CDS=1-921
OG0001641	YGR054W	genemark-flattened_line_0-processed-gene-9.134-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.134&CDS=1-1872
OG0001642	YGR055W	snap_masked-flattened_line_16-processed-gene-4.85-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.85&CDS=1-1707
OG0001643	YGR057C	augustus_masked-flattened_line_0-processed-gene-11.168-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.168&CDS=1-711
OG0001644	YGR058W	snap_masked-flattened_line_36-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.24&CDS=1-1056
OG0001645	YGR060W	genemark-flattened_line_26-processed-gene-3.140-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-3.140&CDS=1-921
OG0001646	YGR061C	snap_masked-flattened_line_34-processed-gene-1.112-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.112&CDS=1-4065
OG0001647	YGR062C	snap_masked-flattened_line_14-processed-gene-1.69-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.69&CDS=1-1032
OG0001648	YGR063C	snap_masked-flattened_line_14-processed-gene-1.88-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.88&CDS=1-333
OG0001649	YGR067C	snap_masked-flattened_line_10-processed-gene-1.34-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.34&CDS=1-3162
OG0001650	YGR068C	snap_masked-flattened_line_12-processed-gene-5.135-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.135&CDS=1-2166
OG0001651	YGR074W	snap_masked-flattened_line_44-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.120&CDS=1-381
OG0001652	YGR076C	snap_masked-flattened_line_44-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.123&CDS=1-483
OG0001653	YGR078C	snap_masked-flattened_line_4-processed-gene-5.132-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.132&CDS=1-585
OG0001654	YGR080W	snap_masked-flattened_line_14-processed-gene-5.181-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-5.181&CDS=1-987
OG0001655	YGR081C	augustus_masked-flattened_line_14-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-5.10&CDS=1-540
OG0001656	YGR082W	snap_masked-flattened_line_14-processed-gene-5.180-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-5.180&CDS=1-519
OG0001657	YGR083C	snap_masked-flattened_line_6-processed-gene-5.13-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.13&CDS=1-1491
OG0001658	YGR084C	augustus_masked-flattened_line_6-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-5.103&CDS=1-1131
OG0001659	YGR086C	snap_masked-flattened_line_16-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.60&CDS=1-927
OG0001660	YGR088W	snap_masked-flattened_line_30-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.96&CDS=1-1674
OG0001661	YGR089W	augustus_masked-flattened_line_8-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.14&CDS=1-2394
OG0001662	YGR090W	snap_masked-flattened_line_26-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.52&CDS=1-3537
OG0001663	YGR091W	snap_masked-flattened_line_0-processed-gene-3.47-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.47&CDS=1-1569
OG0001664	YGR093W	snap_masked-flattened_line_2-processed-gene-3.93-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.93&CDS=1-1572
OG0001665	YGR094W	snap_masked-flattened_line_18-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.76&CDS=1-3138
OG0001666	YGR095C	snap_masked-flattened_line_18-processed-gene-1.97-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.97&CDS=1-684
OG0001667	YGR096W	snap_masked-flattened_line_0-processed-gene-3.48-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.48&CDS=1-882
OG0001668	YGR098C	augustus_masked-flattened_line_30-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-2.165&CDS=1-5145
OG0001669	YGR099W	snap_masked-flattened_line_0-processed-gene-4.39-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.39&CDS=1-2478
OG0001670	YGR100W	genemark-flattened_line_22-processed-gene-3.128-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-3.128&CDS=1-2862
OG0001671	YGR101W	snap_masked-flattened_line_12-processed-gene-5.98-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.98&CDS=1-1005
OG0001672	YGR102C	snap_masked-flattened_line_6-processed-gene-7.107-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.107&CDS=1-594
OG0001673	YGR103W	snap_masked-flattened_line_6-processed-gene-7.106-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.106&CDS=1-1797
OG0001674	YGR104C	snap_masked-flattened_line_6-processed-gene-7.104-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.104&CDS=1-786
OG0001675	YGR105W	snap_masked-flattened_line_6-processed-gene-7.108-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.108&CDS=1-234
OG0001676	YGR110W	snap_masked-flattened_line_8-processed-gene-4.122-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.122&CDS=1-1275
OG0001677	YGR111W	snap_masked-flattened_line_0-processed-gene-1.89-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.89&CDS=1-1095
OG0001678	YGR112W	snap_masked-flattened_line_40-processed-gene-1.103-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.103&CDS=1-1137
OG0001679	YGR113W	snap_masked-flattened_line_20-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.47&CDS=1-834
OG0001680	YGR116W	snap_masked-flattened_line_2-processed-gene-2.37-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.37&CDS=1-4281
OG0001681	YGR117C	snap_masked-flattened_line_20-processed-gene-3.106-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-3.106&CDS=1-1488
OG0001682	YGR119C	snap_masked-flattened_line_20-processed-gene-1.91-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.91&CDS=1-1788
OG0001683	YGR120C	snap_masked-flattened_line_20-processed-gene-3.102-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-3.102&CDS=1-786
OG0001684	YGR123C	snap_masked-flattened_line_12-processed-gene-1.93-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.93&CDS=1-1527
OG0001685	YGR124W	snap_masked-flattened_line_6-processed-gene-1.11-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.11&CDS=1-1728
OG0001686	YGR125W	snap_masked-flattened_line_2-processed-gene-1.8-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.8&CDS=1-3159
OG0001687	YGR127W	genemark-flattened_line_10-processed-gene-5.309-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.309&CDS=1-927
OG0001688	YGR128C	snap_masked-flattened_line_2-processed-gene-7.41-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-7.41&CDS=1-2367
OG0001689	YGR132C	snap_masked-flattened_line_2-processed-gene-6.28-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.28&CDS=1-840
OG0001690	YGR134W	snap_masked-flattened_line_2-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.48&CDS=1-2691
OG0001691	YGR135W	snap_masked-flattened_line_2-processed-gene-6.29-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.29&CDS=1-747
OG0001692	YGR144W	genemark-flattened_line_2-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.84&CDS=1-936
OG0001693	YGR145W	genemark-flattened_line_8-processed-gene-3.90-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.90&CDS=1-2121
OG0001694	YGR147C	snap_masked-flattened_line_2-processed-gene-9.17-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-9.17&CDS=1-669
OG0001695	YGR149W	snap_masked-flattened_line_0-processed-gene-8.97-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.97&CDS=1-1404
OG0001696	YGR150C	snap_masked-flattened_line_12-processed-gene-4.98-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-4.98&CDS=1-2394
OG0001697	YGR155W	maker-flattened_line_2-augustus-gene-6.136-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-6.136&CDS=1-2250
OG0001698	YGR157W	snap_masked-flattened_line_18-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.64&CDS=1-2613
OG0001699	YGR158C	snap_masked-flattened_line_36-processed-gene-1.94-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.94&CDS=1-819
OG0001700	YGR159C	snap_masked-flattened_line_36-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.96&CDS=1-1290
OG0001701	YGR161C	snap_masked-flattened_line_28-processed-gene-2.30-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.30&CDS=1-921
OG0001702	YGR163W	snap_masked-flattened_line_22-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.10&CDS=1-1038
OG0001703	YGR165W	maker-flattened_line_6-snap-gene-3.48-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-3.48&CDS=1-1026
OG0001704	YGR167W	snap_masked-flattened_line_44-processed-gene-0.168-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.168&CDS=1-645
OG0001705	YGR169C	snap_masked-flattened_line_12-processed-gene-2.154-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.154&CDS=1-1101
OG0001706	YGR170W	maker-flattened_line_16-snap-gene-1.139-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.139&CDS=1-3345
OG0001707	YGR171C	snap_masked-flattened_line_14-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.96&CDS=1-1647
OG0001708	YGR172C	genemark-flattened_line_14-processed-gene-5.109-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-5.109&CDS=1-744
OG0001709	YGR173W	maker-flattened_line_16-snap-gene-1.138-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.138&CDS=1-1098
OG0001710	YGR174C	genemark-flattened_line_12-processed-gene-5.30-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.30&CDS=1-441
OG0001711	YGR175C	snap_masked-flattened_line_4-processed-gene-1.80-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.80&CDS=1-1479
OG0001712	YGR178C	snap_masked-flattened_line_2-processed-gene-4.31-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.31&CDS=1-2502
OG0001713	YGR181W	snap_masked-flattened_line_10-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.49&CDS=1-315
OG0001714	YGR183C	genemark-flattened_line_30-processed-gene-1.90-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.90&CDS=1-198
OG0001715	YGR185C	snap_masked-flattened_line_30-processed-gene-1.115-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.115&CDS=1-1200
OG0001716	YGR186W	snap_masked-flattened_line_30-processed-gene-1.117-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.117&CDS=1-1863
OG0001717	YGR187C	snap_masked-flattened_line_30-processed-gene-1.142-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.142&CDS=1-1101
OG0001718	YGR188C	snap_masked-flattened_line_14-processed-gene-2.87-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.87&CDS=1-2730
OG0001719	YGR193C	snap_masked-flattened_line_22-processed-gene-3.89-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-3.89&CDS=1-1227
OG0001720	YGR194C	snap_masked-flattened_line_8-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.14&CDS=1-1842
OG0001721	YGR195W	augustus_masked-flattened_line_30-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.22&CDS=1-1680
OG0001722	YGR198W	snap_masked-flattened_line_10-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.73&CDS=1-2343
OG0001723	YGR200C	genemark-flattened_line_44-processed-gene-0.245-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.245&CDS=1-2397
OG0001724	YGR202C	snap_masked-flattened_line_6-processed-gene-6.21-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-6.21&CDS=1-1386
OG0001725	YGR203W	genemark-flattened_line_6-processed-gene-6.79-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-6.79&CDS=1-426
OG0001726	YGR205W	genemark-flattened_line_4-processed-gene-6.12-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.12&CDS=1-879
OG0001727	YGR207C	snap_masked-flattened_line_4-processed-gene-6.57-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.57&CDS=1-765
OG0001728	YGR208W	snap_masked-flattened_line_2-processed-gene-4.3-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.3&CDS=1-918
OG0001729	YGR210C	snap_masked-flattened_line_2-processed-gene-6.19-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.19&CDS=1-1239
OG0001730	YGR215W	snap_masked-flattened_line_2-processed-gene-5.63-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.63&CDS=1-357
OG0001731	YGR216C	snap_masked-flattened_line_10-processed-gene-2.51-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.51&CDS=1-1938
OG0001732	YGR217W	snap_masked-flattened_line_2-processed-gene-6.42-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.42&CDS=1-6594
OG0001733	YGR218W	snap_masked-flattened_line_38-processed-gene-1.59-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.59&CDS=1-3240
OG0001734	YGR220C	snap_masked-flattened_line_38-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.20&CDS=1-822
OG0001735	YGR223C	snap_masked-flattened_line_8-processed-gene-2.127-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.127&CDS=1-1251
OG0001736	YGR225W	maker-flattened_line_10-snap-gene-2.84-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.84&CDS=1-1626
OG0001737	YGR227W	genemark-flattened_line_10-processed-gene-2.31-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.31&CDS=1-1455
OG0001738	YGR229C	snap_masked-flattened_line_10-processed-gene-2.48-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.48&CDS=1-1377
OG0001739	YGR230W	genemark-flattened_line_10-processed-gene-2.30-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.30&CDS=1-201
OG0001740	YGR231C	snap_masked-flattened_line_10-processed-gene-2.47-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.47&CDS=1-906
OG0001741	YGR232W	snap_masked-flattened_line_10-processed-gene-2.69-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.69&CDS=1-798
OG0001742	YGR233C	snap_masked-flattened_line_36-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.60&CDS=1-3609
OG0001743	YGR235C	snap_masked-flattened_line_6-processed-gene-4.56-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.56&CDS=1-759
OG0001744	YGR244C	snap_masked-flattened_line_20-processed-gene-4.103-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.103&CDS=1-1299
OG0001745	YGR245C	snap_masked-flattened_line_22-processed-gene-3.58-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-3.58&CDS=1-2268
OG0001746	YGR246C	snap_masked-flattened_line_6-processed-gene-7.109-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.109&CDS=1-1512
OG0001747	YGR251W	augustus_masked-flattened_line_42-processed-gene-0.248-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.248&CDS=1-594
OG0001748	YGR252W	snap_masked-flattened_line_16-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.58&CDS=1-1362
OG0001749	YGR253C	snap_masked-flattened_line_16-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.76&CDS=1-759
OG0001750	YGR255C	snap_masked-flattened_line_46-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.21&CDS=1-1485
OG0001751	YGR257C	snap_masked-flattened_line_6-processed-gene-4.76-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.76&CDS=1-1143
OG0001752	YGR258C	snap_masked-flattened_line_14-processed-gene-5.199-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-5.199&CDS=1-2940
OG0001753	YGR260W	snap_masked-flattened_line_4-processed-gene-4.52-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-4.52&CDS=1-1530
OG0001754	YGR261C	snap_masked-flattened_line_14-processed-gene-2.64-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.64&CDS=1-2676
OG0001755	YGR262C	augustus_masked-flattened_line_14-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.147&CDS=1-1566
OG0001756	YGR264C	snap_masked-flattened_line_14-processed-gene-1.91-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.91&CDS=1-2226
OG0001757	YGR266W	snap_masked-flattened_line_16-processed-gene-1.72-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.72&CDS=1-2082
OG0001758	YGR267C	snap_masked-flattened_line_16-processed-gene-2.119-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.119&CDS=1-852
OG0001759	YGR268C	snap_masked-flattened_line_16-processed-gene-2.144-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.144&CDS=1-615
OG0001760	YGR270W	snap_masked-flattened_line_14-processed-gene-5.135-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-5.135&CDS=1-3813
OG0001761	YGR271W	snap_masked-flattened_line_16-processed-gene-2.145-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.145&CDS=1-5925
OG0001762	YGR274C	snap_masked-flattened_line_6-processed-gene-1.22-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.22&CDS=1-3405
OG0001763	YGR276C	snap_masked-flattened_line_6-processed-gene-1.21-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.21&CDS=1-2046
OG0001764	YGR277C	snap_masked-flattened_line_18-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.46&CDS=1-909
OG0001765	YGR278W	snap_masked-flattened_line_18-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.65&CDS=1-2094
OG0001766	YGR279C	snap_masked-flattened_line_18-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.45&CDS=1-1104
OG0001767	YGR280C	snap_masked-flattened_line_34-processed-gene-1.111-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.111&CDS=1-876
OG0001768	YGR282C	snap_masked-flattened_line_12-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.71&CDS=1-957
OG0001769	YGR284C	snap_masked-flattened_line_12-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.76&CDS=1-942
OG0001770	YGR285C	snap_masked-flattened_line_60-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.2&CDS=1-1290
OG0001771	YGR286C	snap_masked-flattened_line_32-processed-gene-1.120-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.120&CDS=1-1215
OG0001772	YHL002W	snap_masked-flattened_line_46-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.38&CDS=1-1746
OG0001773	YHL004W	snap_masked-flattened_line_46-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.37&CDS=1-1332
OG0001774	YHL008C	snap_masked-flattened_line_2-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.52&CDS=1-1575
OG0001775	YHL010C	snap_masked-flattened_line_4-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.54&CDS=1-1866
OG0001776	YHL015W	snap_masked-flattened_line_8-processed-gene-3.22-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.22&CDS=1-348
OG0001777	YHL016C	snap_masked-flattened_line_8-processed-gene-3.35-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.35&CDS=1-2139
OG0001778	YHL020C	snap_masked-flattened_line_8-processed-gene-7.52-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-7.52&CDS=1-1302
OG0001779	YHL021C	genemark-flattened_line_2-processed-gene-2.66-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.66&CDS=1-1266
OG0001780	YHL022C	augustus_masked-flattened_line_8-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.26&CDS=1-1284
OG0001781	YHL023C	snap_masked-flattened_line_26-processed-gene-2.4-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.4&CDS=1-2406
OG0001782	YHL024W	snap_masked-flattened_line_14-processed-gene-3.70-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.70&CDS=1-1794
OG0001783	YHL027W	snap_masked-flattened_line_0-processed-gene-6.45-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.45&CDS=1-1614
OG0001784	YHL029C	snap_masked-flattened_line_54-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.58&CDS=1-2100
OG0001785	YHL030W	snap_masked-flattened_line_28-processed-gene-2.88-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.88&CDS=1-5607
OG0001786	YHL031C	snap_masked-flattened_line_14-processed-gene-1.55-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.55&CDS=1-690
OG0001787	YHL032C	snap_masked-flattened_line_6-processed-gene-5.16-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.16&CDS=1-1842
OG0001788	YHR001W-A	snap_masked-flattened_line_8-processed-gene-3.21-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.21&CDS=1-219
OG0001789	YHR002W	snap_masked-flattened_line_8-processed-gene-7.16-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-7.16&CDS=1-1305
OG0001790	YHR004C	snap_masked-flattened_line_8-processed-gene-2.121-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.121&CDS=1-1551
OG0001791	YHR005C	snap_masked-flattened_line_22-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.46&CDS=1-1338
OG0001792	YHR005C-A	snap_masked-flattened_line_12-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.56&CDS=1-279
OG0001793	YHR007C	snap_masked-flattened_line_14-processed-gene-3.80-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.80&CDS=1-1572
OG0001794	YHR009C	snap_masked-flattened_line_2-processed-gene-9.72-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-9.72&CDS=1-1521
OG0001795	YHR011W	snap_masked-flattened_line_42-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.41&CDS=1-1410
OG0001796	YHR012W	snap_masked-flattened_line_2-processed-gene-9.66-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-9.66&CDS=1-834
OG0001797	YHR019C	maker-flattened_line_18-augustus-gene-0.41-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-0.41&CDS=1-3066
OG0001798	YHR020W	snap_masked-flattened_line_18-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.59&CDS=1-2040
OG0001799	YHR024C	snap_masked-flattened_line_32-processed-gene-2.54-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.54&CDS=1-1479
OG0001800	YHR025W	snap_masked-flattened_line_32-processed-gene-2.26-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.26&CDS=1-1074
OG0001801	YHR026W	snap_masked-flattened_line_32-processed-gene-2.53-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.53&CDS=1-534
OG0001802	YHR027C	genemark-flattened_line_32-processed-gene-2.84-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-2.84&CDS=1-2880
OG0001803	YHR029C	snap_masked-flattened_line_8-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.17&CDS=1-921
OG0001804	YHR030C	snap_masked-flattened_line_32-processed-gene-2.49-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.49&CDS=1-1527
OG0001805	YHR034C	snap_masked-flattened_line_6-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.18&CDS=1-1086
OG0001806	YHR037W	maker-flattened_line_20-augustus-gene-4.215-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-4.215&CDS=1-4674
