	Metschnikowia_mauinuiana	Saccharomyces_cerevisiae
OG0001076	augustus_masked-mau_s147-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-0.8&CDS=1-720	YJL065C
OG0001077	augustus_masked-mau_s147-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-0.22&CDS=1-3438	YKL033W
OG0001078	augustus_masked-mau_s147-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-0.23&CDS=1-1635	YOR037W
OG0001079	augustus_masked-mau_s147-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-0.24&CDS=1-780	YMR149W
OG0001080	augustus_masked-mau_s147-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-0.10&CDS=1-501	YJR118C
OG0001081	augustus_masked-mau_s147-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-0.26&CDS=1-1719	YER022W
OG0001082	augustus_masked-mau_s147-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-0.27&CDS=1-1512	YER021W
OG0001083	maker-mau_s147-augustus-gene-0.91-mRNA-1_1&gene=maker-mau_s147-augustus-gene-0.91&CDS=1-1500	YFL038C
OG0001084	augustus_masked-mau_s147-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.1&CDS=1-1035	YJR105W
OG0001085	augustus_masked-mau_s147-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.2&CDS=1-3168	YEL055C
OG0001086	augustus_masked-mau_s147-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.5&CDS=1-1968	YCR088W
OG0001087	genemark-mau_s147-processed-gene-1.74-mRNA-1_1&gene=genemark-mau_s147-processed-gene-1.74&CDS=1-1422	YMR171C
OG0001088	genemark-mau_s147-processed-gene-1.75-mRNA-1_1&gene=genemark-mau_s147-processed-gene-1.75&CDS=1-3075	YPR026W
OG0001089	maker-mau_s147-augustus-gene-1.154-mRNA-1_1&gene=maker-mau_s147-augustus-gene-1.154&CDS=1-921	YGR282C
OG0001090	augustus_masked-mau_s147-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.28&CDS=1-1329	YOR198C
OG0001091	maker-mau_s147-augustus-gene-1.152-mRNA-1_1&gene=maker-mau_s147-augustus-gene-1.152&CDS=1-2013	YOR196C
OG0001092	genemark-mau_s147-processed-gene-1.55-mRNA-1_1&gene=genemark-mau_s147-processed-gene-1.55&CDS=1-5052	YPL116W
OG0001093	maker-mau_s147-snap-gene-1.158-mRNA-1_1&gene=maker-mau_s147-snap-gene-1.158&CDS=1-1761	YOR194C
OG0001094	genemark-mau_s147-processed-gene-1.56-mRNA-1_1&gene=genemark-mau_s147-processed-gene-1.56&CDS=1-543	YCL001W
OG0001095	augustus_masked-mau_s147-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.31&CDS=1-3072	YNL243W
OG0001096	maker-mau_s147-augustus-gene-1.156-mRNA-1_1&gene=maker-mau_s147-augustus-gene-1.156&CDS=1-372	YDR529C
OG0001097	genemark-mau_s147-processed-gene-1.83-mRNA-1_1&gene=genemark-mau_s147-processed-gene-1.83&CDS=1-1041	YPR086W
OG0001098	augustus_masked-mau_s147-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.33&CDS=1-2064	YCL054W
OG0001099	augustus_masked-mau_s147-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.34&CDS=1-1728	YLR148W
OG0001100	augustus_masked-mau_s147-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.9&CDS=1-1950	YDR129C
OG0001101	augustus_masked-mau_s147-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.10&CDS=1-693	YKL009W
OG0001102	augustus_masked-mau_s147-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.35&CDS=1-1548	YKL089W
OG0001103	genemark-mau_s147-processed-gene-1.88-mRNA-1_1&gene=genemark-mau_s147-processed-gene-1.88&CDS=1-1995	YOL063C
OG0001104	snap_masked-mau_s147-processed-gene-1.113-mRNA-1_1&gene=snap_masked-mau_s147-processed-gene-1.113&CDS=1-1650	YKL100C
OG0001105	augustus_masked-mau_s147-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.13&CDS=1-1665	YPR088C
OG0001106	augustus_masked-mau_s147-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.38&CDS=1-363	YKL160W
OG0001107	augustus_masked-mau_s147-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.41&CDS=1-1053	YHR025W
OG0001108	augustus_masked-mau_s147-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.42&CDS=1-1575	YHR007C
OG0001109	augustus_masked-mau_s147-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.15&CDS=1-1320	YDR465C
OG0001110	augustus_masked-mau_s147-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.16&CDS=1-1482	YHR024C
OG0001111	genemark-mau_s147-processed-gene-1.97-mRNA-1_1&gene=genemark-mau_s147-processed-gene-1.97&CDS=1-1650	YKR002W
OG0001112	augustus_masked-mau_s147-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.18&CDS=1-2454	YNL267W
OG0001113	augustus_masked-mau_s147-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.19&CDS=1-2478	YJL204C
OG0001114	augustus_masked-mau_s147-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.45&CDS=1-456	YBR122C
OG0001115	augustus_masked-mau_s147-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.21&CDS=1-1620	YJL111W
OG0001116	augustus_masked-mau_s148-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.46&CDS=1-309	YLR099W-A
OG0001117	augustus_masked-mau_s148-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.47&CDS=1-1038	YDR126W
OG0001118	augustus_masked-mau_s148-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.73&CDS=1-513	YKL013C
OG0001119	augustus_masked-mau_s148-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.74&CDS=1-1941	YKL012W
OG0001120	augustus_masked-mau_s148-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.75&CDS=1-3984	YLR084C
OG0001121	augustus_masked-mau_s148-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.53&CDS=1-1917	YDR108W
OG0001122	augustus_masked-mau_s148-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.77&CDS=1-2736	YPR019W
OG0001123	augustus_masked-mau_s148-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.78&CDS=1-1278	YPL101W
OG0001124	augustus_masked-mau_s148-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.55&CDS=1-1419	YDR105C
OG0001125	augustus_masked-mau_s148-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.56&CDS=1-372	YPR020W
OG0001126	augustus_masked-mau_s148-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.79&CDS=1-1683	YGL171W
OG0001127	augustus_masked-mau_s148-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.57&CDS=1-612	YLR312W-A
OG0001128	augustus_masked-mau_s148-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.60&CDS=1-939	YDL237W
OG0001129	augustus_masked-mau_s148-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.80&CDS=1-858	YOR130C
OG0001130	augustus_masked-mau_s148-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.81&CDS=1-426	YOL040C
OG0001131	augustus_masked-mau_s148-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.61&CDS=1-330	YDR382W
OG0001132	augustus_masked-mau_s148-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.83&CDS=1-921	YLR242C
OG0001133	augustus_masked-mau_s148-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.85&CDS=1-1863	YLR234W
OG0001134	augustus_masked-mau_s148-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.63&CDS=1-1296	YDR198C
OG0001135	augustus_masked-mau_s148-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.86&CDS=1-1032	YHR063C
OG0001136	augustus_masked-mau_s148-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.64&CDS=1-717	YDR196C
OG0001137	snap_masked-mau_s148-processed-gene-0.146-mRNA-1_1&gene=snap_masked-mau_s148-processed-gene-0.146&CDS=1-3144	YLR240W
OG0001138	genemark-mau_s148-processed-gene-0.21-mRNA-1_1&gene=genemark-mau_s148-processed-gene-0.21&CDS=1-375	YLR245C
OG0001139	augustus_masked-mau_s148-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.66&CDS=1-1116	YLR244C
OG0001140	augustus_masked-mau_s148-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.67&CDS=1-1650	YDR188W
OG0001141	augustus_masked-mau_s148-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.69&CDS=1-1908	YDR189W
OG0001142	augustus_masked-mau_s148-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.90&CDS=1-1368	YDR190C
OG0001143	augustus_masked-mau_s154-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.75&CDS=1-2610	YKR024C
OG0001144	augustus_masked-mau_s154-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.76&CDS=1-906	YKR025W
OG0001145	augustus_masked-mau_s154-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.63&CDS=1-3615	YGL094C
OG0001146	augustus_masked-mau_s154-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.80&CDS=1-228	YPL183W-A
OG0001147	augustus_masked-mau_s154-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.82&CDS=1-759	YMR193W
OG0001148	genemark-mau_s154-processed-gene-0.39-mRNA-1_1&gene=genemark-mau_s154-processed-gene-0.39&CDS=1-2229	YHR205W
OG0001149	augustus_masked-mau_s154-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.67&CDS=1-3111	YLL031C
OG0001150	augustus_masked-mau_s154-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.69&CDS=1-2766	YGL167C
OG0001151	augustus_masked-mau_s154-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.83&CDS=1-828	YLR290C
OG0001152	augustus_masked-mau_s154-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.71&CDS=1-906	YJR142W
OG0001153	augustus_masked-mau_s154-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.26&CDS=1-285	YDR469W
OG0001154	augustus_masked-mau_s154-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.6&CDS=1-747	YDR468C
OG0001155	augustus_masked-mau_s154-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.7&CDS=1-957	YDR392W
OG0001156	maker-mau_s154-augustus-gene-1.132-mRNA-1_1&gene=maker-mau_s154-augustus-gene-1.132&CDS=1-2913	YOR144C
OG0001157	augustus_masked-mau_s154-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.10&CDS=1-795	YOR145C
OG0001158	augustus_masked-mau_s154-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.29&CDS=1-678	YHR013C
OG0001159	augustus_masked-mau_s154-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.30&CDS=1-741	YDR472W
OG0001160	augustus_masked-mau_s154-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.12&CDS=1-1359	YOR023C
OG0001161	snap_masked-mau_s154-processed-gene-1.120-mRNA-1_1&gene=snap_masked-mau_s154-processed-gene-1.120&CDS=1-1458	YHR109W
OG0001162	augustus_masked-mau_s154-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.14&CDS=1-843	YLR192C
OG0001163	augustus_masked-mau_s154-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.19&CDS=1-525	YOL129W
OG0001164	augustus_masked-mau_s154-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.35&CDS=1-1116	YNL307C
OG0001165	augustus_masked-mau_s154-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.20&CDS=1-609	YNL306W
OG0001166	maker-mau_s154-augustus-gene-1.131-mRNA-1_1&gene=maker-mau_s154-augustus-gene-1.131&CDS=1-426	YOL127W
OG0001167	augustus_masked-mau_s154-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.22&CDS=1-2469	YKR090W
OG0001168	augustus_masked-mau_s154-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.36&CDS=1-891	YKR088C
OG0001169	augustus_masked-mau_s154-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.25&CDS=1-867	YJL068C
OG0001170	augustus_masked-mau_s154-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.37&CDS=1-1188	YLR287C
OG0001171	augustus_masked-mau_s154-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.38&CDS=1-1938	YOR181W
OG0001172	augustus_masked-mau_s154-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.39&CDS=1-735	YJL063C
OG0001173	augustus_masked-mau_s156-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.66&CDS=1-852	YMR244W
OG0001174	augustus_masked-mau_s156-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.43&CDS=1-330	YMR059W
OG0001175	augustus_masked-mau_s156-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.68&CDS=1-3303	YDR359C
OG0001176	augustus_masked-mau_s156-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.69&CDS=1-1857	YDR091C
OG0001177	augustus_masked-mau_s156-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.44&CDS=1-4080	YER164W
OG0001178	augustus_masked-mau_s156-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.45&CDS=1-1851	YER165W
OG0001179	augustus_masked-mau_s156-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.46&CDS=1-2625	YDR074W
OG0001180	augustus_masked-mau_s156-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.50&CDS=1-1404	YDR036C
OG0001181	augustus_masked-mau_s156-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.71&CDS=1-1980	YLR214W
OG0001182	augustus_masked-mau_s156-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.51&CDS=1-1668	YCL043C
OG0001183	augustus_masked-mau_s156-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.72&CDS=1-2088	YCL039W
OG0001184	genemark-mau_s156-processed-gene-0.116-mRNA-1_1&gene=genemark-mau_s156-processed-gene-0.116&CDS=1-1392	YNL277W
OG0001185	augustus_masked-mau_s156-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.75&CDS=1-4908	YLR189C
OG0001186	augustus_masked-mau_s156-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.54&CDS=1-999	YOR075W
OG0001187	augustus_masked-mau_s156-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.55&CDS=1-1431	YPR036W
OG0001188	augustus_masked-mau_s156-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.80&CDS=1-930	YFR041C
OG0001189	augustus_masked-mau_s156-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.58&CDS=1-867	YEL072W
OG0001190	snap_masked-mau_s156-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mau_s156-processed-gene-0.20&CDS=1-645	YCR020C
OG0001191	augustus_masked-mau_s156-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.60&CDS=1-285	YMR225C
OG0001192	augustus_masked-mau_s156-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.61&CDS=1-1125	YJR149W
OG0001193	genemark-mau_s156-processed-gene-0.104-mRNA-1_1&gene=genemark-mau_s156-processed-gene-0.104&CDS=1-1161	YGR234W
OG0001194	augustus_masked-mau_s156-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.63&CDS=1-780	YLL041C
OG0001195	augustus_masked-mau_s156-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.64&CDS=1-1128	YOR388C
OG0001196	augustus_masked-mau_s156-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.131&CDS=1-822	YLR407W
OG0001197	augustus_masked-mau_s156-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.132&CDS=1-1485	YDL076C
OG0001198	augustus_masked-mau_s156-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.134&CDS=1-2808	YLR409C
OG0001199	augustus_masked-mau_s156-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.130&CDS=1-1836	YLR401C
OG0001200	augustus_masked-mau_s156-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.163&CDS=1-588	YDL072C
OG0001201	augustus_masked-mau_s156-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.164&CDS=1-1752	YLR152C
OG0001202	augustus_masked-mau_s156-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.166&CDS=1-1620	YML069W
OG0001203	augustus_masked-mau_s156-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.135&CDS=1-1095	YDR158W
OG0001204	augustus_masked-mau_s156-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.136&CDS=1-5109	YDR159W
OG0001205	maker-mau_s156-augustus-gene-1.0-mRNA-1_1&gene=maker-mau_s156-augustus-gene-1.0&CDS=1-1284	YJR125C
OG0001206	augustus_masked-mau_s156-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.168&CDS=1-675	YDL098C
OG0001207	genemark-mau_s156-processed-gene-1.109-mRNA-1_1&gene=genemark-mau_s156-processed-gene-1.109&CDS=1-762	YMR157C
OG0001208	augustus_masked-mau_s156-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.140&CDS=1-468	YMR158W
OG0001209	augustus_masked-mau_s156-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.142&CDS=1-1011	YGL115W
OG0001210	augustus_masked-mau_s156-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.143&CDS=1-2088	YGL114W
OG0001211	augustus_masked-mau_s156-processed-gene-1.172-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.172&CDS=1-936	YBR231C
OG0001212	augustus_masked-mau_s156-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.173&CDS=1-345	YLL014W
OG0001213	augustus_masked-mau_s156-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.145&CDS=1-1197	YGR185C
OG0001214	snap_masked-mau_s156-processed-gene-1.21-mRNA-1_1&gene=snap_masked-mau_s156-processed-gene-1.21&CDS=1-201	YGR183C
OG0001215	maker-mau_s156-snap-gene-1.191-mRNA-1_1&gene=maker-mau_s156-snap-gene-1.191&CDS=1-4797	YDR301W
OG0001216	augustus_masked-mau_s156-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.147&CDS=1-600	YBL040C
OG0001217	augustus_masked-mau_s156-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.178&CDS=1-723	YBL041W
OG0001218	augustus_masked-mau_s156-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.179&CDS=1-294	YGR181W
OG0001219	maker-mau_s156-snap-gene-1.190-mRNA-1_1&gene=maker-mau_s156-snap-gene-1.190&CDS=1-2259	YPL109C
OG0001220	augustus_masked-mau_s156-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.150&CDS=1-717	YAL049C
OG0001221	augustus_masked-mau_s156-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.152&CDS=1-1095	YGR187C
OG0001222	augustus_masked-mau_s156-processed-gene-1.180-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.180&CDS=1-1713	YGR186W
OG0001223	augustus_masked-mau_s156-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.154&CDS=1-1230	YJR013W
OG0001224	augustus_masked-mau_s156-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.155&CDS=1-732	YGR195W
OG0001225	maker-mau_s156-augustus-gene-1.2-mRNA-1_1&gene=maker-mau_s156-augustus-gene-1.2&CDS=1-1755	YKL087C
OG0001226	augustus_masked-mau_s156-processed-gene-1.184-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.184&CDS=1-1317	YMR220W
OG0001227	augustus_masked-mau_s156-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.157&CDS=1-1347	YBR166C
OG0001228	augustus_masked-mau_s156-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.185&CDS=1-555	YBR164C
OG0001229	augustus_masked-mau_s156-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.158&CDS=1-639	YMR311C
OG0001230	augustus_masked-mau_s156-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.186&CDS=1-1272	YGR285C
OG0001231	genemark-mau_s156-processed-gene-1.98-mRNA-1_1&gene=genemark-mau_s156-processed-gene-1.98&CDS=1-1782	YBR158W
OG0001232	augustus_masked-mau_s156-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.188&CDS=1-2268	YOL076W
OG0001233	augustus_masked-mau_s157-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mau_s157-processed-gene-0.14&CDS=1-1392	YPL235W
OG0001234	augustus_masked-mau_s157-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mau_s157-processed-gene-0.19&CDS=1-480	YPL234C
OG0001235	augustus_masked-mau_s157-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mau_s157-processed-gene-0.17&CDS=1-618	YJR050W
OG0001236	genemark-mau_s158-processed-gene-0.2-mRNA-1_1&gene=genemark-mau_s158-processed-gene-0.2&CDS=1-1896	YMR092C
OG0001237	augustus_masked-mau_s158-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.36&CDS=1-2091	YEL011W
OG0001238	augustus_masked-mau_s158-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.37&CDS=1-1932	YMR106C
OG0001239	augustus_masked-mau_s158-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.55&CDS=1-1101	YMR097C
OG0001240	augustus_masked-mau_s158-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.38&CDS=1-864	YKL110C
OG0001241	augustus_masked-mau_s158-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.56&CDS=1-738	YKL099C
OG0001242	augustus_masked-mau_s158-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.39&CDS=1-1806	YMR098C
OG0001243	augustus_masked-mau_s158-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.40&CDS=1-1416	YKL108W
OG0001244	augustus_masked-mau_s158-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.57&CDS=1-1509	YKR023W
OG0001245	genemark-mau_s158-processed-gene-0.9-mRNA-1_1&gene=genemark-mau_s158-processed-gene-0.9&CDS=1-1440	YJL106W
OG0001246	genemark-mau_s158-processed-gene-0.10-mRNA-1_1&gene=genemark-mau_s158-processed-gene-0.10&CDS=1-909	YGR127W
OG0001247	augustus_masked-mau_s158-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.43&CDS=1-996	YPR147C
OG0001248	maker-mau_s158-augustus-gene-0.69-mRNA-1_1&gene=maker-mau_s158-augustus-gene-0.69&CDS=1-2460	YBR034C
OG0001249	augustus_masked-mau_s158-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.46&CDS=1-381	YCL033C
OG0001250	augustus_masked-mau_s158-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.58&CDS=1-945	YDL015C
OG0001251	augustus_masked-mau_s158-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.47&CDS=1-450	YOR298C-A
OG0001252	genemark-mau_s158-processed-gene-0.28-mRNA-1_1&gene=genemark-mau_s158-processed-gene-0.28&CDS=1-6000	YJL109C
OG0001253	augustus_masked-mau_s158-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.49&CDS=1-210	YBL071W-A
OG0001254	augustus_masked-mau_s158-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.51&CDS=1-690	YAR008W
OG0001255	augustus_masked-mau_s158-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.64&CDS=1-2778	YJL154C
