	Saccharomyces_cerevisiae	yHMPu5000034615_Saturnispora_zaruensis
OG0001774	YIR029W	maker-NODE_7_length_395067_cov_41.3947_ID_13-augustus-gene-2.246-mRNA-1_1&gene=maker-NODE_7_length_395067_cov_41.3947_ID_13-augustus-gene-2.246&CDS=1-1986
OG0001775	YIR030C	augustus_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-7.30&CDS=1-690
OG0001776	YIR034C	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-6.51-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-6.51&CDS=1-1122
OG0001777	YIR037W	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-3.98-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-3.98&CDS=1-480
OG0001778	YJL001W	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-8.128-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-8.128&CDS=1-639
OG0001779	YJL002C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-12.17-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-12.17&CDS=1-1515
OG0001780	YJL004C	snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-8.254-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-8.254&CDS=1-585
OG0001781	YJL005W	augustus_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-0.122&CDS=1-5226
OG0001782	YJL008C	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-9.141-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-9.141&CDS=1-1665
OG0001783	YJL010C	maker-NODE_3_length_1190395_cov_43.5002_ID_5-snap-gene-4.86-mRNA-1_1&gene=maker-NODE_3_length_1190395_cov_43.5002_ID_5-snap-gene-4.86&CDS=1-3894
OG0001784	YJL011C	augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-8.140-mRNA-1_1&gene=augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-8.140&CDS=1-711
OG0001785	YJL012C	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-1.117-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-1.117&CDS=1-2121
OG0001786	YJL014W	genemark-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-3.93-mRNA-1_1&gene=genemark-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-3.93&CDS=1-1581
OG0001787	YJL020C	snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-0.44&CDS=1-3114
OG0001788	YJL024C	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.134-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.134&CDS=1-522
OG0001789	YJL025W	snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-8.241-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-8.241&CDS=1-1446
OG0001790	YJL026W	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-4.17-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-4.17&CDS=1-1176
OG0001791	YJL029C	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-9.118-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-9.118&CDS=1-2703
OG0001792	YJL030W	snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-1.47-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-1.47&CDS=1-642
OG0001793	YJL031C	snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-1.22&CDS=1-1023
OG0001794	YJL033W	snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.136-mRNA-1_1&gene=snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.136&CDS=1-2283
OG0001795	YJL035C	snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.81&CDS=1-726
OG0001796	YJL036W	snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.40&CDS=1-1845
OG0001797	YJL039C	snap_masked-NODE_14_length_194165_cov_42.4575_ID_27-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_14_length_194165_cov_42.4575_ID_27-processed-gene-0.86&CDS=1-5499
OG0001798	YJL041W	genemark-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-10.282-mRNA-1_1&gene=genemark-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-10.282&CDS=1-1926
OG0001799	YJL046W	snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.37&CDS=1-1611
OG0001800	YJL049W	snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-2.5-mRNA-1_1&gene=snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-2.5&CDS=1-1311
OG0001801	YJL050W	snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-1.131-mRNA-1_1&gene=snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-1.131&CDS=1-3210
OG0001802	YJL053W	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-5.13-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-5.13&CDS=1-978
OG0001803	YJL054W	snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.318-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.318&CDS=1-1383
OG0001804	YJL055W	snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-0.24&CDS=1-699
OG0001805	YJL057C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.48&CDS=1-2199
OG0001806	YJL060W	snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-1.138-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-1.138&CDS=1-1353
OG0001807	YJL061W	augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-6.53&CDS=1-2217
OG0001808	YJL062W	genemark-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-5.108-mRNA-1_1&gene=genemark-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-5.108&CDS=1-2535
OG0001809	YJL062W-A	augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.136&CDS=1-285
OG0001810	YJL063C	snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-0.124&CDS=1-633
OG0001811	YJL066C	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-2.15&CDS=1-807
OG0001812	YJL068C	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.95-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.95&CDS=1-852
OG0001813	YJL069C	snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-4.13-mRNA-1_1&gene=snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-4.13&CDS=1-1719
OG0001814	YJL071W	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.19-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.19&CDS=1-1719
OG0001815	YJL072C	augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.132&CDS=1-516
OG0001816	YJL079C	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-8.46-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-8.46&CDS=1-855
OG0001817	YJL080C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-8.98-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-8.98&CDS=1-3084
OG0001818	YJL081C	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-3.9-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-3.9&CDS=1-1443
OG0001819	YJL087C	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-5.117-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-5.117&CDS=1-2493
OG0001820	YJL088W	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-1.158-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-1.158&CDS=1-999
OG0001821	YJL091C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-3.122-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-3.122&CDS=1-1512
OG0001822	YJL092W	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-6.150-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-6.150&CDS=1-2886
OG0001823	YJL093C	genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.231-mRNA-1_1&gene=genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.231&CDS=1-2439
OG0001824	YJL094C	snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.279-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.279&CDS=1-2229
OG0001825	YJL095W	snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.137-mRNA-1_1&gene=snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.137&CDS=1-3630
OG0001826	YJL096W	snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.138&CDS=1-357
OG0001827	YJL097W	snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.139&CDS=1-615
OG0001828	YJL099W, YKR027W	
OG0001829	YJL101C	snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-1.22&CDS=1-1938
OG0001830	YJL102W	snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.33&CDS=1-2487
OG0001831	YJL104W	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.81-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.81&CDS=1-405
OG0001832	YJL106W	genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.220-mRNA-1_1&gene=genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.220&CDS=1-1728
OG0001833	YJL109C	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-8.114-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-8.114&CDS=1-5328
OG0001834	YJL111W	genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.42-mRNA-1_1&gene=genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.42&CDS=1-1638
OG0001835	YJL115W	maker-NODE_1_length_1371552_cov_40.6037_ID_1-snap-gene-9.1-mRNA-1_1&gene=maker-NODE_1_length_1371552_cov_40.6037_ID_1-snap-gene-9.1&CDS=1-2958
OG0001836	YJL117W	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-8.54-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-8.54&CDS=1-1068
OG0001837	YJL121C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.136-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.136&CDS=1-702
OG0001838	YJL122W	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.135-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.135&CDS=1-384
OG0001839	YJL123C	snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.222-mRNA-1_1&gene=snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.222&CDS=1-1257
OG0001840	YJL124C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.132-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.132&CDS=1-426
OG0001841	YJL125C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.108&CDS=1-1002
OG0001842	YJL126W	genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.60-mRNA-1_1&gene=genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.60&CDS=1-1215
OG0001843	YJL128C	snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-0.102&CDS=1-2130
OG0001844	YJL130C	snap_masked-NODE_15_length_154211_cov_41.2508_ID_29-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_15_length_154211_cov_41.2508_ID_29-processed-gene-0.73&CDS=1-6651
OG0001845	YJL131C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-12.64-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-12.64&CDS=1-921
OG0001846	YJL132W	snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-0.23&CDS=1-2268
OG0001847	YJL140W	genemark-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.67-mRNA-1_1&gene=genemark-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.67&CDS=1-576
OG0001848	YJL141C	snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.331-mRNA-1_1&gene=snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.331&CDS=1-1659
OG0001849	YJL143W	snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.330-mRNA-1_1&gene=snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.330&CDS=1-483
OG0001850	YJL153C	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-5.28-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-5.28&CDS=1-1548
OG0001851	YJL154C	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-10.135-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-10.135&CDS=1-2451
OG0001852	YJL155C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.31-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.31&CDS=1-1272
OG0001853	YJL156C	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.13-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.13&CDS=1-2436
OG0001854	YJL157C	augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-0.77&CDS=1-2523
OG0001855	YJL158C	snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-1.106&CDS=1-657
OG0001856	YJL163C	snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-3.50-mRNA-1_1&gene=snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-3.50&CDS=1-1866
OG0001857	YJL167W	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-9.148-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-9.148&CDS=1-1053
OG0001858	YJL168C	snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-0.91&CDS=1-2286
OG0001859	YJL171C	snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-1.147-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-1.147&CDS=1-1191
OG0001860	YJL176C	snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-1.126-mRNA-1_1&gene=snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-1.126&CDS=1-1857
OG0001861	YJL179W	snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.277-mRNA-1_1&gene=snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.277&CDS=1-330
OG0001862	YJL180C	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-0.22&CDS=1-954
OG0001863	YJL184W	snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.274-mRNA-1_1&gene=snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.274&CDS=1-288
OG0001864	YJL187C	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-1.111&CDS=1-2937
OG0001865	YJL189W	genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-10.92-mRNA-1_1&gene=genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-10.92&CDS=1-153
OG0001866	YJL197W	maker-NODE_4_length_1115028_cov_40.7497_ID_7-snap-gene-7.89-mRNA-1_1&gene=maker-NODE_4_length_1115028_cov_40.7497_ID_7-snap-gene-7.89&CDS=1-3579
OG0001867	YJL201W	genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.30-mRNA-1_1&gene=genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.30&CDS=1-2046
OG0001868	YJL204C	genemark-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-4.178-mRNA-1_1&gene=genemark-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-4.178&CDS=1-2823
OG0001869	YJL205C	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.51-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.51&CDS=1-186
OG0001870	YJL207C	genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-4.54-mRNA-1_1&gene=genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-4.54&CDS=1-6735
OG0001871	YJL208C	genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.62-mRNA-1_1&gene=genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.62&CDS=1-999
OG0001872	YJL212C	augustus_masked-NODE_216_length_373_cov_0.769841_ID_431-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_216_length_373_cov_0.769841_ID_431-processed-gene-0.1&CDS=1-291
OG0001873	YJR001W	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.155-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.155&CDS=1-1662
OG0001874	YJR002W	snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.154-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.154&CDS=1-1707
OG0001875	YJR003C	snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-8.247-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-8.247&CDS=1-1587
OG0001876	YJR006W	snap_masked-NODE_14_length_194165_cov_42.4575_ID_27-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_14_length_194165_cov_42.4575_ID_27-processed-gene-0.5&CDS=1-1407
OG0001877	YJR007W	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.154-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.154&CDS=1-921
OG0001878	YJR008W	genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.16-mRNA-1_1&gene=genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.16&CDS=1-933
OG0001879	YJR010W	snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-10.180-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-10.180&CDS=1-1701
OG0001880	YJR013W	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-10.17-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-10.17&CDS=1-1158
OG0001881	YJR014W	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-0.23&CDS=1-534
OG0001882	YJR017C	augustus_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.93&CDS=1-504
OG0001883	YJR019C	snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-5.147-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-5.147&CDS=1-1125
OG0001884	YJR024C	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-1.50&CDS=1-633
OG0001885	YJR025C	snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.324-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.324&CDS=1-510
OG0001886	YJR033C	snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.265-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.265&CDS=1-4566
OG0001887	YJR034W	snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.307-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.307&CDS=1-324
OG0001888	YJR035W	snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.306-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.306&CDS=1-3441
OG0001889	YJR036C	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.132-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.132&CDS=1-2598
OG0001890	YJR040W	snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.48-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.48&CDS=1-2379
OG0001891	YJR041C	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.152-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.152&CDS=1-3456
OG0001892	YJR042W	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.127-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.127&CDS=1-2241
OG0001893	YJR050W	snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-1.51&CDS=1-612
OG0001894	YJR052W	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-9.30-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-9.30&CDS=1-1749
OG0001895	YJR053W	augustus_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-10.66&CDS=1-1404
OG0001896	YJR055W	snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.28&CDS=1-462
OG0001897	YJR056C	snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-6.33-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-6.33&CDS=1-591
