	Ambrosiozyma_kashinagacola	Saccharomyces_cerevisiae
OG0001217	-processed-gene-6.175-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.175&CDS=1-1017	YOR340C
OG0001218	-processed-gene-6.176-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.176&CDS=1-972	YAL034W-A
OG0001219	-processed-gene-6.177-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.177&CDS=1-1251	YPR133C
OG0001220	-processed-gene-6.213-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.213&CDS=1-567	YPR131C
OG0001221	-augustus-gene-6.82-mRNA-1_1&gene=maker-gi|1002316249|dbj|BCGA01000008.1|-augustus-gene-6.82&CDS=1-966	YPR129W
OG0001222	-processed-gene-6.215-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.215&CDS=1-951	YIL021W
OG0001223	-processed-gene-6.216-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.216&CDS=1-801	YIL020C
OG0001224	-processed-gene-6.181-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.181&CDS=1-729	YIL019W
OG0001225	-processed-gene-6.217-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.217&CDS=1-2682	YPR135W
OG0001226	-processed-gene-6.182-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.182&CDS=1-1662	YPR137W
OG0001227	-processed-gene-6.183-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.183&CDS=1-1530	YDR256C
OG0001228	-processed-gene-6.185-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.185&CDS=1-1602	YBR186W
OG0001229	-processed-gene-6.187-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.187&CDS=1-1062	YBR187W
OG0001230	-processed-gene-6.188-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.188&CDS=1-627	YFL046W
OG0001231	-processed-gene-6.223-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.223&CDS=1-1119	YDR354W
OG0001232	-augustus-gene-6.79-mRNA-1_1&gene=maker-gi|1002316249|dbj|BCGA01000008.1|-augustus-gene-6.79&CDS=1-1167	YHR107C
OG0001233	-augustus-gene-6.83-mRNA-1_1&gene=maker-gi|1002316249|dbj|BCGA01000008.1|-augustus-gene-6.83&CDS=1-366	YER072W
OG0001234	-processed-gene-6.225-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.225&CDS=1-2241	YIL068C
OG0001235	-processed-gene-6.227-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.227&CDS=1-1032	YNR003C
OG0001236	-processed-gene-6.193-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.193&CDS=1-1002	YJL088W
OG0001237	-processed-gene-6.230-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.230&CDS=1-4029	YDR359C
OG0001238	-processed-gene-6.197-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.197&CDS=1-1278	YOR117W
OG0001239	-processed-gene-6.233-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.233&CDS=1-1488	YDR364C
OG0001240	-processed-gene-6.198-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.198&CDS=1-900	YDR361C
OG0001241	-processed-gene-6.202-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.202&CDS=1-4407	YOR116C
OG0001242	-processed-gene-6.235-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.235&CDS=1-1209	YDR262W
OG0001243	-processed-gene-6.237-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.237&CDS=1-1905	YLR077W
OG0001244	-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.96&CDS=1-2157	YKL171W
OG0001245	-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.121&CDS=1-2445	YFR038W
OG0001246	-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.97&CDS=1-1650	YFR037C
OG0001247	-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.98&CDS=1-1284	YDL097C
OG0001248	-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.99&CDS=1-459	YDR246W
OG0001249	-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.100&CDS=1-1479	YOL061W
OG0001250	-processed-gene-0.28-mRNA-1_1&gene=genemark-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.28&CDS=1-1800	YDL025C
OG0001251	-snap-gene-0.142-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-snap-gene-0.142&CDS=1-3480	YOL060C
OG0001252	-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.125&CDS=1-1524	YOL062C
OG0001253	-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.126&CDS=1-1041	YMR146C
OG0001254	-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.101&CDS=1-2535	YOR217W
OG0001255	-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.128&CDS=1-2241	YBR007C
OG0001256	-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.130&CDS=1-4011	YIL031W
OG0001257	-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.105&CDS=1-1242	YIL022W
OG0001258	-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.107&CDS=1-3573	YGR090W
OG0001259	-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.133&CDS=1-1005	YPR110C
OG0001260	-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.110&CDS=1-807	YMR149W
OG0001261	-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.135&CDS=1-603	YMR150C
OG0001262	-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.111&CDS=1-495	YPL127C
OG0001263	-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.116&CDS=1-1074	YNR032W
OG0001264	-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.138&CDS=1-219	YNR032C-A
OG0001265	-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.117&CDS=1-2070	YNR039C
OG0001266	-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.140&CDS=1-801	YDL087C
OG0001267	-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.111&CDS=1-1374	YOR375C
OG0001268	-augustus-gene-1.3-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-1.3&CDS=1-615	YPL051W
OG0001269	-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.112&CDS=1-273	YNR037C
OG0001270	-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.115&CDS=1-1701	YCR079W
OG0001271	-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.113&CDS=1-456	YMR002W
OG0001272	-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.136&CDS=1-2409	YOL006C
OG0001273	-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.118&CDS=1-1944	YMR001C
OG0001274	-augustus-gene-1.5-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-1.5&CDS=1-372	YOL005C
OG0001275	-augustus-gene-1.0-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-1.0&CDS=1-3987	YOL004W
OG0001276	-augustus-gene-1.6-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-1.6&CDS=1-1116	YOL003C
OG0001277	-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.140&CDS=1-3549	YPL248C
OG0001278	-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.142&CDS=1-1374	YDL101C
OG0001279	-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.123&CDS=1-474	YOL143C
OG0001280	-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.124&CDS=1-948	YNR054C
OG0001281	-snap-gene-1.56-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-snap-gene-1.56&CDS=1-3630	YMR287C
OG0001282	-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.146&CDS=1-3294	YOL145C
OG0001283	-snap-gene-1.57-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-snap-gene-1.57&CDS=1-1413	YOL144W
OG0001284	-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.128&CDS=1-3315	YPL160W
OG0001285	-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.147&CDS=1-1014	YOR246C
OG0001286	-augustus-gene-1.1-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-1.1&CDS=1-1533	YPL247C
OG0001287	-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.130&CDS=1-3072	YMR189W
OG0001288	-augustus-gene-1.2-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-1.2&CDS=1-1323	YBR176W
OG0001289	-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.150&CDS=1-1356	YPL103C
OG0001290	-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.151&CDS=1-1962	YKL088W
OG0001291	-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.152&CDS=1-810	YER148W
OG0001292	-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.134&CDS=1-1764	YDR389W
OG0001293	-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.154&CDS=1-1803	YDR390C
OG0001294	-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.135&CDS=1-717	YPR183W
OG0001295	-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.155&CDS=1-621	YML041C
OG0001296	-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.156&CDS=1-3204	YLR071C
OG0001297	-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.3&CDS=1-1608	YKL116C
OG0001298	-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.4&CDS=1-4050	YLR086W
OG0001299	-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.28&CDS=1-1476	YBR003W
OG0001300	-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.29&CDS=1-633	YDR002W
OG0001301	-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.30&CDS=1-1047	YFR045W
OG0001302	-processed-gene-2.104-mRNA-1_1&gene=genemark-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.104&CDS=1-1005	YGR208W
OG0001303	-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.31&CDS=1-831	YMR289W
OG0001304	-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.11&CDS=1-1668	YBR274W
OG0001305	-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.12&CDS=1-2058	YMR224C
OG0001306	-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.34&CDS=1-1152	YGL184C
OG0001307	-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.35&CDS=1-1128	YGL185C
OG0001308	-processed-gene-2.131-mRNA-1_1&gene=genemark-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.131&CDS=1-462	YGL187C
OG0001309	-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.17&CDS=1-1452	YGL190C
OG0001310	-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.37&CDS=1-399	YGL191W
OG0001311	-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.38&CDS=1-1695	YGL192W
OG0001312	-snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-snap-gene-2.1&CDS=1-4245	YBL097W
OG0001313	-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.39&CDS=1-2349	YGL009C
OG0001314	-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.40&CDS=1-1359	YBL098W
OG0001315	-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.41&CDS=1-1389	YER122C
OG0001316	-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.42&CDS=1-3672	YIL030C
OG0001317	-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.44&CDS=1-822	YJR116W
OG0001318	-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.21&CDS=1-1041	YJR105W
OG0001319	-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.23&CDS=1-6528	YDR150W
OG0001320	-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.45&CDS=1-1779	YBR296C
OG0001321	-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.46&CDS=1-855	YPL094C
OG0001322	-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.24&CDS=1-2847	YDR160W
OG0001323	-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.47&CDS=1-822	YJR050W
OG0001324	-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.25&CDS=1-1851	YEL042W
OG0001325	-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.27&CDS=1-3909	YMR304W
OG0001326	-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.48&CDS=1-885	YGR277C
OG0001327	-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.91&CDS=1-2088	YGR278W
OG0001328	-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.92&CDS=1-1173	YNL231C
OG0001329	-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.93&CDS=1-2130	YDR164C
OG0001330	-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.94&CDS=1-4443	YNL233W
OG0001331	-processed-gene-3.30-mRNA-1_1&gene=genemark-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.30&CDS=1-1266	YNL234W
OG0001332	-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.120&CDS=1-3546	YNL236W
OG0001333	-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.96&CDS=1-3324	YOL138C
OG0001334	-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.121&CDS=1-969	YNL320W
OG0001335	-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.97&CDS=1-819	YCR075C
OG0001336	-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.100&CDS=1-825	YER023W
OG0001337	-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.123&CDS=1-555	YJR118C
OG0001338	-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.102&CDS=1-2526	YJR119C
OG0001339	-augustus-gene-3.0-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-3.0&CDS=1-1506	YJR121W
OG0001340	-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.104&CDS=1-1344	YJR117W
OG0001341	-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.105&CDS=1-1776	YJL071W
OG0001342	-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.125&CDS=1-1665	YPL086C
OG0001343	-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.108&CDS=1-1878	YBR182C
OG0001344	-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.126&CDS=1-1236	YJL203W
OG0001345	-processed-gene-3.41-mRNA-1_1&gene=genemark-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.41&CDS=1-1689	YML123C
OG0001346	-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.111&CDS=1-1998	YML097C
OG0001347	-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.112&CDS=1-774	YOR281C
OG0001348	-snap-gene-3.135-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-snap-gene-3.135&CDS=1-2691	YOR002W
OG0001349	-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.116&CDS=1-2127	YLR319C
OG0001350	-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.131&CDS=1-1890	YLR318W
OG0001351	-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.117&CDS=1-1008	YLR316C
OG0001352	-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.118&CDS=1-387	YNL153C
OG0001353	-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.48&CDS=1-1278	YPL146C
OG0001354	-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.51&CDS=1-2199	YNR033W
OG0001355	-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.68&CDS=1-1377	YLL011W
OG0001356	-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.70&CDS=1-3294	YOL034W
OG0001357	-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.54&CDS=1-2589	YAL011W
OG0001358	-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.56&CDS=1-888	YPL131W
OG0001359	-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.61&CDS=1-813	YBL054W
OG0001360	-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.62&CDS=1-1086	YBL055C
OG0001361	-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.75&CDS=1-588	YDL135C
OG0001362	-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.76&CDS=1-1938	YDL189W
OG0001363	-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.77&CDS=1-3177	YDL190C
OG0001364	-processed-gene-4.122-mRNA-1_1&gene=genemark-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.122&CDS=1-1161	YDL193W
OG0001365	-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.83&CDS=1-2469	YDL056W
OG0001366	-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.66&CDS=1-1770	YDL057W
OG0001367	-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.86&CDS=1-1728	YBL019W
OG0001368	-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.88&CDS=1-465	YHR191C
OG0001369	-processed-gene-5.49-mRNA-1_1&gene=snap_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.49&CDS=1-2016	YJL106W
OG0001370	-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.90&CDS=1-1737	YKR023W
OG0001371	-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.93&CDS=1-420	YJL104W
OG0001372	-processed-gene-5.69-mRNA-1_1&gene=snap_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.69&CDS=1-15012	YLR106C
OG0001373	-processed-gene-5.70-mRNA-1_1&gene=snap_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.70&CDS=1-921	YPL096W
OG0001374	-processed-gene-5.72-mRNA-1_1&gene=snap_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.72&CDS=1-1503	YPL097W
OG0001375	-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.111&CDS=1-1347	YML080W
OG0001376	-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.96&CDS=1-3786	YDL240W
OG0001377	-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.113&CDS=1-3171	YMR231W
OG0001378	-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.98&CDS=1-2136	YLR362W
OG0001379	-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.115&CDS=1-1395	YGL194C
OG0001380	-augustus-gene-5.0-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-5.0&CDS=1-744	YGL011C
OG0001381	-snap-gene-5.46-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-snap-gene-5.46&CDS=1-2823	YGL012W
OG0001382	-processed-gene-5.80-mRNA-1_1&gene=snap_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.80&CDS=1-1914	YHL020C
OG0001383	-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.120&CDS=1-1908	YOR204W
