	Saccharomyces_cerevisiae	Saccharomyces_uvarum
OG0002408	YJR043C	genemark-Sbay_12-processed-gene-2.114-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.114&CDS=1-1056
OG0002409	YJR044C	genemark-Sbay_12-processed-gene-2.115-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.115&CDS=1-420
OG0002410	YJR046W	genemark-Sbay_12-processed-gene-2.113-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.113&CDS=1-1869
OG0002411	YJR048W	genemark-Sbay_12-processed-gene-2.117-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.117&CDS=1-327
OG0002412	YJR049C	genemark-Sbay_12-processed-gene-2.141-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.141&CDS=1-1599
OG0002413	YJR050W	genemark-Sbay_12-processed-gene-2.118-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.118&CDS=1-726
OG0002414	YJR052W	augustus_masked-Sbay_12-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-2.21&CDS=1-3492
OG0002415	YJR054W	genemark-Sbay_12-processed-gene-2.122-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.122&CDS=1-1500
OG0002416	YJR055W	genemark-Sbay_12-processed-gene-2.123-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.123&CDS=1-495
OG0002417	YJR056C	genemark-Sbay_12-processed-gene-2.143-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.143&CDS=1-693
OG0002418	YJR057W	genemark-Sbay_12-processed-gene-2.124-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.124&CDS=1-651
OG0002419	YJR058C	snap_masked-Sbay_12-processed-gene-2.91-mRNA-1_1&gene=snap_masked-Sbay_12-processed-gene-2.91&CDS=1-441
OG0002420	YJR059W	genemark-Sbay_12-processed-gene-2.125-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.125&CDS=1-2457
OG0002421	YJR060W	genemark-Sbay_12-processed-gene-2.126-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.126&CDS=1-1071
OG0002422	YJR061W	augustus_masked-Sbay_12-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-2.26&CDS=1-2808
OG0002423	YJR062C	augustus_masked-Sbay_12-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-2.44&CDS=1-1341
OG0002424	YJR063W	genemark-Sbay_12-processed-gene-2.128-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.128&CDS=1-375
OG0002425	YJR064W	genemark-Sbay_12-processed-gene-2.129-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.129&CDS=1-1686
OG0002426	YJR065C	genemark-Sbay_12-processed-gene-2.145-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.145&CDS=1-1347
OG0002427	YJR067C	genemark-Sbay_12-processed-gene-2.146-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.146&CDS=1-420
OG0002428	YJR068W	genemark-Sbay_12-processed-gene-2.131-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.131&CDS=1-1059
OG0002429	YJR069C	genemark-Sbay_12-processed-gene-2.147-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.147&CDS=1-591
OG0002430	YJR072C	maker-Sbay_12-augustus-gene-2.6-mRNA-1_1&gene=maker-Sbay_12-augustus-gene-2.6&CDS=1-2142
OG0002431	YJR073C	genemark-Sbay_12-processed-gene-2.150-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.150&CDS=1-618
OG0002432	YJR074W	maker-Sbay_12-snap-gene-2.9-mRNA-1_1&gene=maker-Sbay_12-snap-gene-2.9&CDS=1-615
OG0002433	YJR075W	genemark-Sbay_12-processed-gene-2.133-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.133&CDS=1-1188
OG0002434	YJR076C	genemark-Sbay_12-processed-gene-2.151-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.151&CDS=1-1245
OG0002435	YJR077C	genemark-Sbay_12-processed-gene-2.152-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.152&CDS=1-933
OG0002436	YJR078W	genemark-Sbay_12-processed-gene-2.134-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.134&CDS=1-1356
OG0002437	YJR080C	augustus_masked-Sbay_12-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-2.52&CDS=1-2499
OG0002438	YJR084W	genemark-Sbay_12-processed-gene-2.135-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.135&CDS=1-1269
OG0002439	YJR085C	genemark-Sbay_12-processed-gene-2.156-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.156&CDS=1-315
OG0002440	YJR086W	genemark-Sbay_12-processed-gene-2.136-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.136&CDS=1-324
OG0002441	YJR088C	augustus_masked-Sbay_12-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-2.54&CDS=1-873
OG0002442	YJR089W	genemark-Sbay_12-processed-gene-2.137-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.137&CDS=1-2910
OG0002443	YJR090C	genemark-Sbay_12-processed-gene-2.158-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.158&CDS=1-3444
OG0002444	YJR091C	genemark-Sbay_12-processed-gene-2.159-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.159&CDS=1-3258
OG0002445	YJR092W	genemark-Sbay_12-processed-gene-2.138-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-2.138&CDS=1-4299
OG0002446	YJR093C	augustus_masked-Sbay_12-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-2.57&CDS=1-2073
OG0002447	YJR095W	genemark-Sbay_12-processed-gene-3.55-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.55&CDS=1-966
OG0002448	YJR096W	maker-Sbay_12-augustus-gene-3.202-mRNA-1_1&gene=maker-Sbay_12-augustus-gene-3.202&CDS=1-1347
OG0002449	YJR098C	genemark-Sbay_12-processed-gene-3.61-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.61&CDS=1-1962
OG0002450	YJR099W	genemark-Sbay_12-processed-gene-3.58-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.58&CDS=1-714
OG0002451	YJR100C	genemark-Sbay_12-processed-gene-3.62-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.62&CDS=1-966
OG0002452	YJR101W	genemark-Sbay_12-processed-gene-3.59-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.59&CDS=1-795
OG0002453	YJR102C	genemark-Sbay_12-processed-gene-3.63-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.63&CDS=1-606
OG0002454	YJR104C	genemark-Sbay_12-processed-gene-3.94-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.94&CDS=1-462
OG0002455	YJR105W	genemark-Sbay_12-processed-gene-3.64-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.64&CDS=1-1020
OG0002456	YJR106W	maker-Sbay_12-augustus-gene-3.203-mRNA-1_1&gene=maker-Sbay_12-augustus-gene-3.203&CDS=1-2967
OG0002457	YJR108W	snap_masked-Sbay_12-processed-gene-3.133-mRNA-1_1&gene=snap_masked-Sbay_12-processed-gene-3.133&CDS=1-309
OG0002458	YJR109C	genemark-Sbay_12-processed-gene-3.95-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.95&CDS=1-3354
OG0002459	YJR110W	genemark-Sbay_12-processed-gene-3.68-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.68&CDS=1-2049
OG0002460	YJR111C	genemark-Sbay_12-processed-gene-3.96-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.96&CDS=1-849
OG0002461	YJR112W	genemark-Sbay_12-processed-gene-3.69-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.69&CDS=1-603
OG0002462	YJR112W-A	maker-Sbay_12-snap-gene-3.198-mRNA-1_1&gene=maker-Sbay_12-snap-gene-3.198&CDS=1-291
OG0002463	YJR113C	genemark-Sbay_12-processed-gene-3.97-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.97&CDS=1-741
OG0002464	YJR117W	augustus_masked-Sbay_12-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-3.11&CDS=1-2454
OG0002465	YJR118C	augustus_masked-Sbay_12-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-3.36&CDS=1-573
OG0002466	YJR119C	genemark-Sbay_12-processed-gene-3.99-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.99&CDS=1-2193
OG0002467	YJR121W	genemark-Sbay_12-processed-gene-3.72-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.72&CDS=1-1533
OG0002468	YJR122W	genemark-Sbay_12-processed-gene-3.73-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.73&CDS=1-1479
OG0002469	YJR123W	genemark-Sbay_12-processed-gene-3.74-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.74&CDS=1-675
OG0002470	YJR124C	genemark-Sbay_12-processed-gene-3.100-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.100&CDS=1-1347
OG0002471	YJR127C	maker-Sbay_12-augustus-gene-3.208-mRNA-1_1&gene=maker-Sbay_12-augustus-gene-3.208&CDS=1-7389
OG0002472	YJR131W	augustus_masked-Sbay_12-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-3.15&CDS=1-1629
OG0002473	YJR132W	augustus_masked-Sbay_12-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-3.16&CDS=1-3813
OG0002474	YJR134C	genemark-Sbay_12-processed-gene-3.105-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.105&CDS=1-2124
OG0002475	YJR135C	genemark-Sbay_12-processed-gene-3.106-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.106&CDS=1-717
OG0002476	YJR135W-A	augustus_masked-Sbay_12-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-3.17&CDS=1-261
OG0002477	YJR136C	genemark-Sbay_12-processed-gene-3.107-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.107&CDS=1-1263
OG0002478	YJR137C	genemark-Sbay_12-processed-gene-3.108-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.108&CDS=1-4326
OG0002479	YJR138W	augustus_masked-Sbay_12-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-3.18&CDS=1-4743
OG0002480	YJR139C	genemark-Sbay_12-processed-gene-3.109-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.109&CDS=1-1077
OG0002481	YJR140C	genemark-Sbay_12-processed-gene-3.110-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.110&CDS=1-4944
OG0002482	YJR142W	augustus_masked-Sbay_12-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-Sbay_12-processed-gene-3.19&CDS=1-2052
OG0002483	YJR143C	genemark-Sbay_12-processed-gene-3.111-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.111&CDS=1-2286
OG0002484	YJR144W	genemark-Sbay_12-processed-gene-3.82-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.82&CDS=1-810
OG0002485	YJR147W	genemark-Sbay_12-processed-gene-3.83-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.83&CDS=1-1047
OG0002486	YJR149W	genemark-Sbay_12-processed-gene-3.86-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.86&CDS=1-1140
OG0002487	YJR152W	genemark-Sbay_12-processed-gene-3.87-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.87&CDS=1-1620
OG0002488	YKL001C	genemark-Sbay_11-processed-gene-4.83-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.83&CDS=1-606
OG0002489	YKL002W	maker-Sbay_11-snap-gene-4.7-mRNA-1_1&gene=maker-Sbay_11-snap-gene-4.7&CDS=1-696
OG0002490	YKL003C	genemark-Sbay_11-processed-gene-4.82-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.82&CDS=1-393
OG0002491	YKL004W	genemark-Sbay_11-processed-gene-4.63-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.63&CDS=1-1203
OG0002492	YKL005C	genemark-Sbay_11-processed-gene-4.81-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.81&CDS=1-1791
OG0002493	YKL006C-A	augustus_masked-Sbay_11-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-Sbay_11-processed-gene-4.123&CDS=1-291
OG0002494	YKL007W	genemark-Sbay_11-processed-gene-4.61-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.61&CDS=1-804
OG0002495	YKL009W	genemark-Sbay_11-processed-gene-4.60-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.60&CDS=1-708
OG0002496	YKL010C	genemark-Sbay_11-processed-gene-4.79-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.79&CDS=1-4455
OG0002497	YKL011C	genemark-Sbay_11-processed-gene-4.78-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.78&CDS=1-1059
OG0002498	YKL012W	genemark-Sbay_11-processed-gene-4.59-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.59&CDS=1-1755
OG0002499	YKL013C	genemark-Sbay_11-processed-gene-4.77-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.77&CDS=1-513
OG0002500	YKL014C	genemark-Sbay_11-processed-gene-4.58-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.58&CDS=1-5295
OG0002501	YKL015W	genemark-Sbay_11-processed-gene-4.55-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-4.55&CDS=1-3006
OG0002502	YKL017C	maker-Sbay_11-augustus-gene-4.2-mRNA-1_1&gene=maker-Sbay_11-augustus-gene-4.2&CDS=1-2586
OG0002503	YKL018W	genemark-Sbay_11-processed-gene-3.80-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.80&CDS=1-987
OG0002504	YKL019W	genemark-Sbay_11-processed-gene-3.79-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.79&CDS=1-948
OG0002505	YKL020C	augustus_masked-Sbay_11-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-Sbay_11-processed-gene-3.140&CDS=1-3231
OG0002506	YKL022C	maker-Sbay_11-augustus-gene-3.1-mRNA-1_1&gene=maker-Sbay_11-augustus-gene-3.1&CDS=1-3666
OG0002507	YKL023W	genemark-Sbay_11-processed-gene-3.78-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.78&CDS=1-825
OG0002508	YKL025C	maker-Sbay_11-augustus-gene-3.0-mRNA-1_1&gene=maker-Sbay_11-augustus-gene-3.0&CDS=1-2673
OG0002509	YKL026C	genemark-Sbay_11-processed-gene-3.97-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.97&CDS=1-501
OG0002510	YKL027W	genemark-Sbay_11-processed-gene-3.77-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.77&CDS=1-1344
OG0002511	YKL028W	genemark-Sbay_11-processed-gene-3.76-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.76&CDS=1-1422
OG0002512	YKL029C	genemark-Sbay_11-processed-gene-3.95-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.95&CDS=1-2010
OG0002513	YKL032C	genemark-Sbay_11-processed-gene-3.94-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.94&CDS=1-1833
OG0002514	YKL033W	genemark-Sbay_11-processed-gene-3.75-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.75&CDS=1-3111
OG0002515	YKL033W-A	genemark-Sbay_11-processed-gene-3.74-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.74&CDS=1-708
OG0002516	YKL034W	genemark-Sbay_11-processed-gene-3.73-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.73&CDS=1-2274
OG0002517	YKL035W	genemark-Sbay_11-processed-gene-3.72-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.72&CDS=1-1497
OG0002518	YKL038W	genemark-Sbay_11-processed-gene-3.71-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.71&CDS=1-3513
OG0002519	YKL039W	genemark-Sbay_11-processed-gene-3.70-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.70&CDS=1-1446
OG0002520	YKL040C	genemark-Sbay_11-processed-gene-3.93-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.93&CDS=1-765
OG0002521	YKL041W	genemark-Sbay_11-processed-gene-3.69-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.69&CDS=1-672
OG0002522	YKL042W	genemark-Sbay_11-processed-gene-3.68-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.68&CDS=1-1092
OG0002523	YKL043W	genemark-Sbay_11-processed-gene-3.67-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.67&CDS=1-1104
OG0002524	YKL045W	genemark-Sbay_11-processed-gene-3.66-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.66&CDS=1-1584
OG0002525	YKL046C	genemark-Sbay_11-processed-gene-3.92-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.92&CDS=1-1350
OG0002526	YKL047W	genemark-Sbay_11-processed-gene-3.65-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.65&CDS=1-1554
OG0002527	YKL048C	snap_masked-Sbay_11-processed-gene-3.45-mRNA-1_1&gene=snap_masked-Sbay_11-processed-gene-3.45&CDS=1-1929
OG0002528	YKL049C	genemark-Sbay_11-processed-gene-3.90-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.90&CDS=1-687
OG0002529	YKL050C	genemark-Sbay_11-processed-gene-3.89-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.89&CDS=1-2754
OG0002530	YKL051W	genemark-Sbay_11-processed-gene-3.64-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.64&CDS=1-1059
OG0002531	YKL053C-A	genemark-Sbay_11-processed-gene-3.88-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.88&CDS=1-1092
OG0002532	YKL054C	genemark-Sbay_11-processed-gene-3.87-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.87&CDS=1-2178
OG0002533	YKL055C	genemark-Sbay_11-processed-gene-3.86-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.86&CDS=1-834
OG0002534	YKL056C	genemark-Sbay_11-processed-gene-3.85-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.85&CDS=1-501
OG0002535	YKL057C	genemark-Sbay_11-processed-gene-3.84-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.84&CDS=1-3111
OG0002536	YKL058W	genemark-Sbay_11-processed-gene-3.63-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.63&CDS=1-366
OG0002537	YKL059C	genemark-Sbay_11-processed-gene-3.83-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.83&CDS=1-1311
OG0002538	YKL060C	genemark-Sbay_11-processed-gene-3.82-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.82&CDS=1-1077
OG0002539	YKL061W	genemark-Sbay_11-processed-gene-3.62-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.62&CDS=1-339
OG0002540	YKL062W	genemark-Sbay_11-processed-gene-3.61-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.61&CDS=1-1917
OG0002541	YKL063C	genemark-Sbay_11-processed-gene-3.81-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.81&CDS=1-504
OG0002542	YKL064W	genemark-Sbay_11-processed-gene-3.60-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.60&CDS=1-2910
OG0002543	YKL065C	genemark-Sbay_11-processed-gene-3.59-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.59&CDS=1-621
OG0002544	YKL065W-A	snap_masked-Sbay_11-processed-gene-3.10-mRNA-1_1&gene=snap_masked-Sbay_11-processed-gene-3.10&CDS=1-219
OG0002545	YKL067W	genemark-Sbay_11-processed-gene-3.58-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.58&CDS=1-459
OG0002546	YKL068W	augustus_masked-Sbay_11-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-Sbay_11-processed-gene-3.105&CDS=1-3057
OG0002547	YKL068W-A	augustus_masked-Sbay_11-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-Sbay_11-processed-gene-3.104&CDS=1-237
OG0002548	YKL069W	genemark-Sbay_11-processed-gene-3.56-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-3.56&CDS=1-714
OG0002549	YKL072W	genemark-Sbay_11-processed-gene-2.116-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.116&CDS=1-2340
OG0002550	YKL073W	genemark-Sbay_11-processed-gene-2.115-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.115&CDS=1-2643
OG0002551	YKL075C	augustus_masked-Sbay_11-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-Sbay_11-processed-gene-2.35&CDS=1-2883
OG0002552	YKL078W	augustus_masked-Sbay_11-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-Sbay_11-processed-gene-2.19&CDS=1-3393
OG0002553	YKL079W	genemark-Sbay_11-processed-gene-2.112-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.112&CDS=1-1971
OG0002554	YKL080W	genemark-Sbay_11-processed-gene-2.111-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.111&CDS=1-1176
OG0002555	YKL082C	genemark-Sbay_11-processed-gene-2.130-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.130&CDS=1-1302
OG0002556	YKL084W	snap_masked-Sbay_11-processed-gene-2.61-mRNA-1_1&gene=snap_masked-Sbay_11-processed-gene-2.61&CDS=1-354
OG0002557	YKL085W	augustus_masked-Sbay_11-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-Sbay_11-processed-gene-2.17&CDS=1-1002
OG0002558	YKL087C	genemark-Sbay_11-processed-gene-2.129-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.129&CDS=1-678
OG0002559	YKL088W	genemark-Sbay_11-processed-gene-2.108-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.108&CDS=1-1755
OG0002560	YKL089W	augustus_masked-Sbay_11-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-Sbay_11-processed-gene-2.15&CDS=1-2946
OG0002561	YKL091C	genemark-Sbay_11-processed-gene-2.128-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.128&CDS=1-930
OG0002562	YKL092C	genemark-Sbay_11-processed-gene-2.127-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.127&CDS=1-3300
OG0002563	YKL093W	genemark-Sbay_11-processed-gene-2.105-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.105&CDS=1-1023
OG0002564	YKL094W	maker-Sbay_11-augustus-gene-2.140-mRNA-1_1&gene=maker-Sbay_11-augustus-gene-2.140&CDS=1-1800
OG0002565	YKL096W	genemark-Sbay_11-processed-gene-2.102-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.102&CDS=1-735
OG0002566	YKL098W	genemark-Sbay_11-processed-gene-2.100-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.100&CDS=1-1074
OG0002567	YKL099C	genemark-Sbay_11-processed-gene-2.126-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.126&CDS=1-750
OG0002568	YKL100C	genemark-Sbay_11-processed-gene-2.125-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.125&CDS=1-1761
OG0002569	YKL101W	genemark-Sbay_11-processed-gene-2.99-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.99&CDS=1-4578
OG0002570	YKL103C	genemark-Sbay_11-processed-gene-2.124-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.124&CDS=1-1536
OG0002571	YKL105C	genemark-Sbay_11-processed-gene-2.122-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.122&CDS=1-3348
OG0002572	YKL106W	genemark-Sbay_11-processed-gene-2.98-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.98&CDS=1-1353
OG0002573	YKL107W	genemark-Sbay_11-processed-gene-2.97-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.97&CDS=1-927
OG0002574	YKL108W	genemark-Sbay_11-processed-gene-2.96-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.96&CDS=1-1335
OG0002575	YKL109W	genemark-Sbay_11-processed-gene-2.95-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.95&CDS=1-1683
OG0002576	YKL110C	genemark-Sbay_11-processed-gene-2.121-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.121&CDS=1-939
OG0002577	YKL112W	genemark-Sbay_11-processed-gene-2.94-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.94&CDS=1-2310
OG0002578	YKL113C	maker-Sbay_11-augustus-gene-2.142-mRNA-1_1&gene=maker-Sbay_11-augustus-gene-2.142&CDS=1-2259
OG0002579	YKL116C	genemark-Sbay_11-processed-gene-2.118-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.118&CDS=1-1548
OG0002580	YKL117W	genemark-Sbay_11-processed-gene-2.93-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.93&CDS=1-705
OG0002581	YKL119C	genemark-Sbay_11-processed-gene-2.117-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.117&CDS=1-645
OG0002582	YKL120W	genemark-Sbay_11-processed-gene-2.92-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.92&CDS=1-972
OG0002583	YKL121W	genemark-Sbay_11-processed-gene-2.91-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.91&CDS=1-2568
OG0002584	YKL122C	genemark-Sbay_11-processed-gene-2.90-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.90&CDS=1-507
OG0002585	YKL124W	genemark-Sbay_11-processed-gene-2.89-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-2.89&CDS=1-1725
OG0002586	YKL125W	snap_masked-Sbay_11-processed-gene-2.39-mRNA-1_1&gene=snap_masked-Sbay_11-processed-gene-2.39&CDS=1-1872
OG0002587	YKL128C	genemark-Sbay_11-processed-gene-1.95-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-1.95&CDS=1-891
OG0002588	YKL130C	genemark-Sbay_11-processed-gene-1.93-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-1.93&CDS=1-738
OG0002589	YKL132C	genemark-Sbay_11-processed-gene-1.92-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-1.92&CDS=1-1233
OG0002590	YKL134C	maker-Sbay_11-augustus-gene-1.147-mRNA-1_1&gene=maker-Sbay_11-augustus-gene-1.147&CDS=1-3627
OG0002591	YKL135C	genemark-Sbay_11-processed-gene-1.89-mRNA-1_1&gene=genemark-Sbay_11-processed-gene-1.89&CDS=1-2178
OG0002592	YKL137W	snap_masked-Sbay_11-processed-gene-1.23-mRNA-1_1&gene=snap_masked-Sbay_11-processed-gene-1.23&CDS=1-333
