	Pichia_membranifaciens	Saccharomyces_cerevisiae
OG0001369	snap_masked-scaffold_2-processed-gene-12.61-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.61&CDS=1-2364	YJL212C
OG0001370	snap_masked-scaffold_2-processed-gene-12.62-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.62&CDS=1-1485	YFL022C
OG0001371	snap_masked-scaffold_2-processed-gene-12.66-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.66&CDS=1-915	YBR085W
OG0001372	augustus_masked-scaffold_2-processed-gene-12.108-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.108&CDS=1-804	YOR095C
OG0001373	snap_masked-scaffold_2-processed-gene-12.83-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.83&CDS=1-1857	YDL020C
OG0001374	snap_masked-scaffold_2-processed-gene-12.70-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.70&CDS=1-2124	YDR172W
OG0001375	snap_masked-scaffold_2-processed-gene-12.71-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.71&CDS=1-4044	YDR301W
OG0001376	augustus_masked-scaffold_2-processed-gene-12.125-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.125&CDS=1-5271	YMR155W
OG0001377	snap_masked-scaffold_2-processed-gene-12.88-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.88&CDS=1-951	YDR302W
OG0001378	snap_masked-scaffold_2-processed-gene-12.89-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.89&CDS=1-1299	YDR316W
OG0001379	augustus_masked-scaffold_2-processed-gene-12.114-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.114&CDS=1-3861	YDR335W
OG0001380	augustus_masked-scaffold_2-processed-gene-12.115-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.115&CDS=1-1713	YDL090C
OG0001381	maker-scaffold_2-augustus-gene-12.5-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-12.5&CDS=1-2355	YPL199C
OG0001382	augustus_masked-scaffold_2-processed-gene-12.130-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.130&CDS=1-441	YPL225W
OG0001383	snap_masked-scaffold_2-processed-gene-12.78-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.78&CDS=1-546	YJR014W
OG0001384	snap_masked-scaffold_2-processed-gene-12.79-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.79&CDS=1-1254	YPR140W
OG0001385	snap_masked-scaffold_2-processed-gene-12.98-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.98&CDS=1-2118	YPR141C
OG0001386	augustus_masked-scaffold_2-processed-gene-13.91-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.91&CDS=1-3282	YLR051C
OG0001387	genemark-scaffold_2-processed-gene-13.9-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.9&CDS=1-1191	YGR223C
OG0001388	maker-scaffold_2-snap-gene-13.1-mRNA-1_1&gene=maker-scaffold_2-snap-gene-13.1&CDS=1-5805	YCR081W
OG0001389	augustus_masked-scaffold_2-processed-gene-13.106-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.106&CDS=1-618	YFL005W
OG0001390	snap_masked-scaffold_2-processed-gene-13.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.54&CDS=1-1776	YLR060W
OG0001391	snap_masked-scaffold_2-processed-gene-13.67-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.67&CDS=1-3774	YFL034W
OG0001392	augustus_masked-scaffold_2-processed-gene-13.110-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.110&CDS=1-1245	YOL031C
OG0001393	augustus_masked-scaffold_2-processed-gene-13.94-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.94&CDS=1-2262	YML097C
OG0001394	augustus_masked-scaffold_2-processed-gene-13.111-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.111&CDS=1-948	YJL180C
OG0001395	augustus_masked-scaffold_2-processed-gene-13.96-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.96&CDS=1-1017	YKL051W
OG0001396	snap_masked-scaffold_2-processed-gene-13.72-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.72&CDS=1-2718	YLR382C
OG0001397	snap_masked-scaffold_2-processed-gene-13.58-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.58&CDS=1-3441	YLR383W
OG0001398	snap_masked-scaffold_2-processed-gene-13.73-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.73&CDS=1-2997	YKL176C
OG0001399	snap_masked-scaffold_2-processed-gene-13.59-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.59&CDS=1-5736	YJL005W
OG0001400	snap_masked-scaffold_2-processed-gene-13.60-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.60&CDS=1-1215	YLR151C
OG0001401	augustus_masked-scaffold_2-processed-gene-13.115-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.115&CDS=1-4020	YHR069C
OG0001402	maker-scaffold_2-snap-gene-13.3-mRNA-1_1&gene=maker-scaffold_2-snap-gene-13.3&CDS=1-1173	YEL012W
OG0001403	genemark-scaffold_2-processed-gene-13.17-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.17&CDS=1-375	YCR020C-A
OG0001404	snap_masked-scaffold_2-processed-gene-13.78-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.78&CDS=1-2061	YFR015C
OG0001405	snap_masked-scaffold_2-processed-gene-13.79-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.79&CDS=1-2241	YPL164C
OG0001406	snap_masked-scaffold_2-processed-gene-13.80-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.80&CDS=1-2298	YER125W
OG0001407	snap_masked-scaffold_2-processed-gene-13.81-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.81&CDS=1-1185	YPR023C
OG0001408	snap_masked-scaffold_2-processed-gene-13.63-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.63&CDS=1-1614	YDL159W
OG0001409	snap_masked-scaffold_2-processed-gene-13.82-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.82&CDS=1-1335	YMR113W
OG0001410	snap_masked-scaffold_2-processed-gene-13.64-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.64&CDS=1-2115	YKL135C
OG0001411	snap_masked-scaffold_2-processed-gene-13.83-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.83&CDS=1-609	YJL011C
OG0001412	augustus_masked-scaffold_2-processed-gene-13.124-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.124&CDS=1-3945	YEL015W
OG0001413	snap_masked-scaffold_2-processed-gene-13.65-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.65&CDS=1-2124	YFR029W
OG0001414	snap_masked-scaffold_2-processed-gene-13.66-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.66&CDS=1-4101	YBR081C
OG0001415	snap_masked-scaffold_2-processed-gene-13.87-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.87&CDS=1-1428	YLR034C
OG0001416	snap_masked-scaffold_2-processed-gene-14.29-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.29&CDS=1-2100	YLR035C
OG0001417	augustus_masked-scaffold_2-processed-gene-14.2-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.2&CDS=1-3840	YMR129W
OG0001418	snap_masked-scaffold_2-processed-gene-14.31-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.31&CDS=1-987	YDR214W
OG0001419	snap_masked-scaffold_2-processed-gene-14.33-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.33&CDS=1-663	YHR008C
OG0001420	snap_masked-scaffold_2-processed-gene-14.57-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.57&CDS=1-1332	YDL160C
OG0001421	maker-scaffold_2-snap-gene-14.115-mRNA-1_1&gene=maker-scaffold_2-snap-gene-14.115&CDS=1-1026	YLR019W
OG0001422	snap_masked-scaffold_2-processed-gene-14.60-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.60&CDS=1-1578	YER006W
OG0001423	snap_masked-scaffold_2-processed-gene-14.38-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.38&CDS=1-1890	YER005W
OG0001424	snap_masked-scaffold_2-processed-gene-14.61-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.61&CDS=1-540	YER007C-A
OG0001425	augustus_masked-scaffold_2-processed-gene-14.22-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.22&CDS=1-903	YML110C
OG0001426	genemark-scaffold_2-processed-gene-14.85-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.85&CDS=1-4986	YDL054C
OG0001427	snap_masked-scaffold_2-processed-gene-14.41-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.41&CDS=1-1257	YER003C
OG0001428	augustus_masked-scaffold_2-processed-gene-14.23-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.23&CDS=1-2094	YBR158W
OG0001429	snap_masked-scaffold_2-processed-gene-14.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.43&CDS=1-609	YFL038C
OG0001430	genemark-scaffold_2-processed-gene-14.88-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.88&CDS=1-567	YLR065C
OG0001431	augustus_masked-scaffold_2-processed-gene-14.12-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.12&CDS=1-786	YJL079C
OG0001432	snap_masked-scaffold_2-processed-gene-14.50-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.50&CDS=1-2004	YNL027W
OG0001433	snap_masked-scaffold_2-processed-gene-14.51-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.51&CDS=1-2163	YDL122W
OG0001434	snap_masked-scaffold_2-processed-gene-14.67-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.67&CDS=1-4506	YIR023W
OG0001435	snap_masked-scaffold_2-processed-gene-14.53-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.53&CDS=1-336	YDR045C
OG0001436	augustus_masked-scaffold_2-processed-gene-14.16-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.16&CDS=1-5823	YNL221C
OG0001437	snap_masked-scaffold_2-processed-gene-14.56-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.56&CDS=1-2814	YGL167C
OG0001438	snap_masked-scaffold_2-processed-gene-15.2-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.2&CDS=1-2379	YJL033W
OG0001439	snap_masked-scaffold_2-processed-gene-15.3-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.3&CDS=1-6018	YJL095W
OG0001440	augustus_masked-scaffold_2-processed-gene-15.51-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.51&CDS=1-1074	YJL096W
OG0001441	genemark-scaffold_2-processed-gene-15.112-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-15.112&CDS=1-1353	YGR161C
OG0001442	snap_masked-scaffold_2-processed-gene-15.0-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.0&CDS=1-963	YLR308W
OG0001443	snap_masked-scaffold_2-processed-gene-15.6-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.6&CDS=1-669	YJL055W
OG0001444	snap_masked-scaffold_2-processed-gene-15.1-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.1&CDS=1-4890	YOR341W
OG0001445	snap_masked-scaffold_2-processed-gene-15.7-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.7&CDS=1-3867	YGL092W
OG0001446	augustus_masked-scaffold_2-processed-gene-15.72-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.72&CDS=1-987	YGL091C
OG0001447	augustus_masked-scaffold_2-processed-gene-15.73-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.73&CDS=1-1131	YBL033C
OG0001448	snap_masked-scaffold_2-processed-gene-15.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.28&CDS=1-1932	YDR049W
OG0001449	snap_masked-scaffold_2-processed-gene-15.10-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.10&CDS=1-1170	YBR246W
OG0001450	augustus_masked-scaffold_2-processed-gene-15.75-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.75&CDS=1-2793	YBR073W
OG0001451	augustus_masked-scaffold_2-processed-gene-15.57-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.57&CDS=1-3009	YAL035W
OG0001452	snap_masked-scaffold_2-processed-gene-15.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.30&CDS=1-906	YLR172C
OG0001453	snap_masked-scaffold_2-processed-gene-15.31-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.31&CDS=1-894	YCL009C
OG0001454	snap_masked-scaffold_2-processed-gene-15.32-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.32&CDS=1-1953	YOR368W
OG0001455	augustus_masked-scaffold_2-processed-gene-15.80-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.80&CDS=1-2181	YGL110C
OG0001456	snap_masked-scaffold_2-processed-gene-15.36-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.36&CDS=1-2370	YOR322C
OG0001457	snap_masked-scaffold_2-processed-gene-15.37-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.37&CDS=1-762	YCR016W
OG0001458	snap_masked-scaffold_2-processed-gene-15.17-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.17&CDS=1-426	YGL106W
OG0001459	augustus_masked-scaffold_2-processed-gene-15.83-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.83&CDS=1-1803	YBR239C
OG0001460	maker-scaffold_2-snap-gene-15.107-mRNA-1_1&gene=maker-scaffold_2-snap-gene-15.107&CDS=1-2244	YNL001W
OG0001461	maker-scaffold_2-augustus-gene-15.93-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-15.93&CDS=1-1212	YGL103W
OG0001462	snap_masked-scaffold_2-processed-gene-15.39-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.39&CDS=1-1386	YBR243C
OG0001463	snap_masked-scaffold_2-processed-gene-15.25-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.25&CDS=1-843	YIL043C
OG0001464	snap_masked-scaffold_2-processed-gene-15.41-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.41&CDS=1-1623	YER052C
OG0001465	snap_masked-scaffold_2-processed-gene-15.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.42&CDS=1-795	YPL065W
OG0001466	maker-scaffold_2-augustus-gene-15.96-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-15.96&CDS=1-3069	YNL049C
OG0001467	maker-scaffold_2-augustus-gene-16.111-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.111&CDS=1-867	YDR296W
OG0001468	snap_masked-scaffold_2-processed-gene-16.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.54&CDS=1-942	YDR297W
OG0001469	snap_masked-scaffold_2-processed-gene-16.37-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.37&CDS=1-1086	YGR084C
OG0001470	snap_masked-scaffold_2-processed-gene-16.38-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.38&CDS=1-1338	YNL323W
OG0001471	augustus_masked-scaffold_2-processed-gene-16.7-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.7&CDS=1-5493	YNL005C
OG0001472	augustus_masked-scaffold_2-processed-gene-16.20-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.20&CDS=1-1731	YOL066C
OG0001473	augustus_masked-scaffold_2-processed-gene-16.8-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.8&CDS=1-1587	YCL004W
OG0001474	snap_masked-scaffold_2-processed-gene-16.56-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.56&CDS=1-2001	YBR041W
OG0001475	augustus_masked-scaffold_2-processed-gene-16.22-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.22&CDS=1-1614	YPL212C
OG0001476	snap_masked-scaffold_2-processed-gene-16.45-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.45&CDS=1-543	YPL211W
OG0001477	snap_masked-scaffold_2-processed-gene-16.59-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.59&CDS=1-2760	YPL209C
OG0001478	augustus_masked-scaffold_2-processed-gene-16.11-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.11&CDS=1-1647	YGL064C
OG0001479	snap_masked-scaffold_2-processed-gene-16.61-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.61&CDS=1-5118	YCL014W
OG0001480	augustus_masked-scaffold_2-processed-gene-16.26-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.26&CDS=1-1803	YPL222W
OG0001481	snap_masked-scaffold_2-processed-gene-16.46-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.46&CDS=1-1659	YHR019C
OG0001482	snap_masked-scaffold_2-processed-gene-16.67-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.67&CDS=1-1182	YIL116W
OG0001483	augustus_masked-scaffold_2-processed-gene-17.43-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.43&CDS=1-1884	YCR008W
OG0001484	snap_masked-scaffold_2-processed-gene-17.5-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.5&CDS=1-909	YNL006W
OG0001485	snap_masked-scaffold_2-processed-gene-17.6-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.6&CDS=1-1104	YNL007C
OG0001486	maker-scaffold_2-snap-gene-17.80-mRNA-1_1&gene=maker-scaffold_2-snap-gene-17.80&CDS=1-789	YCR009C
OG0001487	snap_masked-scaffold_2-processed-gene-17.26-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.26&CDS=1-1440	YLR175W
OG0001488	genemark-scaffold_2-processed-gene-17.108-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.108&CDS=1-303	YCL005W-A
OG0001489	augustus_masked-scaffold_2-processed-gene-17.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.48&CDS=1-921	YCL008C
OG0001490	snap_masked-scaffold_2-processed-gene-17.9-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.9&CDS=1-1311	YKL143W
OG0001491	snap_masked-scaffold_2-processed-gene-17.10-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.10&CDS=1-1653	YDR299W
OG0001492	snap_masked-scaffold_2-processed-gene-17.11-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.11&CDS=1-3231	YDR495C
OG0001493	snap_masked-scaffold_2-processed-gene-17.12-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.12&CDS=1-1248	YPL011C
OG0001494	snap_masked-scaffold_2-processed-gene-17.29-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.29&CDS=1-3669	YPL012W
OG0001495	snap_masked-scaffold_2-processed-gene-17.13-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.13&CDS=1-366	YPL013C
OG0001496	snap_masked-scaffold_2-processed-gene-17.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.30&CDS=1-804	YGR024C
OG0001497	snap_masked-scaffold_2-processed-gene-17.19-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.19&CDS=1-1500	YCR024C
OG0001498	snap_masked-scaffold_2-processed-gene-17.33-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.33&CDS=1-876	YBR257W
OG0001499	snap_masked-scaffold_2-processed-gene-17.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.35&CDS=1-1086	YNR015W
OG0001500	snap_masked-scaffold_2-processed-gene-17.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.21&CDS=1-2322	YHL024W
OG0001501	snap_masked-scaffold_2-processed-gene-17.24-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.24&CDS=1-3807	YLR067C
OG0001502	genemark-scaffold_2-processed-gene-17.106-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.106&CDS=1-1074	YLR066W
OG0001503	snap_masked-scaffold_2-processed-gene-17.37-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.37&CDS=1-1602	YLL036C
OG0001504	snap_masked-scaffold_2-processed-gene-17.38-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.38&CDS=1-1842	YGL125W
OG0001505	maker-scaffold_2-augustus-gene-18.0-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-18.0&CDS=1-4026	YPR010C
OG0001506	genemark-scaffold_2-processed-gene-17.121-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.121&CDS=1-1545	YLR218C
OG0001507	augustus_masked-scaffold_2-processed-gene-18.67-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.67&CDS=1-7392	YIL048W
OG0001508	snap_masked-scaffold_2-processed-gene-18.14-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.14&CDS=1-2487	YLR141W
OG0001509	snap_masked-scaffold_2-processed-gene-18.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.43&CDS=1-768	YDR152W
OG0001510	snap_masked-scaffold_2-processed-gene-18.19-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.19&CDS=1-1197	YDR161W
OG0001511	snap_masked-scaffold_2-processed-gene-18.44-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.44&CDS=1-966	YDR162C
OG0001512	snap_masked-scaffold_2-processed-gene-18.45-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.45&CDS=1-1389	YLR142W
OG0001513	maker-scaffold_2-augustus-gene-18.3-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-18.3&CDS=1-2433	YLR143W
OG0001514	snap_masked-scaffold_2-processed-gene-18.48-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.48&CDS=1-1407	YDR165W
OG0001515	snap_masked-scaffold_2-processed-gene-18.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.30&CDS=1-1194	YKL080W
OG0001516	augustus_masked-scaffold_2-processed-gene-18.96-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.96&CDS=1-4314	YLL021W
OG0001517	snap_masked-scaffold_2-processed-gene-18.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.54&CDS=1-1656	YGL171W
OG0001518	snap_masked-scaffold_2-processed-gene-18.31-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.31&CDS=1-762	YLR312W-A
OG0001519	maker-scaffold_2-augustus-gene-18.6-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-18.6&CDS=1-444	YPR020W
OG0001520	genemark-scaffold_2-processed-gene-18.157-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.157&CDS=1-2922	YPR019W
OG0001521	snap_masked-scaffold_2-processed-gene-18.59-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.59&CDS=1-720	YKR043C
OG0001522	snap_masked-scaffold_2-processed-gene-18.60-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.60&CDS=1-1254	YGR210C
OG0001523	maker-scaffold_2-snap-gene-18.112-mRNA-1_1&gene=maker-scaffold_2-snap-gene-18.112&CDS=1-2064	YKL022C
OG0001524	snap_masked-scaffold_2-processed-gene-18.37-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.37&CDS=1-1122	YIR034C
OG0001525	snap_masked-scaffold_2-processed-gene-18.62-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.62&CDS=1-1311	YKL021C
OG0001526	snap_masked-scaffold_2-processed-gene-18.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.42&CDS=1-2553	YGL073W
OG0001527	snap_masked-scaffold_2-processed-gene-19.62-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.62&CDS=1-1317	YNL097C
OG0001528	genemark-scaffold_2-processed-gene-19.14-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.14&CDS=1-1017	YKL019W
OG0001529	snap_masked-scaffold_2-processed-gene-19.67-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.67&CDS=1-621	YJR057W
OG0001530	snap_masked-scaffold_2-processed-gene-19.64-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.64&CDS=1-1581	YMR217W
OG0001531	snap_masked-scaffold_2-processed-gene-19.65-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.65&CDS=1-1284	YMR209C
OG0001532	snap_masked-scaffold_2-processed-gene-19.86-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.86&CDS=1-1359	YOR272W
OG0001533	snap_masked-scaffold_2-processed-gene-19.69-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.69&CDS=1-1281	YMR208W
OG0001534	augustus_masked-scaffold_2-processed-gene-19.112-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.112&CDS=1-1587	YFL055W
OG0001535	maker-scaffold_2-snap-gene-19.7-mRNA-1_1&gene=maker-scaffold_2-snap-gene-19.7&CDS=1-1587	YGL248W
OG0001536	augustus_masked-scaffold_2-processed-gene-19.132-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.132&CDS=1-819	YFR050C
OG0001537	genemark-scaffold_2-processed-gene-19.24-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.24&CDS=1-255	YFR049W
OG0001538	maker-scaffold_2-augustus-gene-19.0-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-19.0&CDS=1-3762	YDR293C
OG0001539	snap_masked-scaffold_2-processed-gene-19.89-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.89&CDS=1-6885	YDR150W
OG0001540	snap_masked-scaffold_2-processed-gene-19.73-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.73&CDS=1-729	YLR306W
OG0001541	augustus_masked-scaffold_2-processed-gene-19.116-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.116&CDS=1-522	YNL260C
OG0001542	snap_masked-scaffold_2-processed-gene-19.92-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.92&CDS=1-1521	YNL261W
OG0001543	snap_masked-scaffold_2-processed-gene-19.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.95&CDS=1-2376	YLR222C
OG0001544	maker-scaffold_2-snap-gene-19.12-mRNA-1_1&gene=maker-scaffold_2-snap-gene-19.12&CDS=1-4692	YOR356W
OG0001545	snap_masked-scaffold_2-processed-gene-19.101-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.101&CDS=1-1233	YAL042W
OG0001546	snap_masked-scaffold_2-processed-gene-19.102-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.102&CDS=1-1989	YNL251C
