	Ogataea_methanolica	Saccharomyces_cerevisiae
OG0001885	-processed-gene-5.45-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.45&CDS=1-2313	YER151C
OG0001886	-processed-gene-5.46-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.46&CDS=1-3216	YJL050W
OG0001887	-processed-gene-5.47-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.47&CDS=1-1401	YJL049W
OG0001888	-processed-gene-5.60-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.60&CDS=1-951	YHR144C
OG0001889	-processed-gene-5.14-mRNA-1_1&gene=snap_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.14&CDS=1-2055	YPL007C
OG0001890	-processed-gene-5.49-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.49&CDS=1-1164	YLR056W
OG0001891	-processed-gene-5.50-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.50&CDS=1-1887	YML042W
OG0001892	-processed-gene-5.64-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.64&CDS=1-2040	YLR055C
OG0001893	-processed-gene-5.51-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.51&CDS=1-933	YFL028C
OG0001894	-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.97&CDS=1-270	YKL053C-A
OG0001895	-processed-gene-5.53-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.53&CDS=1-4041	YPL006W
OG0001896	-processed-gene-5.54-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.54&CDS=1-1863	YOR370C
OG0001897	-processed-gene-5.66-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.66&CDS=1-432	YOR369C
OG0001898	-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.99&CDS=1-4815	YJR132W
OG0001899	-processed-gene-5.55-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.55&CDS=1-1179	YJR072C
OG0001900	-processed-gene-5.56-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.56&CDS=1-393	YBL092W
OG0001901	-processed-gene-5.69-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.69&CDS=1-1494	YGR260W
OG0001902	-processed-gene-5.58-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.58&CDS=1-3924	YAL026C
OG0001903	-processed-gene-6.3-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.3&CDS=1-2562	YDL095W
OG0001904	-processed-gene-6.4-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.4&CDS=1-1662	YLR276C
OG0001905	-processed-gene-6.5-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.5&CDS=1-2391	YOR168W
OG0001906	-processed-gene-6.1-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.1&CDS=1-957	YNL315C
OG0001907	-processed-gene-6.6-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.6&CDS=1-1032	YNL316C
OG0001908	-processed-gene-6.10-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.10&CDS=1-621	YOR367W
OG0001909	-processed-gene-6.13-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.13&CDS=1-3045	YOR048C
OG0001910	-processed-gene-6.14-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.14&CDS=1-867	YCR015C
OG0001911	-processed-gene-6.17-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.17&CDS=1-957	YDR353W
OG0001912	-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.60&CDS=1-3819	YGL238W
OG0001913	-processed-gene-6.34-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.34&CDS=1-486	YGL237C
OG0001914	-processed-gene-6.21-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.21&CDS=1-2832	YFR002W
OG0001915	-processed-gene-6.36-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-6.36&CDS=1-1959	YHL027W
OG0001916	-snap-gene-7.1-mRNA-1_1&gene=maker-gi|1002316334|dbj|BCKW01000003.1|-snap-gene-7.1&CDS=1-2817	YBR287W
OG0001917	-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.78&CDS=1-1923	YIL101C
OG0001918	-processed-gene-7.24-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.24&CDS=1-3105	YLR114C
OG0001919	-snap-gene-7.2-mRNA-1_1&gene=maker-gi|1002316334|dbj|BCKW01000003.1|-snap-gene-7.2&CDS=1-951	YIL062C
OG0001920	-processed-gene-7.12-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.12&CDS=1-870	YGL174W
OG0001921	-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.93&CDS=1-4566	YGL173C
OG0001922	-processed-gene-7.13-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.13&CDS=1-1722	YGL172W
OG0001923	-processed-gene-7.28-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.28&CDS=1-687	YKL119C
OG0001924	-processed-gene-7.14-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.14&CDS=1-939	YNL177C
OG0001925	-augustus-gene-7.6-mRNA-1_1&gene=maker-gi|1002316334|dbj|BCKW01000003.1|-augustus-gene-7.6&CDS=1-1533	YDR318W
OG0001926	-processed-gene-7.15-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.15&CDS=1-780	YLR016C
OG0001927	-processed-gene-7.30-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.30&CDS=1-1758	YML096W
OG0001928	-processed-gene-7.17-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.17&CDS=1-999	YML121W
OG0001929	-processed-gene-7.31-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.31&CDS=1-888	YHR088W
OG0001930	-processed-gene-7.32-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.32&CDS=1-2061	YHR042W
OG0001931	-processed-gene-7.33-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.33&CDS=1-606	YEL012W
OG0001932	-processed-gene-7.36-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.36&CDS=1-8286	YJL005W
OG0001933	-processed-gene-7.37-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.37&CDS=1-2010	YLR289W
OG0001934	-processed-gene-7.38-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.38&CDS=1-336	YLR275W
OG0001935	-processed-gene-7.21-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.21&CDS=1-1116	YLR283W
OG0001936	-processed-gene-7.22-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-7.22&CDS=1-1785	YHR037W
OG0001937	-processed-gene-8.85-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.85&CDS=1-2877	YMR205C
OG0001938	-processed-gene-8.84-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.84&CDS=1-1431	YNR012W
OG0001939	-processed-gene-8.110-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.110&CDS=1-1845	YLL028W
OG0001940	-processed-gene-8.111-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.111&CDS=1-2277	YOR275C
OG0001941	-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.6&CDS=1-3996	YNL076W
OG0001942	-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.23&CDS=1-867	YNL284C
OG0001943	-processed-gene-8.92-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.92&CDS=1-672	YIL118W
OG0001944	-processed-gene-8.94-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.94&CDS=1-864	YNL166C
OG0001945	-processed-gene-8.95-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.95&CDS=1-984	YLR105C
OG0001946	-processed-gene-8.117-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.117&CDS=1-363	YLR104W
OG0001947	-processed-gene-8.118-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.118&CDS=1-2418	YOR165W
OG0001948	-processed-gene-8.97-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.97&CDS=1-984	YOR164C
OG0001949	-processed-gene-8.119-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.119&CDS=1-702	YOR163W
OG0001950	-processed-gene-8.120-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.120&CDS=1-351	YER056C-A
OG0001951	-snap-gene-8.128-mRNA-1_1&gene=maker-gi|1002316334|dbj|BCKW01000003.1|-snap-gene-8.128&CDS=1-2247	YLR290C
OG0001952	-processed-gene-8.122-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.122&CDS=1-1176	YNR041C
OG0001953	-processed-gene-8.104-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.104&CDS=1-3192	YKL205W
OG0001954	-processed-gene-8.105-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.105&CDS=1-3651	YBR276C
OG0001955	-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.18&CDS=1-1554	YBR282W
OG0001956	-processed-gene-8.125-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.125&CDS=1-636	YJL065C
OG0001957	-processed-gene-8.108-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.108&CDS=1-1200	YJR068W
OG0001958	-processed-gene-9.48-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.48&CDS=1-909	YKL206C
OG0001959	-processed-gene-9.45-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.45&CDS=1-957	YJR070C
OG0001960	-processed-gene-9.49-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.49&CDS=1-369	YJR063W
OG0001961	-processed-gene-9.46-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.46&CDS=1-1674	YJR064W
OG0001962	-processed-gene-9.50-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.50&CDS=1-2460	YMR302C
OG0001963	-processed-gene-9.70-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.70&CDS=1-1014	YFL029C
OG0001964	-processed-gene-9.51-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.51&CDS=1-1746	YFL027C
OG0001965	-processed-gene-9.27-mRNA-1_1&gene=snap_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.27&CDS=1-1002	YGR144W
OG0001966	-processed-gene-9.72-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.72&CDS=1-3339	YKL064W
OG0001967	-processed-gene-9.53-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.53&CDS=1-1578	YDR036C
OG0001968	-processed-gene-9.73-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.73&CDS=1-1962	YPR159W
OG0001969	-processed-gene-9.75-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.75&CDS=1-1533	YOR269W
OG0001970	-processed-gene-9.59-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.59&CDS=1-1743	YHR150W
OG0001971	-processed-gene-9.76-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.76&CDS=1-1437	YML068W
OG0001972	-processed-gene-9.60-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.60&CDS=1-1032	YML067C
OG0001973	-processed-gene-9.77-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.77&CDS=1-963	YHR142W
OG0001974	-processed-gene-9.61-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.61&CDS=1-909	YDL198C
OG0001975	-processed-gene-9.78-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.78&CDS=1-984	YOR158W
OG0001976	-processed-gene-9.79-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.79&CDS=1-3597	YLR278C
OG0001977	-processed-gene-9.81-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.81&CDS=1-1467	YFL018C
OG0001978	-processed-gene-9.82-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.82&CDS=1-1029	YGR031W
OG0001979	-processed-gene-9.83-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.83&CDS=1-2289	YOR267C
OG0001980	-processed-gene-9.85-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.85&CDS=1-1578	YOR242C
OG0001981	-processed-gene-9.86-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.86&CDS=1-2187	YOR243C
OG0001982	-processed-gene-9.68-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.68&CDS=1-2712	YPL153C
OG0001983	-processed-gene-9.87-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.87&CDS=1-1263	YPL154C
OG0001984	-snap-gene-10.115-mRNA-1_1&gene=maker-gi|1002316334|dbj|BCKW01000003.1|-snap-gene-10.115&CDS=1-3228	YPL157W
OG0001985	-processed-gene-10.0-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.0&CDS=1-1638	YJL025W
OG0001986	-processed-gene-10.76-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.76&CDS=1-1752	YPL265W
OG0001987	-processed-gene-10.77-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.77&CDS=1-1356	YDL066W
OG0001988	-processed-gene-10.78-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.78&CDS=1-3093	YGL216W
OG0001989	-processed-gene-10.79-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.79&CDS=1-939	YLR209C
OG0001990	-processed-gene-10.100-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.100&CDS=1-936	YDL099W
OG0001991	-processed-gene-10.83-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.83&CDS=1-1047	YGL225W
OG0001992	-processed-gene-10.101-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.101&CDS=1-918	YFR047C
OG0001993	-processed-gene-10.84-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.84&CDS=1-1110	YFR027W
OG0001994	-processed-gene-10.85-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.85&CDS=1-4443	YBL034C
OG0001995	-processed-gene-10.102-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.102&CDS=1-1152	YMR024W
OG0001996	-processed-gene-10.103-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.103&CDS=1-906	YLR003C
OG0001997	-processed-gene-10.49-mRNA-1_1&gene=snap_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.49&CDS=1-2043	YGL236C
OG0001998	-processed-gene-10.89-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.89&CDS=1-327	YOR265W
OG0001999	-processed-gene-10.106-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.106&CDS=1-1149	YOR262W
OG0002000	-snap-gene-10.114-mRNA-1_1&gene=maker-gi|1002316334|dbj|BCKW01000003.1|-snap-gene-10.114&CDS=1-2088	YFL023W
OG0002001	-processed-gene-10.91-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.91&CDS=1-816	YHR081W
OG0002002	-processed-gene-10.92-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.92&CDS=1-1476	YDR329C
OG0002003	-processed-gene-10.109-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.109&CDS=1-1644	YGL160W
OG0002004	-processed-gene-11.10-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.10&CDS=1-2928	YMR080C
OG0002005	-processed-gene-11.13-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.13&CDS=1-942	YBR149W
OG0002006	-processed-gene-11.31-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.31&CDS=1-1725	YDR004W
OG0002007	-processed-gene-11.32-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.32&CDS=1-1287	YDR005C
OG0002008	-processed-gene-11.17-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.17&CDS=1-1020	YDR313C
OG0002009	-processed-gene-11.36-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.36&CDS=1-1818	YHR032W
OG0002010	-processed-gene-11.23-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.23&CDS=1-2442	YGR128C
OG0002011	-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.97&CDS=1-660	YDR304C
OG0002012	-processed-gene-11.25-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.25&CDS=1-3315	YGR125W
OG0002013	-processed-gene-11.26-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.26&CDS=1-2544	YPR029C
OG0002014	-processed-gene-11.27-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.27&CDS=1-522	YPR028W
OG0002015	-processed-gene-11.28-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.28&CDS=1-1674	YKR097W
OG0002016	-processed-gene-11.42-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.42&CDS=1-2595	YKL073W
OG0002017	-processed-gene-11.30-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.30&CDS=1-1698	YKL074C
OG0002018	-processed-gene-11.43-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-11.43&CDS=1-1089	YMR055C
OG0002019	-processed-gene-12.36-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.36&CDS=1-1551	YOR310C
OG0002020	-processed-gene-12.34-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.34&CDS=1-1041	YJL208C
OG0002021	-processed-gene-12.50-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.50&CDS=1-1872	YJL201W
OG0002022	-processed-gene-12.51-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.51&CDS=1-1455	YGL055W
OG0002023	-processed-gene-12.38-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.38&CDS=1-1020	YCR036W
OG0002024	-processed-gene-12.85-mRNA-1_1&gene=snap_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.85&CDS=1-624	YJL011C
OG0002025	-processed-gene-12.39-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.39&CDS=1-5496	YBR208C
OG0002026	-processed-gene-12.55-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.55&CDS=1-2175	YPL072W
OG0002027	-processed-gene-12.56-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.56&CDS=1-2115	YMR186W
OG0002028	-processed-gene-12.59-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.59&CDS=1-2247	YDL164C
OG0002029	-processed-gene-12.60-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.60&CDS=1-6186	YKL182W
OG0002030	-processed-gene-12.63-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.63&CDS=1-1875	YMR058W
OG0002031	-processed-gene-12.42-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.42&CDS=1-1140	YNR015W
OG0002032	-processed-gene-12.45-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.45&CDS=1-1233	YNL323W
OG0002033	-processed-gene-12.48-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.48&CDS=1-2403	YJL200C
OG0002034	-processed-gene-13.82-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.82&CDS=1-4407	YAL002W
OG0002035	-processed-gene-13.84-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.84&CDS=1-1050	YGL001C
OG0002036	-processed-gene-13.83-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.83&CDS=1-1392	YHR018C
OG0002037	-processed-gene-13.87-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.87&CDS=1-753	YLR022C
OG0002038	-processed-gene-13.22-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.22&CDS=1-1857	YER086W
OG0002039	-processed-gene-13.108-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.108&CDS=1-2187	YKL135C
OG0002040	-processed-gene-13.90-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.90&CDS=1-1287	YMR113W
OG0002041	-processed-gene-13.109-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.109&CDS=1-1620	YDL159W
OG0002042	-processed-gene-13.25-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.25&CDS=1-5181	YMR224C
OG0002043	-processed-gene-13.113-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.113&CDS=1-414	YNL147W
OG0002044	-processed-gene-13.114-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.114&CDS=1-2025	YMR108W
OG0002045	-processed-gene-13.115-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.115&CDS=1-453	YOR298C-A
OG0002046	-processed-gene-13.116-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.116&CDS=1-2154	YMR301C
OG0002047	-processed-gene-13.94-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.94&CDS=1-1797	YLR399C
OG0002048	-processed-gene-13.95-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.95&CDS=1-1089	YAR008W
OG0002049	-processed-gene-13.14-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.14&CDS=1-2622	YLR001C
OG0002050	-processed-gene-13.118-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.118&CDS=1-1536	YLR023C
OG0002051	-processed-gene-13.119-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.119&CDS=1-2028	YDR425W
OG0002052	-processed-gene-13.98-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.98&CDS=1-288	YDR424C
OG0002053	-processed-gene-13.121-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.121&CDS=1-2655	YDL233W
OG0002054	-processed-gene-13.122-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.122&CDS=1-1788	YGR103W
OG0002055	-processed-gene-13.123-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.123&CDS=1-2595	YPR112C
OG0002056	-processed-gene-13.100-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.100&CDS=1-1098	YOR298W
