	Cyberlindnera_fabianii_JCM3601	Saccharomyces_cerevisiae
OG0001471	-processed-gene-4.13-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.13&CDS=1-852	YOR006C
OG0001472	-processed-gene-4.14-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.14&CDS=1-1140	YFL031W
OG0001473	-processed-gene-4.15-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.15&CDS=1-2856	YOR005C
OG0001474	-processed-gene-4.38-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.38&CDS=1-6237	YLR430W
OG0001475	-processed-gene-4.16-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.16&CDS=1-1941	YLR429W
OG0001476	-processed-gene-4.17-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.17&CDS=1-867	YJL053W
OG0001477	-processed-gene-4.20-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.20&CDS=1-1449	YDR179W-A
OG0001478	-processed-gene-4.41-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.41&CDS=1-1383	YBR272C
OG0001479	-processed-gene-4.21-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.21&CDS=1-1302	YJL049W
OG0001480	-processed-gene-4.42-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.42&CDS=1-1977	YDR496C
OG0001481	-processed-gene-4.22-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.22&CDS=1-1320	YBR143C
OG0001482	-processed-gene-4.44-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.44&CDS=1-648	YLR165C
OG0001483	-processed-gene-4.126-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-4.126&CDS=1-4563	YDR180W
OG0001484	-processed-gene-5.1-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.1&CDS=1-3273	YDL054C
OG0001485	-processed-gene-5.2-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.2&CDS=1-1017	YLR377C
OG0001486	-processed-gene-5.0-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.0&CDS=1-498	YGL231C
OG0001487	-processed-gene-5.121-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.121&CDS=1-900	YGL232W
OG0001488	-processed-gene-5.122-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.122&CDS=1-2295	YGL233W
OG0001489	-snap-gene-5.55-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-5.55&CDS=1-3864	YKR093W
OG0001490	-snap-gene-5.56-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-5.56&CDS=1-1053	YOL127W
OG0001491	-processed-gene-5.8-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.8&CDS=1-1077	YNL307C
OG0001492	-snap-gene-5.57-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-5.57&CDS=1-1548	YOL129W
OG0001493	-processed-gene-5.34-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.34&CDS=1-1137	YDL013W
OG0001494	-processed-gene-5.35-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.35&CDS=1-969	YDL014W
OG0001495	-processed-gene-5.11-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.11&CDS=1-1563	YAR014C
OG0001496	-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.102&CDS=1-1551	YHR194W
OG0001497	-processed-gene-5.38-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.38&CDS=1-1104	YLR418C
OG0001498	-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.78&CDS=1-1320	YKL194C
OG0001499	-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.104&CDS=1-1248	YLR423C
OG0001500	-processed-gene-5.15-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.15&CDS=1-2358	YLR424W
OG0001501	-processed-gene-5.40-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.40&CDS=1-702	YKL195W
OG0001502	-processed-gene-5.16-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.16&CDS=1-603	YKL196C
OG0001503	-processed-gene-5.17-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.17&CDS=1-621	YBR217W
OG0001504	-processed-gene-5.18-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.18&CDS=1-2322	YOR249C
OG0001505	-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.109&CDS=1-2166	YPL164C
OG0001506	-snap-gene-5.54-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-5.54&CDS=1-1332	YOR250C
OG0001507	-processed-gene-5.20-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.20&CDS=1-894	YOR251C
OG0001508	-processed-gene-5.45-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.45&CDS=1-1260	YOR242C
OG0001509	-processed-gene-5.46-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.46&CDS=1-1089	YPL165C
OG0001510	-processed-gene-5.22-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.22&CDS=1-468	YBR137W
OG0001511	-processed-gene-5.47-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.47&CDS=1-3954	YPL167C
OG0001512	-processed-gene-5.23-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.23&CDS=1-1263	YOR266W
OG0001513	-processed-gene-5.24-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.24&CDS=1-1359	YOR269W
OG0001514	-processed-gene-5.25-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.25&CDS=1-1101	YPL152W
OG0001515	-processed-gene-6.104-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.104&CDS=1-1041	YIL110W
OG0001516	-processed-gene-6.101-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.101&CDS=1-612	YOR021C
OG0001517	-processed-gene-6.2-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.2&CDS=1-2175	YOR022C
OG0001518	-processed-gene-6.106-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.106&CDS=1-699	YHR012W
OG0001519	-snap-gene-6.95-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-6.95&CDS=1-486	YML030W
OG0001520	-processed-gene-6.103-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.103&CDS=1-1308	YOR023C
OG0001521	-processed-gene-6.108-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.108&CDS=1-321	YLR364W
OG0001522	-processed-gene-6.109-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.109&CDS=1-639	YHR013C
OG0001523	-snap-gene-6.97-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-6.97&CDS=1-681	YDR472W
OG0001524	-processed-gene-6.129-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.129&CDS=1-561	YDR454C
OG0001525	-processed-gene-6.130-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.130&CDS=1-1743	YML070W
OG0001526	-processed-gene-6.111-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.111&CDS=1-1359	YNL181W
OG0001527	-snap-gene-6.93-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-6.93&CDS=1-1113	YNR015W
OG0001528	-processed-gene-6.134-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.134&CDS=1-648	YNR017W
OG0001529	-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.58&CDS=1-1056	YDR498C
OG0001530	-processed-gene-6.120-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.120&CDS=1-2013	YMR036C
OG0001531	-processed-gene-6.121-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.121&CDS=1-1326	YMR182C
OG0001532	-snap-gene-6.94-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-6.94&CDS=1-1317	YPL228W
OG0001533	-snap-gene-6.98-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-6.98&CDS=1-957	YPL227C
OG0001534	-processed-gene-6.137-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.137&CDS=1-2094	YMR179W
OG0001535	-processed-gene-6.138-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.138&CDS=1-2706	YNL287W
OG0001536	-processed-gene-6.139-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.139&CDS=1-1215	YNL288W
OG0001537	-processed-gene-6.125-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.125&CDS=1-315	YOR020C
OG0001538	-processed-gene-6.140-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.140&CDS=1-1383	YDR473C
OG0001539	-processed-gene-6.141-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.141&CDS=1-10041	YDR457W
OG0001540	-processed-gene-6.142-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.142&CDS=1-1269	YHR011W
OG0001541	-processed-gene-6.127-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-6.127&CDS=1-1455	YDR470C
OG0001542	-processed-gene-7.0-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.0&CDS=1-2193	YJL094C
OG0001543	-processed-gene-7.4-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.4&CDS=1-363	YDR469W
OG0001544	-processed-gene-7.1-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.1&CDS=1-681	YDR468C
OG0001545	-processed-gene-7.3-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.3&CDS=1-1413	YHR009C
OG0001546	-processed-gene-7.6-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.6&CDS=1-2565	YHR102W
OG0001547	-processed-gene-7.23-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.23&CDS=1-2049	YNL272C
OG0001548	-processed-gene-7.25-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.25&CDS=1-1395	YCL027W
OG0001549	-processed-gene-7.26-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.26&CDS=1-4584	YDR334W
OG0001550	-processed-gene-7.10-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.10&CDS=1-1437	YDR052C
OG0001551	-processed-gene-7.109-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.109&CDS=1-1662	YGL077C
OG0001552	-processed-gene-7.11-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.11&CDS=1-1110	YCL059C
OG0001553	-processed-gene-7.12-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.12&CDS=1-2841	YNL267W
OG0001554	-processed-gene-7.111-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.111&CDS=1-4101	YCR042C
OG0001555	-processed-gene-7.13-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.13&CDS=1-3888	YCL061C
OG0001556	-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.73&CDS=1-2205	YDR499W
OG0001557	-processed-gene-7.15-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.15&CDS=1-759	YLR186W
OG0001558	-processed-gene-7.17-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.17&CDS=1-2310	YNL279W
OG0001559	-processed-gene-7.34-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.34&CDS=1-300	YDR510W
OG0001560	-processed-gene-7.36-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.36&CDS=1-2253	YMR165C
OG0001561	-processed-gene-7.37-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.37&CDS=1-1386	YLR035C
OG0001562	-processed-gene-7.38-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.38&CDS=1-1629	YBR288C
OG0001563	-processed-gene-7.39-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.39&CDS=1-2256	YFR009W
OG0001564	-processed-gene-7.20-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.20&CDS=1-318	YMR244C-A
OG0001565	-processed-gene-7.40-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.40&CDS=1-2085	YOR317W
OG0001566	-processed-gene-7.21-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-7.21&CDS=1-699	YJL218W
OG0001567	-processed-gene-8.3-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.3&CDS=1-2274	YBR080C
OG0001568	-processed-gene-8.2-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.2&CDS=1-1416	YDR057W
OG0001569	-processed-gene-8.5-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.5&CDS=1-762	YHR101C
OG0001570	-processed-gene-8.6-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.6&CDS=1-801	YOR036W
OG0001571	-processed-gene-8.31-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.31&CDS=1-1014	YDR267C
OG0001572	-processed-gene-8.7-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.7&CDS=1-648	YDR399W
OG0001573	-processed-gene-8.8-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.8&CDS=1-981	YDR400W
OG0001574	-processed-gene-8.11-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.11&CDS=1-531	YKL069W
OG0001575	-processed-gene-8.33-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.33&CDS=1-513	YDR404C
OG0001576	-processed-gene-8.12-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.12&CDS=1-483	YOR150W
OG0001577	-snap-gene-8.148-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-8.148&CDS=1-1299	YER004W
OG0001578	-snap-gene-8.147-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-8.147&CDS=1-264	YOR159C
OG0001579	-processed-gene-8.15-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.15&CDS=1-2793	YOR160W
OG0001580	-processed-gene-8.38-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.38&CDS=1-1542	YOR161C
OG0001581	-snap-gene-8.145-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-8.145&CDS=1-1254	YOR155C
OG0001582	-processed-gene-8.39-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.39&CDS=1-3645	YOR151C
OG0001583	-processed-gene-8.20-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.20&CDS=1-738	YDR405W
OG0001584	-processed-gene-8.23-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.23&CDS=1-987	YMR024W
OG0001585	-snap-gene-8.149-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-8.149&CDS=1-606	YEL012W
OG0001586	-processed-gene-8.138-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.138&CDS=1-825	YCR020C-A
OG0001587	-processed-gene-8.24-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.24&CDS=1-2055	YFR015C
OG0001588	-processed-gene-8.26-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.26&CDS=1-1215	YOL016C
OG0001589	-processed-gene-8.46-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.46&CDS=1-1764	YJR016C
OG0001590	-processed-gene-8.29-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.29&CDS=1-1002	YGR165W
OG0001591	-processed-gene-9.2-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.2&CDS=1-2097	YNL161W
OG0001592	-processed-gene-9.0-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.0&CDS=1-909	YHR142W
OG0001593	-processed-gene-9.5-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.5&CDS=1-1536	YNL193W
OG0001594	-processed-gene-9.102-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.102&CDS=1-186	YMR256C
OG0001595	-processed-gene-9.103-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.103&CDS=1-924	YOL054W
OG0001596	-processed-gene-9.85-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.85&CDS=1-1287	YCR066W
OG0001597	-processed-gene-9.28-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.28&CDS=1-1410	YNR026C
OG0001598	-processed-gene-9.29-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.29&CDS=1-453	YCR063W
OG0001599	-processed-gene-9.13-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.13&CDS=1-2175	YPL190C
OG0001600	-processed-gene-9.30-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.30&CDS=1-1920	YMR119W
OG0001601	-processed-gene-9.14-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.14&CDS=1-1227	YLR027C
OG0001602	-processed-gene-9.33-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.33&CDS=1-3612	YJL074C
OG0001603	-processed-gene-9.16-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.16&CDS=1-5616	YPL231W
OG0001604	-processed-gene-9.35-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.35&CDS=1-3099	YNL163C
OG0001605	-processed-gene-9.36-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.36&CDS=1-1068	YDR289C
OG0001606	-processed-gene-9.18-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.18&CDS=1-2394	YGR200C
OG0001607	-processed-gene-9.37-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.37&CDS=1-7188	YIL129C
OG0001608	-processed-gene-9.19-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.19&CDS=1-1704	YML123C
OG0001609	-processed-gene-9.22-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.22&CDS=1-1197	YLR355C
OG0001610	-processed-gene-10.110-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.110&CDS=1-1614	YGR044C
OG0001611	-processed-gene-10.112-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.112&CDS=1-678	YHR140W
OG0001612	-processed-gene-10.115-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.115&CDS=1-309	YHR132W-A
OG0001613	-processed-gene-10.6-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.6&CDS=1-4020	YPR033C
OG0001614	-augustus-gene-10.164-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-augustus-gene-10.164&CDS=1-654	YAL027W
OG0001615	-processed-gene-10.145-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.145&CDS=1-1920	YOR014W
OG0001616	-processed-gene-10.122-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.122&CDS=1-942	YGR086C
OG0001617	-processed-gene-10.146-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.146&CDS=1-1464	YGR083C
OG0001618	-processed-gene-10.147-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.147&CDS=1-942	YGR084C
OG0001619	-processed-gene-10.124-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.124&CDS=1-2394	YDR017C
OG0001620	-processed-gene-10.149-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.149&CDS=1-1338	YPR106W
OG0001621	-snap-gene-10.108-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-10.108&CDS=1-993	YPR066W
OG0001622	-processed-gene-10.152-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.152&CDS=1-1692	YDL017W
OG0001623	-processed-gene-10.153-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.153&CDS=1-1821	YIR027C
OG0001624	-processed-gene-10.154-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.154&CDS=1-2694	YBR017C
OG0001625	-processed-gene-10.72-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.72&CDS=1-3057	YJR132W
OG0001626	-processed-gene-10.131-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.131&CDS=1-1566	YHR196W
OG0001627	-processed-gene-10.132-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.132&CDS=1-618	YJR133W
OG0001628	-processed-gene-10.134-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.134&CDS=1-1797	YDR456W
OG0001629	-processed-gene-10.99-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.99&CDS=1-1737	YML031W
OG0001630	-processed-gene-10.135-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.135&CDS=1-387	YHR059W
OG0001631	-snap-gene-10.109-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-10.109&CDS=1-543	YDR305C
OG0001632	-processed-gene-10.137-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.137&CDS=1-396	YBR167C
OG0001633	-processed-gene-10.160-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.160&CDS=1-450	YPL108W
OG0001634	-snap-gene-10.107-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-10.107&CDS=1-678	YLR229C
OG0001635	-processed-gene-10.161-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.161&CDS=1-645	YDL213C
OG0001636	-processed-gene-10.162-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.162&CDS=1-1464	YNL182C
OG0001637	-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-11.97&CDS=1-258	YPR182W
OG0001638	-processed-gene-11.55-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-11.55&CDS=1-537	YHR189W
OG0001639	-processed-gene-11.101-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-11.101&CDS=1-669	YLR445W
