	Saccharomyces_cerevisiae	Saitoella_complicata
OG0000994	YDR182W	XP_019023038.1
OG0000995	YDR183W	XP_019023025.1
OG0000996	YDR188W	XP_019027495.1
OG0000997	YDR189W	XP_019026006.1
OG0000998	YDR190C	XP_019025468.1
OG0000999	YDR196C	XP_019021241.1
OG0001000	YDR198C	XP_019021658.1
OG0001001	YDR204W	XP_019026596.1
OG0001002	YDR205W	XP_019023094.1
OG0001003	YDR208W	XP_019020724.1
OG0001004	YDR211W	XP_019022555.1
OG0001005	YDR212W	XP_019023270.1
OG0001006	YDR214W	XP_019024485.1
OG0001007	YDR217C	XP_019025190.1
OG0001008	YDR221W	XP_019024889.1
OG0001009	YDR225W	XP_019022569.1
OG0001010	YDR226W	XP_019025776.1
OG0001011	YDR228C	XP_019024398.1
OG0001012	YDR232W	XP_019025681.1
OG0001013	YDR234W	XP_019022996.1
OG0001014	YDR236C	XP_019022835.1
OG0001015	YDR237W	XP_019023596.1
OG0001016	YDR238C	XP_019027152.1
OG0001017	YDR244W	XP_019026579.1
OG0001018	YDR245W	XP_019026523.1
OG0001019	YDR246W	XP_019023759.1
OG0001020	YDR248C	XP_019027133.1
OG0001021	YDR254W	XP_019024024.1
OG0001022	YDR255C	XP_019026938.1
OG0001023	YDR256C	XP_019026305.1
OG0001024	YDR257C	XP_019026782.1
OG0001025	YDR265W	XP_019026378.1
OG0001026	YDR266C	XP_019026376.1
OG0001027	YDR268W	XP_019026700.1
OG0001028	YDR270W	XP_019026934.1
OG0001029	YDR276C	XP_019023920.1
OG0001030	YDR280W	XP_019023320.1
OG0001031	YDR283C	XP_019023598.1
OG0001032	YDR284C	XP_019022497.1
OG0001033	YDR286C	XP_019024386.1
OG0001034	YDR289C	XP_019024805.1
OG0001035	YDR291W	XP_019022620.1
OG0001036	YDR292C	XP_019027378.1
OG0001037	YDR293C	XP_019020799.1
OG0001038	YDR294C	XP_019021797.1
OG0001039	YDR297W	XP_019026185.1
OG0001040	YDR298C	XP_019021744.1
OG0001041	YDR299W	XP_019024961.1
OG0001042	YDR300C	XP_019024163.1
OG0001043	YDR301W	XP_019022218.1
OG0001044	YDR305C	XP_019022763.1
OG0001045	YDR306C	XP_019021623.1
OG0001046	YDR308C	XP_019025582.1
OG0001047	YDR311W	XP_019024523.1
OG0001048	YDR313C	XP_019021335.1
OG0001049	YDR316W	XP_019023682.1
OG0001050	YDR320C	XP_019025192.1
OG0001051	YDR320C-A	XP_019026777.1
OG0001052	YDR322C-A	XP_019023369.1
OG0001053	YDR322W	XP_019026207.1
OG0001054	YDR323C	XP_019026815.1
OG0001055	YDR324C	XP_019022271.1
OG0001056	YDR325W	XP_019025285.1
OG0001057	YDR328C	XP_019023554.1
OG0001058	YDR330W	XP_019022796.1
OG0001059	YDR331W	XP_019024243.1
OG0001060	YDR332W	XP_019025581.1
OG0001061	YDR333C	XP_019023989.1
OG0001062	YDR335W	XP_019020755.1
OG0001063	YDR336W	XP_019021783.1
OG0001064	YDR337W	XP_019025919.1
OG0001065	YDR339C	XP_019021050.1
OG0001066	YDR341C	XP_019024754.1
OG0001067	YDR346C	XP_019024911.1
OG0001068	YDR353W	XP_019023416.1
OG0001069	YDR354W	XP_019025169.1
OG0001070	YDR359C	XP_019026396.1
OG0001071	YDR361C	XP_019023290.1
OG0001072	YDR363W-A	XP_019027158.1
OG0001073	YDR364C	XP_019025742.1
OG0001074	YDR365C	XP_019025078.1
OG0001075	YDR367W	XP_019027183.1
OG0001076	YDR371W	XP_019023516.1
OG0001077	YDR372C	XP_019022481.1
OG0001078	YDR373W	XP_019023109.1
OG0001079	YDR374C	XP_019024588.1
OG0001080	YDR376W	XP_019022500.1
OG0001081	YDR377W	XP_019025093.1
OG0001082	YDR379C-A	XP_019022888.1
OG0001083	YDR382W	XP_019023503.1
OG0001084	YDR386W	XP_019027302.1
OG0001085	YDR388W	XP_019023820.1
OG0001086	YDR390C	XP_019023279.1
OG0001087	YDR392W	XP_019025821.1
OG0001088	YDR393W	XP_019023235.1
OG0001089	YDR394W	XP_019027616.1
OG0001090	YDR397C	XP_019023635.1
OG0001091	YDR398W	XP_019021772.1
OG0001092	YDR400W	XP_019027640.1
OG0001093	YDR404C	XP_019023368.1
OG0001094	YDR405W	XP_019025025.1
OG0001095	YDR407C	XP_019023004.1
OG0001096	YDR410C	XP_019024792.1
OG0001097	YDR411C	XP_019026785.1
OG0001098	YDR414C	XP_019026377.1
OG0001099	YDR415C	XP_019022733.1
OG0001100	YDR419W	XP_019023866.1
OG0001101	YDR424C	XP_019027003.1
OG0001102	YDR427W	XP_019027493.1
OG0001103	YDR428C	XP_019025913.1
OG0001104	YDR429C	XP_019027634.1
OG0001105	YDR430C	XP_019022859.1
OG0001106	YDR434W	XP_019023302.1
OG0001107	YDR435C	XP_019022489.1
OG0001108	YDR448W	XP_019027136.1
OG0001109	YDR449C	XP_019027703.1
OG0001110	YDR452W	XP_019026870.1
OG0001111	YDR454C	XP_019024068.1
OG0001112	YDR456W	XP_019025592.1
OG0001113	YDR460W	XP_019021203.1
OG0001114	YDR462W	XP_019025153.1
OG0001115	YDR465C	XP_019024433.1
OG0001116	YDR469W	XP_019021766.1
OG0001117	YDR470C	XP_019025146.1
OG0001118	YDR472W	XP_019027606.1
OG0001119	YDR473C	XP_019025922.1
OG0001120	YDR479C	XP_019023940.1
OG0001121	YDR482C	XP_019025725.1
OG0001122	YDR484W	XP_019025576.1
OG0001123	YDR486C	XP_019024602.1
OG0001124	YDR487C	XP_019022626.1
OG0001125	YDR489W	XP_019021192.1
OG0001126	YDR490C	XP_019025832.1
OG0001127	YDR493W	XP_019022134.1
OG0001128	YDR495C	XP_019023570.1
OG0001129	YDR496C	XP_019021512.1
OG0001130	YDR498C	XP_019022108.1
OG0001131	YDR502C	XP_019027134.1
OG0001132	YDR510W	XP_019021559.1
OG0001133	YDR511W	XP_019026353.1
OG0001134	YDR519W	XP_019022324.1
OG0001135	YDR525W-A	XP_019023317.1
OG0001136	YDR527W	XP_019025030.1
OG0001137	YDR529C	XP_019024008.1
OG0001138	YDR531W	XP_019021692.1
OG0001139	YEL002C	XP_019023908.1
OG0001140	YEL003W	XP_019026510.1
OG0001141	YEL004W	XP_019023491.1
OG0001142	YEL011W	XP_019021279.1
OG0001143	YEL012W	XP_019025019.1
OG0001144	YEL013W	XP_019026209.1
OG0001145	YEL015W	XP_019026210.1
OG0001146	YEL021W	XP_019024154.1
OG0001147	YEL023C	XP_019023536.1
OG0001148	YEL024W	XP_019023238.1
OG0001149	YEL026W	XP_019023889.1
OG0001150	YEL027W	XP_019023896.1
OG0001151	YEL031W	XP_019027506.1
OG0001152	YEL032W	XP_019026742.1
OG0001153	YEL036C	XP_019025121.1
OG0001154	YEL037C	XP_019023542.1
OG0001155	YEL038W	XP_019023540.1
OG0001156	YEL040W	XP_019021366.1
OG0001157	YEL042W	XP_019025447.1
OG0001158	YEL043W	XP_019026940.1
OG0001159	YEL046C	XP_019025597.1
OG0001160	YEL050C	XP_019025617.1
OG0001161	YEL051W	XP_019025029.1
OG0001162	YEL052W	XP_019022614.1
OG0001163	YEL053C	XP_019024300.1
OG0001164	YEL055C	XP_019021107.1
OG0001165	YEL056W	XP_019025206.1
OG0001166	YEL060C	XP_019023916.1
OG0001167	YEL062W	XP_019025823.1
OG0001168	YEL064C	XP_019024026.1
OG0001169	YER002W	XP_019022849.1
OG0001170	YER003C	XP_019023801.1
OG0001171	YER005W	XP_019023276.1
OG0001172	YER006W	XP_019027142.1
OG0001173	YER007C-A	XP_019024081.1
OG0001174	YER007W	XP_019024153.1
OG0001175	YER008C	XP_019024452.1
OG0001176	YER009W	XP_019021066.1
OG0001177	YER010C	XP_019024455.1
OG0001178	YER012W	XP_019026347.1
OG0001179	YER014W	XP_019021099.1
OG0001180	YER016W	XP_019022057.1
OG0001181	YER019W	XP_019021104.1
OG0001182	YER021W	XP_019022582.1
OG0001183	YER022W	XP_019023629.1
OG0001184	YER023W	XP_019024763.1
OG0001185	YER025W	XP_019026463.1
OG0001186	YER026C	XP_019027569.1
OG0001187	YER029C	XP_019026464.1
OG0001188	YER036C	XP_019025003.1
OG0001189	YER042W	XP_019022580.1
OG0001190	YER043C	XP_019021449.1
OG0001191	YER044C	XP_019022067.1
OG0001192	YER046W	XP_019025771.1
OG0001193	YER049W	XP_019021287.1
OG0001194	YER050C	XP_019021242.1
OG0001195	YER051W	XP_019021538.1
OG0001196	YER052C	XP_019025959.1
OG0001197	YER053C	XP_019026614.1
OG0001198	YER055C	XP_019025997.1
OG0001199	YER058W	XP_019021832.1
OG0001200	YER061C	XP_019021624.1
OG0001201	YER065C	XP_019021446.1
OG0001202	YER068W	XP_019027061.1
OG0001203	YER069W	XP_019027400.1
OG0001204	YER070W	XP_019023991.1
OG0001205	YER072W	XP_019025334.1
OG0001206	YER074W-A	XP_019026642.1
OG0001207	YER078C	XP_019025012.1
OG0001208	YER082C	XP_019027668.1
OG0001209	YER086W	XP_019027685.1
OG0001210	YER087W	XP_019021565.1
OG0001211	YER090W	XP_019021806.1
OG0001212	YER091C	XP_019024061.1
OG0001213	YER093C	XP_019025053.1
OG0001214	YER094C	XP_019022777.1
OG0001215	YER100W	XP_019024877.1
OG0001216	YER107C	XP_019024038.1
OG0001217	YER109C	XP_019024619.1
OG0001218	YER110C	XP_019027058.1
OG0001219	YER116C	XP_019024835.1
OG0001220	YER118C	XP_019020882.1
OG0001221	YER122C	XP_019022661.1
OG0001222	YER126C	XP_019023381.1
OG0001223	YER127W	XP_019023107.1
OG0001224	YER133W	XP_019022499.1
OG0001225	YER134C	XP_019023383.1
OG0001226	YER136W	XP_019022654.1
OG0001227	YER140W	XP_019023717.1
OG0001228	YER141W	XP_019023732.1
OG0001229	YER142C	XP_019027524.1
OG0001230	YER145C	XP_019026486.1
OG0001231	YER146W	XP_019026458.1
OG0001232	YER148W	XP_019020973.1
OG0001233	YER151C	XP_019024287.1
OG0001234	YER152C	XP_019021406.1
OG0001235	YER156C	XP_019024035.1
OG0001236	YER157W	XP_019027504.1
OG0001237	YER159C	XP_019021222.1
OG0001238	YER163C	XP_019023037.1
OG0001239	YER164W	XP_019027171.1
OG0001240	YER165W	XP_019024503.1
OG0001241	YER166W	XP_019027342.1
OG0001242	YER168C	XP_019025108.1
OG0001243	YER169W	XP_019024244.1
OG0001244	YER170W	XP_019026343.1
OG0001245	YER171W	XP_019025847.1
OG0001246	YER173W	XP_019023444.1
OG0001247	YER177W	XP_019024563.1
OG0001248	YER178W	XP_019024784.1
OG0001249	YER183C	XP_019022743.1
OG0001250	YFL001W	XP_019025811.1
OG0001251	YFL002C	XP_019025941.1
OG0001252	YFL003C	XP_019026368.1
OG0001253	YFL005W	XP_019026830.1
OG0001254	YFL007W	XP_019024538.1
OG0001255	YFL008W	XP_019022432.1
OG0001256	YFL013C	XP_019026397.1
OG0001257	YFL014W	XP_019027332.1
OG0001258	YFL016C	XP_019022689.1
OG0001259	YFL017C	XP_019022721.1
OG0001260	YFL017W-A	XP_019022184.1
OG0001261	YFL018C	XP_019027501.1
OG0001262	YFL022C	XP_019025788.1
OG0001263	YFL023W	XP_019022319.1
OG0001264	YFL024C	XP_019026806.1
OG0001265	YFL025C	XP_019025580.1
OG0001266	YFL026W	XP_019023873.1
OG0001267	YFL028C	XP_019023053.1
OG0001268	YFL030W	XP_019025348.1
OG0001269	YFL034C-B	XP_019021786.1
OG0001270	YFL034W	XP_019026856.1
OG0001271	YFL036W	XP_019027182.1
OG0001272	YFL038C	XP_019024336.1
OG0001273	YFL039C	XP_019025966.1
OG0001274	YFL044C	XP_019027599.1
OG0001275	YFL045C	XP_019027496.1
OG0001276	YFL046W	XP_019023021.1
OG0001277	YFL047W	XP_019022907.1
OG0001278	YFL054C	XP_019021159.1
OG0001279	YFR001W	XP_019022959.1
OG0001280	YFR002W	XP_019026853.1
OG0001281	YFR004W	XP_019021425.1
OG0001282	YFR005C	XP_019023734.1
OG0001283	YFR006W	XP_019027454.1
OG0001284	YFR007W	XP_019023994.1
OG0001285	YFR009W	XP_019021926.1
OG0001286	YFR010W	XP_019027348.1
OG0001287	YFR014C	XP_019026599.1
OG0001288	YFR015C	XP_019021536.1
OG0001289	YFR016C	XP_019022089.1
OG0001290	YFR018C	XP_019022372.1
OG0001291	YFR019W	XP_019022312.1
OG0001292	YFR022W	XP_019025011.1
OG0001293	YFR024C-A	XP_019025072.1
OG0001294	YFR025C	XP_019022625.1
OG0001295	YFR027W	XP_019020751.1
OG0001296	YFR028C	XP_019023816.1
OG0001297	YFR030W	XP_019025015.1
OG0001298	YFR031C	XP_019022691.1
OG0001299	YFR032C-A	XP_019022442.1
OG0001300	YFR033C	XP_019024505.1
OG0001301	YFR037C	XP_019026689.1
OG0001302	YFR041C	XP_019026416.1
OG0001303	YFR044C	XP_019025793.1
OG0001304	YFR047C	XP_019021841.1
OG0001305	YFR048W	XP_019026995.1
OG0001306	YFR050C	XP_019025750.1
OG0001307	YFR051C	XP_019025615.1
OG0001308	YFR052W	XP_019022575.1
OG0001309	YGL001C	XP_019023355.1
OG0001310	YGL006W	XP_019027198.1
OG0001311	YGL008C	XP_019024355.1
OG0001312	YGL009C	XP_019024879.1
OG0001313	YGL010W	XP_019026155.1
OG0001314	YGL011C	XP_019021174.1
OG0001315	YGL012W	XP_019024286.1
OG0001316	YGL016W	XP_019024958.1
OG0001317	YGL017W	XP_019021811.1
OG0001318	YGL018C	XP_019026425.1
OG0001319	YGL019W	XP_019020855.1
OG0001320	YGL022W	XP_019023338.1
OG0001321	YGL023C	XP_019026246.1
OG0001322	YGL026C	XP_019027439.1
OG0001323	YGL027C	XP_019023016.1
OG0001324	YGL028C	XP_019021637.1
OG0001325	YGL030W	XP_019021094.1
OG0001326	YGL033W	XP_019020760.1
OG0001327	YGL035C	XP_019022659.1
OG0001328	YGL043W	XP_019022177.1
OG0001329	YGL044C	XP_019027695.1
OG0001330	YGL045W	XP_019022791.1
OG0001331	YGL047W	XP_019024169.1
OG0001332	YGL048C	XP_019026861.1
OG0001333	YGL054C	XP_019023318.1
OG0001334	YGL055W	XP_019022652.1
OG0001335	YGL058W	XP_019023105.1
OG0001336	YGL064C	XP_019024724.1
OG0001337	YGL065C	XP_019025685.1
OG0001338	YGL066W	XP_019024735.1
OG0001339	YGL067W	XP_019023731.1
OG0001340	YGL068W	XP_019024764.1
OG0001341	YGL070C	XP_019024765.1
OG0001342	YGL073W	XP_019024196.1
OG0001343	YGL078C	XP_019021255.1
OG0001344	YGL080W	XP_019021234.1
OG0001345	YGL083W	XP_019027149.1
OG0001346	YGL084C	XP_019021141.1
OG0001347	YGL085W	XP_019027648.1
OG0001348	YGL086W	XP_019025924.1
OG0001349	YGL087C	XP_019021475.1
OG0001350	YGL091C	XP_019027669.1
OG0001351	YGL092W	XP_019024470.1
OG0001352	YGL094C	XP_019024926.1
OG0001353	YGL095C	XP_019026693.1
OG0001354	YGL096W	XP_019024845.1
OG0001355	YGL099W	XP_019025659.1
OG0001356	YGL100W	XP_019022735.1
OG0001357	YGL103W	XP_019020726.1
OG0001358	YGL105W	XP_019025124.1
OG0001359	YGL106W	XP_019022631.1
OG0001360	YGL110C	XP_019020770.1
OG0001361	YGL111W	XP_019022593.1
OG0001362	YGL112C	XP_019025207.1
OG0001363	YGL114W	XP_019021134.1
OG0001364	YGL115W	XP_019026236.1
OG0001365	YGL119W	XP_019024065.1
OG0001366	YGL122C	XP_019021093.1
OG0001367	YGL123W	XP_019022264.1
OG0001368	YGL124C	XP_019021137.1
OG0001369	YGL126W	XP_019021971.1
OG0001370	YGL129C	XP_019022641.1
OG0001371	YGL130W	XP_019027719.1
OG0001372	YGL136C	XP_019021260.1
OG0001373	YGL137W	XP_019022630.1
OG0001374	YGL140C	XP_019026434.1
OG0001375	YGL142C	XP_019026030.1
OG0001376	YGL143C	XP_019026035.1
OG0001377	YGL148W	XP_019024056.1
OG0001378	YGL153W	XP_019020955.1
OG0001379	YGL155W	XP_019026346.1
OG0001380	YGL156W	XP_019023527.1
OG0001381	YGL164C	XP_019025100.1
OG0001382	YGL167C	XP_019021221.1
OG0001383	YGL169W	XP_019027707.1
OG0001384	YGL171W	XP_019026567.1
OG0001385	YGL172W	XP_019027217.1
OG0001386	YGL174W	XP_019026819.1
OG0001387	YGL180W	XP_019022813.1
OG0001388	YGL183C	XP_019022790.1
OG0001389	YGL187C	XP_019021348.1
OG0001390	YGL190C	XP_019023398.1
OG0001391	YGL191W	XP_019021713.1
OG0001392	YGL192W	XP_019021083.1
OG0001393	YGL195W	XP_019024376.1
OG0001394	YGL200C	XP_019021378.1
OG0001395	YGL201C	XP_019025032.1
OG0001396	YGL203C	XP_019024039.1
OG0001397	YGL206C	XP_019026433.1
OG0001398	YGL207W	XP_019024284.1
OG0001399	YGL211W	XP_019024493.1
OG0001400	YGL212W	XP_019021986.1
OG0001401	YGL213C	XP_019025931.1
OG0001402	YGL219C	XP_019024982.1
OG0001403	YGL220W	XP_019022545.1
OG0001404	YGL224C	XP_019026681.1
OG0001405	YGL225W	XP_019023030.1
OG0001406	YGL227W	XP_019027022.1
OG0001407	YGL231C	XP_019025077.1
OG0001408	YGL232W	XP_019027523.1
OG0001409	YGL233W	XP_019026799.1
OG0001410	YGL234W	XP_019025552.1
OG0001411	YGL236C	XP_019023026.1
OG0001412	YGL237C	XP_019026580.1
OG0001413	YGL238W	XP_019023070.1
OG0001414	YGL240W	XP_019025606.1
OG0001415	YGL241W	XP_019023223.1
OG0001416	YGL242C	XP_019021934.1
OG0001417	YGL243W	XP_019021993.1
OG0001418	YGL244W	XP_019025718.1
OG0001419	YGL245W	XP_019025222.1
OG0001420	YGL246C	XP_019026699.1
OG0001421	YGL248W	XP_019025620.1
OG0001422	YGL251C	XP_019024496.1
OG0001423	YGL256W	XP_019023714.1
OG0001424	YGR001C	XP_019027607.1
OG0001425	YGR002C	XP_019025370.1
OG0001426	YGR005C	XP_019022495.1
OG0001427	YGR006W	XP_019025970.1
OG0001428	YGR009C	XP_019023457.1
OG0001429	YGR012W	XP_019022166.1
OG0001430	YGR017W	XP_019025023.1
OG0001431	YGR019W	XP_019025666.1
OG0001432	YGR020C	XP_019022756.1
OG0001433	YGR021W	XP_019027330.1
OG0001434	YGR024C	XP_019022461.1
OG0001435	YGR028W	XP_019022598.1
OG0001436	YGR029W	XP_019022142.1
OG0001437	YGR031W	XP_019025538.1
OG0001438	YGR036C	XP_019020995.1
OG0001439	YGR037C	XP_019022021.1
OG0001440	YGR046W	XP_019025866.1
OG0001441	YGR047C	XP_019022501.1
OG0001442	YGR048W	XP_019024204.1
OG0001443	YGR053C	XP_019024325.1
OG0001444	YGR054W	XP_019027595.1
OG0001445	YGR055W	XP_019027028.1
OG0001446	YGR057C	XP_019027559.1
OG0001447	YGR058W	XP_019023431.1
OG0001448	YGR060W	XP_019026832.1
OG0001449	YGR061C	XP_019025279.1
OG0001450	YGR063C	XP_019026543.1
OG0001451	YGR066C	XP_019027107.1
OG0001452	YGR074W	XP_019020758.1
OG0001453	YGR078C	XP_019027462.1
OG0001454	YGR080W	XP_019024728.1
OG0001455	YGR082W	XP_019023183.1
OG0001456	YGR083C	XP_019026274.1
OG0001457	YGR085C	XP_019026468.1
OG0001458	YGR086C	XP_019022238.1
OG0001459	YGR090W	XP_019022563.1
OG0001460	YGR091W	XP_019026730.1
OG0001461	YGR093W	XP_019021133.1
OG0001462	YGR094W	XP_019022141.1
OG0001463	YGR095C	XP_019026427.1
OG0001464	YGR096W	XP_019023500.1
OG0001465	YGR098C	XP_019022410.1
OG0001466	YGR099W	XP_019026215.1
OG0001467	YGR100W	XP_019023922.1
OG0001468	YGR101W	XP_019027094.1
OG0001469	YGR103W	XP_019022244.1
OG0001470	YGR105W	XP_019022162.1
OG0001471	YGR110W	XP_019026568.1
OG0001472	YGR112W	XP_019021691.1
OG0001473	YGR113W	XP_019027190.1
OG0001474	YGR116W	XP_019025757.1
OG0001475	YGR119C	XP_019024305.1
OG0001476	YGR123C	XP_019023605.1
OG0001477	YGR124W	XP_019024072.1
OG0001478	YGR125W	XP_019027139.1
OG0001479	YGR127W	XP_019023663.1
OG0001480	YGR132C	XP_019023748.1
OG0001481	YGR135W	XP_019024912.1
OG0001482	YGR144W	XP_019025414.1
OG0001483	YGR145W	XP_019027046.1
OG0001484	YGR147C	XP_019021646.1
OG0001485	YGR149W	XP_019022471.1
OG0001486	YGR150C	XP_019027585.1
OG0001487	YGR155W	XP_019024686.1
OG0001488	YGR157W	XP_019025130.1
OG0001489	YGR163W	XP_019025875.1
OG0001490	YGR167W	XP_019024806.1
OG0001491	YGR171C	XP_019024565.1
OG0001492	YGR172C	XP_019022947.1
OG0001493	YGR173W	XP_019023600.1
OG0001494	YGR174C	XP_019024007.1
OG0001495	YGR175C	XP_019023284.1
OG0001496	YGR178C	XP_019025344.1
OG0001497	YGR181W	XP_019024802.1
OG0001498	YGR183C	XP_019021112.1
OG0001499	YGR184C	XP_019021111.1
OG0001500	YGR185C	XP_019024145.1
OG0001501	YGR186W	XP_019022974.1
OG0001502	YGR187C	XP_019021715.1
OG0001503	YGR188C	XP_019021216.1
OG0001504	YGR189C	XP_019021078.1
OG0001505	YGR193C	XP_019021831.1
OG0001506	YGR194C	XP_019022451.1
OG0001507	YGR200C	XP_019023039.1
OG0001508	YGR202C	XP_019023953.1
OG0001509	YGR203W	XP_019022584.1
OG0001510	YGR205W	XP_019022732.1
OG0001511	YGR207C	XP_019026773.1
OG0001512	YGR208W	XP_019021654.1
OG0001513	YGR210C	XP_019023892.1
OG0001514	YGR211W	XP_019023191.1
OG0001515	YGR216C	XP_019027635.1
OG0001516	YGR217W	XP_019027071.1
OG0001517	YGR218W	XP_019025383.1
OG0001518	YGR220C	XP_019025368.1
OG0001519	YGR227W	XP_019026564.1
OG0001520	YGR229C	XP_019023027.1
OG0001521	YGR230W	XP_019025648.1
OG0001522	YGR231C	XP_019021220.1
OG0001523	YGR232W	XP_019021554.1
OG0001524	YGR233C	XP_019025271.1
OG0001525	YGR234W	XP_019021075.1
OG0001526	YGR235C	XP_019021167.1
OG0001527	YGR244C	XP_019026816.1
OG0001528	YGR245C	XP_019026513.1
OG0001529	YGR246C	XP_019022703.1
OG0001530	YGR247W	XP_019020824.1
OG0001531	YGR252W	XP_019027016.1
OG0001532	YGR253C	XP_019022714.1
OG0001533	YGR255C	XP_019026595.1
OG0001534	YGR257C	XP_019021157.1
OG0001535	YGR258C	XP_019022251.1
OG0001536	YGR262C	XP_019022473.1
OG0001537	YGR264C	XP_019024018.1
OG0001538	YGR266W	XP_019023532.1
OG0001539	YGR267C	XP_019026473.1
OG0001540	YGR268C	XP_019025232.1
OG0001541	YGR270W	XP_019021859.1
OG0001542	YGR271C-A	XP_019021958.1
OG0001543	YGR274C	XP_019021135.1
OG0001544	YGR277C	XP_019022387.1
OG0001545	YGR278W	XP_019022496.1
OG0001546	YGR280C	XP_019022917.1
OG0001547	YGR282C	XP_019023364.1
OG0001548	YGR284C	XP_019020793.1
OG0001549	YGR285C	XP_019023645.1
OG0001550	YGR286C	XP_019021243.1
OG0001551	YHL002W	XP_019025033.1
OG0001552	YHL004W	XP_019024536.1
OG0001553	YHL010C	XP_019024446.1
OG0001554	YHL013C	XP_019026969.1
OG0001555	YHL015W	XP_019022560.1
OG0001556	YHL020C	XP_019025210.1
OG0001557	YHL022C	XP_019025236.1
OG0001558	YHL023C	XP_019026069.1
OG0001559	YHL024W	XP_019021650.1
OG0001560	YHL026C	XP_019026999.1
OG0001561	YHL028W	XP_019025723.1
OG0001562	YHL030W	XP_019022911.1
OG0001563	YHL031C	XP_019027155.1
OG0001564	YHL032C	XP_019024478.1
OG0001565	YHR002W	XP_019024931.1
OG0001566	YHR004C	XP_019025362.1
OG0001567	YHR005C-A	XP_019024605.1
OG0001568	YHR007C	XP_019022946.1
OG0001569	YHR008C	XP_019024613.1
OG0001570	YHR009C	XP_019023024.1
OG0001571	YHR011W	XP_019025935.1
OG0001572	YHR012W	XP_019025350.1
OG0001573	YHR013C	XP_019025353.1
OG0001574	YHR018C	XP_019022507.1
OG0001575	YHR019C	XP_019024693.1
OG0001576	YHR020W	XP_019023269.1
OG0001577	YHR024C	XP_019026198.1
OG0001578	YHR025W	XP_019025551.1
OG0001579	YHR026W	XP_019023242.1
OG0001580	YHR027C	XP_019027195.1
OG0001581	YHR028C	XP_019023377.1
OG0001582	YHR029C	XP_019021055.1
OG0001583	YHR030C	XP_019025990.1
OG0001584	YHR034C	XP_019022870.1
OG0001585	YHR037W	XP_019021561.1
OG0001586	YHR039C	XP_019024564.1
OG0001587	YHR039C-A	XP_019024567.1
OG0001588	YHR040W	XP_019021204.1
OG0001589	YHR042W	XP_019027122.1
OG0001590	YHR051W	XP_019025273.1
OG0001591	YHR062C	XP_019022114.1
OG0001592	YHR063C	XP_019021660.1
OG0001593	YHR064C	XP_019021626.1
OG0001594	YHR068W	XP_019027722.1
OG0001595	YHR069C	XP_019023366.1
OG0001596	YHR070W	XP_019026526.1
OG0001597	YHR071W	XP_019027280.1
OG0001598	YHR072W	XP_019021991.1
OG0001599	YHR072W-A	XP_019024691.1
OG0001600	YHR073W	XP_019026039.1
OG0001601	YHR074W	XP_019023850.1
OG0001602	YHR075C	XP_019022161.1
OG0001603	YHR076W	XP_019023360.1
OG0001604	YHR077C	XP_019026710.1
OG0001605	YHR079C	XP_019026391.1
OG0001606	YHR079C-A	XP_019023576.1
OG0001607	YHR084W	XP_019025588.1
OG0001608	YHR085W	XP_019022098.1
OG0001609	YHR086W	XP_019024521.1
OG0001610	YHR087W	XP_019024553.1
OG0001611	YHR089C	XP_019027568.1
OG0001612	YHR090C	XP_019021393.1
OG0001613	YHR099W	XP_019025313.1
OG0001614	YHR100C	XP_019021585.1
OG0001615	YHR101C	XP_019026364.1
OG0001616	YHR104W	XP_019026903.1
OG0001617	YHR107C	XP_019025179.1
OG0001618	YHR111W	XP_019025889.1
OG0001619	YHR114W	XP_019023755.1
OG0001620	YHR116W	XP_019022948.1
OG0001621	YHR119W	XP_019026461.1
OG0001622	YHR120W	XP_019023511.1
OG0001623	YHR121W	XP_019021247.1
OG0001624	YHR122W	XP_019025416.1
OG0001625	YHR128W	XP_019025962.1
OG0001626	YHR132C	XP_019024709.1
OG0001627	YHR132W-A	XP_019024030.1
OG0001628	YHR134W	XP_019021746.1
OG0001629	YHR142W	XP_019026251.1
OG0001630	YHR143W-A	XP_019024160.1
OG0001631	YHR144C	XP_019023449.1
OG0001632	YHR147C	XP_019026445.1
OG0001633	YHR148W	XP_019026407.1
OG0001634	YHR154W	XP_019027216.1
OG0001635	YHR165C	XP_019021347.1
OG0001636	YHR166C	XP_019020741.1
OG0001637	YHR168W	XP_019025674.1
OG0001638	YHR169W	XP_019021965.1
OG0001639	YHR170W	XP_019027180.1
OG0001640	YHR171W	XP_019021230.1
OG0001641	YHR174W	XP_019026362.1
OG0001642	YHR175W	XP_019023420.1
OG0001643	YHR181W	XP_019026400.1
OG0001644	YHR183W	XP_019021212.1
OG0001645	YHR186C	XP_019021617.1
OG0001646	YHR188C	XP_019025084.1
OG0001647	YHR189W	XP_019022397.1
OG0001648	YHR190W	XP_019022357.1
OG0001649	YHR193C	XP_019027396.1
OG0001650	YHR194W	XP_019022874.1
OG0001651	YHR200W	XP_019026584.1
OG0001652	YHR201C	XP_019021558.1
OG0001653	YHR204W	XP_019025795.1
OG0001654	YHR206W	XP_019022553.1
OG0001655	YHR207C	XP_019023722.1
OG0001656	YHR208W	XP_019027147.1
OG0001657	YIL001W	XP_019027395.1
OG0001658	YIL003W	XP_019025102.1
OG0001659	YIL004C	XP_019024239.1
OG0001660	YIL007C	XP_019024516.1
