	Saccharomyces_cerevisiae	Tortispora_caseinolytica
OG0001177	YGL067W	snap_masked-scaffold_1-processed-gene-26.96-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.96&CDS=1-1173
OG0001178	YGL068W	snap_masked-scaffold_3-processed-gene-1.9-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.9&CDS=1-516
OG0001179	YGL070C	snap_masked-scaffold_3-processed-gene-1.13-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.13&CDS=1-297
OG0001180	YGL078C	maker-scaffold_2-augustus-gene-14.1-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-14.1&CDS=1-2244
OG0001181	YGL083W	snap_masked-scaffold_3-processed-gene-19.37-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.37&CDS=1-2181
OG0001182	YGL085W	maker-scaffold_2-snap-gene-23.111-mRNA-1_1&gene=maker-scaffold_2-snap-gene-23.111&CDS=1-843
OG0001183	YGL086W	snap_masked-scaffold_1-processed-gene-28.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-28.33&CDS=1-2010
OG0001184	YGL087C	snap_masked-scaffold_1-processed-gene-7.133-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.133&CDS=1-417
OG0001185	YGL091C	augustus_masked-scaffold_1-processed-gene-5.148-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.148&CDS=1-984
OG0001186	YGL092W	snap_masked-scaffold_1-processed-gene-20.88-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.88&CDS=1-5496
OG0001187	YGL094C	snap_masked-scaffold_3-processed-gene-6.137-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.137&CDS=1-3147
OG0001188	YGL097W	snap_masked-scaffold_3-processed-gene-3.26-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.26&CDS=1-1494
OG0001189	YGL099W	snap_masked-scaffold_1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.31&CDS=1-1596
OG0001190	YGL100W	augustus_masked-scaffold_3-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.44&CDS=1-1038
OG0001191	YGL103W	snap_masked-scaffold_3-processed-gene-25.118-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.118&CDS=1-447
OG0001192	YGL105W	snap_masked-scaffold_1-processed-gene-28.36-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-28.36&CDS=1-1206
OG0001193	YGL106W	snap_masked-scaffold_2-processed-gene-23.132-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-23.132&CDS=1-426
OG0001194	YGL111W	snap_masked-scaffold_4-processed-gene-2.81-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.81&CDS=1-1224
OG0001195	YGL112C	genemark-scaffold_3-processed-gene-14.29-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-14.29&CDS=1-2313
OG0001196	YGL114W	snap_masked-scaffold_3-processed-gene-12.124-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.124&CDS=1-1938
OG0001197	YGL115W	augustus_masked-scaffold_3-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.32&CDS=1-939
OG0001198	YGL119W	augustus_masked-scaffold_3-processed-gene-20.95-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-20.95&CDS=1-3006
OG0001199	YGL122C	snap_masked-scaffold_1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.88&CDS=1-1197
OG0001200	YGL123W	snap_masked-scaffold_2-processed-gene-11.22-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.22&CDS=1-756
OG0001201	YGL124C	snap_masked-scaffold_2-processed-gene-2.87-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.87&CDS=1-1413
OG0001202	YGL125W	snap_masked-scaffold_3-processed-gene-4.143-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.143&CDS=1-1785
OG0001203	YGL126W	snap_masked-scaffold_1-processed-gene-18.119-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.119&CDS=1-723
OG0001204	YGL127C	snap_masked-scaffold_3-processed-gene-21.102-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-21.102&CDS=1-363
OG0001205	YGL129C	augustus_masked-scaffold_1-processed-gene-12.149-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.149&CDS=1-1302
OG0001206	YGL130W	augustus_masked-scaffold_2-processed-gene-15.161-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.161&CDS=1-1182
OG0001207	YGL136C	maker-scaffold_1-snap-gene-6.0-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.0&CDS=1-969
OG0001208	YGL137W	augustus_masked-scaffold_2-processed-gene-10.81-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.81&CDS=1-5577
OG0001209	YGL141W	snap_masked-scaffold_4-processed-gene-2.119-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.119&CDS=1-2958
OG0001210	YGL142C	snap_masked-scaffold_2-processed-gene-13.152-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.152&CDS=1-1491
OG0001211	YGL143C	augustus_masked-scaffold_1-processed-gene-28.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-28.75&CDS=1-1188
OG0001212	YGL148W	snap_masked-scaffold_3-processed-gene-8.105-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.105&CDS=1-1167
OG0001213	YGL150C	snap_masked-scaffold_1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.30&CDS=1-4113
OG0001214	YGL151W	snap_masked-scaffold_3-processed-gene-11.140-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.140&CDS=1-2619
OG0001215	YGL153W	snap_masked-scaffold_2-processed-gene-20.93-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.93&CDS=1-927
OG0001216	YGL156W	snap_masked-scaffold_2-processed-gene-0.50-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.50&CDS=1-3273
OG0001217	YGL159W	snap_masked-scaffold_2-processed-gene-7.41-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.41&CDS=1-1029
OG0001218	YGL164C	augustus_masked-scaffold_2-processed-gene-27.63-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-27.63&CDS=1-1620
OG0001219	YGL166W	genemark-scaffold_2-processed-gene-27.35-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-27.35&CDS=1-840
OG0001220	YGL167C	snap_masked-scaffold_3-processed-gene-11.146-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.146&CDS=1-2769
OG0001221	YGL169W	augustus_masked-scaffold_3-processed-gene-23.158-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-23.158&CDS=1-1107
OG0001222	YGL171W	augustus_masked-scaffold_3-processed-gene-25.36-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-25.36&CDS=1-1548
OG0001223	YGL172W	snap_masked-scaffold_3-processed-gene-9.125-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.125&CDS=1-1353
OG0001224	YGL174W	snap_masked-scaffold_1-processed-gene-12.54-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.54&CDS=1-738
OG0001225	YGL178W	snap_masked-scaffold_1-processed-gene-7.127-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.127&CDS=1-2583
OG0001226	YGL179C	snap_masked-scaffold_3-processed-gene-8.104-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.104&CDS=1-3345
OG0001227	YGL180W	snap_masked-scaffold_1-processed-gene-26.95-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.95&CDS=1-2850
OG0001228	YGL184C	snap_masked-scaffold_2-processed-gene-23.116-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-23.116&CDS=1-1212
OG0001229	YGL187C	snap_masked-scaffold_3-processed-gene-9.134-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.134&CDS=1-483
OG0001230	YGL190C	snap_masked-scaffold_2-processed-gene-29.7-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-29.7&CDS=1-1401
OG0001231	YGL191W	snap_masked-scaffold_2-processed-gene-29.2-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-29.2&CDS=1-390
OG0001232	YGL195W	snap_masked-scaffold_2-processed-gene-16.40-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.40&CDS=1-8064
OG0001233	YGL196W	snap_masked-scaffold_2-processed-gene-28.170-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-28.170&CDS=1-1176
OG0001234	YGL198W	snap_masked-scaffold_1-processed-gene-21.9-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.9&CDS=1-669
OG0001235	YGL201C	augustus_masked-scaffold_1-processed-gene-28.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-28.59&CDS=1-5169
OG0001236	YGL202W	snap_masked-scaffold_2-processed-gene-25.51-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-25.51&CDS=1-1446
OG0001237	YGL205W	snap_masked-scaffold_1-processed-gene-28.19-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-28.19&CDS=1-2064
OG0001238	YGL206C	snap_masked-scaffold_3-processed-gene-19.3-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.3&CDS=1-5013
OG0001239	YGL207W	snap_masked-scaffold_2-processed-gene-16.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.35&CDS=1-2973
OG0001240	YGL211W	augustus_masked-scaffold_2-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.124&CDS=1-4716
OG0001241	YGL220W	maker-scaffold_2-snap-gene-26.1-mRNA-1_1&gene=maker-scaffold_2-snap-gene-26.1&CDS=1-258
OG0001242	YGL221C	snap_masked-scaffold_2-processed-gene-26.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-26.21&CDS=1-840
OG0001243	YGL225W	snap_masked-scaffold_1-processed-gene-3.21-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.21&CDS=1-999
OG0001244	YGL233W	snap_masked-scaffold_2-processed-gene-11.37-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.37&CDS=1-2508
OG0001245	YGL234W	snap_masked-scaffold_1-processed-gene-26.88-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.88&CDS=1-2343
OG0001246	YGL236C	snap_masked-scaffold_1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.38&CDS=1-1956
OG0001247	YGL237C	snap_masked-scaffold_3-processed-gene-12.138-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.138&CDS=1-918
OG0001248	YGL238W	snap_masked-scaffold_1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.18&CDS=1-2850
OG0001249	YGL240W	snap_masked-scaffold_2-processed-gene-8.74-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.74&CDS=1-573
OG0001250	YGL242C	snap_masked-scaffold_1-processed-gene-30.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.73&CDS=1-531
OG0001251	YGL243W	snap_masked-scaffold_1-processed-gene-30.104-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.104&CDS=1-1029
OG0001252	YGL244W	snap_masked-scaffold_2-processed-gene-24.65-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.65&CDS=1-1599
OG0001253	YGL245W	snap_masked-scaffold_2-processed-gene-27.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-27.95&CDS=1-2103
OG0001254	YGL247W	snap_masked-scaffold_1-processed-gene-12.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.87&CDS=1-987
OG0001255	YGL248W	snap_masked-scaffold_1-processed-gene-5.22-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.22&CDS=1-1041
OG0001256	YGL252C	snap_masked-scaffold_3-processed-gene-24.86-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-24.86&CDS=1-1734
OG0001257	YGL256W	augustus_masked-scaffold_2-processed-gene-13.14-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.14&CDS=1-1458
OG0001258	YGR001C	snap_masked-scaffold_2-processed-gene-30.124-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-30.124&CDS=1-702
OG0001259	YGR002C	snap_masked-scaffold_3-processed-gene-25.76-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.76&CDS=1-1212
OG0001260	YGR005C	snap_masked-scaffold_3-processed-gene-6.110-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.110&CDS=1-894
OG0001261	YGR007W	snap_masked-scaffold_3-processed-gene-25.112-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.112&CDS=1-1068
OG0001262	YGR009C	snap_masked-scaffold_2-processed-gene-0.51-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.51&CDS=1-1356
OG0001263	YGR012W	snap_masked-scaffold_2-processed-gene-4.74-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.74&CDS=1-1110
OG0001264	YGR014W	snap_masked-scaffold_2-processed-gene-23.117-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-23.117&CDS=1-2184
OG0001265	YGR017W	genemark-scaffold_1-processed-gene-28.137-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.137&CDS=1-831
OG0001266	YGR019W	snap_masked-scaffold_2-processed-gene-13.145-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.145&CDS=1-1455
OG0001267	YGR020C	snap_masked-scaffold_1-processed-gene-23.29-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.29&CDS=1-366
OG0001268	YGR021W	genemark-scaffold_2-processed-gene-13.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.87&CDS=1-897
OG0001269	YGR024C	augustus_masked-scaffold_1-processed-gene-18.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.5&CDS=1-792
OG0001270	YGR028W	augustus_masked-scaffold_2-processed-gene-23.10-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-23.10&CDS=1-1599
OG0001271	YGR029W	snap_masked-scaffold_2-processed-gene-20.61-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.61&CDS=1-567
OG0001272	YGR031W	augustus_masked-scaffold_1-processed-gene-22.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.31&CDS=1-843
OG0001273	YGR033C	snap_masked-scaffold_2-processed-gene-23.115-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-23.115&CDS=1-672
OG0001274	YGR036C	snap_masked-scaffold_3-processed-gene-22.137-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.137&CDS=1-633
OG0001275	YGR037C	augustus_masked-scaffold_1-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.1&CDS=1-2061
OG0001276	YGR044C	genemark-scaffold_2-processed-gene-29.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-29.101&CDS=1-1182
OG0001277	YGR046W	augustus_masked-scaffold_1-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.19&CDS=1-1218
OG0001278	YGR047C	snap_masked-scaffold_2-processed-gene-9.75-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.75&CDS=1-3114
OG0001279	YGR048W	maker-scaffold_1-augustus-gene-16.59-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-16.59&CDS=1-1083
OG0001280	YGR055W	snap_masked-scaffold_3-processed-gene-25.92-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.92&CDS=1-1449
OG0001281	YGR058W	snap_masked-scaffold_2-processed-gene-7.15-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.15&CDS=1-864
OG0001282	YGR060W	snap_masked-scaffold_3-processed-gene-2.24-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.24&CDS=1-900
OG0001283	YGR061C	augustus_masked-scaffold_1-processed-gene-16.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.69&CDS=1-5235
OG0001284	YGR062C	augustus_masked-scaffold_1-processed-gene-20.136-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.136&CDS=1-843
OG0001285	YGR066C	snap_masked-scaffold_1-processed-gene-17.49-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.49&CDS=1-765
OG0001286	YGR074W	genemark-scaffold_1-processed-gene-2.173-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.173&CDS=1-312
OG0001287	YGR078C	augustus_masked-scaffold_2-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.18&CDS=1-609
OG0001288	YGR080W	maker-scaffold_1-snap-gene-13.50-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.50&CDS=1-966
OG0001289	YGR082W	snap_masked-scaffold_3-processed-gene-10.43-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.43&CDS=1-489
OG0001290	YGR083C	snap_masked-scaffold_2-processed-gene-19.85-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.85&CDS=1-1224
OG0001291	YGR086C	snap_masked-scaffold_2-processed-gene-11.20-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.20&CDS=1-957
OG0001292	YGR090W	snap_masked-scaffold_3-processed-gene-20.5-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-20.5&CDS=1-3285
OG0001293	YGR091W	genemark-scaffold_2-processed-gene-28.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-28.81&CDS=1-1209
OG0001294	YGR093W	snap_masked-scaffold_3-processed-gene-24.66-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-24.66&CDS=1-1221
OG0001295	YGR094W	snap_masked-scaffold_1-processed-gene-26.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.70&CDS=1-3141
OG0001296	YGR095C	augustus_masked-scaffold_3-processed-gene-13.18-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.18&CDS=1-651
OG0001297	YGR096W	snap_masked-scaffold_3-processed-gene-22.126-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.126&CDS=1-906
OG0001298	YGR098C	augustus_masked-scaffold_1-processed-gene-28.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-28.83&CDS=1-6024
OG0001299	YGR099W	snap_masked-scaffold_1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.15&CDS=1-2553
OG0001300	YGR101W	snap_masked-scaffold_2-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.24&CDS=1-990
OG0001301	YGR103W	snap_masked-scaffold_2-processed-gene-15.6-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.6&CDS=1-1932
OG0001302	YGR105W	maker-scaffold_2-snap-gene-15.122-mRNA-1_1&gene=maker-scaffold_2-snap-gene-15.122&CDS=1-222
OG0001303	YGR110W	snap_masked-scaffold_3-processed-gene-9.131-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.131&CDS=1-1284
OG0001304	YGR112W	snap_masked-scaffold_2-processed-gene-10.137-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.137&CDS=1-903
OG0001305	YGR113W	augustus_masked-scaffold_3-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.92&CDS=1-999
OG0001306	YGR116W	snap_masked-scaffold_3-processed-gene-14.83-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.83&CDS=1-4260
OG0001307	YGR119C	snap_masked-scaffold_2-processed-gene-25.24-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-25.24&CDS=1-1053
OG0001308	YGR123C	snap_masked-scaffold_3-processed-gene-14.82-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.82&CDS=1-1434
OG0001309	YGR125W	snap_masked-scaffold_2-processed-gene-25.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-25.35&CDS=1-3174
OG0001310	YGR127W	augustus_masked-scaffold_1-processed-gene-19.136-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.136&CDS=1-894
OG0001311	YGR128C	maker-scaffold_3-snap-gene-11.57-mRNA-1_1&gene=maker-scaffold_3-snap-gene-11.57&CDS=1-2538
OG0001312	YGR135W	augustus_masked-scaffold_3-processed-gene-16.106-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.106&CDS=1-1635
OG0001313	YGR145W	snap_masked-scaffold_1-processed-gene-16.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.25&CDS=1-1404
OG0001314	YGR147C	augustus_masked-scaffold_3-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.74&CDS=1-567
OG0001315	YGR149W	snap_masked-scaffold_3-processed-gene-8.64-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.64&CDS=1-1215
OG0001316	YGR150C	snap_masked-scaffold_2-processed-gene-8.102-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.102&CDS=1-1914
OG0001317	YGR155W	snap_masked-scaffold_3-processed-gene-1.37-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.37&CDS=1-1473
OG0001318	YGR157W	snap_masked-scaffold_3-processed-gene-8.66-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.66&CDS=1-2712
OG0001319	YGR158C	snap_masked-scaffold_3-processed-gene-8.65-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.65&CDS=1-798
OG0001320	YGR159C	snap_masked-scaffold_1-processed-gene-21.17-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.17&CDS=1-1524
OG0001321	YGR163W	snap_masked-scaffold_2-processed-gene-12.75-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.75&CDS=1-954
OG0001322	YGR165W	maker-scaffold_1-snap-gene-29.91-mRNA-1_1&gene=maker-scaffold_1-snap-gene-29.91&CDS=1-933
OG0001323	YGR167W	snap_masked-scaffold_3-processed-gene-16.102-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-16.102&CDS=1-615
OG0001324	YGR170W	snap_masked-scaffold_1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.53&CDS=1-3138
OG0001325	YGR171C	snap_masked-scaffold_1-processed-gene-9.36-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.36&CDS=1-1623
OG0001326	YGR172C	snap_masked-scaffold_3-processed-gene-3.27-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.27&CDS=1-663
OG0001327	YGR174C	snap_masked-scaffold_3-processed-gene-5.144-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.144&CDS=1-621
OG0001328	YGR175C	snap_masked-scaffold_3-processed-gene-25.123-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.123&CDS=1-1371
OG0001329	YGR178C	snap_masked-scaffold_3-processed-gene-25.107-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.107&CDS=1-1983
OG0001330	YGR181W	snap_masked-scaffold_2-processed-gene-15.16-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.16&CDS=1-276
OG0001331	YGR185C	maker-scaffold_2-augustus-gene-26.104-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-26.104&CDS=1-2802
OG0001332	YGR186W	snap_masked-scaffold_1-processed-gene-12.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.55&CDS=1-1566
OG0001333	YGR187C	genemark-scaffold_1-processed-gene-12.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.30&CDS=1-2337
OG0001334	YGR188C	snap_masked-scaffold_3-processed-gene-11.117-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.117&CDS=1-2469
OG0001335	YGR193C	snap_masked-scaffold_2-processed-gene-4.92-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.92&CDS=1-1251
OG0001336	YGR194C	snap_masked-scaffold_1-processed-gene-28.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-28.18&CDS=1-1689
OG0001337	YGR195W	augustus_masked-scaffold_1-processed-gene-25.45-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.45&CDS=1-1047
OG0001338	YGR200C	snap_masked-scaffold_3-processed-gene-5.126-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.126&CDS=1-2166
OG0001339	YGR202C	snap_masked-scaffold_2-processed-gene-13.114-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.114&CDS=1-1092
OG0001340	YGR203W	augustus_masked-scaffold_1-processed-gene-11.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.10&CDS=1-414
OG0001341	YGR204W	maker-scaffold_1-augustus-gene-11.53-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-11.53&CDS=1-3609
OG0001342	YGR205W	snap_masked-scaffold_2-processed-gene-26.14-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-26.14&CDS=1-846
OG0001343	YGR207C	snap_masked-scaffold_2-processed-gene-10.145-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.145&CDS=1-771
OG0001344	YGR208W	snap_masked-scaffold_2-processed-gene-13.133-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.133&CDS=1-858
OG0001345	YGR210C	augustus_masked-scaffold_1-processed-gene-23.153-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.153&CDS=1-2856
OG0001346	YGR211W	snap_masked-scaffold_1-processed-gene-15.82-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.82&CDS=1-1329
OG0001347	YGR215W	snap_masked-scaffold_2-processed-gene-25.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-25.43&CDS=1-294
OG0001348	YGR216C	snap_masked-scaffold_1-processed-gene-29.17-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.17&CDS=1-2010
OG0001349	YGR217W	snap_masked-scaffold_2-processed-gene-25.53-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-25.53&CDS=1-6009
OG0001350	YGR218W	snap_masked-scaffold_1-processed-gene-3.8-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.8&CDS=1-3243
OG0001351	YGR220C	snap_masked-scaffold_1-processed-gene-3.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.34&CDS=1-786
OG0001352	YGR223C	snap_masked-scaffold_2-processed-gene-14.99-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.99&CDS=1-1095
OG0001353	YGR225W	snap_masked-scaffold_1-processed-gene-12.83-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.83&CDS=1-1308
OG0001354	YGR227W	augustus_masked-scaffold_3-processed-gene-13.31-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.31&CDS=1-1329
