	Lodderomyces_elongisporus	Saccharomyces_cerevisiae
OG0001857	snap_masked-NW_001813682.1-processed-gene-14.54-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-14.54&CDS=1-3351	YJL187C
OG0001858	snap_masked-NW_001813682.1-processed-gene-14.73-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-14.73&CDS=1-879	YOL077C
OG0001859	snap_masked-NW_001813682.1-processed-gene-14.74-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-14.74&CDS=1-201	YOL077W-A
OG0001860	snap_masked-NW_001813682.1-processed-gene-14.56-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-14.56&CDS=1-2970	YOL021C
OG0001861	snap_masked-NW_001813682.1-processed-gene-14.75-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-14.75&CDS=1-612	YDR487C
OG0001862	snap_masked-NW_001813682.1-processed-gene-14.76-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-14.76&CDS=1-1266	YOL097C
OG0001863	snap_masked-NW_001813682.1-processed-gene-15.16-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.16&CDS=1-3168	YOL078W
OG0001864	genemark-NW_001813682.1-processed-gene-15.79-mRNA-1_1&gene=genemark-NW_001813682.1-processed-gene-15.79&CDS=1-837	YOL080C
OG0001865	snap_masked-NW_001813682.1-processed-gene-15.43-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.43&CDS=1-1119	YKR030W
OG0001866	snap_masked-NW_001813682.1-processed-gene-15.45-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.45&CDS=1-1833	YKR017C
OG0001867	snap_masked-NW_001813682.1-processed-gene-15.23-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.23&CDS=1-381	YJL104W
OG0001868	snap_masked-NW_001813682.1-processed-gene-15.48-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.48&CDS=1-3945	YIL026C
OG0001869	snap_masked-NW_001813682.1-processed-gene-15.25-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.25&CDS=1-2052	YFR037C
OG0001870	snap_masked-NW_001813682.1-processed-gene-15.50-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.50&CDS=1-837	YDR429C
OG0001871	augustus_masked-NW_001813682.1-processed-gene-15.149-mRNA-1_1&gene=augustus_masked-NW_001813682.1-processed-gene-15.149&CDS=1-771	YDR428C
OG0001872	augustus_masked-NW_001813682.1-processed-gene-15.174-mRNA-1_1&gene=augustus_masked-NW_001813682.1-processed-gene-15.174&CDS=1-858	YDR432W
OG0001873	snap_masked-NW_001813682.1-processed-gene-15.53-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.53&CDS=1-3999	YPL006W
OG0001874	snap_masked-NW_001813682.1-processed-gene-15.26-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.26&CDS=1-1017	YHR144C
OG0001875	genemark-NW_001813682.1-processed-gene-15.115-mRNA-1_1&gene=genemark-NW_001813682.1-processed-gene-15.115&CDS=1-681	YNL168C
OG0001876	augustus_masked-NW_001813682.1-processed-gene-15.151-mRNA-1_1&gene=augustus_masked-NW_001813682.1-processed-gene-15.151&CDS=1-1524	YDL033C
OG0001877	genemark-NW_001813682.1-processed-gene-15.116-mRNA-1_1&gene=genemark-NW_001813682.1-processed-gene-15.116&CDS=1-2559	YHL027W
OG0001878	augustus_masked-NW_001813682.1-processed-gene-15.180-mRNA-1_1&gene=augustus_masked-NW_001813682.1-processed-gene-15.180&CDS=1-4179	YPL164C
OG0001879	genemark-NW_001813682.1-processed-gene-15.92-mRNA-1_1&gene=genemark-NW_001813682.1-processed-gene-15.92&CDS=1-231	YHR143W-A
OG0001880	maker-NW_001813682.1-augustus-gene-15.14-mRNA-1_1&gene=maker-NW_001813682.1-augustus-gene-15.14&CDS=1-240	YOR020C
OG0001881	maker-NW_001813682.1-augustus-gene-15.15-mRNA-1_1&gene=maker-NW_001813682.1-augustus-gene-15.15&CDS=1-5343	YJL109C
OG0001882	snap_masked-NW_001813682.1-processed-gene-15.62-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.62&CDS=1-1506	YBR056W
OG0001883	snap_masked-NW_001813682.1-processed-gene-15.31-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.31&CDS=1-3549	YDR291W
OG0001884	snap_masked-NW_001813682.1-processed-gene-15.63-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.63&CDS=1-2115	YJR005W
OG0001885	snap_masked-NW_001813682.1-processed-gene-15.64-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.64&CDS=1-1068	YJR008W
OG0001886	snap_masked-NW_001813682.1-processed-gene-15.66-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.66&CDS=1-1158	YPR054W
OG0001887	snap_masked-NW_001813682.1-processed-gene-15.67-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.67&CDS=1-624	YDR067C
OG0001888	snap_masked-NW_001813682.1-processed-gene-15.68-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.68&CDS=1-1710	YDR062W
OG0001889	snap_masked-NW_001813682.1-processed-gene-15.69-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.69&CDS=1-1605	YDR061W
OG0001890	genemark-NW_001813682.1-processed-gene-15.96-mRNA-1_1&gene=genemark-NW_001813682.1-processed-gene-15.96&CDS=1-1323	YDR068W
OG0001891	augustus_masked-NW_001813682.1-processed-gene-15.158-mRNA-1_1&gene=augustus_masked-NW_001813682.1-processed-gene-15.158&CDS=1-2016	YLR006C
OG0001892	snap_masked-NW_001813682.1-processed-gene-15.35-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.35&CDS=1-291	YER146W
OG0001893	augustus_masked-NW_001813682.1-processed-gene-15.160-mRNA-1_1&gene=augustus_masked-NW_001813682.1-processed-gene-15.160&CDS=1-1071	YER143W
OG0001894	snap_masked-NW_001813682.1-processed-gene-15.70-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.70&CDS=1-1347	YER136W
OG0001895	snap_masked-NW_001813682.1-processed-gene-15.71-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.71&CDS=1-1419	YFR006W
OG0001896	snap_masked-NW_001813682.1-processed-gene-15.36-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.36&CDS=1-936	YFR004W
OG0001897	augustus_masked-NW_001813682.1-processed-gene-15.194-mRNA-1_1&gene=augustus_masked-NW_001813682.1-processed-gene-15.194&CDS=1-870	YHR083W
OG0001898	snap_masked-NW_001813682.1-processed-gene-15.72-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.72&CDS=1-813	YDR071C
OG0001899	snap_masked-NW_001813682.1-processed-gene-15.73-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.73&CDS=1-1185	YEL056W
OG0001900	snap_masked-NW_001813682.1-processed-gene-15.75-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.75&CDS=1-2541	YOR165W
OG0001901	augustus_masked-NW_001813682.1-processed-gene-15.201-mRNA-1_1&gene=augustus_masked-NW_001813682.1-processed-gene-15.201&CDS=1-1716	YPR003C
OG0001902	maker-NW_001813683.1-snap-gene-0.1-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-0.1&CDS=1-1590	YER171W
OG0001903	snap_masked-NW_001813683.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.19&CDS=1-1221	YOR123C
OG0001904	snap_masked-NW_001813683.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.22&CDS=1-645	YKL159C
OG0001905	snap_masked-NW_001813683.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.7&CDS=1-2793	YNL313C
OG0001906	snap_masked-NW_001813683.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.23&CDS=1-456	YMR260C
OG0001907	augustus_masked-NW_001813683.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-0.77&CDS=1-900	YML112W
OG0001908	snap_masked-NW_001813683.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.26&CDS=1-1146	YMR276W
OG0001909	maker-NW_001813683.1-snap-gene-0.2-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-0.2&CDS=1-1722	YKL185W
OG0001910	augustus_masked-NW_001813683.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-0.78&CDS=1-492	YKL186C
OG0001911	snap_masked-NW_001813683.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.31&CDS=1-1983	YPL249C
OG0001912	snap_masked-NW_001813683.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.32&CDS=1-1695	YPL248C
OG0001913	augustus_masked-NW_001813683.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-0.98&CDS=1-7530	YGL195W
OG0001914	snap_masked-NW_001813683.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.10&CDS=1-3951	YMR190C
OG0001915	augustus_masked-NW_001813683.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-0.100&CDS=1-750	YBR070C
OG0001916	snap_masked-NW_001813683.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.38&CDS=1-2370	YJL090C
OG0001917	snap_masked-NW_001813683.1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.32&CDS=1-1188	YPL096W
OG0001918	snap_masked-NW_001813683.1-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.33&CDS=1-879	YOL093W
OG0001919	snap_masked-NW_001813683.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.49&CDS=1-1161	YPL064C
OG0001920	snap_masked-NW_001813683.1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.36&CDS=1-1050	YNL274C
OG0001921	snap_masked-NW_001813683.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.38&CDS=1-1851	YHL040C
OG0001922	snap_masked-NW_001813683.1-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.40&CDS=1-1440	YGR058W
OG0001923	snap_masked-NW_001813683.1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.50&CDS=1-6771	YFL007W
OG0001924	snap_masked-NW_001813683.1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.41&CDS=1-1830	YER036C
OG0001925	snap_masked-NW_001813683.1-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.51&CDS=1-2724	YER077C
OG0001926	augustus_masked-NW_001813683.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-1.72&CDS=1-1851	YGR278W
OG0001927	augustus_masked-NW_001813683.1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-1.80&CDS=1-1779	YMR223W
OG0001928	maker-NW_001813683.1-augustus-gene-1.100-mRNA-1_1&gene=maker-NW_001813683.1-augustus-gene-1.100&CDS=1-585	YOR281C
OG0001929	maker-NW_001813683.1-augustus-gene-1.99-mRNA-1_1&gene=maker-NW_001813683.1-augustus-gene-1.99&CDS=1-792	YGR277C
OG0001930	snap_masked-NW_001813683.1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.53&CDS=1-4110	YMR304W
OG0001931	snap_masked-NW_001813683.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.46&CDS=1-1119	YMR305C
OG0001932	snap_masked-NW_001813683.1-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.55&CDS=1-1407	YNL216W
OG0001933	augustus_masked-NW_001813683.1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-1.86&CDS=1-1035	YNL099C
OG0001934	snap_masked-NW_001813683.1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.48&CDS=1-648	YOR103C
OG0001935	snap_masked-NW_001813683.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-1.57&CDS=1-804	YOR101W
OG0001936	snap_masked-NW_001813683.1-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.44&CDS=1-1371	YNL097C
OG0001937	snap_masked-NW_001813683.1-processed-gene-2.45-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.45&CDS=1-1209	YAL034W-A
OG0001938	snap_masked-NW_001813683.1-processed-gene-2.52-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.52&CDS=1-1437	YOL016C
OG0001939	snap_masked-NW_001813683.1-processed-gene-2.53-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.53&CDS=1-2466	YJL168C
OG0001940	augustus_masked-NW_001813683.1-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-2.93&CDS=1-1500	YNR015W
OG0001941	augustus_masked-NW_001813683.1-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-2.107&CDS=1-678	YNR017W
OG0001942	snap_masked-NW_001813683.1-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.56&CDS=1-789	YNL056W
OG0001943	snap_masked-NW_001813683.1-processed-gene-2.71-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.71&CDS=1-1269	YOR057W
OG0001944	snap_masked-NW_001813683.1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.73&CDS=1-1224	YPR140W
OG0001945	snap_masked-NW_001813683.1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.75&CDS=1-564	YDL217C
OG0001946	augustus_masked-NW_001813683.1-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-2.96&CDS=1-1086	YER142C
OG0001947	augustus_masked-NW_001813683.1-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-2.98&CDS=1-1401	YDR083W
OG0001948	snap_masked-NW_001813683.1-processed-gene-2.62-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.62&CDS=1-2454	YER125W
OG0001949	snap_masked-NW_001813683.1-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-2.78&CDS=1-2103	YML096W
OG0001950	augustus_masked-NW_001813683.1-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-3.0&CDS=1-765	YPL199C
OG0001951	augustus_masked-NW_001813683.1-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-3.5&CDS=1-642	YML001W
OG0001952	snap_masked-NW_001813683.1-processed-gene-3.41-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.41&CDS=1-723	YNR020C
OG0001953	augustus_masked-NW_001813683.1-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-3.3&CDS=1-891	YPR069C
OG0001954	snap_masked-NW_001813683.1-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.39&CDS=1-1065	YNL141W
OG0001955	snap_masked-NW_001813683.1-processed-gene-3.46-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.46&CDS=1-1080	YML121W
OG0001956	snap_masked-NW_001813683.1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.47&CDS=1-1347	YHR190W
OG0001957	snap_masked-NW_001813683.1-processed-gene-3.70-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.70&CDS=1-1473	YBR279W
OG0001958	snap_masked-NW_001813683.1-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.53&CDS=1-705	YCR051W
OG0001959	snap_masked-NW_001813683.1-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.54&CDS=1-684	YNR021W
OG0001960	snap_masked-NW_001813683.1-processed-gene-3.56-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.56&CDS=1-1329	YHR040W
OG0001961	snap_masked-NW_001813683.1-processed-gene-3.57-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.57&CDS=1-723	YOR319W
OG0001962	snap_masked-NW_001813683.1-processed-gene-3.58-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.58&CDS=1-5187	YLR247C
OG0001963	snap_masked-NW_001813683.1-processed-gene-3.74-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.74&CDS=1-786	YNL312W
OG0001964	augustus_masked-NW_001813683.1-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-3.32&CDS=1-1443	YNR023W
OG0001965	genemark-NW_001813683.1-processed-gene-3.115-mRNA-1_1&gene=genemark-NW_001813683.1-processed-gene-3.115&CDS=1-969	YBR046C
OG0001966	genemark-NW_001813683.1-processed-gene-3.116-mRNA-1_1&gene=genemark-NW_001813683.1-processed-gene-3.116&CDS=1-1929	YLR248W
OG0001967	snap_masked-NW_001813683.1-processed-gene-3.64-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-3.64&CDS=1-753	YNL010W
OG0001968	maker-NW_001813683.1-snap-gene-3.121-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-3.121&CDS=1-1821	YOL122C
OG0001969	genemark-NW_001813683.1-processed-gene-4.43-mRNA-1_1&gene=genemark-NW_001813683.1-processed-gene-4.43&CDS=1-336	YGL070C
OG0001970	augustus_masked-NW_001813683.1-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-4.6&CDS=1-549	YGL068W
OG0001971	snap_masked-NW_001813683.1-processed-gene-4.78-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.78&CDS=1-957	YKL206C
OG0001972	snap_masked-NW_001813683.1-processed-gene-4.84-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.84&CDS=1-954	YJR070C
OG0001973	snap_masked-NW_001813683.1-processed-gene-4.101-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.101&CDS=1-369	YJR063W
OG0001974	snap_masked-NW_001813683.1-processed-gene-4.85-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.85&CDS=1-1644	YJR064W
OG0001975	augustus_masked-NW_001813683.1-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-4.13&CDS=1-1266	YJR065C
OG0001976	snap_masked-NW_001813683.1-processed-gene-4.102-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.102&CDS=1-1143	YOL010W
OG0001977	snap_masked-NW_001813683.1-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.89&CDS=1-1650	YMR005W
OG0001978	snap_masked-NW_001813683.1-processed-gene-4.90-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.90&CDS=1-3687	YLR272C
OG0001979	snap_masked-NW_001813683.1-processed-gene-4.91-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.91&CDS=1-1803	YOR175C
OG0001980	genemark-NW_001813683.1-processed-gene-4.54-mRNA-1_1&gene=genemark-NW_001813683.1-processed-gene-4.54&CDS=1-1224	YOR176W
OG0001981	snap_masked-NW_001813683.1-processed-gene-4.103-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.103&CDS=1-999	YOR174W
OG0001982	maker-NW_001813683.1-snap-gene-4.3-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-4.3&CDS=1-1428	YHR086W
OG0001983	maker-NW_001813683.1-augustus-gene-4.1-mRNA-1_1&gene=maker-NW_001813683.1-augustus-gene-4.1&CDS=1-1323	YOR351C
OG0001984	snap_masked-NW_001813683.1-processed-gene-4.95-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.95&CDS=1-5292	YDR334W
OG0001985	augustus_masked-NW_001813683.1-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-4.22&CDS=1-339	YHR039C-A
OG0001986	snap_masked-NW_001813683.1-processed-gene-4.106-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.106&CDS=1-1845	YHR039C
OG0001987	snap_masked-NW_001813683.1-processed-gene-4.107-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.107&CDS=1-2496	YDR333C
OG0001988	snap_masked-NW_001813683.1-processed-gene-4.108-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.108&CDS=1-342	YHR087W
OG0001989	snap_masked-NW_001813683.1-processed-gene-4.109-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.109&CDS=1-2106	YMR108W
OG0001990	snap_masked-NW_001813683.1-processed-gene-4.111-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-4.111&CDS=1-849	YOR278W
OG0001991	augustus_masked-NW_001813683.1-processed-gene-5.0-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-5.0&CDS=1-1320	YIL044C
OG0001992	augustus_masked-NW_001813683.1-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-4.40&CDS=1-1014	YER053C
OG0001993	augustus_masked-NW_001813683.1-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-5.4&CDS=1-483	YCR090C
OG0001994	snap_masked-NW_001813683.1-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.43&CDS=1-1311	YER003C
OG0001995	augustus_masked-NW_001813683.1-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-5.6&CDS=1-672	YIR001C
OG0001996	augustus_masked-NW_001813683.1-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-5.7&CDS=1-693	YER002W
OG0001997	snap_masked-NW_001813683.1-processed-gene-5.62-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.62&CDS=1-906	YIL003W
OG0001998	genemark-NW_001813683.1-processed-gene-5.83-mRNA-1_1&gene=genemark-NW_001813683.1-processed-gene-5.83&CDS=1-510	YIL004C
OG0001999	snap_masked-NW_001813683.1-processed-gene-5.66-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.66&CDS=1-1644	YCL034W
OG0002000	snap_masked-NW_001813683.1-processed-gene-5.47-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.47&CDS=1-2277	YDR172W
OG0002001	snap_masked-NW_001813683.1-processed-gene-5.67-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.67&CDS=1-1203	YDR173C
OG0002002	snap_masked-NW_001813683.1-processed-gene-5.49-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.49&CDS=1-1878	YGR103W
OG0002003	augustus_masked-NW_001813683.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-5.32&CDS=1-1314	YGR105W
OG0002004	snap_masked-NW_001813683.1-processed-gene-5.70-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.70&CDS=1-1323	YNL280C
OG0002005	snap_masked-NW_001813683.1-processed-gene-5.71-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.71&CDS=1-2205	YOR243C
OG0002006	maker-NW_001813683.1-snap-gene-5.116-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-5.116&CDS=1-615	YOR242C
OG0002007	snap_masked-NW_001813683.1-processed-gene-5.52-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.52&CDS=1-2520	YPL155C
OG0002008	snap_masked-NW_001813683.1-processed-gene-5.57-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.57&CDS=1-1167	YOR063W
OG0002009	snap_masked-NW_001813683.1-processed-gene-5.58-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.58&CDS=1-1518	YMR093W
OG0002010	snap_masked-NW_001813683.1-processed-gene-5.74-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.74&CDS=1-3465	YMR287C
OG0002011	snap_masked-NW_001813683.1-processed-gene-5.60-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.60&CDS=1-3519	YFR031C
OG0002012	snap_masked-NW_001813683.1-processed-gene-5.61-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.61&CDS=1-1374	YEL036C
OG0002013	snap_masked-NW_001813683.1-processed-gene-6.40-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-6.40&CDS=1-717	YEL001C
OG0002014	snap_masked-NW_001813683.1-processed-gene-6.43-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-6.43&CDS=1-1044	YEL009C
OG0002015	snap_masked-NW_001813683.1-processed-gene-6.44-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-6.44&CDS=1-2979	YCR092C
OG0002016	augustus_masked-NW_001813683.1-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-6.18&CDS=1-390	YNR046W
OG0002017	snap_masked-NW_001813683.1-processed-gene-6.35-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-6.35&CDS=1-831	YFR052W
OG0002018	genemark-NW_001813683.1-processed-gene-6.77-mRNA-1_1&gene=genemark-NW_001813683.1-processed-gene-6.77&CDS=1-792	YPL065W
OG0002019	maker-NW_001813683.1-snap-gene-6.88-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-6.88&CDS=1-2049	YPL066W
OG0002020	maker-NW_001813683.1-snap-gene-6.90-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-6.90&CDS=1-3345	YFR030W
OG0002021	snap_masked-NW_001813683.1-processed-gene-6.37-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-6.37&CDS=1-1716	YGR124W
OG0002022	snap_masked-NW_001813683.1-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-6.55&CDS=1-1491	YJL123C
OG0002023	augustus_masked-NW_001813683.1-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-6.26&CDS=1-2253	YBR202W
OG0002024	snap_masked-NW_001813683.1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-7.48&CDS=1-669	YDR169C
OG0002025	augustus_masked-NW_001813683.1-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-7.83&CDS=1-1188	YHL022C
