	Saccharomyces_cerevisiae	Yarrowia_deformans
OG0001258	YFL004W	-processed-gene-9.52-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.52&CDS=1-2211
OG0001259	YFL005W	-processed-gene-9.28-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-9.28&CDS=1-609
OG0001260	YFL007W	-snap-gene-0.3-mRNA-1_1&gene=maker-gi|1002317483|dbj|BCIW01000006.1|-snap-gene-0.3&CDS=1-6159
OG0001261	YFL008W	-augustus-gene-2.91-mRNA-1_1&gene=maker-gi|1002317471|dbj|BCIW01000018.1|-augustus-gene-2.91&CDS=1-5760
OG0001262	YFL010C	-processed-gene-2.74-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-2.74&CDS=1-690
OG0001263	YFL013C	-processed-gene-6.59-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-6.59&CDS=1-1698
OG0001264	YFL016C	-processed-gene-2.45-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-2.45&CDS=1-1422
OG0001265	YFL017C	-processed-gene-2.34-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-2.34&CDS=1-513
OG0001266	YFL017W-A	-processed-gene-9.71-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.71&CDS=1-228
OG0001267	YFL018C	-processed-gene-3.89-mRNA-1_1&gene=snap_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-3.89&CDS=1-1497
OG0001268	YFL022C	-processed-gene-5.44-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-5.44&CDS=1-1476
OG0001269	YFL023W	-processed-gene-1.109-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-1.109&CDS=1-2622
OG0001270	YFL024C	-processed-gene-5.54-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-5.54&CDS=1-2505
OG0001271	YFL026W	-processed-gene-8.47-mRNA-1_1&gene=snap_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-8.47&CDS=1-1155
OG0001272	YFL027C	-processed-gene-3.119-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.119&CDS=1-1371
OG0001273	YFL028C	-processed-gene-3.39-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-3.39&CDS=1-759
OG0001274	YFL029C	-processed-gene-3.144-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.144&CDS=1-954
OG0001275	YFL030W	-processed-gene-4.14-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-4.14&CDS=1-1137
OG0001276	YFL031W	-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-5.71&CDS=1-903
OG0001277	YFL033C	-processed-gene-8.29-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-8.29&CDS=1-4938
OG0001278	YFL034C-B	-processed-gene-23.68-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.68&CDS=1-798
OG0001279	YFL034W	-snap-gene-4.1-mRNA-1_1&gene=maker-gi|1002317475|dbj|BCIW01000014.1|-snap-gene-4.1&CDS=1-3474
OG0001280	YFL036W	-processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-2.23&CDS=1-3945
OG0001281	YFL037W	-processed-gene-3.59-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-3.59&CDS=1-1332
OG0001282	YFL038C	-snap-gene-9.31-mRNA-1_1&gene=maker-gi|1002317488|dbj|BCIW01000001.1|-snap-gene-9.31&CDS=1-606
OG0001283	YFL039C	-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-9.27&CDS=1-1125
OG0001284	YFL044C	-processed-gene-9.52-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-9.52&CDS=1-963
OG0001285	YFL045C	-processed-gene-9.50-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-9.50&CDS=1-759
OG0001286	YFL046W	-processed-gene-9.35-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-9.35&CDS=1-648
OG0001287	YFL047W	-processed-gene-5.67-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-5.67&CDS=1-2550
OG0001288	YFL053W	-processed-gene-6.77-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-6.77&CDS=1-1716
OG0001289	YFL055W	-processed-gene-1.84-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-1.84&CDS=1-1665
OG0001290	YFR001W	-processed-gene-1.87-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-1.87&CDS=1-591
OG0001291	YFR002W	-processed-gene-3.81-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-3.81&CDS=1-2664
OG0001292	YFR004W	-processed-gene-3.25-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-3.25&CDS=1-936
OG0001293	YFR005C	-processed-gene-1.44-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-1.44&CDS=1-1317
OG0001294	YFR006W	-processed-gene-1.40-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-1.40&CDS=1-1368
OG0001295	YFR007W	-processed-gene-1.50-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-1.50&CDS=1-687
OG0001296	YFR009W	-processed-gene-2.93-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-2.93&CDS=1-2277
OG0001297	YFR010W	-processed-gene-4.7-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-4.7&CDS=1-1416
OG0001298	YFR011C	-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-4.71&CDS=1-465
OG0001299	YFR015C	-processed-gene-3.155-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.155&CDS=1-2070
OG0001300	YFR018C	-processed-gene-5.77-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.77&CDS=1-1245
OG0001301	YFR019W	-augustus-gene-6.80-mRNA-1_1&gene=maker-gi|1002317481|dbj|BCIW01000008.1|-augustus-gene-6.80&CDS=1-6066
OG0001302	YFR021W	-processed-gene-4.55-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.55&CDS=1-1203
OG0001303	YFR025C	-processed-gene-5.80-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-5.80&CDS=1-942
OG0001304	YFR027W	-processed-gene-0.62-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-0.62&CDS=1-813
OG0001305	YFR028C	-processed-gene-3.15-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-3.15&CDS=1-1704
OG0001306	YFR029W	-processed-gene-3.61-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-3.61&CDS=1-2028
OG0001307	YFR030W	-processed-gene-4.28-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-4.28&CDS=1-3135
OG0001308	YFR031C	-processed-gene-1.35-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-1.35&CDS=1-3516
OG0001309	YFR032C-A	-processed-gene-5.62-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-5.62&CDS=1-186
OG0001310	YFR033C	-processed-gene-1.32-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-1.32&CDS=1-408
OG0001311	YFR034C	-processed-gene-3.86-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-3.86&CDS=1-2196
OG0001312	YFR037C	-processed-gene-8.49-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-8.49&CDS=1-1704
OG0001313	YFR038W	-snap-gene-8.22-mRNA-1_1&gene=maker-gi|1002317486|dbj|BCIW01000003.1|-snap-gene-8.22&CDS=1-1482
OG0001314	YFR041C	-processed-gene-5.13-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-5.13&CDS=1-861
OG0001315	YFR044C	-processed-gene-12.45-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-12.45&CDS=1-1434
OG0001316	YFR045W	-processed-gene-10.95-mRNA-1_1&gene=snap_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-10.95&CDS=1-978
OG0001317	YFR047C	-processed-gene-1.16-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-1.16&CDS=1-876
OG0001318	YFR048W	-processed-gene-2.13-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-2.13&CDS=1-1731
OG0001319	YFR049W	-processed-gene-7.55-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-7.55&CDS=1-291
OG0001320	YFR050C	-processed-gene-7.56-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-7.56&CDS=1-795
OG0001321	YFR051C	-processed-gene-10.164-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.164&CDS=1-1575
OG0001322	YFR052W	-processed-gene-0.17-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-0.17&CDS=1-783
OG0001323	YGL001C	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-3.102&CDS=1-1077
OG0001324	YGL003C	-processed-gene-6.50-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-6.50&CDS=1-1923
OG0001325	YGL006W	-processed-gene-18.19-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-18.19&CDS=1-3675
OG0001326	YGL008C	-processed-gene-1.7-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-1.7&CDS=1-2745
OG0001327	YGL009C	-processed-gene-2.55-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-2.55&CDS=1-2295
OG0001328	YGL010W	-processed-gene-0.56-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-0.56&CDS=1-597
OG0001329	YGL011C	-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-4.18&CDS=1-732
OG0001330	YGL012W	-processed-gene-7.66-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-7.66&CDS=1-1413
OG0001331	YGL016W	-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.84&CDS=1-2850
OG0001332	YGL017W	-snap-gene-2.2-mRNA-1_1&gene=maker-gi|1002317484|dbj|BCIW01000005.1|-snap-gene-2.2&CDS=1-1332
OG0001333	YGL018C	-processed-gene-0.50-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-0.50&CDS=1-645
OG0001334	YGL019W	-processed-gene-0.80-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-0.80&CDS=1-753
OG0001335	YGL022W	-processed-gene-12.6-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-12.6&CDS=1-2244
OG0001336	YGL023C	-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-0.10&CDS=1-2349
OG0001337	YGL026C	-processed-gene-1.37-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-1.37&CDS=1-2076
OG0001338	YGL027C	-processed-gene-8.34-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-8.34&CDS=1-2370
OG0001339	YGL028C	-processed-gene-0.74-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-0.74&CDS=1-1350
OG0001340	YGL030W	-processed-gene-8.51-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-8.51&CDS=1-324
OG0001341	YGL035C	-snap-gene-7.0-mRNA-1_1&gene=maker-gi|1002317478|dbj|BCIW01000011.1|-snap-gene-7.0&CDS=1-1533
OG0001342	YGL037C	-processed-gene-8.109-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.109&CDS=1-612
OG0001343	YGL040C	-processed-gene-10.66-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-10.66&CDS=1-1026
OG0001344	YGL043W	-processed-gene-1.21-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-1.21&CDS=1-891
OG0001345	YGL044C	-processed-gene-1.34-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-1.34&CDS=1-759
OG0001346	YGL045W	-processed-gene-7.71-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-7.71&CDS=1-2307
OG0001347	YGL047W	-processed-gene-2.99-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-2.99&CDS=1-507
OG0001348	YGL048C	-processed-gene-4.71-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-4.71&CDS=1-1215
OG0001349	YGL050W	-processed-gene-5.48-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-5.48&CDS=1-777
OG0001350	YGL054C	-processed-gene-5.5-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-5.5&CDS=1-408
OG0001351	YGL055W	-processed-gene-9.82-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.82&CDS=1-1452
OG0001352	YGL058W	-processed-gene-3.14-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-3.14&CDS=1-453
OG0001353	YGL059W	-processed-gene-3.16-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-3.16&CDS=1-1407
OG0001354	YGL062W	-processed-gene-3.112-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.112&CDS=1-3573
OG0001355	YGL064C	-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-1.13&CDS=1-1542
OG0001356	YGL065C	-augustus-gene-6.0-mRNA-1_1&gene=maker-gi|1002317484|dbj|BCIW01000005.1|-augustus-gene-6.0&CDS=1-1386
OG0001357	YGL067W	-processed-gene-5.43-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-5.43&CDS=1-1260
OG0001358	YGL068W	-processed-gene-11.57-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-11.57&CDS=1-489
OG0001359	YGL070C	-processed-gene-11.74-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-11.74&CDS=1-300
OG0001360	YGL073W	-processed-gene-1.0-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-1.0&CDS=1-1776
OG0001361	YGL077C	-processed-gene-1.35-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-1.35&CDS=1-1659
OG0001362	YGL078C	-processed-gene-7.19-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-7.19&CDS=1-1605
OG0001363	YGL080W	-processed-gene-0.35-mRNA-1_1&gene=genemark-gi|1002317464|dbj|BCIW01000025.1|-processed-gene-0.35&CDS=1-372
OG0001364	YGL083W	-processed-gene-6.4-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-6.4&CDS=1-2607
OG0001365	YGL084C	-processed-gene-4.60-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-4.60&CDS=1-1707
OG0001366	YGL085W	-processed-gene-4.74-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-4.74&CDS=1-681
OG0001367	YGL086W	-processed-gene-5.67-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.67&CDS=1-2112
OG0001368	YGL087C	-processed-gene-5.48-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.48&CDS=1-417
OG0001369	YGL091C	-processed-gene-4.66-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-4.66&CDS=1-1023
OG0001370	YGL092W	-processed-gene-9.57-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-9.57&CDS=1-3606
OG0001371	YGL094C	-processed-gene-5.54-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.54&CDS=1-2991
OG0001372	YGL095C	-processed-gene-5.56-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.56&CDS=1-1737
OG0001373	YGL097W	-processed-gene-1.19-mRNA-1_1&gene=genemark-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-1.19&CDS=1-1536
OG0001374	YGL098W	-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-2.81&CDS=1-801
OG0001375	YGL099W	-processed-gene-3.94-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-3.94&CDS=1-2109
OG0001376	YGL100W	-processed-gene-12.3-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-12.3&CDS=1-957
OG0001377	YGL103W	-processed-gene-3.44-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.44&CDS=1-447
OG0001378	YGL105W	-processed-gene-3.66-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-3.66&CDS=1-1173
OG0001379	YGL106W	-augustus-gene-3.43-mRNA-1_1&gene=maker-gi|1002317484|dbj|BCIW01000005.1|-augustus-gene-3.43&CDS=1-441
OG0001380	YGL110C	-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-0.73&CDS=1-1863
OG0001381	YGL111W	-processed-gene-1.35-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-1.35&CDS=1-1236
OG0001382	YGL112C	-processed-gene-1.43-mRNA-1_1&gene=genemark-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-1.43&CDS=1-1446
OG0001383	YGL114W	-processed-gene-3.67-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-3.67&CDS=1-1947
OG0001384	YGL115W	-processed-gene-1.68-mRNA-1_1&gene=genemark-gi|1002317468|dbj|BCIW01000021.1|-processed-gene-1.68&CDS=1-1167
OG0001385	YGL116W	-processed-gene-1.69-mRNA-1_1&gene=genemark-gi|1002317468|dbj|BCIW01000021.1|-processed-gene-1.69&CDS=1-1677
OG0001386	YGL119W	-processed-gene-1.26-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-1.26&CDS=1-1785
OG0001387	YGL120C	-processed-gene-1.8-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-1.8&CDS=1-2193
OG0001388	YGL122C	-processed-gene-3.107-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-3.107&CDS=1-1488
OG0001389	YGL123W	-processed-gene-1.28-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-1.28&CDS=1-777
OG0001390	YGL124C	-processed-gene-4.50-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-4.50&CDS=1-1635
OG0001391	YGL125W	-processed-gene-1.72-mRNA-1_1&gene=genemark-gi|1002317466|dbj|BCIW01000023.1|-processed-gene-1.72&CDS=1-1752
OG0001392	YGL126W	-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.68&CDS=1-1188
OG0001393	YGL130W	-processed-gene-3.77-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-3.77&CDS=1-1179
OG0001394	YGL131C	-snap-gene-5.1-mRNA-1_1&gene=maker-gi|1002317484|dbj|BCIW01000005.1|-snap-gene-5.1&CDS=1-3984
OG0001395	YGL136C	-snap-gene-7.119-mRNA-1_1&gene=maker-gi|1002317484|dbj|BCIW01000005.1|-snap-gene-7.119&CDS=1-921
OG0001396	YGL137W	-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-3.2&CDS=1-2631
OG0001397	YGL138C	-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-6.119&CDS=1-2181
OG0001398	YGL140C	-processed-gene-10.93-mRNA-1_1&gene=snap_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.93&CDS=1-3987
OG0001399	YGL141W	-processed-gene-8.168-mRNA-1_1&gene=snap_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.168&CDS=1-2610
OG0001400	YGL142C	-processed-gene-10.105-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-10.105&CDS=1-1530
OG0001401	YGL143C	-processed-gene-9.35-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-9.35&CDS=1-1167
OG0001402	YGL148W	-processed-gene-9.48-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-9.48&CDS=1-1125
OG0001403	YGL150C	-augustus-gene-5.56-mRNA-1_1&gene=maker-gi|1002317478|dbj|BCIW01000011.1|-augustus-gene-5.56&CDS=1-4428
OG0001404	YGL151W	-processed-gene-2.82-mRNA-1_1&gene=snap_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-2.82&CDS=1-3012
OG0001405	YGL153W	-processed-gene-2.31-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-2.31&CDS=1-1125
OG0001406	YGL154C	-processed-gene-2.33-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-2.33&CDS=1-1644
OG0001407	YGL155W	-processed-gene-1.23-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-1.23&CDS=1-1152
OG0001408	YGL156W	-processed-gene-5.57-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-5.57&CDS=1-3240
OG0001409	YGL159W	-processed-gene-7.65-mRNA-1_1&gene=snap_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-7.65&CDS=1-990
OG0001410	YGL161C	-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-1.45&CDS=1-924
OG0001411	YGL163C	-processed-gene-13.69-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-13.69&CDS=1-2424
OG0001412	YGL164C	-snap-gene-11.35-mRNA-1_1&gene=maker-gi|1002317487|dbj|BCIW01000002.1|-snap-gene-11.35&CDS=1-1713
OG0001413	YGL166W	-processed-gene-11.16-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-11.16&CDS=1-1275
OG0001414	YGL167C	-processed-gene-2.47-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-2.47&CDS=1-2784
OG0001415	YGL169W	-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-2.61&CDS=1-1140
OG0001416	YGL171W	-processed-gene-2.41-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-2.41&CDS=1-1641
OG0001417	YGL172W	-processed-gene-0.41-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-0.41&CDS=1-1383
OG0001418	YGL173C	-processed-gene-0.26-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-0.26&CDS=1-4605
OG0001419	YGL175C	-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.28&CDS=1-1263
OG0001420	YGL178W	-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-1.6&CDS=1-1725
OG0001421	YGL180W	-processed-gene-5.70-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-5.70&CDS=1-2130
OG0001422	YGL184C	-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-0.90&CDS=1-1299
OG0001423	YGL186C	-processed-gene-8.64-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-8.64&CDS=1-1659
OG0001424	YGL187C	-processed-gene-2.90-mRNA-1_1&gene=snap_masked-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-2.90&CDS=1-495
OG0001425	YGL190C	-processed-gene-10.40-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.40&CDS=1-1446
OG0001426	YGL191W	-processed-gene-10.55-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.55&CDS=1-432
OG0001427	YGL192W	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-0.21&CDS=1-1803
OG0001428	YGL194C	-processed-gene-4.30-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-4.30&CDS=1-1299
OG0001429	YGL195W	-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-6.42&CDS=1-7497
