	Metschnikowia_kipukae	Saccharomyces_cerevisiae
OG0001125	snap_masked-kipT_s2-processed-gene-4.47-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.47&CDS=1-2262	YDR109C
OG0001126	snap_masked-kipT_s2-processed-gene-4.48-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.48&CDS=1-441	YER159C
OG0001127	snap_masked-kipT_s2-processed-gene-4.49-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.49&CDS=1-1296	YLR105C
OG0001128	snap_masked-kipT_s2-processed-gene-4.71-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.71&CDS=1-1692	YBR200W
OG0001129	snap_masked-kipT_s2-processed-gene-4.73-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.73&CDS=1-891	YCL009C
OG0001130	snap_masked-kipT_s2-processed-gene-4.74-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.74&CDS=1-906	YGR231C
OG0001131	snap_masked-kipT_s2-processed-gene-4.75-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.75&CDS=1-1755	YHR151C
OG0001132	snap_masked-kipT_s2-processed-gene-4.76-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.76&CDS=1-594	YDL135C
OG0001133	genemark-kipT_s2-processed-gene-4.103-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-4.103&CDS=1-3099	YDL190C
OG0001134	snap_masked-kipT_s2-processed-gene-4.77-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.77&CDS=1-825	YDL193W
OG0001135	snap_masked-kipT_s2-processed-gene-4.55-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.55&CDS=1-678	YGR232W
OG0001136	snap_masked-kipT_s2-processed-gene-4.78-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.78&CDS=1-2349	YDL148C
OG0001137	snap_masked-kipT_s2-processed-gene-4.79-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.79&CDS=1-2565	YDL149W
OG0001138	snap_masked-kipT_s2-processed-gene-4.80-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.80&CDS=1-1305	YER061C
OG0001139	snap_masked-kipT_s2-processed-gene-4.59-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.59&CDS=1-1662	YDR212W
OG0001140	snap_masked-kipT_s2-processed-gene-4.82-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.82&CDS=1-1236	YDL128W
OG0001141	maker-kipT_s2-snap-gene-4.146-mRNA-1_1&gene=maker-kipT_s2-snap-gene-4.146&CDS=1-3651	YDR211W
OG0001142	snap_masked-kipT_s2-processed-gene-4.85-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.85&CDS=1-768	YLR022C
OG0001143	genemark-kipT_s2-processed-gene-4.134-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-4.134&CDS=1-3498	YGL156W
OG0001144	snap_masked-kipT_s2-processed-gene-4.88-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.88&CDS=1-2094	YDR496C
OG0001145	augustus_masked-kipT_s2-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-4.16&CDS=1-1323	YDL007W
OG0001146	genemark-kipT_s2-processed-gene-4.136-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-4.136&CDS=1-759	YNL305C
OG0001147	snap_masked-kipT_s2-processed-gene-4.89-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.89&CDS=1-447	YER116C
OG0001148	snap_masked-kipT_s2-processed-gene-4.92-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.92&CDS=1-1758	YPL184C
OG0001149	snap_masked-kipT_s2-processed-gene-4.68-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.68&CDS=1-1167	YDR019C
OG0001150	snap_masked-kipT_s2-processed-gene-5.107-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.107&CDS=1-1956	YPL210C
OG0001151	snap_masked-kipT_s2-processed-gene-5.110-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.110&CDS=1-972	YPL215W
OG0001152	maker-kipT_s2-augustus-gene-5.52-mRNA-1_1&gene=maker-kipT_s2-augustus-gene-5.52&CDS=1-2034	YPL206C
OG0001153	snap_masked-kipT_s2-processed-gene-5.133-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.133&CDS=1-1290	YGL067W
OG0001154	snap_masked-kipT_s2-processed-gene-5.134-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.134&CDS=1-1629	YGL064C
OG0001155	snap_masked-kipT_s2-processed-gene-5.113-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.113&CDS=1-1434	YGL129C
OG0001156	snap_masked-kipT_s2-processed-gene-5.135-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.135&CDS=1-543	YPL211W
OG0001157	snap_masked-kipT_s2-processed-gene-5.114-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.114&CDS=1-1533	YPL212C
OG0001158	snap_masked-kipT_s2-processed-gene-5.115-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.115&CDS=1-2787	YIL137C
OG0001159	snap_masked-kipT_s2-processed-gene-5.138-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.138&CDS=1-2118	YMR301C
OG0001160	snap_masked-kipT_s2-processed-gene-5.139-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.139&CDS=1-1686	YLR044C
OG0001161	snap_masked-kipT_s2-processed-gene-5.116-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.116&CDS=1-780	YJR060W
OG0001162	snap_masked-kipT_s2-processed-gene-5.142-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.142&CDS=1-1536	YKL045W
OG0001163	snap_masked-kipT_s2-processed-gene-5.119-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.119&CDS=1-3075	YGL207W
OG0001164	genemark-kipT_s2-processed-gene-5.35-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-5.35&CDS=1-414	YER029C
OG0001165	snap_masked-kipT_s2-processed-gene-5.121-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.121&CDS=1-426	YER030W
OG0001166	snap_masked-kipT_s2-processed-gene-5.143-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.143&CDS=1-1005	YGL215W
OG0001167	snap_masked-kipT_s2-processed-gene-5.145-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.145&CDS=1-2598	YMR019W
OG0001168	snap_masked-kipT_s2-processed-gene-5.123-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.123&CDS=1-495	YJR055W
OG0001169	maker-kipT_s2-snap-gene-5.160-mRNA-1_1&gene=maker-kipT_s2-snap-gene-5.160&CDS=1-987	YBR053C
OG0001170	snap_masked-kipT_s2-processed-gene-5.147-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.147&CDS=1-993	YLR215C
OG0001171	snap_masked-kipT_s2-processed-gene-5.124-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.124&CDS=1-1596	YDL143W
OG0001172	snap_masked-kipT_s2-processed-gene-5.148-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.148&CDS=1-1638	YDL153C
OG0001173	maker-kipT_s2-augustus-gene-5.54-mRNA-1_1&gene=maker-kipT_s2-augustus-gene-5.54&CDS=1-2967	YJL033W
OG0001174	snap_masked-kipT_s2-processed-gene-5.126-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.126&CDS=1-2376	YGR200C
OG0001175	snap_masked-kipT_s2-processed-gene-5.127-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.127&CDS=1-642	YGR167W
OG0001176	snap_masked-kipT_s2-processed-gene-5.152-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.152&CDS=1-867	YIL034C
OG0001177	snap_masked-kipT_s2-processed-gene-5.153-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.153&CDS=1-1689	YBR296C
OG0001178	maker-kipT_s2-snap-gene-5.162-mRNA-1_1&gene=maker-kipT_s2-snap-gene-5.162&CDS=1-1566	YLR033W
OG0001179	genemark-kipT_s2-processed-gene-5.49-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-5.49&CDS=1-3570	YLR032W
OG0001180	augustus_masked-kipT_s2-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-5.104&CDS=1-1014	YMR127C
OG0001181	snap_masked-kipT_s2-processed-gene-5.131-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.131&CDS=1-684	YDR121W
OG0001182	genemark-kipT_s2-processed-gene-6.6-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-6.6&CDS=1-7833	YMR128W
OG0001183	snap_masked-kipT_s2-processed-gene-6.78-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.78&CDS=1-2340	YBR058C
OG0001184	snap_masked-kipT_s2-processed-gene-6.59-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.59&CDS=1-1020	YDR371W
OG0001185	snap_masked-kipT_s2-processed-gene-6.79-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.79&CDS=1-1008	YDR372C
OG0001186	genemark-kipT_s2-processed-gene-6.14-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-6.14&CDS=1-8262	YFR019W
OG0001187	snap_masked-kipT_s2-processed-gene-6.80-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.80&CDS=1-1155	YOL018C
OG0001188	maker-kipT_s2-snap-gene-6.3-mRNA-1_1&gene=maker-kipT_s2-snap-gene-6.3&CDS=1-2907	YBL008W
OG0001189	snap_masked-kipT_s2-processed-gene-6.82-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.82&CDS=1-627	YGL020C
OG0001190	snap_masked-kipT_s2-processed-gene-6.65-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.65&CDS=1-852	YGL019W
OG0001191	genemark-kipT_s2-processed-gene-6.35-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-6.35&CDS=1-666	YGL018C
OG0001192	maker-kipT_s2-snap-gene-6.4-mRNA-1_1&gene=maker-kipT_s2-snap-gene-6.4&CDS=1-1032	YPR180W
OG0001193	snap_masked-kipT_s2-processed-gene-6.84-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.84&CDS=1-1923	YPR179C
OG0001194	snap_masked-kipT_s2-processed-gene-6.85-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.85&CDS=1-1419	YPR178W
OG0001195	snap_masked-kipT_s2-processed-gene-6.88-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.88&CDS=1-1191	YGL211W
OG0001196	snap_masked-kipT_s2-processed-gene-6.89-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.89&CDS=1-2496	YMR309C
OG0001197	augustus_masked-kipT_s2-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-6.132&CDS=1-2586	YLR195C
OG0001198	snap_masked-kipT_s2-processed-gene-6.74-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.74&CDS=1-1701	YLR196W
OG0001199	snap_masked-kipT_s2-processed-gene-6.75-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.75&CDS=1-1137	YNL084C
OG0001200	snap_masked-kipT_s2-processed-gene-6.76-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.76&CDS=1-738	YOR126C
OG0001201	snap_masked-kipT_s2-processed-gene-6.95-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.95&CDS=1-1827	YER036C
OG0001202	snap_masked-kipT_s2-processed-gene-7.35-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.35&CDS=1-624	YJR133W
OG0001203	snap_masked-kipT_s2-processed-gene-7.37-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.37&CDS=1-6375	YFL007W
OG0001204	augustus_masked-kipT_s2-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-7.88&CDS=1-2691	YJR134C
OG0001205	snap_masked-kipT_s2-processed-gene-7.40-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.40&CDS=1-2247	YNL272C
OG0001206	snap_masked-kipT_s2-processed-gene-7.43-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.43&CDS=1-783	YGL161C
OG0001207	snap_masked-kipT_s2-processed-gene-7.57-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.57&CDS=1-1596	YJR152W
OG0001208	augustus_masked-kipT_s2-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-7.79&CDS=1-3513	YLR067C
OG0001209	snap_masked-kipT_s2-processed-gene-7.58-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.58&CDS=1-573	YLR066W
OG0001210	augustus_masked-kipT_s2-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-7.93&CDS=1-2280	YNL247W
OG0001211	snap_masked-kipT_s2-processed-gene-7.63-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.63&CDS=1-3408	YBR023C
OG0001212	augustus_masked-kipT_s2-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-7.97&CDS=1-4563	YNL297C
OG0001213	snap_masked-kipT_s2-processed-gene-7.47-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.47&CDS=1-2589	YGR157W
OG0001214	snap_masked-kipT_s2-processed-gene-7.50-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.50&CDS=1-378	YNL113W
OG0001215	snap_masked-kipT_s2-processed-gene-7.52-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.52&CDS=1-2439	YOR113W
OG0001216	snap_masked-kipT_s2-processed-gene-7.53-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.53&CDS=1-3924	YNL250W
OG0001217	snap_masked-kipT_s2-processed-gene-8.46-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.46&CDS=1-2556	YPR112C
OG0001218	snap_masked-kipT_s2-processed-gene-8.50-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.50&CDS=1-759	YIL070C
OG0001219	snap_masked-kipT_s2-processed-gene-8.47-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.47&CDS=1-369	YKL084W
OG0001220	snap_masked-kipT_s2-processed-gene-8.52-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.52&CDS=1-495	YOL143C
OG0001221	genemark-kipT_s2-processed-gene-8.29-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-8.29&CDS=1-1956	YJL057C
OG0001222	snap_masked-kipT_s2-processed-gene-8.75-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.75&CDS=1-591	YOL114C
OG0001223	snap_masked-kipT_s2-processed-gene-8.56-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.56&CDS=1-507	YOL149W
OG0001224	maker-kipT_s2-snap-gene-8.0-mRNA-1_1&gene=maker-kipT_s2-snap-gene-8.0&CDS=1-2547	YOL148C
OG0001225	snap_masked-kipT_s2-processed-gene-8.80-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.80&CDS=1-945	YBR037C
OG0001226	snap_masked-kipT_s2-processed-gene-8.59-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.59&CDS=1-1746	YPL208W
OG0001227	snap_masked-kipT_s2-processed-gene-8.81-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.81&CDS=1-576	YBR106W
OG0001228	snap_masked-kipT_s2-processed-gene-8.60-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.60&CDS=1-498	YMR022W
OG0001229	snap_masked-kipT_s2-processed-gene-8.62-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.62&CDS=1-435	YPL225W
OG0001230	augustus_masked-kipT_s2-processed-gene-8.111-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-8.111&CDS=1-927	YMR029C
OG0001231	genemark-kipT_s2-processed-gene-8.20-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-8.20&CDS=1-4248	YPL226W
OG0001232	snap_masked-kipT_s2-processed-gene-8.66-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.66&CDS=1-2721	YML093W
OG0001233	genemark-kipT_s2-processed-gene-8.39-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-8.39&CDS=1-1659	YML086C
OG0001234	genemark-kipT_s2-processed-gene-8.22-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-8.22&CDS=1-1125	YPL181W
OG0001235	augustus_masked-kipT_s2-processed-gene-8.133-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-8.133&CDS=1-1884	YGL095C
OG0001236	snap_masked-kipT_s2-processed-gene-8.86-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.86&CDS=1-3141	YLR389C
OG0001237	maker-kipT_s2-snap-gene-8.2-mRNA-1_1&gene=maker-kipT_s2-snap-gene-8.2&CDS=1-996	YDR202C
OG0001238	snap_masked-kipT_s2-processed-gene-8.69-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.69&CDS=1-618	YLR390W-A
OG0001239	snap_masked-kipT_s2-processed-gene-8.70-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.70&CDS=1-1416	YDL238C
OG0001240	snap_masked-kipT_s2-processed-gene-8.71-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.71&CDS=1-3150	YLR187W
OG0001241	snap_masked-kipT_s2-processed-gene-8.92-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.92&CDS=1-270	YDR510W
OG0001242	augustus_masked-kipT_s2-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-9.94&CDS=1-1716	YNL279W
OG0001243	snap_masked-kipT_s2-processed-gene-9.4-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.4&CDS=1-2205	YNL218W
OG0001244	snap_masked-kipT_s2-processed-gene-9.1-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.1&CDS=1-1206	YML060W
OG0001245	snap_masked-kipT_s2-processed-gene-9.6-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.6&CDS=1-789	YLR186W
OG0001246	snap_masked-kipT_s2-processed-gene-9.7-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.7&CDS=1-1395	YPR025C
OG0001247	maker-kipT_s2-snap-gene-9.180-mRNA-1_1&gene=maker-kipT_s2-snap-gene-9.180&CDS=1-912	YER055C
OG0001248	genemark-kipT_s2-processed-gene-9.198-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-9.198&CDS=1-1386	YDL147W
OG0001249	genemark-kipT_s2-processed-gene-9.234-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-9.234&CDS=1-1371	YOL030W
OG0001250	snap_masked-kipT_s2-processed-gene-9.53-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.53&CDS=1-777	YBR088C
OG0001251	snap_masked-kipT_s2-processed-gene-9.54-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.54&CDS=1-1116	YBR095C
OG0001252	snap_masked-kipT_s2-processed-gene-9.55-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.55&CDS=1-615	YPR051W
OG0001253	snap_masked-kipT_s2-processed-gene-9.12-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.12&CDS=1-1071	YKL060C
OG0001254	snap_masked-kipT_s2-processed-gene-9.56-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.56&CDS=1-321	YBR091C
OG0001255	snap_masked-kipT_s2-processed-gene-9.13-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.13&CDS=1-2088	YBR094W
OG0001256	snap_masked-kipT_s2-processed-gene-9.14-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.14&CDS=1-2196	YKL054C
OG0001257	snap_masked-kipT_s2-processed-gene-9.16-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.16&CDS=1-1362	YMR027W
OG0001258	snap_masked-kipT_s2-processed-gene-9.57-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.57&CDS=1-363	YKL058W
OG0001259	snap_masked-kipT_s2-processed-gene-9.18-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.18&CDS=1-1128	YMR028W
OG0001260	snap_masked-kipT_s2-processed-gene-9.19-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.19&CDS=1-1329	YKL059C
OG0001261	snap_masked-kipT_s2-processed-gene-9.59-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.59&CDS=1-1038	YPR127W
OG0001262	genemark-kipT_s2-processed-gene-9.244-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-9.244&CDS=1-582	YDR236C
OG0001263	snap_masked-kipT_s2-processed-gene-9.61-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.61&CDS=1-966	YLR354C
OG0001264	snap_masked-kipT_s2-processed-gene-9.63-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.63&CDS=1-1410	YLR058C
OG0001265	augustus_masked-kipT_s2-processed-gene-9.152-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-9.152&CDS=1-1068	YBR280C
OG0001266	snap_masked-kipT_s2-processed-gene-9.28-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.28&CDS=1-570	YPR113W
OG0001267	snap_masked-kipT_s2-processed-gene-9.65-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.65&CDS=1-2493	YOR249C
OG0001268	genemark-kipT_s2-processed-gene-9.250-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-9.250&CDS=1-1662	YFR021W
OG0001269	snap_masked-kipT_s2-processed-gene-9.29-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.29&CDS=1-1689	YMR110C
OG0001270	snap_masked-kipT_s2-processed-gene-9.30-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.30&CDS=1-1425	YFR010W
OG0001271	snap_masked-kipT_s2-processed-gene-9.68-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.68&CDS=1-444	YFR011C
OG0001272	snap_masked-kipT_s2-processed-gene-9.31-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.31&CDS=1-303	YPL098C
OG0001273	snap_masked-kipT_s2-processed-gene-9.69-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.69&CDS=1-1284	YPL103C
OG0001274	snap_masked-kipT_s2-processed-gene-9.70-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.70&CDS=1-2253	YFR009W
OG0001275	augustus_masked-kipT_s2-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-9.120&CDS=1-1254	YNL042W
OG0001276	snap_masked-kipT_s2-processed-gene-9.72-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.72&CDS=1-1458	YIL104C
OG0001277	genemark-kipT_s2-processed-gene-9.218-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-9.218&CDS=1-1347	YIL103W
OG0001278	snap_masked-kipT_s2-processed-gene-9.73-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.73&CDS=1-2301	YNL041C
OG0001279	augustus_masked-kipT_s2-processed-gene-9.159-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-9.159&CDS=1-1590	YIL101C
OG0001280	snap_masked-kipT_s2-processed-gene-9.76-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.76&CDS=1-249	YLR395C
OG0001281	snap_masked-kipT_s2-processed-gene-9.35-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.35&CDS=1-183	YDL067C
OG0001282	snap_masked-kipT_s2-processed-gene-9.77-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.77&CDS=1-2148	YLR396C
OG0001283	maker-kipT_s2-snap-gene-9.183-mRNA-1_1&gene=maker-kipT_s2-snap-gene-9.183&CDS=1-2970	YJR019C
OG0001284	genemark-kipT_s2-processed-gene-9.221-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-9.221&CDS=1-909	YGR096W
OG0001285	snap_masked-kipT_s2-processed-gene-9.37-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.37&CDS=1-3639	YEL031W
OG0001286	snap_masked-kipT_s2-processed-gene-9.87-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.87&CDS=1-3144	YGR094W
OG0001287	snap_masked-kipT_s2-processed-gene-9.88-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.88&CDS=1-1557	YGR091W
OG0001288	snap_masked-kipT_s2-processed-gene-9.39-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.39&CDS=1-717	YGR095C
OG0001289	snap_masked-kipT_s2-processed-gene-9.43-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.43&CDS=1-3261	YJR035W
OG0001290	snap_masked-kipT_s2-processed-gene-9.44-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.44&CDS=1-780	YML050W
OG0001291	snap_masked-kipT_s2-processed-gene-9.45-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.45&CDS=1-1539	YKL043W
OG0001292	snap_masked-kipT_s2-processed-gene-9.92-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.92&CDS=1-276	YMR039C
OG0001293	snap_masked-kipT_s2-processed-gene-9.93-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.93&CDS=1-1047	YMR041C
OG0001294	snap_masked-kipT_s22-processed-gene-0.1-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.1&CDS=1-2058	YBR019C
OG0001295	snap_masked-kipT_s22-processed-gene-0.2-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.2&CDS=1-1110	YBR018C
OG0001296	maker-kipT_s22-augustus-gene-0.39-mRNA-1_1&gene=maker-kipT_s22-augustus-gene-0.39&CDS=1-4734	YKL215C
OG0001297	snap_masked-kipT_s22-processed-gene-0.3-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.3&CDS=1-1410	YCR054C
OG0001298	snap_masked-kipT_s22-processed-gene-0.28-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.28&CDS=1-1536	YCR053W
OG0001299	snap_masked-kipT_s22-processed-gene-0.4-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.4&CDS=1-1182	YGR046W
OG0001300	snap_masked-kipT_s22-processed-gene-0.5-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.5&CDS=1-459	YMR263W
OG0001301	snap_masked-kipT_s22-processed-gene-0.6-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.6&CDS=1-1986	YML102W
OG0001302	snap_masked-kipT_s22-processed-gene-0.30-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.30&CDS=1-588	YMR264W
OG0001303	genemark-kipT_s22-processed-gene-0.110-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-0.110&CDS=1-1437	YGR009C
