	Ascoidea_asiatica	Saccharomyces_cerevisiae
OG0001834	-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.104&CDS=1-2661	YLR188W
OG0001835	-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.84&CDS=1-1434	YNR001C
OG0001836	-processed-gene-0.31-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.31&CDS=1-3702	YCL061C
OG0001837	-processed-gene-0.13-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.13&CDS=1-594	YBL090W
OG0001838	-processed-gene-0.32-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.32&CDS=1-1545	YDR316W
OG0001839	-processed-gene-0.14-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.14&CDS=1-582	YOL008W
OG0001840	-processed-gene-0.34-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.34&CDS=1-948	YER120W
OG0001841	-snap-gene-0.117-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-0.117&CDS=1-891	YDR020C
OG0001842	-processed-gene-1.3-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.3&CDS=1-1167	YOR063W
OG0001843	-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.46&CDS=1-1215	YAL012W
OG0001844	-processed-gene-1.86-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.86&CDS=1-3072	YNL221C
OG0001845	-processed-gene-1.20-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.20&CDS=1-1173	YAL013W
OG0001846	-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.47&CDS=1-1317	YOL041C
OG0001847	-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.59&CDS=1-1308	YKL027W
OG0001848	-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.60&CDS=1-1197	YGR112W
OG0001849	-processed-gene-1.78-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.78&CDS=1-1890	YDR386W
OG0001850	-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.61&CDS=1-3486	YLR278C
OG0001851	-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.62&CDS=1-642	YEL012W
OG0001852	-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.49&CDS=1-2847	YPL040C
OG0001853	-processed-gene-1.91-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.91&CDS=1-1821	YGL084C
OG0001854	-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.64&CDS=1-1971	YBR043C
OG0001855	-processed-gene-1.95-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.95&CDS=1-3822	YGR270W
OG0001856	-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.51&CDS=1-543	YNR036C
OG0001857	-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.69&CDS=1-1017	YNR035C
OG0001858	-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.53&CDS=1-210	YDR079C-A
OG0001859	-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.71&CDS=1-2544	YER157W
OG0001860	-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.54&CDS=1-1485	YOL049W
OG0001861	-snap-gene-1.40-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-1.40&CDS=1-300	YKL137W
OG0001862	-processed-gene-1.84-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.84&CDS=1-3936	YLR244C
OG0001863	-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.56&CDS=1-957	YKR081C
OG0001864	-snap-gene-2.80-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-2.80&CDS=1-2112	YIL038C
OG0001865	-processed-gene-2.87-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.87&CDS=1-1719	YBL088C
OG0001866	-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.1&CDS=1-483	YGR203W
OG0001867	-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.5&CDS=1-240	YDL045W-A
OG0001868	-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.23&CDS=1-1083	YOR340C
OG0001869	-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.7&CDS=1-1308	YBL091C
OG0001870	-processed-gene-2.116-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.116&CDS=1-969	YCR014C
OG0001871	-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.10&CDS=1-2037	YIL108W
OG0001872	-processed-gene-2.98-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.98&CDS=1-2811	YIL109C
OG0001873	-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.26&CDS=1-477	YNL153C
OG0001874	-processed-gene-2.100-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.100&CDS=1-1749	YOL033W
OG0001875	-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.27&CDS=1-4254	YBL079W
OG0001876	-processed-gene-2.68-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.68&CDS=1-405	YAL046C
OG0001877	-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.32&CDS=1-771	YGR207C
OG0001878	-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.34&CDS=1-339	YKL138C
OG0001879	-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.19&CDS=1-6549	YNL262W
OG0001880	-processed-gene-2.125-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.125&CDS=1-1410	YNL050C
OG0001881	-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.20&CDS=1-774	YHR200W
OG0001882	-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.36&CDS=1-2058	YHR031C
OG0001883	-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.37&CDS=1-1491	YCR024C
OG0001884	-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.22&CDS=1-1386	YDR023W
OG0001885	-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.35&CDS=1-1314	YOL016C
OG0001886	-processed-gene-3.77-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.77&CDS=1-855	YBR011C
OG0001887	-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.38&CDS=1-4965	YJR140C
OG0001888	-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.39&CDS=1-2604	YIL107C
OG0001889	-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.54&CDS=1-1872	YPL222W
OG0001890	-processed-gene-3.5-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.5&CDS=1-324	YJR135W-A
OG0001891	-processed-gene-3.100-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.100&CDS=1-2082	YFR015C
OG0001892	-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.57&CDS=1-984	YKL195W
OG0001893	-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.59&CDS=1-1479	YBL082C
OG0001894	-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.43&CDS=1-378	YDR512C
OG0001895	-processed-gene-3.106-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.106&CDS=1-786	YIL106W
OG0001896	-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.49&CDS=1-1095	YMR315W
OG0001897	-processed-gene-3.92-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.92&CDS=1-1248	YCR012W
OG0001898	-processed-gene-3.110-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.110&CDS=1-1473	YNL051W
OG0001899	-processed-gene-3.93-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.93&CDS=1-3471	YER110C
OG0001900	-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.52&CDS=1-1770	YGL142C
OG0001901	-processed-gene-3.111-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.111&CDS=1-1296	YDL107W
OG0001902	-processed-gene-3.112-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.112&CDS=1-921	YDL108W
OG0001903	-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.70&CDS=1-3147	YDL102W
OG0001904	-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.69&CDS=1-1113	YIL110W
OG0001905	-snap-gene-4.67-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-4.67&CDS=1-3276	YCR017C
OG0001906	-processed-gene-4.22-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.22&CDS=1-2829	YCR081W
OG0001907	-processed-gene-4.23-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.23&CDS=1-2904	YJL108C
OG0001908	-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.75&CDS=1-909	YBR101C
OG0001909	-processed-gene-4.26-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.26&CDS=1-1845	YBR103W
OG0001910	-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.76&CDS=1-1176	YPR056W
OG0001911	-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.78&CDS=1-957	YLR372W
OG0001912	-processed-gene-4.57-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.57&CDS=1-3240	YOR304W
OG0001913	-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.90&CDS=1-1407	YMR027W
OG0001914	-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.81&CDS=1-927	YDR121W
OG0001915	-processed-gene-4.32-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.32&CDS=1-1203	YMR272C
OG0001916	-processed-gene-4.18-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.18&CDS=1-1920	YLR429W
OG0001917	-processed-gene-4.19-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.19&CDS=1-378	YPL098C
OG0001918	-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.84&CDS=1-11517	YHR099W
OG0001919	-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.59&CDS=1-5001	YER166W
OG0001920	-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.60&CDS=1-2424	YDR266C
OG0001921	-processed-gene-5.61-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.61&CDS=1-648	YDR265W
OG0001922	-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.62&CDS=1-4509	YDR127W
OG0001923	-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.74&CDS=1-552	YER042W
OG0001924	-processed-gene-5.4-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.4&CDS=1-390	YMR074C
OG0001925	-processed-gene-5.5-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.5&CDS=1-1569	YNL330C
OG0001926	-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.75&CDS=1-1326	YPL188W
OG0001927	-snap-gene-5.94-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-5.94&CDS=1-2316	YDR419W
OG0001928	-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.66&CDS=1-1128	YHR085W
OG0001929	-augustus-gene-5.92-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-augustus-gene-5.92&CDS=1-744	YDR410C
OG0001930	-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.81&CDS=1-1353	YKR042W
OG0001931	-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.83&CDS=1-1026	YDR331W
OG0001932	-processed-gene-5.11-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.11&CDS=1-3990	YHR079C
OG0001933	-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.85&CDS=1-663	YHR081W
OG0001934	-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.70&CDS=1-1815	YDR341C
OG0001935	-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.86&CDS=1-1341	YDR414C
OG0001936	-processed-gene-5.28-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.28&CDS=1-1080	YLR405W
OG0001937	-processed-gene-5.13-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.13&CDS=1-2157	YLR401C
OG0001938	-processed-gene-5.29-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.29&CDS=1-588	YDL072C
OG0001939	-processed-gene-5.58-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-5.58&CDS=1-5454	YBR208C
OG0001940	-snap-gene-6.106-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-6.106&CDS=1-1572	YPL072W
OG0001941	-processed-gene-6.3-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.3&CDS=1-1455	YLR149C
OG0001942	-processed-gene-6.21-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.21&CDS=1-303	YLR147C
OG0001943	-processed-gene-6.5-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.5&CDS=1-1668	YDR168W
OG0001944	-processed-gene-6.22-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.22&CDS=1-849	YDR167W
OG0001945	-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.45&CDS=1-3279	YLR148W
OG0001946	-processed-gene-6.9-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.9&CDS=1-1494	YJR080C
OG0001947	-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.61&CDS=1-1065	YJR082C
OG0001948	-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.49&CDS=1-1497	YPR034W
OG0001949	-processed-gene-6.11-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.11&CDS=1-1374	YBR029C
OG0001950	-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.64&CDS=1-4422	YNL139C
OG0001951	-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.53&CDS=1-336	YGL030W
OG0001952	-processed-gene-6.33-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.33&CDS=1-849	YJR096W
OG0001953	-snap-gene-6.112-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-6.112&CDS=1-1053	YDL125C
OG0001954	-processed-gene-6.17-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.17&CDS=1-1929	YBL103C
OG0001955	-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.57&CDS=1-1761	YPR045C
OG0001956	-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.70&CDS=1-714	YJR099W
OG0001957	-processed-gene-6.38-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.38&CDS=1-2988	YPR031W
OG0001958	-processed-gene-7.1-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.1&CDS=1-1602	YLR197W
OG0001959	-processed-gene-7.47-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.47&CDS=1-399	YMR298W
OG0001960	-processed-gene-7.3-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.3&CDS=1-3333	YDL170W
OG0001961	-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.82&CDS=1-330	YLR200W
OG0001962	-processed-gene-7.18-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.18&CDS=1-855	YLR201C
OG0001963	-snap-gene-7.43-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-7.43&CDS=1-2667	YDL167C
OG0001964	-processed-gene-7.66-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.66&CDS=1-14178	YLR106C
OG0001965	-processed-gene-7.25-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.25&CDS=1-921	YDL165W
OG0001966	-processed-gene-7.5-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.5&CDS=1-609	YDL166C
OG0001967	-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.100&CDS=1-1644	YLR196W
OG0001968	-processed-gene-7.27-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.27&CDS=1-1965	YMR278W
OG0001969	-processed-gene-7.29-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.29&CDS=1-1242	YIL068C
OG0001970	-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.85&CDS=1-204	YER074W-A
OG0001971	-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.86&CDS=1-2325	YIL067C
OG0001972	-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.103&CDS=1-3249	YLR208W
OG0001973	-snap-gene-7.44-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-7.44&CDS=1-900	YLR209C
OG0001974	-processed-gene-7.10-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.10&CDS=1-498	YDR064W
OG0001975	-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.89&CDS=1-879	YGR205W
OG0001976	-processed-gene-7.72-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.72&CDS=1-1743	YJL025W
OG0001977	-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.90&CDS=1-438	YNL081C
OG0001978	-processed-gene-7.106-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.106&CDS=1-2148	YLL008W
OG0001979	-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.107&CDS=1-2007	YHR109W
OG0001980	-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.92&CDS=1-372	YER072W
OG0001981	-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.109&CDS=1-1584	YMR217W
OG0001982	-processed-gene-7.16-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.16&CDS=1-1620	YML115C
OG0001983	-processed-gene-7.40-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.40&CDS=1-729	YOL032W
OG0001984	-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.112&CDS=1-1533	YPL212C
OG0001985	-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.42&CDS=1-543	YPL211W
OG0001986	-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.45&CDS=1-1923	YNL288W
OG0001987	-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.61&CDS=1-2826	YNL287W
OG0001988	-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.46&CDS=1-1182	YBR025C
OG0001989	-processed-gene-8.47-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.47&CDS=1-1446	YGL130W
OG0001990	-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.63&CDS=1-1071	YPL215W
OG0001991	-processed-gene-8.7-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.7&CDS=1-723	YKL088W
OG0001992	-processed-gene-8.66-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.66&CDS=1-654	YGR235C
OG0001993	-processed-gene-8.51-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.51&CDS=1-375	YDR084C
OG0001994	-processed-gene-8.28-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.28&CDS=1-990	YPL209C
OG0001995	-processed-gene-8.29-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.29&CDS=1-3027	YDR081C
OG0001996	-processed-gene-8.30-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.30&CDS=1-552	YPR107C
OG0001997	-processed-gene-8.31-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.31&CDS=1-933	YFR004W
OG0001998	-snap-gene-8.121-mRNA-1_1&gene=maker-gi|1002316731|dbj|BCKQ01000005.1|-snap-gene-8.121&CDS=1-3513	YAL019W
OG0001999	-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-8.56&CDS=1-1365	YHR169W
