	Metschnikowia_dekortum	Saccharomyces_cerevisiae
OG0001440	genemark-dek_s19-processed-gene-3.19-mRNA-1_1&gene=genemark-dek_s19-processed-gene-3.19&CDS=1-2418	YER017C
OG0001441	snap_masked-dek_s19-processed-gene-3.75-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-3.75&CDS=1-1722	YDL139C
OG0001442	snap_masked-dek_s19-processed-gene-3.76-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-3.76&CDS=1-216	YLR218C
OG0001443	genemark-dek_s19-processed-gene-3.34-mRNA-1_1&gene=genemark-dek_s19-processed-gene-3.34&CDS=1-1584	YGR123C
OG0001444	augustus_masked-dek_s19-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-dek_s19-processed-gene-3.121&CDS=1-7494	YDL145C
OG0001445	snap_masked-dek_s19-processed-gene-4.85-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-4.85&CDS=1-2337	YDL132W
OG0001446	snap_masked-dek_s19-processed-gene-4.86-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-4.86&CDS=1-1140	YDL133W
OG0001447	genemark-dek_s19-processed-gene-4.182-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.182&CDS=1-1074	YDL183C
OG0001448	snap_masked-dek_s19-processed-gene-4.87-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-4.87&CDS=1-1854	YDL185W
OG0001449	genemark-dek_s19-processed-gene-4.215-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.215&CDS=1-1017	YDL134C
OG0001450	genemark-dek_s19-processed-gene-4.218-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.218&CDS=1-1302	YBR162C
OG0001451	genemark-dek_s19-processed-gene-4.188-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.188&CDS=1-1875	YKR056W
OG0001452	augustus_masked-dek_s19-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-dek_s19-processed-gene-4.39&CDS=1-3966	YDR109C
OG0001453	genemark-dek_s19-processed-gene-4.225-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.225&CDS=1-1689	YBR200W
OG0001454	genemark-dek_s19-processed-gene-4.227-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.227&CDS=1-891	YCL009C
OG0001455	genemark-dek_s19-processed-gene-4.228-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.228&CDS=1-906	YGR231C
OG0001456	genemark-dek_s19-processed-gene-4.229-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.229&CDS=1-1797	YHR151C
OG0001457	genemark-dek_s19-processed-gene-4.193-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.193&CDS=1-2616	YJL092W
OG0001458	genemark-dek_s19-processed-gene-4.230-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.230&CDS=1-594	YDL135C
OG0001459	snap_masked-dek_s19-processed-gene-4.98-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-4.98&CDS=1-3129	YDL190C
OG0001460	genemark-dek_s19-processed-gene-4.233-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.233&CDS=1-825	YDL193W
OG0001461	genemark-dek_s19-processed-gene-4.196-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.196&CDS=1-678	YGR232W
OG0001462	maker-dek_s19-augustus-gene-4.81-mRNA-1_1&gene=maker-dek_s19-augustus-gene-4.81&CDS=1-5076	YDL149W
OG0001463	genemark-dek_s19-processed-gene-4.236-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.236&CDS=1-1305	YER061C
OG0001464	genemark-dek_s19-processed-gene-4.200-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.200&CDS=1-1662	YDR212W
OG0001465	genemark-dek_s19-processed-gene-4.238-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.238&CDS=1-1236	YDL128W
OG0001466	genemark-dek_s19-processed-gene-4.239-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.239&CDS=1-1476	YGR175C
OG0001467	genemark-dek_s19-processed-gene-4.240-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.240&CDS=1-2196	YDR211W
OG0001468	genemark-dek_s19-processed-gene-4.241-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.241&CDS=1-765	YLR022C
OG0001469	genemark-dek_s19-processed-gene-4.242-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.242&CDS=1-3501	YGL156W
OG0001470	genemark-dek_s19-processed-gene-4.243-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.243&CDS=1-2154	YDR496C
OG0001471	maker-dek_s19-augustus-gene-4.79-mRNA-1_1&gene=maker-dek_s19-augustus-gene-4.79&CDS=1-1323	YDL007W
OG0001472	genemark-dek_s19-processed-gene-4.244-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.244&CDS=1-756	YNL305C
OG0001473	genemark-dek_s19-processed-gene-4.245-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.245&CDS=1-453	YER116C
OG0001474	genemark-dek_s19-processed-gene-4.248-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.248&CDS=1-1818	YPL184C
OG0001475	snap_masked-dek_s19-processed-gene-4.161-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-4.161&CDS=1-8604	YBL088C
OG0001476	genemark-dek_s19-processed-gene-4.207-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.207&CDS=1-1170	YDR019C
OG0001477	genemark-dek_s19-processed-gene-4.209-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.209&CDS=1-1959	YPL210C
OG0001478	genemark-dek_s19-processed-gene-4.250-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.250&CDS=1-969	YPL215W
OG0001479	genemark-dek_s19-processed-gene-4.252-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.252&CDS=1-960	YAL032C
OG0001480	genemark-dek_s19-processed-gene-4.253-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.253&CDS=1-1080	YPL206C
OG0001481	snap_masked-dek_s19-processed-gene-4.166-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-4.166&CDS=1-1386	YGL067W
OG0001482	snap_masked-dek_s19-processed-gene-4.167-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-4.167&CDS=1-1716	YGL064C
OG0001483	augustus_masked-dek_s19-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-dek_s19-processed-gene-4.29&CDS=1-1437	YGL129C
OG0001484	genemark-dek_s19-processed-gene-4.255-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.255&CDS=1-543	YPL211W
OG0001485	snap_masked-dek_s19-processed-gene-4.120-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-4.120&CDS=1-1329	YPL212C
OG0001486	genemark-dek_s19-processed-gene-4.256-mRNA-1_1&gene=genemark-dek_s19-processed-gene-4.256&CDS=1-1494	YPL204W
OG0001487	genemark-dek_s2-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.1&CDS=1-2763	YPR162C
OG0001488	snap_masked-dek_s2-processed-gene-0.33-mRNA-1_1&gene=snap_masked-dek_s2-processed-gene-0.33&CDS=1-1950	YLR452C
OG0001489	genemark-dek_s2-processed-gene-0.16-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.16&CDS=1-1581	YER025W
OG0001490	genemark-dek_s2-processed-gene-0.18-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.18&CDS=1-2274	YKL213C
OG0001491	maker-dek_s2-snap-gene-0.62-mRNA-1_1&gene=maker-dek_s2-snap-gene-0.62&CDS=1-1167	YJR122W
OG0001492	genemark-dek_s2-processed-gene-0.21-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.21&CDS=1-1119	YNL027W
OG0001493	snap_masked-dek_s2-processed-gene-0.55-mRNA-1_1&gene=snap_masked-dek_s2-processed-gene-0.55&CDS=1-1413	YJR124C
OG0001494	genemark-dek_s2-processed-gene-0.4-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.4&CDS=1-2652	YLR451W
OG0001495	genemark-dek_s2-processed-gene-0.5-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.5&CDS=1-231	YDR320C-A
OG0001496	snap_masked-dek_s2-processed-gene-0.56-mRNA-1_1&gene=snap_masked-dek_s2-processed-gene-0.56&CDS=1-177	YHR072W-A
OG0001497	genemark-dek_s2-processed-gene-0.6-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.6&CDS=1-2466	YDR320C
OG0001498	genemark-dek_s2-processed-gene-0.7-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.7&CDS=1-528	YMR295C
OG0001499	genemark-dek_s2-processed-gene-0.8-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.8&CDS=1-1113	YBL016W
OG0001500	genemark-dek_s2-processed-gene-0.9-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.9&CDS=1-594	YGL200C
OG0001501	genemark-dek_s2-processed-gene-0.10-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.10&CDS=1-1260	YLR027C
OG0001502	augustus_masked-dek_s2-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-dek_s2-processed-gene-0.86&CDS=1-1182	YER133W
OG0001503	augustus_masked-dek_s2-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-dek_s2-processed-gene-0.74&CDS=1-603	YER128W
OG0001504	genemark-dek_s2-processed-gene-0.26-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.26&CDS=1-849	YKL154W
OG0001505	genemark-dek_s2-processed-gene-0.27-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.27&CDS=1-1131	YGL148W
OG0001506	snap_masked-dek_s2-processed-gene-0.45-mRNA-1_1&gene=snap_masked-dek_s2-processed-gene-0.45&CDS=1-2631	YER130C
OG0001507	genemark-dek_s2-processed-gene-1.56-mRNA-1_1&gene=genemark-dek_s2-processed-gene-1.56&CDS=1-2541	YKR024C
OG0001508	genemark-dek_s2-processed-gene-1.57-mRNA-1_1&gene=genemark-dek_s2-processed-gene-1.57&CDS=1-939	YKR025W
OG0001509	snap_masked-dek_s2-processed-gene-1.9-mRNA-1_1&gene=snap_masked-dek_s2-processed-gene-1.9&CDS=1-3606	YGL094C
OG0001510	augustus_masked-dek_s2-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-dek_s2-processed-gene-1.76&CDS=1-2739	YPL180W
OG0001511	snap_masked-dek_s2-processed-gene-1.24-mRNA-1_1&gene=snap_masked-dek_s2-processed-gene-1.24&CDS=1-228	YPL183W-A
OG0001512	genemark-dek_s2-processed-gene-1.62-mRNA-1_1&gene=genemark-dek_s2-processed-gene-1.62&CDS=1-762	YMR193W
OG0001513	genemark-dek_s2-processed-gene-1.47-mRNA-1_1&gene=genemark-dek_s2-processed-gene-1.47&CDS=1-2175	YHR205W
OG0001514	genemark-dek_s2-processed-gene-1.49-mRNA-1_1&gene=genemark-dek_s2-processed-gene-1.49&CDS=1-3165	YLL031C
OG0001515	genemark-dek_s2-processed-gene-1.51-mRNA-1_1&gene=genemark-dek_s2-processed-gene-1.51&CDS=1-2766	YGL167C
OG0001516	genemark-dek_s2-processed-gene-1.65-mRNA-1_1&gene=genemark-dek_s2-processed-gene-1.65&CDS=1-828	YLR290C
OG0001517	genemark-dek_s2-processed-gene-1.53-mRNA-1_1&gene=genemark-dek_s2-processed-gene-1.53&CDS=1-903	YJR142W
OG0001518	snap_masked-dek_s2-processed-gene-2.44-mRNA-1_1&gene=snap_masked-dek_s2-processed-gene-2.44&CDS=1-294	YDR469W
OG0001519	genemark-dek_s2-processed-gene-2.1-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.1&CDS=1-726	YDR468C
OG0001520	genemark-dek_s2-processed-gene-2.3-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.3&CDS=1-957	YDR392W
OG0001521	augustus_masked-dek_s2-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-dek_s2-processed-gene-2.90&CDS=1-2955	YOR144C
OG0001522	genemark-dek_s2-processed-gene-2.7-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.7&CDS=1-687	YOR148C
OG0001523	genemark-dek_s2-processed-gene-2.8-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.8&CDS=1-762	YOR145C
OG0001524	genemark-dek_s2-processed-gene-2.24-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.24&CDS=1-690	YHR013C
OG0001525	genemark-dek_s2-processed-gene-2.25-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.25&CDS=1-741	YDR472W
OG0001526	snap_masked-dek_s2-processed-gene-2.50-mRNA-1_1&gene=snap_masked-dek_s2-processed-gene-2.50&CDS=1-1335	YOR023C
OG0001527	genemark-dek_s2-processed-gene-2.28-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.28&CDS=1-816	YLR192C
OG0001528	augustus_masked-dek_s2-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-dek_s2-processed-gene-2.95&CDS=1-1431	YHR109W
OG0001529	genemark-dek_s2-processed-gene-2.30-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.30&CDS=1-1083	YPL060W
OG0001530	genemark-dek_s2-processed-gene-2.14-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.14&CDS=1-528	YOL129W
OG0001531	genemark-dek_s2-processed-gene-2.31-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.31&CDS=1-1116	YNL307C
OG0001532	genemark-dek_s2-processed-gene-2.15-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.15&CDS=1-555	YNL306W
OG0001533	genemark-dek_s2-processed-gene-2.16-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.16&CDS=1-432	YOL127W
OG0001534	genemark-dek_s2-processed-gene-2.17-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.17&CDS=1-2649	YKR090W
OG0001535	genemark-dek_s2-processed-gene-2.32-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.32&CDS=1-897	YKR088C
OG0001536	genemark-dek_s2-processed-gene-2.19-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.19&CDS=1-864	YJL068C
OG0001537	genemark-dek_s2-processed-gene-2.33-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.33&CDS=1-1158	YLR287C
OG0001538	genemark-dek_s2-processed-gene-2.34-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.34&CDS=1-2025	YOR181W
OG0001539	genemark-dek_s2-processed-gene-2.35-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.35&CDS=1-735	YJL063C
OG0001540	augustus_masked-dek_s2-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-dek_s2-processed-gene-2.121&CDS=1-246	YLR262C-A
OG0001541	genemark-dek_s2-processed-gene-2.20-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.20&CDS=1-1044	YBR265W
OG0001542	genemark-dek_s2-processed-gene-2.39-mRNA-1_1&gene=genemark-dek_s2-processed-gene-2.39&CDS=1-858	YLR439W
OG0001543	snap_masked-dek_s2-processed-gene-2.65-mRNA-1_1&gene=snap_masked-dek_s2-processed-gene-2.65&CDS=1-261	YLR438C-A
OG0001544	genemark-dek_s22-processed-gene-0.25-mRNA-1_1&gene=genemark-dek_s22-processed-gene-0.25&CDS=1-447	YML094W
OG0001545	genemark-dek_s22-processed-gene-0.38-mRNA-1_1&gene=genemark-dek_s22-processed-gene-0.38&CDS=1-1062	YML095C
OG0001546	genemark-dek_s22-processed-gene-0.39-mRNA-1_1&gene=genemark-dek_s22-processed-gene-0.39&CDS=1-2151	YIL091C
OG0001547	genemark-dek_s22-processed-gene-0.26-mRNA-1_1&gene=genemark-dek_s22-processed-gene-0.26&CDS=1-1419	YIL090W
OG0001548	genemark-dek_s22-processed-gene-0.41-mRNA-1_1&gene=genemark-dek_s22-processed-gene-0.41&CDS=1-1107	YPR035W
OG0001549	genemark-dek_s22-processed-gene-0.27-mRNA-1_1&gene=genemark-dek_s22-processed-gene-0.27&CDS=1-5949	YJL005W
OG0001550	augustus_masked-dek_s22-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-dek_s22-processed-gene-0.9&CDS=1-4317	YMR196W
OG0001551	genemark-dek_s22-processed-gene-0.46-mRNA-1_1&gene=genemark-dek_s22-processed-gene-0.46&CDS=1-1077	YPL254W
OG0001552	genemark-dek_s22-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s22-processed-gene-0.47&CDS=1-1521	YOR378W
OG0001553	genemark-dek_s22-processed-gene-0.48-mRNA-1_1&gene=genemark-dek_s22-processed-gene-0.48&CDS=1-444	YML077W
OG0001554	augustus_masked-dek_s22-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-dek_s22-processed-gene-0.24&CDS=1-252	YML081C-A
OG0001555	genemark-dek_s22-processed-gene-1.68-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.68&CDS=1-1035	YIL083C
OG0001556	genemark-dek_s22-processed-gene-1.69-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.69&CDS=1-1503	YNL026W
OG0001557	genemark-dek_s22-processed-gene-1.71-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.71&CDS=1-561	YER042W
OG0001558	genemark-dek_s22-processed-gene-1.72-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.72&CDS=1-1074	YBR087W
OG0001559	maker-dek_s22-snap-gene-1.30-mRNA-1_1&gene=maker-dek_s22-snap-gene-1.30&CDS=1-657	YKL041W
OG0001560	augustus_masked-dek_s22-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-dek_s22-processed-gene-1.19&CDS=1-1044	YBL038W
OG0001561	genemark-dek_s22-processed-gene-1.91-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.91&CDS=1-1344	YPR047W
OG0001562	genemark-dek_s22-processed-gene-1.92-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.92&CDS=1-1794	YPR048W
OG0001563	snap_masked-dek_s22-processed-gene-1.38-mRNA-1_1&gene=snap_masked-dek_s22-processed-gene-1.38&CDS=1-1716	YKR008W
OG0001564	genemark-dek_s22-processed-gene-1.93-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.93&CDS=1-1419	YMR023C
OG0001565	genemark-dek_s22-processed-gene-1.77-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.77&CDS=1-894	YOR311C
OG0001566	genemark-dek_s22-processed-gene-1.78-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.78&CDS=1-654	YMR069W
OG0001567	snap_masked-dek_s22-processed-gene-1.62-mRNA-1_1&gene=snap_masked-dek_s22-processed-gene-1.62&CDS=1-7269	YPL085W
OG0001568	genemark-dek_s22-processed-gene-1.79-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.79&CDS=1-1437	YBR182C
OG0001569	genemark-dek_s22-processed-gene-1.82-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.82&CDS=1-1257	YHR004C
OG0001570	genemark-dek_s22-processed-gene-1.100-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.100&CDS=1-993	YKL085W
OG0001571	genemark-dek_s22-processed-gene-1.85-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.85&CDS=1-2079	YBR123C
OG0001572	maker-dek_s22-augustus-gene-2.117-mRNA-1_1&gene=maker-dek_s22-augustus-gene-2.117&CDS=1-2865	YPR003C
OG0001573	genemark-dek_s22-processed-gene-2.142-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.142&CDS=1-726	YOR232W
OG0001574	genemark-dek_s22-processed-gene-2.123-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.123&CDS=1-1122	YIL094C
OG0001575	genemark-dek_s22-processed-gene-2.143-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.143&CDS=1-1389	YNL022C
OG0001576	genemark-dek_s22-processed-gene-2.144-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.144&CDS=1-2748	YNL021W
OG0001577	genemark-dek_s22-processed-gene-2.145-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.145&CDS=1-1167	YNL035C
OG0001578	augustus_masked-dek_s22-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-dek_s22-processed-gene-2.10&CDS=1-2118	YNL039W
OG0001579	genemark-dek_s22-processed-gene-2.127-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.127&CDS=1-675	YNL038W
OG0001580	snap_masked-dek_s22-processed-gene-2.62-mRNA-1_1&gene=snap_masked-dek_s22-processed-gene-2.62&CDS=1-3702	YDL240W
OG0001581	snap_masked-dek_s22-processed-gene-2.63-mRNA-1_1&gene=snap_masked-dek_s22-processed-gene-2.63&CDS=1-264	YGL220W
OG0001582	genemark-dek_s22-processed-gene-2.146-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.146&CDS=1-1488	YOL137W
OG0001583	genemark-dek_s22-processed-gene-2.129-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.129&CDS=1-822	YGL221C
OG0001584	genemark-dek_s22-processed-gene-2.150-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.150&CDS=1-1365	YJL054W
OG0001585	genemark-dek_s22-processed-gene-2.151-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.151&CDS=1-1263	YNR029C
OG0001586	genemark-dek_s22-processed-gene-2.130-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.130&CDS=1-1845	YNR030W
OG0001587	snap_masked-dek_s22-processed-gene-2.92-mRNA-1_1&gene=snap_masked-dek_s22-processed-gene-2.92&CDS=1-3159	YLL003W
OG0001588	snap_masked-dek_s22-processed-gene-2.70-mRNA-1_1&gene=snap_masked-dek_s22-processed-gene-2.70&CDS=1-4599	YJL095W
OG0001589	genemark-dek_s22-processed-gene-2.154-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.154&CDS=1-492	YJL096W
OG0001590	augustus_masked-dek_s22-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-dek_s22-processed-gene-2.38&CDS=1-5349	YNL191W
OG0001591	maker-dek_s22-augustus-gene-2.115-mRNA-1_1&gene=maker-dek_s22-augustus-gene-2.115&CDS=1-357	YDR100W
OG0001592	genemark-dek_s22-processed-gene-2.135-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.135&CDS=1-1464	YJL123C
OG0001593	snap_masked-dek_s22-processed-gene-2.101-mRNA-1_1&gene=snap_masked-dek_s22-processed-gene-2.101&CDS=1-915	YJL126W
OG0001594	genemark-dek_s22-processed-gene-2.137-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.137&CDS=1-1248	YLR191W
OG0001595	augustus_masked-dek_s22-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-dek_s22-processed-gene-2.46&CDS=1-1407	YLL002W
OG0001596	genemark-dek_s22-processed-gene-2.139-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.139&CDS=1-936	YGR017W
OG0001597	genemark-dek_s22-processed-gene-2.168-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.168&CDS=1-2895	YGR134W
OG0001598	genemark-dek_s22-processed-gene-2.140-mRNA-1_1&gene=genemark-dek_s22-processed-gene-2.140&CDS=1-4464	YDL195W
OG0001599	snap_masked-dek_s23-processed-gene-0.35-mRNA-1_1&gene=snap_masked-dek_s23-processed-gene-0.35&CDS=1-3654	YJR041C
OG0001600	genemark-dek_s23-processed-gene-0.54-mRNA-1_1&gene=genemark-dek_s23-processed-gene-0.54&CDS=1-375	YEL026W
OG0001601	genemark-dek_s23-processed-gene-0.46-mRNA-1_1&gene=genemark-dek_s23-processed-gene-0.46&CDS=1-1998	YHR124W
OG0001602	genemark-dek_s23-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s23-processed-gene-0.47&CDS=1-288	YBL026W
OG0001603	genemark-dek_s23-processed-gene-0.58-mRNA-1_1&gene=genemark-dek_s23-processed-gene-0.58&CDS=1-1602	YBL020W
OG0001604	genemark-dek_s23-processed-gene-0.48-mRNA-1_1&gene=genemark-dek_s23-processed-gene-0.48&CDS=1-756	YBL021C
OG0001605	augustus_masked-dek_s23-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-dek_s23-processed-gene-1.148&CDS=1-2103	YBL024W
OG0001606	genemark-dek_s23-processed-gene-1.81-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.81&CDS=1-3423	YBL022C
OG0001607	snap_masked-dek_s23-processed-gene-1.43-mRNA-1_1&gene=snap_masked-dek_s23-processed-gene-1.43&CDS=1-267	YDR510W
OG0001608	genemark-dek_s23-processed-gene-1.115-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.115&CDS=1-2205	YNL218W
OG0001609	genemark-dek_s23-processed-gene-1.84-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.84&CDS=1-900	YML060W
OG0001610	genemark-dek_s23-processed-gene-1.85-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.85&CDS=1-798	YLR186W
OG0001611	genemark-dek_s23-processed-gene-1.86-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.86&CDS=1-1215	YPR025C
OG0001612	genemark-dek_s23-processed-gene-1.87-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.87&CDS=1-987	YBR002C
OG0001613	genemark-dek_s23-processed-gene-1.88-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.88&CDS=1-912	YER055C
OG0001614	genemark-dek_s23-processed-gene-1.89-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.89&CDS=1-1386	YDL147W
OG0001615	genemark-dek_s23-processed-gene-1.120-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.120&CDS=1-1410	YOL030W
OG0001616	genemark-dek_s23-processed-gene-1.90-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.90&CDS=1-1332	YPL259C
OG0001617	genemark-dek_s23-processed-gene-1.124-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.124&CDS=1-777	YBR088C
OG0001618	genemark-dek_s23-processed-gene-1.125-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.125&CDS=1-1215	YBR095C
OG0001619	genemark-dek_s23-processed-gene-1.126-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.126&CDS=1-606	YPR051W
OG0001620	genemark-dek_s23-processed-gene-1.91-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.91&CDS=1-1074	YKL060C
OG0001621	genemark-dek_s23-processed-gene-1.127-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.127&CDS=1-324	YBR091C
OG0001622	genemark-dek_s23-processed-gene-1.92-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.92&CDS=1-2130	YBR094W
OG0001623	snap_masked-dek_s23-processed-gene-1.18-mRNA-1_1&gene=snap_masked-dek_s23-processed-gene-1.18&CDS=1-2196	YKL054C
OG0001624	genemark-dek_s23-processed-gene-1.94-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.94&CDS=1-1362	YMR027W
OG0001625	genemark-dek_s23-processed-gene-1.128-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.128&CDS=1-363	YKL058W
OG0001626	genemark-dek_s23-processed-gene-1.95-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.95&CDS=1-978	YMR028W
OG0001627	genemark-dek_s23-processed-gene-1.96-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.96&CDS=1-1317	YKL059C
OG0001628	snap_masked-dek_s23-processed-gene-1.59-mRNA-1_1&gene=snap_masked-dek_s23-processed-gene-1.59&CDS=1-990	YPR127W
