	Lachancea_fantastica	Saccharomyces_cerevisiae
OG0002325	augustus_masked-LAFA0E-processed-gene-14.38-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-14.38&CDS=1-2349	YOL076W
OG0002326	snap_masked-LAFA0E-processed-gene-14.65-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-14.65&CDS=1-885	YOL077C
OG0002327	snap_masked-LAFA0E-processed-gene-14.89-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-14.89&CDS=1-201	YOL077W-A
OG0002328	augustus_masked-LAFA0E-processed-gene-14.20-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-14.20&CDS=1-1473	YBR139W
OG0002329	snap_masked-LAFA0E-processed-gene-14.90-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-14.90&CDS=1-3228	YOL078W
OG0002330	snap_masked-LAFA0E-processed-gene-14.68-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-14.68&CDS=1-921	YOL080C
OG0002331	snap_masked-LAFA0E-processed-gene-14.92-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-14.92&CDS=1-999	YBR141C
OG0002332	snap_masked-LAFA0E-processed-gene-14.69-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-14.69&CDS=1-2430	YBR142W
OG0002333	snap_masked-LAFA0E-processed-gene-14.93-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-14.93&CDS=1-1311	YBR143C
OG0002334	snap_masked-LAFA0E-processed-gene-15.93-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.93&CDS=1-2898	YOL084W
OG0002335	snap_masked-LAFA0E-processed-gene-15.96-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.96&CDS=1-837	YBR146W
OG0002336	snap_masked-LAFA0E-processed-gene-15.115-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.115&CDS=1-348	YOL086W-A
OG0002337	snap_masked-LAFA0E-processed-gene-15.97-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.97&CDS=1-2805	YOL087C
OG0002338	snap_masked-LAFA0E-processed-gene-15.98-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.98&CDS=1-645	YBR154C
OG0002339	snap_masked-LAFA0E-processed-gene-15.116-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.116&CDS=1-750	YBR153W
OG0002340	snap_masked-LAFA0E-processed-gene-15.117-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.117&CDS=1-987	YBR152W
OG0002341	snap_masked-LAFA0E-processed-gene-15.99-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.99&CDS=1-642	YLR268W
OG0002342	snap_masked-LAFA0E-processed-gene-15.100-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.100&CDS=1-1080	YLR270W
OG0002343	snap_masked-LAFA0E-processed-gene-15.101-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.101&CDS=1-795	YLR271W
OG0002344	snap_masked-LAFA0E-processed-gene-15.102-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.102&CDS=1-807	YOR174W
OG0002345	snap_masked-LAFA0E-processed-gene-15.119-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.119&CDS=1-1821	YOR175C
OG0002346	snap_masked-LAFA0E-processed-gene-15.103-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.103&CDS=1-1149	YOR176W
OG0002347	snap_masked-LAFA0E-processed-gene-15.120-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.120&CDS=1-3435	YLR272C
OG0002348	augustus_masked-LAFA0E-processed-gene-15.78-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-15.78&CDS=1-2022	YOR178C
OG0002349	snap_masked-LAFA0E-processed-gene-15.105-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.105&CDS=1-2289	YLR274W
OG0002350	maker-LAFA0E-augustus-gene-15.47-mRNA-1_1&gene=maker-LAFA0E-augustus-gene-15.47&CDS=1-4146	YLR277C
OG0002351	snap_masked-LAFA0E-processed-gene-15.128-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.128&CDS=1-3426	YLR278C
OG0002352	snap_masked-LAFA0E-processed-gene-15.129-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.129&CDS=1-495	YLR281C
OG0002353	snap_masked-LAFA0E-processed-gene-15.106-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.106&CDS=1-906	YGR127W
OG0002354	snap_masked-LAFA0E-processed-gene-15.107-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.107&CDS=1-891	YLR283W
OG0002355	snap_masked-LAFA0E-processed-gene-15.130-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.130&CDS=1-834	YLR284C
OG0002356	snap_masked-LAFA0E-processed-gene-15.108-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.108&CDS=1-789	YLR285W
OG0002357	snap_masked-LAFA0E-processed-gene-15.109-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.109&CDS=1-3255	YJL050W
OG0002358	snap_masked-LAFA0E-processed-gene-15.132-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.132&CDS=1-1449	YBR272C
OG0002359	snap_masked-LAFA0E-processed-gene-15.110-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.110&CDS=1-1323	YJL049W
OG0002360	snap_masked-LAFA0E-processed-gene-15.133-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.133&CDS=1-1266	YBR273C
OG0002361	snap_masked-LAFA0E-processed-gene-15.111-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.111&CDS=1-1536	YBR274W
OG0002362	snap_masked-LAFA0E-processed-gene-15.134-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.134&CDS=1-4629	YBR275C
OG0002363	snap_masked-LAFA0E-processed-gene-15.112-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.112&CDS=1-606	YBR264C
OG0002364	snap_masked-LAFA0E-processed-gene-15.135-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.135&CDS=1-1479	YBR263W
OG0002365	snap_masked-LAFA0E-processed-gene-15.113-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.113&CDS=1-2343	YJL070C
OG0002366	snap_masked-LAFA0E-processed-gene-15.136-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.136&CDS=1-1467	YJL071W
OG0002367	snap_masked-LAFA0E-processed-gene-15.114-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.114&CDS=1-624	YJL072C
OG0002368	snap_masked-LAFA0E-processed-gene-16.1-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.1&CDS=1-1542	YBR286W
OG0002369	snap_masked-LAFA0E-processed-gene-16.4-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.4&CDS=1-1866	YJL073W
OG0002370	snap_masked-LAFA0E-processed-gene-16.2-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.2&CDS=1-1245	YBR287W
OG0002371	snap_masked-LAFA0E-processed-gene-16.3-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.3&CDS=1-3639	YJL074C
OG0002372	snap_masked-LAFA0E-processed-gene-16.22-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.22&CDS=1-3717	YJL076W
OG0002373	snap_masked-LAFA0E-processed-gene-16.5-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.5&CDS=1-876	YHR029C
OG0002374	snap_masked-LAFA0E-processed-gene-16.6-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.6&CDS=1-1749	YOR386W
OG0002375	snap_masked-LAFA0E-processed-gene-16.23-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.23&CDS=1-1017	YKR011C
OG0002376	snap_masked-LAFA0E-processed-gene-16.9-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.9&CDS=1-3612	YJL080C
OG0002377	snap_masked-LAFA0E-processed-gene-16.26-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.26&CDS=1-627	YKR014C
OG0002378	genemark-LAFA0E-processed-gene-16.101-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-16.101&CDS=1-1593	YKR016W
OG0002379	snap_masked-LAFA0E-processed-gene-16.11-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.11&CDS=1-1446	YJL081C
OG0002380	snap_masked-LAFA0E-processed-gene-16.28-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.28&CDS=1-1629	YKR017C
OG0002381	snap_masked-LAFA0E-processed-gene-16.12-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.12&CDS=1-435	YKR020W
OG0002382	genemark-LAFA0E-processed-gene-16.104-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-16.104&CDS=1-2823	YJL084C
OG0002383	genemark-LAFA0E-processed-gene-16.123-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-16.123&CDS=1-1869	YJL085W
OG0002384	snap_masked-LAFA0E-processed-gene-16.13-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.13&CDS=1-2460	YJL087C
OG0002385	snap_masked-LAFA0E-processed-gene-16.32-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.32&CDS=1-975	YJL088W
OG0002386	genemark-LAFA0E-processed-gene-16.106-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-16.106&CDS=1-570	YLR306W
OG0002387	snap_masked-LAFA0E-processed-gene-16.14-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.14&CDS=1-975	YLR308W
OG0002388	snap_masked-LAFA0E-processed-gene-16.34-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.34&CDS=1-2643	YLR309C
OG0002389	snap_masked-LAFA0E-processed-gene-16.35-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.35&CDS=1-4857	YLR310C
OG0002390	snap_masked-LAFA0E-processed-gene-16.15-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.15&CDS=1-1710	YLL018C
OG0002391	genemark-LAFA0E-processed-gene-16.109-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-16.109&CDS=1-309	YLL018C-A
OG0002392	augustus_masked-LAFA0E-processed-gene-16.77-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-16.77&CDS=1-333	YGL030W
OG0002393	snap_masked-LAFA0E-processed-gene-16.18-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.18&CDS=1-282	YGL032C
OG0002394	snap_masked-LAFA0E-processed-gene-16.19-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.19&CDS=1-669	YGR147C
OG0002395	snap_masked-LAFA0E-processed-gene-16.37-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.37&CDS=1-630	YGL033W
OG0002396	snap_masked-LAFA0E-processed-gene-16.20-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.20&CDS=1-1377	YGL035C
OG0002397	snap_masked-LAFA0E-processed-gene-16.39-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.39&CDS=1-1779	YGR009C
OG0002398	snap_masked-LAFA0E-processed-gene-16.40-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.40&CDS=1-2100	YGR145W
OG0002399	snap_masked-LAFA0E-processed-gene-16.41-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-16.41&CDS=1-2403	YGL036W
OG0002400	snap_masked-LAFA0E-processed-gene-17.12-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.12&CDS=1-639	YGL037C
OG0002401	snap_masked-LAFA0E-processed-gene-17.13-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.13&CDS=1-1380	YGL038C
OG0002402	snap_masked-LAFA0E-processed-gene-17.18-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.18&CDS=1-738	YGR152C
OG0002403	snap_masked-LAFA0E-processed-gene-17.15-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.15&CDS=1-921	YGR017W
OG0002404	snap_masked-LAFA0E-processed-gene-17.16-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.16&CDS=1-1413	YGR019W
OG0002405	snap_masked-LAFA0E-processed-gene-17.17-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.17&CDS=1-2031	YLR330W
OG0002406	snap_masked-LAFA0E-processed-gene-17.19-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.19&CDS=1-354	YGR020C
OG0002407	snap_masked-LAFA0E-processed-gene-17.20-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.20&CDS=1-855	YGR021W
OG0002408	maker-LAFA0E-snap-gene-17.155-mRNA-1_1&gene=maker-LAFA0E-snap-gene-17.155&CDS=1-1182	YPR011C
OG0002409	snap_masked-LAFA0E-processed-gene-17.42-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.42&CDS=1-735	YPR016C
OG0002410	snap_masked-LAFA0E-processed-gene-17.43-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.43&CDS=1-426	YPR017C
OG0002411	snap_masked-LAFA0E-processed-gene-17.23-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.23&CDS=1-1710	YPR018W
OG0002412	snap_masked-LAFA0E-processed-gene-17.24-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.24&CDS=1-2736	YPR019W
OG0002413	snap_masked-LAFA0E-processed-gene-17.25-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.25&CDS=1-357	YPR020W
OG0002414	snap_masked-LAFA0E-processed-gene-17.44-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.44&CDS=1-1713	YGL171W
OG0002415	snap_masked-LAFA0E-processed-gene-17.26-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.26&CDS=1-702	YLR312W-A
OG0002416	snap_masked-LAFA0E-processed-gene-17.45-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.45&CDS=1-4641	YLL021W
OG0002417	snap_masked-LAFA0E-processed-gene-17.48-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.48&CDS=1-531	YER134C
OG0002418	snap_masked-LAFA0E-processed-gene-17.49-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.49&CDS=1-1566	YBL015W
OG0002419	snap_masked-LAFA0E-processed-gene-17.30-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.30&CDS=1-1260	YPL112C
OG0002420	snap_masked-LAFA0E-processed-gene-17.31-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.31&CDS=1-1143	YPL113C
OG0002421	snap_masked-LAFA0E-processed-gene-17.50-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.50&CDS=1-729	YOR194C
OG0002422	snap_masked-LAFA0E-processed-gene-17.32-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.32&CDS=1-2199	YOR195W
OG0002423	snap_masked-LAFA0E-processed-gene-17.33-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.33&CDS=1-3096	YPL115C
OG0002424	snap_masked-LAFA0E-processed-gene-17.51-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.51&CDS=1-1110	YOR196C
OG0002425	snap_masked-LAFA0E-processed-gene-17.54-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.54&CDS=1-2172	YPL116W
OG0002426	snap_masked-LAFA0E-processed-gene-17.34-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.34&CDS=1-1275	YOR197W
OG0002427	snap_masked-LAFA0E-processed-gene-17.55-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.55&CDS=1-1401	YOR198C
OG0002428	snap_masked-LAFA0E-processed-gene-17.35-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.35&CDS=1-828	YPL117C
OG0002429	snap_masked-LAFA0E-processed-gene-17.56-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.56&CDS=1-1182	YOR201C
OG0002430	snap_masked-LAFA0E-processed-gene-17.36-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.36&CDS=1-684	YOR202W
OG0002431	snap_masked-LAFA0E-processed-gene-17.57-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.57&CDS=1-1056	YPL118W
OG0002432	snap_masked-LAFA0E-processed-gene-17.37-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.37&CDS=1-1863	YOR204W
OG0002433	snap_masked-LAFA0E-processed-gene-17.58-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.58&CDS=1-1527	YPL122C
OG0002434	snap_masked-LAFA0E-processed-gene-17.38-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.38&CDS=1-3432	YOR207C
OG0002435	snap_masked-LAFA0E-processed-gene-17.59-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.59&CDS=1-624	YPL121C
OG0002436	snap_masked-LAFA0E-processed-gene-17.60-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-17.60&CDS=1-2136	YOR206W
OG0002437	snap_masked-LAFA0E-processed-gene-18.72-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.72&CDS=1-1617	YOR205C
OG0002438	snap_masked-LAFA0E-processed-gene-18.75-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.75&CDS=1-1317	YPL123C
OG0002439	snap_masked-LAFA0E-processed-gene-18.76-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.76&CDS=1-2535	YOR208W
OG0002440	snap_masked-LAFA0E-processed-gene-18.88-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.88&CDS=1-3096	YPL125W
OG0002441	snap_masked-LAFA0E-processed-gene-18.89-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.89&CDS=1-1287	YOR209C
OG0002442	snap_masked-LAFA0E-processed-gene-18.90-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.90&CDS=1-2628	YPL126W
OG0002443	snap_masked-LAFA0E-processed-gene-18.78-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.78&CDS=1-210	YOR210W
OG0002444	snap_masked-LAFA0E-processed-gene-18.91-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.91&CDS=1-2589	YOR211C
OG0002445	snap_masked-LAFA0E-processed-gene-18.79-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.79&CDS=1-651	YPL127C
OG0002446	genemark-LAFA0E-processed-gene-18.10-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-18.10&CDS=1-1269	YOR212W
OG0002447	maker-LAFA0E-augustus-gene-18.1-mRNA-1_1&gene=maker-LAFA0E-augustus-gene-18.1&CDS=1-1392	YPL129W
OG0002448	snap_masked-LAFA0E-processed-gene-18.94-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.94&CDS=1-567	YOR215C
OG0002449	snap_masked-LAFA0E-processed-gene-18.95-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.95&CDS=1-1386	YOR216C
OG0002450	snap_masked-LAFA0E-processed-gene-18.81-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.81&CDS=1-2607	YOR217W
OG0002451	genemark-LAFA0E-processed-gene-18.25-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-18.25&CDS=1-2592	YOR219C
OG0002452	snap_masked-LAFA0E-processed-gene-18.97-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.97&CDS=1-885	YPL131W
OG0002453	augustus_masked-LAFA0E-processed-gene-18.46-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-18.46&CDS=1-645	YOR220W
OG0002454	snap_masked-LAFA0E-processed-gene-18.98-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.98&CDS=1-639	YPL132W
OG0002455	snap_masked-LAFA0E-processed-gene-18.83-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.83&CDS=1-1077	YPL133C
OG0002456	augustus_masked-LAFA0E-processed-gene-18.61-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-18.61&CDS=1-951	YOR221C
OG0002457	augustus_masked-LAFA0E-processed-gene-18.62-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-18.62&CDS=1-3525	YPR164W
OG0002458	snap_masked-LAFA0E-processed-gene-18.101-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.101&CDS=1-8280	YLR454W
OG0002459	snap_masked-LAFA0E-processed-gene-18.84-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.84&CDS=1-1299	YPR163C
OG0002460	snap_masked-LAFA0E-processed-gene-18.102-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.102&CDS=1-3540	YKR096W
OG0002461	augustus_masked-LAFA0E-processed-gene-18.65-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-18.65&CDS=1-264	YKR095W-A
OG0002462	augustus_masked-LAFA0E-processed-gene-18.66-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-18.66&CDS=1-1758	YIL150C
OG0002463	augustus_masked-LAFA0E-processed-gene-18.67-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-18.67&CDS=1-5355	YKR095W
OG0002464	genemark-LAFA0E-processed-gene-18.33-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-18.33&CDS=1-3411	YIL147C
OG0002465	genemark-LAFA0E-processed-gene-18.34-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-18.34&CDS=1-1572	YIL146C
OG0002466	snap_masked-LAFA0E-processed-gene-18.108-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.108&CDS=1-921	YIL145C
OG0002467	snap_masked-LAFA0E-processed-gene-18.87-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-18.87&CDS=1-2034	YIL144W
OG0002468	snap_masked-LAFA0E-processed-gene-19.83-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.83&CDS=1-2559	YIL143C
OG0002469	snap_masked-LAFA0E-processed-gene-19.84-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.84&CDS=1-2151	YOR084W
OG0002470	snap_masked-LAFA0E-processed-gene-19.85-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.85&CDS=1-1029	YOR083W
OG0002471	snap_masked-LAFA0E-processed-gene-19.86-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.86&CDS=1-2205	YKR090W
OG0002472	snap_masked-LAFA0E-processed-gene-19.87-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.87&CDS=1-1365	YJR117W
OG0002473	snap_masked-LAFA0E-processed-gene-19.88-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.88&CDS=1-813	YJR116W
OG0002474	snap_masked-LAFA0E-processed-gene-19.89-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.89&CDS=1-1038	YJR105W
OG0002475	genemark-LAFA0E-processed-gene-19.8-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-19.8&CDS=1-1122	YJR107W
OG0002476	snap_masked-LAFA0E-processed-gene-19.110-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.110&CDS=1-1326	YER020W
OG0002477	snap_masked-LAFA0E-processed-gene-19.113-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.113&CDS=1-3351	YJR109C
OG0002478	augustus_masked-LAFA0E-processed-gene-19.53-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-19.53&CDS=1-222	YDR156W
OG0002479	snap_masked-LAFA0E-processed-gene-19.91-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.91&CDS=1-1095	YDR158W
OG0002480	snap_masked-LAFA0E-processed-gene-19.92-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.92&CDS=1-996	YLR137W
OG0002481	augustus_masked-LAFA0E-processed-gene-19.56-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-19.56&CDS=1-10227	YLR138W
OG0002482	snap_masked-LAFA0E-processed-gene-19.114-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.114&CDS=1-831	YDR162C
OG0002483	augustus_masked-LAFA0E-processed-gene-19.57-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-19.57&CDS=1-672	YDR163W
OG0002484	snap_masked-LAFA0E-processed-gene-19.115-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.115&CDS=1-1464	YLR141W
OG0002485	augustus_masked-LAFA0E-processed-gene-19.58-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-19.58&CDS=1-2058	YLR139C
OG0002486	snap_masked-LAFA0E-processed-gene-19.99-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.99&CDS=1-1425	YLR142W
OG0002487	snap_masked-LAFA0E-processed-gene-19.100-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.100&CDS=1-2103	YLR143W
OG0002488	snap_masked-LAFA0E-processed-gene-19.116-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.116&CDS=1-1845	YDR164C
OG0002489	snap_masked-LAFA0E-processed-gene-19.102-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.102&CDS=1-534	YLR145W
OG0002490	snap_masked-LAFA0E-processed-gene-19.118-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.118&CDS=1-900	YLR146C
OG0002491	snap_masked-LAFA0E-processed-gene-19.103-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.103&CDS=1-1356	YDR165W
OG0002492	snap_masked-LAFA0E-processed-gene-19.120-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.120&CDS=1-2688	YDR166C
OG0002493	snap_masked-LAFA0E-processed-gene-19.121-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.121&CDS=1-306	YLR147C
OG0002494	snap_masked-LAFA0E-processed-gene-19.105-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.105&CDS=1-2730	YLR148W
OG0002495	snap_masked-LAFA0E-processed-gene-19.106-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.106&CDS=1-594	YDR167W
OG0002496	snap_masked-LAFA0E-processed-gene-19.107-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.107&CDS=1-1470	YDR168W
OG0002497	snap_masked-LAFA0E-processed-gene-19.122-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.122&CDS=1-2025	YLR149C
OG0002498	augustus_masked-LAFA0E-processed-gene-19.79-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-19.79&CDS=1-1464	YDR169C
OG0002499	augustus_masked-LAFA0E-processed-gene-19.66-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-19.66&CDS=1-819	YLR150W
OG0002500	maker-LAFA0E-augustus-gene-19.44-mRNA-1_1&gene=maker-LAFA0E-augustus-gene-19.44&CDS=1-2751	YLR152C
OG0002501	snap_masked-LAFA0E-processed-gene-19.126-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.126&CDS=1-2043	YLR153C
