	Pachysolen_tannophilus	Saccharomyces_cerevisiae
OG0001303	augustus_masked-scaffold_2-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.32&CDS=1-1383	YLL011W
OG0001304	augustus_masked-scaffold_2-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.34&CDS=1-1794	YDR244W
OG0001305	augustus_masked-scaffold_2-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.35&CDS=1-2454	YLR337C
OG0001306	maker-scaffold_2-augustus-gene-4.13-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-4.13&CDS=1-642	YGR029W
OG0001307	snap_masked-scaffold_2-processed-gene-4.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.95&CDS=1-882	YPL134C
OG0001308	augustus_masked-scaffold_2-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.36&CDS=1-804	YML014W
OG0001309	augustus_masked-scaffold_2-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.37&CDS=1-594	YML011C
OG0001310	augustus_masked-scaffold_2-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.54&CDS=1-627	YML012W
OG0001311	augustus_masked-scaffold_2-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.58&CDS=1-3132	YML010W
OG0001312	augustus_masked-scaffold_2-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.64&CDS=1-2319	YDR440W
OG0001313	augustus_masked-scaffold_2-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.84&CDS=1-1113	YML021C
OG0001314	augustus_masked-scaffold_2-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.65&CDS=1-2184	YML020W
OG0001315	augustus_masked-scaffold_2-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.85&CDS=1-432	YIL098C
OG0001316	augustus_masked-scaffold_2-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.86&CDS=1-264	YBL029C-A
OG0001317	augustus_masked-scaffold_2-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.88&CDS=1-1335	YDR448W
OG0001318	augustus_masked-scaffold_2-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.70&CDS=1-2358	YDR452W
OG0001319	augustus_masked-scaffold_2-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.91&CDS=1-2820	YPR019W
OG0001320	augustus_masked-scaffold_2-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.93&CDS=1-3324	YHR098C
OG0001321	augustus_masked-scaffold_2-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.75&CDS=1-966	YPL069C
OG0001322	augustus_masked-scaffold_2-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.76&CDS=1-2295	YOL070C
OG0001323	augustus_masked-scaffold_2-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.78&CDS=1-882	YML025C
OG0001324	augustus_masked-scaffold_2-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.97&CDS=1-2466	YOR138C
OG0001325	augustus_masked-scaffold_2-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.106&CDS=1-573	YDR339C
OG0001326	augustus_masked-scaffold_2-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.107&CDS=1-11766	YHR099W
OG0001327	maker-scaffold_2-augustus-gene-6.100-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-6.100&CDS=1-627	YHR100C
OG0001328	augustus_masked-scaffold_2-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.108&CDS=1-2085	YDR266C
OG0001329	maker-scaffold_2-augustus-gene-6.101-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-6.101&CDS=1-1029	YDR265W
OG0001330	augustus_masked-scaffold_2-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.129&CDS=1-2205	YDR419W
OG0001331	augustus_masked-scaffold_2-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.109&CDS=1-1188	YDR414C
OG0001332	augustus_masked-scaffold_2-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.130&CDS=1-798	YDR412W
OG0001333	augustus_masked-scaffold_2-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.110&CDS=1-1410	YOR351C
OG0001334	augustus_masked-scaffold_2-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.112&CDS=1-5064	YDR334W
OG0001335	augustus_masked-scaffold_2-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.132&CDS=1-333	YHR087W
OG0001336	genemark-scaffold_2-processed-gene-6.53-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.53&CDS=1-804	YHR038W
OG0001337	augustus_masked-scaffold_2-processed-gene-6.135-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.135&CDS=1-1896	YHR039C
OG0001338	augustus_masked-scaffold_2-processed-gene-6.136-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.136&CDS=1-756	YHR085W
OG0001339	augustus_masked-scaffold_2-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.114&CDS=1-2205	YDR333C
OG0001340	augustus_masked-scaffold_2-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.137&CDS=1-339	YHR039C-A
OG0001341	augustus_masked-scaffold_2-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.115&CDS=1-957	YHR040W
OG0001342	augustus_masked-scaffold_2-processed-gene-6.138-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.138&CDS=1-1485	YGL097W
OG0001343	augustus_masked-scaffold_2-processed-gene-6.139-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.139&CDS=1-1704	YBR248C
OG0001344	augustus_masked-scaffold_2-processed-gene-6.140-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.140&CDS=1-1092	YBR249C
OG0001345	augustus_masked-scaffold_2-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.119&CDS=1-1779	YER036C
OG0001346	maker-scaffold_2-augustus-gene-6.98-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-6.98&CDS=1-984	YGL136C
OG0001347	augustus_masked-scaffold_2-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.143&CDS=1-2577	YGL137W
OG0001348	augustus_masked-scaffold_2-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.122&CDS=1-570	YPL218W
OG0001349	augustus_masked-scaffold_2-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.144&CDS=1-3627	YPL217C
OG0001350	maker-scaffold_2-snap-gene-7.158-mRNA-1_1&gene=maker-scaffold_2-snap-gene-7.158&CDS=1-3942	YER090W
OG0001351	maker-scaffold_2-augustus-gene-7.150-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-7.150&CDS=1-4950	YML103C
OG0001352	augustus_masked-scaffold_2-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.79&CDS=1-3042	YMR268C
OG0001353	augustus_masked-scaffold_2-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.60&CDS=1-627	YMR269W
OG0001354	augustus_masked-scaffold_2-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.80&CDS=1-3882	YML104C
OG0001355	maker-scaffold_2-augustus-gene-7.154-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-7.154&CDS=1-2793	YBL023C
OG0001356	augustus_masked-scaffold_2-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.61&CDS=1-1437	YDL006W
OG0001357	augustus_masked-scaffold_2-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.84&CDS=1-951	YBR141C
OG0001358	augustus_masked-scaffold_2-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.63&CDS=1-2265	YBR142W
OG0001359	augustus_masked-scaffold_2-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.86&CDS=1-783	YNL305C
OG0001360	snap_masked-scaffold_2-processed-gene-7.115-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.115&CDS=1-465	YOR298C-A
OG0001361	augustus_masked-scaffold_2-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.68&CDS=1-1266	YMR235C
OG0001362	genemark-scaffold_2-processed-gene-7.41-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.41&CDS=1-1329	YOR298W
OG0001363	augustus_masked-scaffold_2-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.69&CDS=1-2610	YPR112C
OG0001364	augustus_masked-scaffold_2-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.92&CDS=1-1809	YGR103W
OG0001365	augustus_masked-scaffold_2-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.70&CDS=1-825	YGR104C
OG0001366	genemark-scaffold_2-processed-gene-7.43-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.43&CDS=1-501	YGR102C
OG0001367	augustus_masked-scaffold_2-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.71&CDS=1-1578	YNL280C
OG0001368	augustus_masked-scaffold_2-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.73&CDS=1-621	YDR476C
OG0001369	augustus_masked-scaffold_2-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.74&CDS=1-609	YFR001W
OG0001370	augustus_masked-scaffold_2-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.98&CDS=1-1785	YOR027W
OG0001371	snap_masked-scaffold_2-processed-gene-7.126-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.126&CDS=1-1443	YDR257C
OG0001372	augustus_masked-scaffold_2-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.77&CDS=1-1626	YDL178W
OG0001373	augustus_masked-scaffold_2-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.100&CDS=1-1533	YHR004C
OG0001374	augustus_masked-scaffold_2-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.105&CDS=1-1164	YKL080W
OG0001375	augustus_masked-scaffold_2-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.101&CDS=1-1353	YKL082C
OG0001376	augustus_masked-scaffold_2-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.102&CDS=1-642	YMR069W
OG0001377	augustus_masked-scaffold_2-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.103&CDS=1-2094	YNR039C
OG0001378	augustus_masked-scaffold_2-processed-gene-8.106-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.106&CDS=1-2601	YMR066W
OG0001379	augustus_masked-scaffold_2-processed-gene-8.125-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.125&CDS=1-894	YKL024C
OG0001380	maker-scaffold_2-augustus-gene-8.85-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-8.85&CDS=1-1482	YMR067C
OG0001381	augustus_masked-scaffold_2-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.109&CDS=1-2253	YGL145W
OG0001382	augustus_masked-scaffold_2-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.126&CDS=1-2184	YGL144C
OG0001383	augustus_masked-scaffold_2-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.110&CDS=1-984	YDL108W
OG0001384	maker-scaffold_2-augustus-gene-8.86-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-8.86&CDS=1-624	YMR159C
OG0001385	augustus_masked-scaffold_2-processed-gene-8.113-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.113&CDS=1-4383	YDL112W
OG0001386	augustus_masked-scaffold_2-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.114&CDS=1-849	YDL111C
OG0001387	augustus_masked-scaffold_2-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.128&CDS=1-627	YDL110C
OG0001388	augustus_masked-scaffold_2-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.129&CDS=1-1473	YGR175C
OG0001389	maker-scaffold_2-snap-gene-8.98-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.98&CDS=1-195	YML081C-A
OG0001390	augustus_masked-scaffold_2-processed-gene-8.133-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.133&CDS=1-741	YJR129C
OG0001391	augustus_masked-scaffold_2-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.117&CDS=1-666	YIR029W
OG0001392	augustus_masked-scaffold_2-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.118&CDS=1-969	YGR127W
OG0001393	augustus_masked-scaffold_2-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.119&CDS=1-2085	YLR117C
OG0001394	augustus_masked-scaffold_2-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.122&CDS=1-1335	YLR303W
OG0001395	augustus_masked-scaffold_2-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.124&CDS=1-8343	YGL195W
OG0001396	augustus_masked-scaffold_2-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.79&CDS=1-1191	YPL076W
OG0001397	augustus_masked-scaffold_2-processed-gene-9.81-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.81&CDS=1-2394	YBR198C
OG0001398	augustus_masked-scaffold_2-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.82&CDS=1-1926	YGL252C
OG0001399	genemark-scaffold_2-processed-gene-9.39-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.39&CDS=1-399	YOL026C
OG0001400	snap_masked-scaffold_2-processed-gene-9.5-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.5&CDS=1-1437	YBR279W
OG0001401	augustus_masked-scaffold_2-processed-gene-9.98-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.98&CDS=1-1980	YJL090C
OG0001402	maker-scaffold_2-snap-gene-9.75-mRNA-1_1&gene=maker-scaffold_2-snap-gene-9.75&CDS=1-2796	YBR268W
OG0001403	augustus_masked-scaffold_2-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.99&CDS=1-459	YBR269C
OG0001404	genemark-scaffold_2-processed-gene-9.46-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.46&CDS=1-2631	YJL062W
OG0001405	augustus_masked-scaffold_2-processed-gene-9.100-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.100&CDS=1-1272	YBR267W
OG0001406	augustus_masked-scaffold_2-processed-gene-9.101-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.101&CDS=1-2316	YOR001W
OG0001407	augustus_masked-scaffold_2-processed-gene-9.102-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.102&CDS=1-3165	YCR011C
OG0001408	augustus_masked-scaffold_2-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.104&CDS=1-1806	YOR132W
OG0001409	augustus_masked-scaffold_2-processed-gene-9.87-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.87&CDS=1-705	YOR131C
OG0001410	genemark-scaffold_2-processed-gene-9.65-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.65&CDS=1-1950	YBR288C
OG0001411	augustus_masked-scaffold_2-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.88&CDS=1-1689	YGR110W
OG0001412	augustus_masked-scaffold_2-processed-gene-9.106-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.106&CDS=1-2100	YOR317W
OG0001413	augustus_masked-scaffold_2-processed-gene-9.89-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.89&CDS=1-321	YMR244C-A
OG0001414	augustus_masked-scaffold_2-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.107&CDS=1-540	YNL164C
OG0001415	augustus_masked-scaffold_2-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.90&CDS=1-1002	YHR142W
OG0001416	augustus_masked-scaffold_2-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.91&CDS=1-3144	YNL163C
OG0001417	maker-scaffold_2-augustus-gene-9.78-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-9.78&CDS=1-1830	YGR276C
OG0001418	augustus_masked-scaffold_2-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.94&CDS=1-3447	YGR274C
OG0001419	augustus_masked-scaffold_2-processed-gene-9.111-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.111&CDS=1-1620	YFR021W
OG0001420	augustus_masked-scaffold_2-processed-gene-9.112-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.112&CDS=1-2421	YPR089W
OG0001421	augustus_masked-scaffold_2-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.96&CDS=1-504	YMR022W
OG0001422	augustus_masked-scaffold_2-processed-gene-9.97-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.97&CDS=1-4011	YMR012W
OG0001423	augustus_masked-scaffold_2-processed-gene-10.109-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.109&CDS=1-540	YAL033W
OG0001424	augustus_masked-scaffold_2-processed-gene-10.111-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.111&CDS=1-1467	YAL032C
OG0001425	augustus_masked-scaffold_2-processed-gene-10.110-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.110&CDS=1-1263	YGL211W
OG0001426	augustus_masked-scaffold_2-processed-gene-10.112-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.112&CDS=1-6627	YFL007W
OG0001427	augustus_masked-scaffold_2-processed-gene-10.133-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.133&CDS=1-4518	YOR336W
OG0001428	maker-scaffold_2-snap-gene-10.91-mRNA-1_1&gene=maker-scaffold_2-snap-gene-10.91&CDS=1-1758	YBR227C
OG0001429	augustus_masked-scaffold_2-processed-gene-10.114-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.114&CDS=1-2253	YBR080C
OG0001430	maker-scaffold_2-snap-gene-10.92-mRNA-1_1&gene=maker-scaffold_2-snap-gene-10.92&CDS=1-3312	YBR079C
OG0001431	augustus_masked-scaffold_2-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.118&CDS=1-705	YOL111C
OG0001432	augustus_masked-scaffold_2-processed-gene-10.135-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.135&CDS=1-750	YDR050C
OG0001433	augustus_masked-scaffold_2-processed-gene-10.136-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.136&CDS=1-852	YDR051C
OG0001434	augustus_masked-scaffold_2-processed-gene-10.138-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.138&CDS=1-939	YBR061C
OG0001435	augustus_masked-scaffold_2-processed-gene-10.120-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.120&CDS=1-1020	YDR041W
OG0001436	augustus_masked-scaffold_2-processed-gene-10.139-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.139&CDS=1-702	YBR062C
OG0001437	augustus_masked-scaffold_2-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.140&CDS=1-744	YBR070C
OG0001438	augustus_masked-scaffold_2-processed-gene-10.141-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.141&CDS=1-966	YBR065C
OG0001439	maker-scaffold_2-augustus-gene-10.101-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-10.101&CDS=1-3306	YJL187C
OG0001440	augustus_masked-scaffold_2-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.124&CDS=1-1305	YIL113W
OG0001441	augustus_masked-scaffold_2-processed-gene-10.126-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.126&CDS=1-795	YNL050C
OG0001442	augustus_masked-scaffold_2-processed-gene-10.144-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.144&CDS=1-1245	YNL051W
OG0001443	snap_masked-scaffold_2-processed-gene-10.37-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.37&CDS=1-1125	YIL110W
OG0001444	augustus_masked-scaffold_2-processed-gene-10.146-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.146&CDS=1-2916	YNL049C
OG0001445	augustus_masked-scaffold_2-processed-gene-10.147-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.147&CDS=1-2187	YIL108W
OG0001446	augustus_masked-scaffold_2-processed-gene-10.149-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.149&CDS=1-2199	YFR015C
OG0001447	augustus_masked-scaffold_2-processed-gene-10.128-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.128&CDS=1-2106	YGL166W
OG0001448	augustus_masked-scaffold_2-processed-gene-10.130-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.130&CDS=1-861	YLR064W
OG0001449	augustus_masked-scaffold_2-processed-gene-10.132-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.132&CDS=1-618	YFL038C
OG0001450	augustus_masked-scaffold_2-processed-gene-11.63-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.63&CDS=1-2076	YJL010C
OG0001451	augustus_masked-scaffold_2-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.82&CDS=1-762	YPL002C
OG0001452	augustus_masked-scaffold_2-processed-gene-11.66-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.66&CDS=1-2319	YBR260C
OG0001453	augustus_masked-scaffold_2-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.67&CDS=1-441	YDL235C
OG0001454	augustus_masked-scaffold_2-processed-gene-11.84-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.84&CDS=1-900	YDL236W
OG0001455	maker-scaffold_2-augustus-gene-11.10-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-11.10&CDS=1-2679	YNL220W
OG0001456	maker-scaffold_2-augustus-gene-11.11-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-11.11&CDS=1-267	YLR390W
OG0001457	augustus_masked-scaffold_2-processed-gene-11.88-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.88&CDS=1-2409	YLR397C
OG0001458	augustus_masked-scaffold_2-processed-gene-11.73-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.73&CDS=1-2736	YBR281C
OG0001459	augustus_masked-scaffold_2-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.74&CDS=1-1842	YBR280C
OG0001460	augustus_masked-scaffold_2-processed-gene-11.91-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.91&CDS=1-429	YGL106W
OG0001461	augustus_masked-scaffold_2-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.76&CDS=1-1140	YBR246W
OG0001462	augustus_masked-scaffold_2-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.78&CDS=1-1026	YGL091C
OG0001463	augustus_masked-scaffold_2-processed-gene-11.95-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.95&CDS=1-5289	YGL092W
OG0001464	augustus_masked-scaffold_2-processed-gene-11.96-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.96&CDS=1-1032	YER142C
OG0001465	augustus_masked-scaffold_2-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.79&CDS=1-609	YDR067C
OG0001466	augustus_masked-scaffold_2-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.97&CDS=1-1302	YER143W
OG0001467	augustus_masked-scaffold_2-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.81&CDS=1-885	YOL077C
OG0001468	augustus_masked-scaffold_2-processed-gene-11.103-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.103&CDS=1-201	YOL077W-A
OG0001469	augustus_masked-scaffold_2-processed-gene-12.97-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.97&CDS=1-2946	YOL078W
OG0001470	augustus_masked-scaffold_2-processed-gene-12.98-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.98&CDS=1-930	YOL080C
OG0001471	augustus_masked-scaffold_2-processed-gene-12.102-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.102&CDS=1-1260	YOL097C
OG0001472	augustus_masked-scaffold_2-processed-gene-12.118-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.118&CDS=1-630	YDR487C
OG0001473	augustus_masked-scaffold_2-processed-gene-12.103-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.103&CDS=1-651	YDR486C
OG0001474	augustus_masked-scaffold_2-processed-gene-12.119-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.119&CDS=1-948	YOL096C
OG0001475	augustus_masked-scaffold_2-processed-gene-12.104-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.104&CDS=1-2451	YDR485C
OG0001476	augustus_masked-scaffold_2-processed-gene-12.120-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.120&CDS=1-1296	YJL060W
OG0001477	augustus_masked-scaffold_2-processed-gene-12.121-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.121&CDS=1-2079	YOL057W
