	Saccharomyces_cerevisiae	yHMPu5000041833_Candida_tammaniensis
OG0001214	YER026C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.113-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.113&CDS=1-798
OG0001215	YER027C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-13.95-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-13.95&CDS=1-1137
OG0001216	YER029C	augustus_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.37&CDS=1-495
OG0001217	YER036C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.159-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.159&CDS=1-1830
OG0001218	YER042W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.109&CDS=1-558
OG0001219	YER043C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-12.119-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-12.119&CDS=1-1347
OG0001220	YER044C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.78-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.78&CDS=1-411
OG0001221	YER046W	genemark-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.137-mRNA-1_1&gene=genemark-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.137&CDS=1-561
OG0001222	YER047C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.48-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.48&CDS=1-2103
OG0001223	YER048C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.105-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.105&CDS=1-1428
OG0001224	YER048W-A	maker-NODE_4_length_917969_cov_39.8804_ID_5033-snap-gene-7.56-mRNA-1_1&gene=maker-NODE_4_length_917969_cov_39.8804_ID_5033-snap-gene-7.56&CDS=1-255
OG0001225	YER049W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-5.25&CDS=1-1773
OG0001226	YER050C	genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-2.13-mRNA-1_1&gene=genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-2.13&CDS=1-714
OG0001227	YER051W	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-2.46-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-2.46&CDS=1-1398
OG0001228	YER052C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-5.49-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-5.49&CDS=1-1566
OG0001229	YER053C	maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-4.2-mRNA-1_1&gene=maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-4.2&CDS=1-2046
OG0001230	YER055C	maker-NODE_16_length_146000_cov_112.095_ID_4313-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_16_length_146000_cov_112.095_ID_4313-snap-gene-0.0&CDS=1-903
OG0001231	YER058W	augustus_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.268-mRNA-1_1&gene=augustus_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.268&CDS=1-264
OG0001232	YER061C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.179-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.179&CDS=1-1275
OG0001233	YER065C	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-2.0-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-2.0&CDS=1-1653
OG0001234	YER069W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.23-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.23&CDS=1-2529
OG0001235	YER070W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.98-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.98&CDS=1-2580
OG0001236	YER072W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-4.127-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-4.127&CDS=1-339
OG0001237	YER074W-A	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-4.139-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-4.139&CDS=1-237
OG0001238	YER077C	augustus_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.41&CDS=1-1917
OG0001239	YER078C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.50-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.50&CDS=1-1491
OG0001240	YER080W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.8-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.8&CDS=1-1866
OG0001241	YER082C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.111-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.111&CDS=1-1542
OG0001242	YER083C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.86-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.86&CDS=1-900
OG0001243	YER086W	genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.64-mRNA-1_1&gene=genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.64&CDS=1-1710
OG0001244	YER087W	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-1.1&CDS=1-1518
OG0001245	YER090W	maker-NODE_11_length_319508_cov_75.386_ID_2522-snap-gene-1.126-mRNA-1_1&gene=maker-NODE_11_length_319508_cov_75.386_ID_2522-snap-gene-1.126&CDS=1-1536
OG0001246	YER091C	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-1.24&CDS=1-2301
OG0001247	YER093C	genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-4.102-mRNA-1_1&gene=genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-4.102&CDS=1-3162
OG0001248	YER093C-A	genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-0.105&CDS=1-438
OG0001249	YER094C	maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-6.54-mRNA-1_1&gene=maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-6.54&CDS=1-615
OG0001250	YER095W	snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.7&CDS=1-1011
OG0001251	YER107C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.54-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.54&CDS=1-1098
OG0001252	YER109C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.52-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.52&CDS=1-1986
OG0001253	YER110C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.36-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.36&CDS=1-3321
OG0001254	YER112W	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.76-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.76&CDS=1-402
OG0001255	YER113C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-11.32-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-11.32&CDS=1-1986
OG0001256	YER114C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-11.34-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-11.34&CDS=1-2814
OG0001257	YER118C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-2.111-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-2.111&CDS=1-933
OG0001258	YER122C	genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-1.137-mRNA-1_1&gene=genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-1.137&CDS=1-1338
OG0001259	YER124C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.56-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.56&CDS=1-1809
OG0001260	YER125W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.57-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.57&CDS=1-2355
OG0001261	YER126C	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.100-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.100&CDS=1-783
OG0001262	YER127W	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.102&CDS=1-945
OG0001263	YER133W	maker-NODE_8_length_665094_cov_63.8761_ID_4166-snap-gene-5.5-mRNA-1_1&gene=maker-NODE_8_length_665094_cov_63.8761_ID_4166-snap-gene-5.5&CDS=1-1194
OG0001264	YER134C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-14.106-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-14.106&CDS=1-507
OG0001265	YER136W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.67&CDS=1-1335
OG0001266	YER140W	snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.59&CDS=1-1791
OG0001267	YER141W	snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.14&CDS=1-1356
OG0001268	YER142C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.91-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.91&CDS=1-996
OG0001269	YER143W	genemark-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.155-mRNA-1_1&gene=genemark-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.155&CDS=1-1470
OG0001270	YER148W	genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.285-mRNA-1_1&gene=genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.285&CDS=1-711
OG0001271	YER151C	snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-2.101-mRNA-1_1&gene=snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-2.101&CDS=1-2310
OG0001272	YER152C	maker-NODE_9_length_422362_cov_41.9648_ID_2612-augustus-gene-2.119-mRNA-1_1&gene=maker-NODE_9_length_422362_cov_41.9648_ID_2612-augustus-gene-2.119&CDS=1-2181
OG0001273	YER154W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-0.93&CDS=1-1107
OG0001274	YER155C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-0.109&CDS=1-5382
OG0001275	YER157W	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.75&CDS=1-2343
OG0001276	YER159C	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.122-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.122&CDS=1-378
OG0001277	YER162C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-10.71-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-10.71&CDS=1-2811
OG0001278	YER163C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.22-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.22&CDS=1-732
OG0001279	YER164W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-1.9-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-1.9&CDS=1-4107
OG0001280	YER165W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-1.10&CDS=1-1965
OG0001281	YER169W	snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-1.140-mRNA-1_1&gene=snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-1.140&CDS=1-2115
OG0001282	YER171W	maker-NODE_4_length_917969_cov_39.8804_ID_5033-snap-gene-1.149-mRNA-1_1&gene=maker-NODE_4_length_917969_cov_39.8804_ID_5033-snap-gene-1.149&CDS=1-3027
OG0001283	YER172C	maker-NODE_4_length_917969_cov_39.8804_ID_5033-augustus-gene-1.143-mRNA-1_1&gene=maker-NODE_4_length_917969_cov_39.8804_ID_5033-augustus-gene-1.143&CDS=1-8400
OG0001284	YER173W	snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-1.139-mRNA-1_1&gene=snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-1.139&CDS=1-1551
OG0001285	YER174C	snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-1.113-mRNA-1_1&gene=snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-1.113&CDS=1-720
OG0001286	YER175C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-11.19-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-11.19&CDS=1-825
OG0001287	YER176W	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.92-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.92&CDS=1-5001
OG0001288	YER183C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-4.169-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-4.169&CDS=1-618
OG0001289	YFL001W	augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.119&CDS=1-1278
OG0001290	YFL002C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.44-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.44&CDS=1-1812
OG0001291	YFL007W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.133-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.133&CDS=1-6651
OG0001292	YFL008W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.0-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.0&CDS=1-3714
OG0001293	YFL010C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.79&CDS=1-648
OG0001294	YFL013C	augustus_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-10.30-mRNA-1_1&gene=augustus_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-10.30&CDS=1-1905
OG0001295	YFL014W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-6.58-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-6.58&CDS=1-360
OG0001296	YFL016C	genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.127-mRNA-1_1&gene=genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.127&CDS=1-1374
OG0001297	YFL018C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-3.138-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-3.138&CDS=1-1470
OG0001298	YFL022C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-3.137-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-3.137&CDS=1-1482
OG0001299	YFL024C	snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.12&CDS=1-2577
OG0001300	YFL027C	genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-2.90-mRNA-1_1&gene=genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-2.90&CDS=1-2010
OG0001301	YFL028C	maker-NODE_7_length_799497_cov_58.68_ID_3495-augustus-gene-2.164-mRNA-1_1&gene=maker-NODE_7_length_799497_cov_58.68_ID_3495-augustus-gene-2.164&CDS=1-3642
OG0001302	YFL030W	snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.100-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.100&CDS=1-1239
OG0001303	YFL033C	augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-0.42&CDS=1-5169
OG0001304	YFL034C-B	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.7-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.7&CDS=1-888
OG0001305	YFL034W	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.45-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.45&CDS=1-2655
OG0001306	YFL036W	augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.126&CDS=1-3981
OG0001307	YFL037W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.8-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.8&CDS=1-1338
OG0001308	YFL038C	maker-NODE_6_length_830418_cov_53.4946_ID_3973-augustus-gene-5.133-mRNA-1_1&gene=maker-NODE_6_length_830418_cov_53.4946_ID_3973-augustus-gene-5.133&CDS=1-2001
OG0001309	YFL045C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-3.146-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-3.146&CDS=1-756
OG0001310	YFL047W	snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.262-mRNA-1_1&gene=snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.262&CDS=1-2619
OG0001311	YFL053W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.78-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.78&CDS=1-1776
OG0001312	YFL055W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.90-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.90&CDS=1-1521
OG0001313	YFR001W	genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.91-mRNA-1_1&gene=genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.91&CDS=1-606
OG0001314	YFR002W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-6.68-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-6.68&CDS=1-2802
OG0001315	YFR004W	genemark-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.154-mRNA-1_1&gene=genemark-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.154&CDS=1-1188
OG0001316	YFR006W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.66&CDS=1-1383
OG0001317	YFR009W	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.127-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.127&CDS=1-3384
OG0001318	YFR010W	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.108-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.108&CDS=1-1425
OG0001319	YFR011C	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.126-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.126&CDS=1-447
OG0001320	YFR015C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.124-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.124&CDS=1-2112
OG0001321	YFR016C	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.78&CDS=1-2286
OG0001322	YFR019W	genemark-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.89-mRNA-1_1&gene=genemark-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.89&CDS=1-6591
OG0001323	YFR020W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.123-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.123&CDS=1-453
OG0001324	YFR021W	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.101-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.101&CDS=1-2457
OG0001325	YFR024C-A	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.185-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.185&CDS=1-1209
OG0001326	YFR025C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-11.125-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-11.125&CDS=1-930
OG0001327	YFR027W	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.48-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.48&CDS=1-726
OG0001328	YFR028C	snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.61&CDS=1-1635
OG0001329	YFR029W	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-0.57&CDS=1-1983
OG0001330	YFR030W	snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-3.54&CDS=1-3342
OG0001331	YFR031C	genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-3.124-mRNA-1_1&gene=genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-3.124&CDS=1-6573
OG0001332	YFR032C	maker-NODE_5_length_905678_cov_45.6404_ID_4750-snap-gene-0.127-mRNA-1_1&gene=maker-NODE_5_length_905678_cov_45.6404_ID_4750-snap-gene-0.127&CDS=1-843
OG0001333	YFR032C-A	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.45&CDS=1-186
OG0001334	YFR033C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.140-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.140&CDS=1-468
OG0001335	YFR034C	genemark-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-5.95-mRNA-1_1&gene=genemark-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-5.95&CDS=1-1158
OG0001336	YFR037C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-3.116-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-3.116&CDS=1-1653
