	Geotrichum_candidum	Saccharomyces_cerevisiae
OG0000914	genemark-CCBN010000001.1-processed-gene-5.49-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.49&CDS=1-1161	YLR100W
OG0000915	genemark-CCBN010000001.1-processed-gene-5.67-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.67&CDS=1-2757	YOL078W
OG0000916	genemark-CCBN010000001.1-processed-gene-5.68-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.68&CDS=1-876	YOL077C
OG0000917	genemark-CCBN010000001.1-processed-gene-5.71-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.71&CDS=1-2391	YBL020W
OG0000918	genemark-CCBN010000001.1-processed-gene-5.72-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.72&CDS=1-4074	YDR301W
OG0000919	genemark-CCBN010000001.1-processed-gene-5.52-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.52&CDS=1-864	YBR101C
OG0000920	genemark-CCBN010000001.1-processed-gene-5.53-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.53&CDS=1-1842	YML032C
OG0000921	augustus_masked-CCBN010000001.1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-5.108&CDS=1-1104	YLR394W
OG0000922	maker-CCBN010000001.1-snap-gene-5.41-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-5.41&CDS=1-1509	YLR149C
OG0000923	genemark-CCBN010000001.1-processed-gene-5.75-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.75&CDS=1-573	YLR229C
OG0000924	genemark-CCBN010000001.1-processed-gene-5.61-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.61&CDS=1-1581	YDR330W
OG0000925	genemark-CCBN010000001.1-processed-gene-5.62-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.62&CDS=1-1221	YDR331W
OG0000926	genemark-CCBN010000001.1-processed-gene-6.34-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-6.34&CDS=1-1191	YPL154C
OG0000927	genemark-CCBN010000001.1-processed-gene-6.49-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-6.49&CDS=1-921	YDL236W
OG0000928	snap_masked-CCBN010000001.1-processed-gene-6.74-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-6.74&CDS=1-3480	YLR318W
OG0000929	genemark-CCBN010000001.1-processed-gene-6.51-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-6.51&CDS=1-1098	YLR321C
OG0000930	snap_masked-CCBN010000001.1-processed-gene-6.91-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-6.91&CDS=1-1974	YPL109C
OG0000931	genemark-CCBN010000001.1-processed-gene-6.61-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-6.61&CDS=1-1950	YNL061W
OG0000932	genemark-CCBN010000001.1-processed-gene-7.5-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.5&CDS=1-702	YDR196C
OG0000933	genemark-CCBN010000001.1-processed-gene-7.6-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.6&CDS=1-1125	YDR198C
OG0000934	genemark-CCBN010000001.1-processed-gene-7.0-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.0&CDS=1-849	YLR239C
OG0000935	genemark-CCBN010000001.1-processed-gene-7.1-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.1&CDS=1-759	YLR201C
OG0000936	genemark-CCBN010000001.1-processed-gene-7.2-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.2&CDS=1-762	YDR204W
OG0000937	augustus_masked-CCBN010000001.1-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-7.34&CDS=1-459	YDL169C
OG0000938	genemark-CCBN010000001.1-processed-gene-7.9-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.9&CDS=1-2661	YNL267W
OG0000939	genemark-CCBN010000001.1-processed-gene-7.27-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.27&CDS=1-573	YGR082W
OG0000940	genemark-CCBN010000001.1-processed-gene-7.11-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.11&CDS=1-546	YBR072W
OG0000941	snap_masked-CCBN010000001.1-processed-gene-7.72-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-7.72&CDS=1-1344	YJR117W
OG0000942	genemark-CCBN010000001.1-processed-gene-7.28-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.28&CDS=1-1386	YGR149W
OG0000943	genemark-CCBN010000001.1-processed-gene-8.4-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-8.4&CDS=1-1563	YCR068W
OG0000944	genemark-CCBN010000001.1-processed-gene-8.23-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-8.23&CDS=1-645	YLR268W
OG0000945	snap_masked-CCBN010000001.1-processed-gene-8.75-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-8.75&CDS=1-2244	YNL247W
OG0000946	snap_masked-CCBN010000001.1-processed-gene-8.77-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-8.77&CDS=1-780	YBR040W
OG0000947	genemark-CCBN010000001.1-processed-gene-8.9-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-8.9&CDS=1-1773	YOL013C
OG0000948	snap_masked-CCBN010000001.1-processed-gene-8.82-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-8.82&CDS=1-225	YLR390W
OG0000949	snap_masked-CCBN010000001.1-processed-gene-8.95-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-8.95&CDS=1-285	YBR268W
OG0000950	snap_masked-CCBN010000001.1-processed-gene-8.83-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-8.83&CDS=1-1788	YDL063C
OG0000951	genemark-CCBN010000001.1-processed-gene-8.27-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-8.27&CDS=1-1968	YDR484W
OG0000952	genemark-CCBN010000001.1-processed-gene-8.32-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-8.32&CDS=1-441	YBR082C
OG0000953	genemark-CCBN010000001.1-processed-gene-9.36-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-9.36&CDS=1-558	YIR001C
OG0000954	maker-CCBN010000001.1-snap-gene-9.2-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-9.2&CDS=1-1752	YMR020W
OG0000955	genemark-CCBN010000001.1-processed-gene-9.41-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-9.41&CDS=1-2319	YGR003W
OG0000956	genemark-CCBN010000001.1-processed-gene-9.42-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-9.42&CDS=1-570	YDL217C
OG0000957	genemark-CCBN010000001.1-processed-gene-9.43-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-9.43&CDS=1-2040	YML127W
OG0000958	genemark-CCBN010000001.1-processed-gene-10.67-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.67&CDS=1-1293	YFR024C-A
OG0000959	genemark-CCBN010000001.1-processed-gene-10.80-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.80&CDS=1-1167	YJL026W
OG0000960	augustus_masked-CCBN010000001.1-processed-gene-10.49-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-10.49&CDS=1-579	YGR078C
OG0000961	snap_masked-CCBN010000001.1-processed-gene-10.5-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-10.5&CDS=1-1602	YHR151C
OG0000962	genemark-CCBN010000001.1-processed-gene-10.85-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.85&CDS=1-1551	YGR225W
OG0000963	genemark-CCBN010000001.1-processed-gene-10.87-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.87&CDS=1-369	YOL133W
OG0000964	genemark-CCBN010000001.1-processed-gene-10.75-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.75&CDS=1-2817	YML093W
OG0000965	snap_masked-CCBN010000001.1-processed-gene-10.27-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-10.27&CDS=1-234	YML129C
OG0000966	genemark-CCBN010000001.1-processed-gene-10.77-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.77&CDS=1-1014	YML004C
OG0000967	snap_masked-CCBN010000001.1-processed-gene-11.80-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-11.80&CDS=1-801	YOR036W
OG0000968	snap_masked-CCBN010000001.1-processed-gene-11.82-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-11.82&CDS=1-2409	YOR022C
OG0000969	genemark-CCBN010000001.1-processed-gene-11.20-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.20&CDS=1-408	YPR020W
OG0000970	genemark-CCBN010000001.1-processed-gene-11.4-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.4&CDS=1-516	YML077W
OG0000971	genemark-CCBN010000001.1-processed-gene-11.5-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.5&CDS=1-1017	YDR162C
OG0000972	genemark-CCBN010000001.1-processed-gene-11.7-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.7&CDS=1-810	YLR323C
OG0000973	genemark-CCBN010000001.1-processed-gene-11.9-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.9&CDS=1-810	YDR405W
OG0000974	genemark-CCBN010000001.1-processed-gene-11.10-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.10&CDS=1-960	YJR142W
OG0000975	genemark-CCBN010000001.1-processed-gene-11.23-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.23&CDS=1-2235	YJR143C
OG0000976	genemark-CCBN010000001.1-processed-gene-11.11-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.11&CDS=1-1734	YMR048W
OG0000977	genemark-CCBN010000001.1-processed-gene-11.12-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.12&CDS=1-1932	YHR202W
OG0000978	genemark-CCBN010000001.1-processed-gene-11.13-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.13&CDS=1-1206	YKL189W
OG0000979	genemark-CCBN010000001.1-processed-gene-11.28-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.28&CDS=1-1863	YLR417W
OG0000980	genemark-CCBN010000001.1-processed-gene-11.29-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.29&CDS=1-876	YOR158W
OG0000981	genemark-CCBN010000001.1-processed-gene-11.30-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.30&CDS=1-1629	YOR161C
OG0000982	genemark-CCBN010000001.1-processed-gene-12.48-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.48&CDS=1-3723	YFL008W
OG0000983	genemark-CCBN010000001.1-processed-gene-12.33-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.33&CDS=1-1902	YAR007C
OG0000984	genemark-CCBN010000001.1-processed-gene-12.50-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.50&CDS=1-315	YOR020C
OG0000985	genemark-CCBN010000001.1-processed-gene-12.41-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.41&CDS=1-339	YKL053C-A
OG0000986	genemark-CCBN010000001.1-processed-gene-12.42-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.42&CDS=1-345	YNL122C
OG0000987	genemark-CCBN010000001.1-processed-gene-13.33-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.33&CDS=1-2262	YNL124W
OG0000988	maker-CCBN010000001.1-snap-gene-13.87-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-13.87&CDS=1-303	YDR378C
OG0000989	genemark-CCBN010000001.1-processed-gene-13.36-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.36&CDS=1-819	YDL052C
OG0000990	genemark-CCBN010000001.1-processed-gene-13.48-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.48&CDS=1-756	YNL129W
OG0000991	genemark-CCBN010000001.1-processed-gene-13.37-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.37&CDS=1-699	YHR122W
OG0000992	augustus_masked-CCBN010000001.1-processed-gene-13.75-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-13.75&CDS=1-2736	YCL045C
OG0000993	genemark-CCBN010000001.1-processed-gene-13.51-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.51&CDS=1-921	YCL044C
OG0000994	genemark-CCBN010000001.1-processed-gene-13.52-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.52&CDS=1-486	YBR022W
OG0000995	genemark-CCBN010000001.1-processed-gene-13.42-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.42&CDS=1-414	YNL111C
OG0000996	genemark-CCBN010000001.1-processed-gene-13.54-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.54&CDS=1-456	YPL225W
OG0000997	genemark-CCBN010000001.1-processed-gene-14.77-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-14.77&CDS=1-924	YDL047W
OG0000998	genemark-CCBN010000001.1-processed-gene-14.81-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-14.81&CDS=1-1719	YMR240C
OG0000999	genemark-CCBN010000001.1-processed-gene-14.83-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-14.83&CDS=1-1494	YOR307C
OG0001000	genemark-CCBN010000001.1-processed-gene-14.94-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-14.94&CDS=1-2826	YMR268C
OG0001001	genemark-CCBN010000001.1-processed-gene-14.84-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-14.84&CDS=1-3168	YML104C
OG0001002	snap_masked-CCBN010000001.1-processed-gene-14.13-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-14.13&CDS=1-864	YOR079C
OG0001003	genemark-CCBN010000001.1-processed-gene-14.99-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-14.99&CDS=1-1230	YKL216W
OG0001004	genemark-CCBN010000001.1-processed-gene-15.49-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.49&CDS=1-921	YMR099C
OG0001005	genemark-CCBN010000001.1-processed-gene-15.50-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.50&CDS=1-741	YOR089C
OG0001006	genemark-CCBN010000001.1-processed-gene-15.54-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.54&CDS=1-429	YMR074C
OG0001007	genemark-CCBN010000001.1-processed-gene-15.58-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.58&CDS=1-1347	YER152C
OG0001008	genemark-CCBN010000001.1-processed-gene-15.63-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.63&CDS=1-1632	YER051W
OG0001009	augustus_masked-CCBN010000001.1-processed-gene-15.48-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-15.48&CDS=1-2241	YNL224C
OG0001010	genemark-CCBN010000001.1-processed-gene-15.64-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.64&CDS=1-1827	YNL223W
OG0001011	maker-CCBN010000001.1-snap-gene-16.55-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-16.55&CDS=1-1542	YOR070C
OG0001012	maker-CCBN010000001.1-snap-gene-16.56-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-16.56&CDS=1-2304	YIL068C
OG0001013	snap_masked-CCBN010000001.1-processed-gene-16.15-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-16.15&CDS=1-201	YER074W-A
OG0001014	genemark-CCBN010000001.1-processed-gene-16.37-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-16.37&CDS=1-1434	YOL125W
OG0001015	genemark-CCBN010000001.1-processed-gene-16.46-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-16.46&CDS=1-2457	YDR258C
OG0001016	genemark-CCBN010000001.1-processed-gene-16.51-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-16.51&CDS=1-207	YLR262C-A
OG0001017	genemark-CCBN010000001.1-processed-gene-16.42-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-16.42&CDS=1-624	YOR294W
OG0001018	maker-CCBN010000001.1-snap-gene-17.51-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-17.51&CDS=1-11250	YHR099W
OG0001019	genemark-CCBN010000001.1-processed-gene-17.1-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.1&CDS=1-1710	YBR132C
OG0001020	genemark-CCBN010000001.1-processed-gene-17.15-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.15&CDS=1-1344	YDR449C
OG0001021	genemark-CCBN010000001.1-processed-gene-17.16-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.16&CDS=1-276	YDR510W
OG0001022	genemark-CCBN010000001.1-processed-gene-17.18-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.18&CDS=1-1107	YEL046C
OG0001023	genemark-CCBN010000001.1-processed-gene-17.5-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.5&CDS=1-3561	YEL043W
OG0001024	genemark-CCBN010000001.1-processed-gene-17.19-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.19&CDS=1-1185	YNL175C
OG0001025	genemark-CCBN010000001.1-processed-gene-17.24-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.24&CDS=1-1143	YBR026C
OG0001026	genemark-CCBN010000001.1-processed-gene-17.10-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.10&CDS=1-1290	YDR083W
OG0001027	genemark-CCBN010000001.1-processed-gene-17.26-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.26&CDS=1-1338	YBR166C
OG0001028	genemark-CCBN010000001.1-processed-gene-17.11-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.11&CDS=1-2316	YER157W
OG0001029	genemark-CCBN010000001.1-processed-gene-18.63-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.63&CDS=1-1368	YNL237W
OG0001030	genemark-CCBN010000001.1-processed-gene-18.65-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.65&CDS=1-3117	YFL025C
OG0001031	genemark-CCBN010000001.1-processed-gene-18.66-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.66&CDS=1-927	YMR241W
OG0001032	genemark-CCBN010000001.1-processed-gene-18.86-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.86&CDS=1-2418	YOR168W
OG0001033	genemark-CCBN010000001.1-processed-gene-18.88-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.88&CDS=1-771	YBR096W
OG0001034	maker-CCBN010000001.1-snap-gene-18.34-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-18.34&CDS=1-3420	YPL265W
OG0001035	snap_masked-CCBN010000001.1-processed-gene-18.31-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-18.31&CDS=1-333	YBL001C
OG0001036	genemark-CCBN010000001.1-processed-gene-18.79-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.79&CDS=1-1860	YNR039C
OG0001037	genemark-CCBN010000001.1-processed-gene-18.80-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.80&CDS=1-1071	YDR354W
OG0001038	genemark-CCBN010000001.1-processed-gene-18.81-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.81&CDS=1-4038	YDR359C
OG0001039	genemark-CCBN010000001.1-processed-gene-19.55-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.55&CDS=1-867	YDR361C
OG0001040	genemark-CCBN010000001.1-processed-gene-19.69-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.69&CDS=1-1239	YOL058W
OG0001041	genemark-CCBN010000001.1-processed-gene-19.58-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.58&CDS=1-1608	YNL011C
OG0001042	genemark-CCBN010000001.1-processed-gene-19.64-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.64&CDS=1-1011	YNL320W
OG0001043	genemark-CCBN010000001.1-processed-gene-19.68-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.68&CDS=1-603	YGL010W
OG0001044	genemark-CCBN010000001.1-processed-gene-19.76-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.76&CDS=1-1395	YGL190C
OG0001045	genemark-CCBN010000001.1-processed-gene-20.36-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-20.36&CDS=1-531	YGL231C
OG0001046	augustus_masked-CCBN010000001.1-processed-gene-20.4-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-20.4&CDS=1-432	YBR167C
OG0001047	maker-CCBN010000001.1-snap-gene-20.49-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-20.49&CDS=1-816	YGL232W
OG0001048	genemark-CCBN010000001.1-processed-gene-20.38-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-20.38&CDS=1-2556	YEL032W
OG0001049	snap_masked-CCBN010000001.1-processed-gene-20.79-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-20.79&CDS=1-1911	YOR017W
OG0001050	augustus_masked-CCBN010000001.1-processed-gene-20.17-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-20.17&CDS=1-1362	YPL259C
OG0001051	genemark-CCBN010000001.1-processed-gene-20.41-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-20.41&CDS=1-711	YER002W
OG0001052	genemark-CCBN010000001.1-processed-gene-20.42-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-20.42&CDS=1-1359	YER003C
OG0001053	genemark-CCBN010000001.1-processed-gene-20.43-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-20.43&CDS=1-546	YOR094W
OG0001054	snap_masked-CCBN010000001.1-processed-gene-21.0-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-21.0&CDS=1-1236	YGL017W
OG0001055	genemark-CCBN010000001.1-processed-gene-21.57-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.57&CDS=1-474	YOR339C
OG0001056	genemark-CCBN010000001.1-processed-gene-21.43-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.43&CDS=1-1803	YPR161C
OG0001057	genemark-CCBN010000001.1-processed-gene-21.60-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.60&CDS=1-207	YDR079C-A
OG0001058	snap_masked-CCBN010000001.1-processed-gene-21.26-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-21.26&CDS=1-2667	YJL092W
OG0001059	genemark-CCBN010000001.1-processed-gene-21.45-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.45&CDS=1-1245	YHR002W
OG0001060	genemark-CCBN010000001.1-processed-gene-21.62-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.62&CDS=1-1494	YKL027W
OG0001061	genemark-CCBN010000001.1-processed-gene-21.63-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.63&CDS=1-1914	YNR008W
OG0001062	genemark-CCBN010000001.1-processed-gene-21.47-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.47&CDS=1-1857	YPL119C
OG0001063	genemark-CCBN010000001.1-processed-gene-21.48-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.48&CDS=1-468	YDL125C
OG0001064	genemark-CCBN010000001.1-processed-gene-21.65-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.65&CDS=1-657	YBR256C
OG0001065	genemark-CCBN010000001.1-processed-gene-21.51-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.51&CDS=1-1089	YDR047W
OG0001066	genemark-CCBN010000001.1-processed-gene-21.67-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.67&CDS=1-1356	YIL022W
OG0001067	snap_masked-CCBN010000001.1-processed-gene-21.19-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-21.19&CDS=1-684	YDR487C
OG0001068	maker-CCBN010000001.1-augustus-gene-21.38-mRNA-1_1&gene=maker-CCBN010000001.1-augustus-gene-21.38&CDS=1-1344	YOL097C
OG0001069	genemark-CCBN010000001.1-processed-gene-21.69-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.69&CDS=1-675	YHR008C
OG0001070	genemark-CCBN010000001.1-processed-gene-21.55-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.55&CDS=1-264	YIL102C-A
OG0001071	maker-CCBN010000001.1-snap-gene-22.34-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-22.34&CDS=1-2079	YDR490C
OG0001072	augustus_masked-CCBN010000001.1-processed-gene-22.2-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-22.2&CDS=1-2967	YER041W
OG0001073	genemark-CCBN010000001.1-processed-gene-22.24-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-22.24&CDS=1-669	YDR468C
OG0001074	maker-CCBN010000001.1-snap-gene-22.35-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-22.35&CDS=1-1806	YDL167C
OG0001075	genemark-CCBN010000001.1-processed-gene-22.25-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-22.25&CDS=1-951	YMR234W
OG0001076	genemark-CCBN010000001.1-processed-gene-22.18-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-22.18&CDS=1-1566	YKR069W
OG0001077	genemark-CCBN010000001.1-processed-gene-22.19-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-22.19&CDS=1-1191	YKR070W
OG0001078	genemark-CCBN010000001.1-processed-gene-22.30-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-22.30&CDS=1-549	YOR052C
OG0001079	genemark-CCBN010000001.1-processed-gene-22.20-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-22.20&CDS=1-5661	YHL030W
OG0001080	genemark-CCBN010000001.1-processed-gene-23.23-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.23&CDS=1-1629	YLL036C
OG0001081	genemark-CCBN010000001.1-processed-gene-23.34-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.34&CDS=1-2703	YJL094C
OG0001082	genemark-CCBN010000001.1-processed-gene-23.29-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.29&CDS=1-1047	YBL016W
OG0001083	genemark-CCBN010000001.1-processed-gene-23.42-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.42&CDS=1-1368	YGR202C
OG0001084	genemark-CCBN010000001.1-processed-gene-23.43-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.43&CDS=1-336	YGR181W
OG0001085	genemark-CCBN010000001.1-processed-gene-23.32-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.32&CDS=1-975	YLR354C
