	Saccharomyces_cerevisiae	yHMPu5000034862_Zygotorulaspora_florentina
OG0001717	YGR150C	augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.172-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.172&CDS=1-2574
OG0001718	YGR152C	augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.209-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.209&CDS=1-699
OG0001719	YGR155W	maker-NODE_7_length_539399_cov_24.5113_ID_13-augustus-gene-4.151-mRNA-1_1&gene=maker-NODE_7_length_539399_cov_24.5113_ID_13-augustus-gene-4.151&CDS=1-2532
OG0001720	YGR156W	augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.181-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.181&CDS=1-1191
OG0001721	YGR157W	augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.182-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.182&CDS=1-2514
OG0001722	YGR159C	augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.214-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.214&CDS=1-1356
OG0001723	YGR161C	augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.216-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.216&CDS=1-684
OG0001724	YGR163W	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.46&CDS=1-1017
OG0001725	YGR165W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.139&CDS=1-2397
OG0001726	YGR167W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.138-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.138&CDS=1-528
OG0001727	YGR168C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.116&CDS=1-1122
OG0001728	YGR169C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.115&CDS=1-1203
OG0001729	YGR170W	maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-3.49-mRNA-1_1&gene=maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-3.49&CDS=1-4851
OG0001730	YGR171C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.98&CDS=1-1701
OG0001731	YGR172C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.99&CDS=1-744
OG0001732	YGR173W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.97&CDS=1-1104
OG0001733	YGR174C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.107&CDS=1-438
OG0001734	YGR175C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.106&CDS=1-1476
OG0001735	YGR178C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.103&CDS=1-2286
OG0001736	YGR179C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.102&CDS=1-1125
OG0001737	YGR181W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.108&CDS=1-306
OG0001738	YGR184C	maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-3.52-mRNA-1_1&gene=maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-3.52&CDS=1-6030
OG0001739	YGR185C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.124&CDS=1-1206
OG0001740	YGR186W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.110&CDS=1-2061
OG0001741	YGR187C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-3.125&CDS=1-1137
OG0001742	YGR189C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.121-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.121&CDS=1-1512
OG0001743	YGR193C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.143&CDS=1-1206
OG0001744	YGR194C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.144-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.144&CDS=1-1728
OG0001745	YGR195W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.128-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.128&CDS=1-738
OG0001746	YGR196C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.147&CDS=1-2505
OG0001747	YGR197C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.148-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.148&CDS=1-1605
OG0001748	YGR198W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.130&CDS=1-2256
OG0001749	YGR200C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.63&CDS=1-2346
OG0001750	YGR202C	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.138-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.138&CDS=1-1311
OG0001751	YGR203W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.64&CDS=1-447
OG0001752	YGR205W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.66-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.66&CDS=1-873
OG0001753	YGR207C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.93&CDS=1-774
OG0001754	YGR208W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.68&CDS=1-912
OG0001755	YGR210C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.95&CDS=1-1236
OG0001756	YGR211W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.71&CDS=1-1527
OG0001757	YGR212W	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.121-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.121&CDS=1-1404
OG0001758	YGR215W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.40&CDS=1-324
OG0001759	YGR216C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.17&CDS=1-1818
OG0001760	YGR217W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.39&CDS=1-6048
OG0001761	YGR218W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.38&CDS=1-3267
OG0001762	YGR220C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.15&CDS=1-819
OG0001763	YGR222W	snap_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.142-mRNA-1_1&gene=snap_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.142&CDS=1-792
OG0001764	YGR223C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.12&CDS=1-1386
OG0001765	YGR225W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.35&CDS=1-1995
OG0001766	YGR227W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.33&CDS=1-1557
OG0001767	YGR229C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.10&CDS=1-1602
OG0001768	YGR230W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.32&CDS=1-468
OG0001769	YGR231C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.9&CDS=1-927
OG0001770	YGR232W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.31&CDS=1-684
OG0001771	YGR233C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.8&CDS=1-3306
OG0001772	YGR234W	augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.7&CDS=1-1194
OG0001773	YGR235C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.6&CDS=1-702
OG0001774	YGR236C	snap_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.109&CDS=1-366
OG0001775	YGR237C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.4&CDS=1-2343
OG0001776	YGR239C	snap_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.104&CDS=1-807
OG0001777	YGR243W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.37&CDS=1-438
OG0001778	YGR245C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.17&CDS=1-3693
OG0001779	YGR246C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.16&CDS=1-1770
OG0001780	YGR252W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.31&CDS=1-1401
OG0001781	YGR253C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.12&CDS=1-780
OG0001782	YGR255C	snap_masked-NODE_19_length_146505_cov_24.2614_ID_37-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_19_length_146505_cov_24.2614_ID_37-processed-gene-0.121&CDS=1-1428
OG0001783	YGR257C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.11&CDS=1-1053
OG0001784	YGR258C	maker-NODE_6_length_562868_cov_24.3835_ID_11-snap-gene-1.85-mRNA-1_1&gene=maker-NODE_6_length_562868_cov_24.3835_ID_11-snap-gene-1.85&CDS=1-2574
OG0001785	YGR260W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.20&CDS=1-1554
OG0001786	YGR261C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.3&CDS=1-2466
OG0001787	YGR262C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.2&CDS=1-789
OG0001788	YGR264C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.1&CDS=1-2250
OG0001789	YGR266W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.4&CDS=1-2121
OG0001790	YGR267C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.57&CDS=1-1404
OG0001791	YGR270W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.70&CDS=1-4062
OG0001792	YGR271C-A	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.55&CDS=1-675
OG0001793	YGR274C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.52&CDS=1-3069
OG0001794	YGR275W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.65&CDS=1-636
OG0001795	YGR276C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.51&CDS=1-2025
OG0001796	YGR277C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.47&CDS=1-864
OG0001797	YGR278W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.63&CDS=1-1707
OG0001798	YGR280C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.45&CDS=1-930
OG0001799	YGR282C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.42&CDS=1-927
OG0001800	YGR284C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.39&CDS=1-924
OG0001801	YGR285C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.38&CDS=1-1299
OG0001802	YGR286C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-1.34&CDS=1-1824
OG0001803	YHL004W	augustus_masked-NODE_30_length_56880_cov_25.094_ID_59-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_30_length_56880_cov_25.094_ID_59-processed-gene-0.3&CDS=1-1233
OG0001804	YHL006C	snap_masked-NODE_30_length_56880_cov_25.094_ID_59-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_30_length_56880_cov_25.094_ID_59-processed-gene-0.42&CDS=1-486
OG0001805	YHL007C	augustus_masked-NODE_30_length_56880_cov_25.094_ID_59-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_30_length_56880_cov_25.094_ID_59-processed-gene-0.13&CDS=1-2961
OG0001806	YHL010C	augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.116&CDS=1-1743
OG0001807	YHL011C	augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.117&CDS=1-960
OG0001808	YHL013C	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.189-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.189&CDS=1-870
OG0001809	YHL015W	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.224-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.224&CDS=1-357
OG0001810	YHL016C	augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.4&CDS=1-2148
OG0001811	YHL018W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-6.126&CDS=1-327
OG0001812	YHL019C	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-6.20-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-6.20&CDS=1-1290
OG0001813	YHL020C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-6.111&CDS=1-1134
OG0001814	YHL021C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-4.141&CDS=1-1365
OG0001815	YHL022C	snap_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-4.91-mRNA-1_1&gene=snap_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-4.91&CDS=1-1119
OG0001816	YHL023C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.36&CDS=1-2895
OG0001817	YHL024W	maker-NODE_4_length_647733_cov_24.3938_ID_7-snap-gene-5.166-mRNA-1_1&gene=maker-NODE_4_length_647733_cov_24.3938_ID_7-snap-gene-5.166&CDS=1-1893
OG0001818	YHL025W	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.8&CDS=1-1080
OG0001819	YHL026C	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-4.42&CDS=1-810
OG0001820	YHL027W	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-4.5&CDS=1-1722
OG0001821	YHL029C	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-4.40&CDS=1-1863
OG0001822	YHL030W	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-4.2&CDS=1-5583
OG0001823	YHL031C	snap_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.55&CDS=1-675
OG0001824	YHL032C	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.164-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.164&CDS=1-1986
OG0001825	YHL034C	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.162&CDS=1-834
OG0001826	YHL036W	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.142&CDS=1-1641
OG0001827	YHL038C	snap_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.49&CDS=1-1845
OG0001828	YHL039W	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.141&CDS=1-1716
OG0001829	YHR002W	augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.110&CDS=1-1062
OG0001830	YHR004C	augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.135&CDS=1-1320
OG0001831	YHR005C	augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.127&CDS=1-1332
OG0001832	YHR005C-A	augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.126&CDS=1-279
OG0001833	YHR007C	snap_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.96&CDS=1-1596
OG0001834	YHR009C	augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.15&CDS=1-1653
OG0001835	YHR011W	augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.31&CDS=1-2532
OG0001836	YHR013C	augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.12&CDS=1-654
OG0001837	YHR014W	augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.29&CDS=1-942
