	Saccharomyces_cerevisiae	yHMPu5000034952_Citeromyces_siamensis
OG0001343	YHR113W	augustus_masked-scf7180000053632-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000053632-processed-gene-0.16&CDS=1-1362, maker-scf7180000060103-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000060103-augustus-gene-0.1&CDS=1-1251
OG0001344	YHR114W	augustus_masked-scf7180000053663-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000053663-processed-gene-0.16&CDS=1-1740, maker-scf7180000054709-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000054709-augustus-gene-0.1&CDS=1-1572
OG0001345	YHR124W	genemark-scf7180000054501-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000054501-processed-gene-0.2&CDS=1-1467, maker-scf7180000055989-augustus-gene-0.4-mRNA-1_1&gene=maker-scf7180000055989-augustus-gene-0.4&CDS=1-951
OG0001346	YHR128W	augustus_masked-scf7180000054932-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000054932-processed-gene-0.5&CDS=1-642, augustus_masked-scf7180000061708-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scf7180000061708-processed-gene-0.84&CDS=1-642
OG0001347	YHR132C	augustus_masked-scf7180000053560-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000053560-processed-gene-0.14&CDS=1-1296, augustus_masked-scf7180000054604-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054604-processed-gene-0.3&CDS=1-1221
OG0001348	YHR137W	augustus_masked-scf7180000059699-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000059699-processed-gene-0.17&CDS=1-1506, snap_masked-scf7180000060681-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000060681-processed-gene-0.3&CDS=1-621
OG0001349	YHR140W	augustus_masked-scf7180000054475-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054475-processed-gene-0.3&CDS=1-690, augustus_masked-scf7180000058133-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000058133-processed-gene-0.3&CDS=1-303
OG0001350	YHR141C, YNL162W	genemark-scf7180000061678-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000061678-processed-gene-0.19&CDS=1-615
OG0001351	YHR142W	augustus_masked-scf7180000053662-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000053662-processed-gene-0.5&CDS=1-903, augustus_masked-scf7180000060186-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000060186-processed-gene-0.4&CDS=1-903
OG0001352	YHR144C	augustus_masked-scf7180000061630-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061630-processed-gene-0.1&CDS=1-942, maker-scf7180000058554-snap-gene-0.7-mRNA-1_1&gene=maker-scf7180000058554-snap-gene-0.7&CDS=1-915
OG0001353	YHR147C	augustus_masked-scf7180000060397-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060397-processed-gene-0.1&CDS=1-327, augustus_masked-scf7180000061079-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000061079-processed-gene-0.21&CDS=1-633
OG0001354	YHR154W	augustus_masked-scf7180000061108-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000061108-processed-gene-0.6&CDS=1-2367, snap_masked-scf7180000060628-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000060628-processed-gene-0.0&CDS=1-1080
OG0001355	YHR159W	snap_masked-scf7180000054325-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000054325-processed-gene-0.0&CDS=1-846, snap_masked-scf7180000061628-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scf7180000061628-processed-gene-0.15&CDS=1-705
OG0001356	YHR163W	augustus_masked-scf7180000059669-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000059669-processed-gene-0.0&CDS=1-747, genemark-scf7180000054541-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000054541-processed-gene-0.0&CDS=1-723
OG0001357	YHR164C	maker-scf7180000056252-snap-gene-0.4-mRNA-1_1&gene=maker-scf7180000056252-snap-gene-0.4&CDS=1-1461, snap_masked-scf7180000061640-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000061640-processed-gene-0.13&CDS=1-3750
OG0001358	YHR166C	augustus_masked-scf7180000061729-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000061729-processed-gene-0.4&CDS=1-2289, maker-scf7180000056329-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000056329-augustus-gene-0.1&CDS=1-924
OG0001359	YHR175W	augustus_masked-scf7180000059919-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000059919-processed-gene-0.11&CDS=1-426, snap_masked-scf7180000054823-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000054823-processed-gene-0.0&CDS=1-285
OG0001360	YHR181W	augustus_masked-scf7180000059668-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000059668-processed-gene-0.6&CDS=1-669, genemark-scf7180000060141-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000060141-processed-gene-0.3&CDS=1-495
OG0001361	YHR188C	augustus_masked-scf7180000054546-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054546-processed-gene-0.3&CDS=1-921, genemark-scf7180000053904-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000053904-processed-gene-0.2&CDS=1-1527
OG0001362	YHR189W	augustus_masked-scf7180000054045-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000054045-processed-gene-0.9&CDS=1-549, augustus_masked-scf7180000055566-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055566-processed-gene-0.2&CDS=1-549
OG0001363	YHR191C	augustus_masked-scf7180000053831-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053831-processed-gene-0.2&CDS=1-381, augustus_masked-scf7180000056171-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056171-processed-gene-0.1&CDS=1-231
OG0001364	YHR193C	augustus_masked-scf7180000058876-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000058876-processed-gene-0.2&CDS=1-282, augustus_masked-scf7180000059797-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000059797-processed-gene-0.5&CDS=1-534
OG0001365	YHR196W	augustus_masked-scf7180000056128-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000056128-processed-gene-0.2&CDS=1-1014, snap_masked-scf7180000054146-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054146-processed-gene-0.1&CDS=1-1740
OG0001366	YHR197W	augustus_masked-scf7180000054428-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054428-processed-gene-0.2&CDS=1-1617, augustus_masked-scf7180000055487-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055487-processed-gene-0.0&CDS=1-2220
OG0001367	YHR198C	augustus_masked-scf7180000058479-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000058479-processed-gene-0.3&CDS=1-543, augustus_masked-scf7180000060811-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000060811-processed-gene-0.32&CDS=1-918
OG0001368	YHR200W	augustus_masked-scf7180000060811-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000060811-processed-gene-0.38&CDS=1-750, snap_masked-scf7180000055735-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000055735-processed-gene-0.2&CDS=1-705
OG0001369	YHR204W	augustus_masked-scf7180000058464-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000058464-processed-gene-0.1&CDS=1-783, snap_masked-scf7180000059292-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000059292-processed-gene-0.8&CDS=1-2637
OG0001370	YHR207C	augustus_masked-scf7180000055534-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000055534-processed-gene-0.19&CDS=1-1419, augustus_masked-scf7180000055973-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055973-processed-gene-0.2&CDS=1-1224
OG0001371	YIL001W	augustus_masked-scf7180000060567-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000060567-processed-gene-0.5&CDS=1-1347, snap_masked-scf7180000059773-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scf7180000059773-processed-gene-0.37&CDS=1-1605
OG0001372	YIL003W	augustus_masked-scf7180000056351-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056351-processed-gene-0.1&CDS=1-837, augustus_masked-scf7180000061121-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000061121-processed-gene-0.4&CDS=1-828
OG0001373	YIL007C	augustus_masked-scf7180000060701-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060701-processed-gene-0.1&CDS=1-585, snap_masked-scf7180000059787-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000059787-processed-gene-0.7&CDS=1-585
OG0001374	YIL019W	augustus_masked-scf7180000054503-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054503-processed-gene-0.1&CDS=1-837, augustus_masked-scf7180000055662-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055662-processed-gene-0.2&CDS=1-738
OG0001375	YIL020C	augustus_masked-scf7180000053565-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000053565-processed-gene-0.15&CDS=1-798, augustus_masked-scf7180000054911-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054911-processed-gene-0.2&CDS=1-696
OG0001376	YIL021W	augustus_masked-scf7180000053565-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000053565-processed-gene-0.14&CDS=1-930, augustus_masked-scf7180000057422-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000057422-processed-gene-0.1&CDS=1-741
OG0001377	YIL022W	augustus_masked-scf7180000060047-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000060047-processed-gene-0.11&CDS=1-1188, augustus_masked-scf7180000060383-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060383-processed-gene-0.2&CDS=1-1146
OG0001378	YIL023C	augustus_masked-scf7180000057932-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000057932-processed-gene-0.2&CDS=1-939, maker-scf7180000061766-augustus-gene-0.12-mRNA-1_1&gene=maker-scf7180000061766-augustus-gene-0.12&CDS=1-1473
OG0001379	YIL031W	augustus_masked-scf7180000060047-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000060047-processed-gene-0.14&CDS=1-2847, augustus_masked-scf7180000060609-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060609-processed-gene-0.1&CDS=1-1347
OG0001380	YIL033C	augustus_masked-scf7180000053863-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000053863-processed-gene-0.1&CDS=1-1260, augustus_masked-scf7180000061162-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061162-processed-gene-0.1&CDS=1-738
OG0001381	YIL041W	augustus_masked-scf7180000059945-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000059945-processed-gene-0.21&CDS=1-984, augustus_masked-scf7180000060126-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060126-processed-gene-0.2&CDS=1-984
OG0001382	YIL043C	augustus_masked-scf7180000057985-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000057985-processed-gene-0.2&CDS=1-843, augustus_masked-scf7180000060105-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000060105-processed-gene-0.0&CDS=1-837
OG0001383	YIL047C	augustus_masked-scf7180000059707-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000059707-processed-gene-0.4&CDS=1-2622, genemark-scf7180000056234-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000056234-processed-gene-0.1&CDS=1-1191
OG0001384	YIL049W	snap_masked-scf7180000054260-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000054260-processed-gene-0.4&CDS=1-627, snap_masked-scf7180000056391-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056391-processed-gene-0.1&CDS=1-432
OG0001385	YIL050W	augustus_masked-scf7180000053685-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000053685-processed-gene-0.7&CDS=1-1221, augustus_masked-scf7180000054575-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000054575-processed-gene-0.10&CDS=1-576
OG0001386	YIL061C	genemark-scf7180000056565-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000056565-processed-gene-0.3&CDS=1-714, genemark-scf7180000059844-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000059844-processed-gene-0.11&CDS=1-594
OG0001387	YIL064W	maker-scf7180000054476-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000054476-augustus-gene-0.1&CDS=1-687, snap_masked-scf7180000056395-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000056395-processed-gene-0.3&CDS=1-615
OG0001388	YIL067C	augustus_masked-scf7180000053713-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000053713-processed-gene-0.9&CDS=1-1827, augustus_masked-scf7180000059272-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000059272-processed-gene-0.1&CDS=1-1851
OG0001389	YIL070C	augustus_masked-scf7180000054115-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054115-processed-gene-0.1&CDS=1-276, maker-scf7180000059648-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000059648-snap-gene-0.0&CDS=1-996
OG0001390	YIL083C	augustus_masked-scf7180000053602-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053602-processed-gene-0.6&CDS=1-1044, augustus_masked-scf7180000059736-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000059736-processed-gene-0.1&CDS=1-1044
OG0001391	YIL084C	genemark-scf7180000053802-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000053802-processed-gene-0.14&CDS=1-879, maker-scf7180000058294-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000058294-snap-gene-0.0&CDS=1-858
OG0001392	YIL096C	augustus_masked-scf7180000061696-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000061696-processed-gene-0.19&CDS=1-819, maker-scf7180000058234-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000058234-snap-gene-0.1&CDS=1-519
OG0001393	YIL097W	augustus_masked-scf7180000059642-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000059642-processed-gene-0.1&CDS=1-1419, maker-scf7180000061696-snap-gene-0.7-mRNA-1_1&gene=maker-scf7180000061696-snap-gene-0.7&CDS=1-1110
OG0001394	YIL098C	augustus_masked-scf7180000054074-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054074-processed-gene-0.3&CDS=1-408, augustus_masked-scf7180000061105-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000061105-processed-gene-0.4&CDS=1-408
OG0001395	YIL099W	augustus_masked-scf7180000053620-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scf7180000053620-processed-gene-0.65&CDS=1-1593, augustus_masked-scf7180000054627-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054627-processed-gene-0.2&CDS=1-1257
OG0001396	YIL104C	augustus_masked-scf7180000061701-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000061701-processed-gene-0.12&CDS=1-1437, maker-scf7180000058725-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000058725-augustus-gene-0.3&CDS=1-1080
OG0001397	YIL106W	augustus_masked-scf7180000053779-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000053779-processed-gene-0.3&CDS=1-711, maker-scf7180000053723-augustus-gene-0.8-mRNA-1_1&gene=maker-scf7180000053723-augustus-gene-0.8&CDS=1-708
OG0001398	YIL110W	augustus_masked-scf7180000054410-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000054410-processed-gene-0.18&CDS=1-972, snap_masked-scf7180000055142-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055142-processed-gene-0.0&CDS=1-558
OG0001399	YIL115C	maker-scf7180000059894-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000059894-snap-gene-0.1&CDS=1-3462, snap_masked-scf7180000058629-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000058629-processed-gene-0.3&CDS=1-3561
OG0001400	YIL116W	genemark-scf7180000054481-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000054481-processed-gene-0.3&CDS=1-984, snap_masked-scf7180000061764-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000061764-processed-gene-0.5&CDS=1-1185
OG0001401	YIL124W	augustus_masked-scf7180000055216-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055216-processed-gene-0.1&CDS=1-381, augustus_masked-scf7180000059836-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000059836-processed-gene-0.4&CDS=1-861
OG0001402	YIL125W	augustus_masked-scf7180000054022-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054022-processed-gene-0.4&CDS=1-1341, augustus_masked-scf7180000056002-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056002-processed-gene-0.1&CDS=1-1167
OG0001403	YIL127C	augustus_masked-scf7180000054779-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054779-processed-gene-0.4&CDS=1-534, genemark-scf7180000053851-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000053851-processed-gene-0.2&CDS=1-435
OG0001404	YIL128W	augustus_masked-scf7180000054779-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054779-processed-gene-0.3&CDS=1-1830, maker-scf7180000053851-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000053851-augustus-gene-0.3&CDS=1-2907
OG0001405	YIL130W	augustus_masked-scf7180000053663-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053663-processed-gene-0.4&CDS=1-2346, augustus_masked-scf7180000053927-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053927-processed-gene-0.2&CDS=1-681
OG0001406	YIL131C	augustus_masked-scf7180000055438-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000055438-processed-gene-0.5&CDS=1-1278, snap_masked-scf7180000054340-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000054340-processed-gene-0.6&CDS=1-966
OG0001407	YIL133C	augustus_masked-scf7180000053663-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000053663-processed-gene-0.8&CDS=1-600, augustus_masked-scf7180000056385-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056385-processed-gene-0.1&CDS=1-600
OG0001408	YIL134W	augustus_masked-scf7180000061544-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000061544-processed-gene-0.15&CDS=1-1035, genemark-scf7180000056733-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000056733-processed-gene-0.0&CDS=1-594
OG0001409	YIL140W	augustus_masked-scf7180000058084-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000058084-processed-gene-0.1&CDS=1-1038, augustus_masked-scf7180000059725-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000059725-processed-gene-0.15&CDS=1-2040
OG0001410	YIL144W	augustus_masked-scf7180000059852-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000059852-processed-gene-0.10&CDS=1-1950, genemark-scf7180000054064-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000054064-processed-gene-0.5&CDS=1-1950
OG0001411	YIL147C	augustus_masked-scf7180000055259-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000055259-processed-gene-0.3&CDS=1-3000, maker-scf7180000058017-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000058017-snap-gene-0.0&CDS=1-1458
OG0001412	YIL150C	augustus_masked-scf7180000054000-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000054000-processed-gene-0.16&CDS=1-1470, augustus_masked-scf7180000059540-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000059540-processed-gene-0.3&CDS=1-1461
OG0001413	YIL155C	augustus_masked-scf7180000059925-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000059925-processed-gene-0.4&CDS=1-1989, genemark-scf7180000060290-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000060290-processed-gene-0.0&CDS=1-1386
OG0001414	YIL156W-B	augustus_masked-scf7180000059793-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000059793-processed-gene-0.1&CDS=1-219, augustus_masked-scf7180000060421-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000060421-processed-gene-0.3&CDS=1-219
OG0001415	YIL157C	augustus_masked-scf7180000060011-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000060011-processed-gene-0.8&CDS=1-477, augustus_masked-scf7180000060825-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000060825-processed-gene-0.29&CDS=1-477
OG0001416	YIL162W	augustus_masked-scf7180000054036-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054036-processed-gene-0.1&CDS=1-1425, augustus_masked-scf7180000054250-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054250-processed-gene-0.1&CDS=1-1059
OG0001417	YIR002C	augustus_masked-scf7180000055034-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000055034-processed-gene-0.6&CDS=1-1827, snap_masked-scf7180000059716-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000059716-processed-gene-0.1&CDS=1-3123
OG0001418	YIR005W	augustus_masked-scf7180000057993-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000057993-processed-gene-0.46&CDS=1-528, snap_masked-scf7180000057740-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000057740-processed-gene-0.5&CDS=1-522
OG0001419	YIR008C	augustus_masked-scf7180000061721-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000061721-processed-gene-0.21&CDS=1-1158, maker-scf7180000056289-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000056289-snap-gene-0.3&CDS=1-840
OG0001420	YIR009W	snap_masked-scf7180000053617-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000053617-processed-gene-0.11&CDS=1-330, snap_masked-scf7180000057819-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000057819-processed-gene-0.4&CDS=1-330
OG0001421	YIR011C	augustus_masked-scf7180000060157-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060157-processed-gene-0.1&CDS=1-807, augustus_masked-scf7180000060339-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000060339-processed-gene-0.10&CDS=1-789
OG0001422	YIR012W	augustus_masked-scf7180000054118-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054118-processed-gene-0.4&CDS=1-1197, genemark-scf7180000054853-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000054853-processed-gene-0.2&CDS=1-1068
OG0001423	YIR022W	augustus_masked-scf7180000059638-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000059638-processed-gene-0.8&CDS=1-558, augustus_masked-scf7180000060170-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000060170-processed-gene-0.4&CDS=1-387
OG0001424	YIR023W	snap_masked-scf7180000060068-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000060068-processed-gene-0.5&CDS=1-2040, snap_masked-scf7180000060661-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060661-processed-gene-0.1&CDS=1-777
OG0001425	YIR027C	augustus_masked-scf7180000054035-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000054035-processed-gene-0.5&CDS=1-1680, maker-scf7180000058758-snap-gene-0.4-mRNA-1_1&gene=maker-scf7180000058758-snap-gene-0.4&CDS=1-1305
OG0001426	YIR030C	augustus_masked-scf7180000053998-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000053998-processed-gene-0.31&CDS=1-732, augustus_masked-scf7180000056233-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000056233-processed-gene-0.4&CDS=1-732
OG0001427	YIR032C	augustus_masked-scf7180000054469-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054469-processed-gene-0.2&CDS=1-612, augustus_masked-scf7180000056757-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000056757-processed-gene-0.25&CDS=1-612
OG0001428	YIR035C, YIR036C	augustus_masked-scf7180000053827-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000053827-processed-gene-0.12&CDS=1-630
OG0001429	YIR037W	augustus_masked-scf7180000053819-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000053819-processed-gene-0.54&CDS=1-477, snap_masked-scf7180000057518-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000057518-processed-gene-0.1&CDS=1-417
OG0001430	YJL003W	genemark-scf7180000055975-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000055975-processed-gene-0.0&CDS=1-261, snap_masked-scf7180000053616-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000053616-processed-gene-0.1&CDS=1-360
OG0001431	YJL006C	augustus_masked-scf7180000053994-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053994-processed-gene-0.4&CDS=1-1011, augustus_masked-scf7180000056394-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000056394-processed-gene-0.0&CDS=1-354
OG0001432	YJL012C	augustus_masked-scf7180000053904-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000053904-processed-gene-0.10&CDS=1-2073, augustus_masked-scf7180000054546-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054546-processed-gene-0.4&CDS=1-2013
OG0001433	YJL019W	augustus_masked-scf7180000053706-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053706-processed-gene-0.2&CDS=1-1767, augustus_masked-scf7180000059968-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000059968-processed-gene-0.1&CDS=1-1119
OG0001434	YJL024C	augustus_masked-scf7180000056304-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056304-processed-gene-0.1&CDS=1-483, augustus_masked-scf7180000061683-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000061683-processed-gene-0.13&CDS=1-483
OG0001435	YJL029C	augustus_masked-scf7180000061198-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000061198-processed-gene-0.0&CDS=1-1362, maker-scf7180000053727-snap-gene-0.24-mRNA-1_1&gene=maker-scf7180000053727-snap-gene-0.24&CDS=1-5256
OG0001436	YJL036W	augustus_masked-scf7180000054026-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054026-processed-gene-0.4&CDS=1-1419, snap_masked-scf7180000058087-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000058087-processed-gene-0.1&CDS=1-636
