	Saccharomyces_cerevisiae	yHAB159_Kazachstania_solicola
OG0001268	YDR364C	genemark-scf7180000046319-processed-gene-0.176-mRNA-1_1&gene=genemark-scf7180000046319-processed-gene-0.176&CDS=1-1374
OG0001269	YDR365C	genemark-scf7180000046319-processed-gene-0.177-mRNA-1_1&gene=genemark-scf7180000046319-processed-gene-0.177&CDS=1-1947
OG0001270	YDR367W	maker-scf7180000046319-snap-gene-0.65-mRNA-1_1&gene=maker-scf7180000046319-snap-gene-0.65&CDS=1-729
OG0001271	YDR369C	augustus_masked-scf7180000046299-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000046299-processed-gene-0.96&CDS=1-2301
OG0001272	YDR371W	genemark-scf7180000046299-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.36&CDS=1-1368
OG0001273	YDR372C	genemark-scf7180000046300-processed-gene-0.109-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.109&CDS=1-1041
OG0001274	YDR373W	genemark-scf7180000046299-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.35&CDS=1-570
OG0001275	YDR374C	genemark-scf7180000046299-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.16&CDS=1-1101
OG0001276	YDR375C	genemark-scf7180000046300-processed-gene-0.113-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.113&CDS=1-1449
OG0001277	YDR376W	genemark-scf7180000046299-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.34&CDS=1-1446
OG0001278	YDR377W	genemark-scf7180000046299-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.33&CDS=1-309
OG0001279	YDR378C	snap_masked-scf7180000046299-processed-gene-0.51-mRNA-1_1&gene=snap_masked-scf7180000046299-processed-gene-0.51&CDS=1-249
OG0001280	YDR379C-A	snap_masked-scf7180000046299-processed-gene-0.50-mRNA-1_1&gene=snap_masked-scf7180000046299-processed-gene-0.50&CDS=1-234
OG0001281	YDR380W	genemark-scf7180000046299-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.31&CDS=1-1980
OG0001282	YDR381C-A	snap_masked-scf7180000046299-processed-gene-0.49-mRNA-1_1&gene=snap_masked-scf7180000046299-processed-gene-0.49&CDS=1-369
OG0001283	YDR381W	maker-scf7180000046299-snap-gene-0.79-mRNA-1_1&gene=maker-scf7180000046299-snap-gene-0.79&CDS=1-732
OG0001284	YDR382W	genemark-scf7180000046299-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.29&CDS=1-330
OG0001285	YDR383C	snap_masked-scf7180000046299-processed-gene-0.47-mRNA-1_1&gene=snap_masked-scf7180000046299-processed-gene-0.47&CDS=1-741
OG0001286	YDR384C	genemark-scf7180000046299-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.12&CDS=1-807
OG0001287	YDR386W	snap_masked-scf7180000046299-processed-gene-0.65-mRNA-1_1&gene=snap_masked-scf7180000046299-processed-gene-0.65&CDS=1-1821
OG0001288	YDR387C	genemark-scf7180000046299-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.26&CDS=1-1671
OG0001289	YDR388W	maker-scf7180000046299-snap-gene-0.77-mRNA-1_1&gene=maker-scf7180000046299-snap-gene-0.77&CDS=1-1494
OG0001290	YDR389W	genemark-scf7180000046299-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.11&CDS=1-2079
OG0001291	YDR390C	snap_masked-scf7180000046299-processed-gene-0.64-mRNA-1_1&gene=snap_masked-scf7180000046299-processed-gene-0.64&CDS=1-1866
OG0001292	YDR391C	genemark-scf7180000046148-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000046148-processed-gene-0.44&CDS=1-870
OG0001293	YDR392W	genemark-scf7180000046197-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000046197-processed-gene-0.21&CDS=1-1062
OG0001294	YDR394W	genemark-scf7180000046299-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.25&CDS=1-2526
OG0001295	YDR395W	genemark-scf7180000046299-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.24&CDS=1-2886
OG0001296	YDR397C	genemark-scf7180000046299-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.7&CDS=1-462
OG0001297	YDR398W	genemark-scf7180000046236-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000046236-processed-gene-0.11&CDS=1-1920
OG0001298	YDR399W	genemark-scf7180000046299-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.23&CDS=1-657
OG0001299	YDR400W	genemark-scf7180000046299-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.22&CDS=1-1080
OG0001300	YDR402C	genemark-scf7180000046299-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.6&CDS=1-1512
OG0001301	YDR403W	genemark-scf7180000046299-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.21&CDS=1-1617
OG0001302	YDR404C	genemark-scf7180000046299-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.5&CDS=1-513
OG0001303	YDR405W	genemark-scf7180000046299-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000046299-processed-gene-0.20&CDS=1-675
OG0001304	YDR407C	genemark-scf7180000046296-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000046296-processed-gene-0.44&CDS=1-3888
OG0001305	YDR408C	genemark-scf7180000046296-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000046296-processed-gene-0.43&CDS=1-639
OG0001306	YDR410C	genemark-scf7180000046296-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000046296-processed-gene-0.42&CDS=1-762
OG0001307	YDR411C	snap_masked-scf7180000046296-processed-gene-0.72-mRNA-1_1&gene=snap_masked-scf7180000046296-processed-gene-0.72&CDS=1-1035
OG0001308	YDR412W	genemark-scf7180000046296-processed-gene-0.64-mRNA-1_1&gene=genemark-scf7180000046296-processed-gene-0.64&CDS=1-723
OG0001309	YDR415C	snap_masked-scf7180000046296-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scf7180000046296-processed-gene-0.71&CDS=1-2067
OG0001310	YDR416W	snap_masked-scf7180000046296-processed-gene-0.93-mRNA-1_1&gene=snap_masked-scf7180000046296-processed-gene-0.93&CDS=1-2583
OG0001311	YDR419W	genemark-scf7180000046296-processed-gene-0.61-mRNA-1_1&gene=genemark-scf7180000046296-processed-gene-0.61&CDS=1-1962
OG0001312	YDR422C	genemark-scf7180000046220-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.19&CDS=1-1860
OG0001313	YDR423C	augustus_masked-scf7180000046220-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scf7180000046220-processed-gene-0.95&CDS=1-1431
OG0001314	YDR424C	augustus_masked-scf7180000046220-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scf7180000046220-processed-gene-0.94&CDS=1-270
OG0001315	YDR425W	genemark-scf7180000046274-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000046274-processed-gene-0.44&CDS=1-2163
OG0001316	YDR429C	genemark-scf7180000046274-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000046274-processed-gene-0.62&CDS=1-831
OG0001317	YDR430C	snap_masked-scf7180000046305-processed-gene-1.101-mRNA-1_1&gene=snap_masked-scf7180000046305-processed-gene-1.101&CDS=1-2952
OG0001318	YDR432W	genemark-scf7180000046220-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.39&CDS=1-1410
OG0001319	YDR434W	genemark-scf7180000046220-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.38&CDS=1-1587
OG0001320	YDR435C	genemark-scf7180000046220-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.16&CDS=1-969
OG0001321	YDR437W	augustus_masked-scf7180000046220-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-scf7180000046220-processed-gene-0.110&CDS=1-465
OG0001322	YDR440W	genemark-scf7180000046220-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.32&CDS=1-2184
OG0001323	YDR443C	genemark-scf7180000046220-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.15&CDS=1-4422
OG0001324	YDR446W	snap_masked-scf7180000046086-processed-gene-0.61-mRNA-1_1&gene=snap_masked-scf7180000046086-processed-gene-0.61&CDS=1-954
OG0001325	YDR448W	genemark-scf7180000046086-processed-gene-0.28-mRNA-1_1&gene=genemark-scf7180000046086-processed-gene-0.28&CDS=1-1326
OG0001326	YDR449C	genemark-scf7180000046086-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000046086-processed-gene-0.10&CDS=1-1359
OG0001327	YDR452W	genemark-scf7180000046086-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000046086-processed-gene-0.26&CDS=1-1776
OG0001328	YDR454C	genemark-scf7180000046086-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000046086-processed-gene-0.8&CDS=1-555
OG0001329	YDR456W	genemark-scf7180000046086-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046086-processed-gene-0.25&CDS=1-2007
OG0001330	YDR457W	genemark-scf7180000046086-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000046086-processed-gene-0.24&CDS=1-9792
OG0001331	YDR459C	snap_masked-scf7180000046086-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scf7180000046086-processed-gene-0.36&CDS=1-921
OG0001332	YDR460W	genemark-scf7180000046086-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000046086-processed-gene-0.23&CDS=1-978
OG0001333	YDR462W	genemark-scf7180000046086-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000046086-processed-gene-0.22&CDS=1-459
OG0001334	YDR463W	genemark-scf7180000046151-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.12&CDS=1-1293
OG0001335	YDR464W	augustus_masked-scf7180000046151-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-scf7180000046151-processed-gene-0.136&CDS=1-5271
OG0001336	YDR465C	genemark-scf7180000046151-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.11&CDS=1-1218
OG0001337	YDR466W	genemark-scf7180000046151-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.40&CDS=1-2928
OG0001338	YDR468C	genemark-scf7180000046151-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.10&CDS=1-681
OG0001339	YDR469W	snap_masked-scf7180000046151-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scf7180000046151-processed-gene-0.89&CDS=1-243
OG0001340	YDR470C	snap_masked-scf7180000046151-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scf7180000046151-processed-gene-0.60&CDS=1-1320
OG0001341	YDR472W	genemark-scf7180000046151-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.38&CDS=1-753
OG0001342	YDR476C	genemark-scf7180000046151-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.6&CDS=1-696
OG0001343	YDR477W	genemark-scf7180000046297-processed-gene-0.100-mRNA-1_1&gene=genemark-scf7180000046297-processed-gene-0.100&CDS=1-1896
OG0001344	YDR478W	augustus_masked-scf7180000046151-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-scf7180000046151-processed-gene-0.130&CDS=1-567
OG0001345	YDR479C	genemark-scf7180000046151-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.5&CDS=1-1839
OG0001346	YDR481C	genemark-scf7180000046325-processed-gene-1.89-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-1.89&CDS=1-1716
OG0001347	YDR482C	genemark-scf7180000046325-processed-gene-1.90-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-1.90&CDS=1-471
OG0001348	YDR484W	genemark-scf7180000046332-processed-gene-0.100-mRNA-1_1&gene=genemark-scf7180000046332-processed-gene-0.100&CDS=1-1917
OG0001349	YDR485C	augustus_masked-scf7180000046332-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000046332-processed-gene-0.6&CDS=1-2832
OG0001350	YDR487C	genemark-scf7180000046254-processed-gene-0.79-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.79&CDS=1-636
OG0001351	YDR488C	snap_masked-scf7180000046332-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scf7180000046332-processed-gene-0.37&CDS=1-1929
OG0001352	YDR489W	genemark-scf7180000046332-processed-gene-0.99-mRNA-1_1&gene=genemark-scf7180000046332-processed-gene-0.99&CDS=1-945
OG0001353	YDR494W	augustus_masked-scf7180000045893-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000045893-processed-gene-0.5&CDS=1-1101
OG0001354	YDR496C	augustus_masked-scf7180000046143-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000046143-processed-gene-0.56&CDS=1-2961
OG0001355	YDR497C	genemark-scf7180000046166-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000046166-processed-gene-0.50&CDS=1-1899
OG0001356	YDR499W	genemark-scf7180000046087-processed-gene-0.67-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.67&CDS=1-2283
OG0001357	YDR506C	augustus_masked-scf7180000046087-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000046087-processed-gene-0.43&CDS=1-1803
OG0001358	YDR507C	genemark-scf7180000046087-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.94&CDS=1-3447
OG0001359	YDR510W	genemark-scf7180000046087-processed-gene-0.95-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.95&CDS=1-312
OG0001360	YDR511W	genemark-scf7180000046308-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000046308-processed-gene-0.29&CDS=1-429
OG0001361	YDR512C	snap_masked-scf7180000046087-processed-gene-0.122-mRNA-1_1&gene=snap_masked-scf7180000046087-processed-gene-0.122&CDS=1-261
OG0001362	YDR514C	genemark-scf7180000046087-processed-gene-0.70-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.70&CDS=1-1461
OG0001363	YDR517W	genemark-scf7180000046087-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.71&CDS=1-1167
OG0001364	YDR519W	genemark-scf7180000046087-processed-gene-0.73-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.73&CDS=1-399
OG0001365	YDR520C	genemark-scf7180000046087-processed-gene-0.99-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.99&CDS=1-2331
OG0001366	YDR523C	maker-scf7180000046087-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000046087-snap-gene-0.3&CDS=1-1539
OG0001367	YDR524C	augustus_masked-scf7180000046087-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000046087-processed-gene-0.51&CDS=1-1095
OG0001368	YDR525W-A	snap_masked-scf7180000046087-processed-gene-0.125-mRNA-1_1&gene=snap_masked-scf7180000046087-processed-gene-0.125&CDS=1-255
OG0001369	YDR527W	genemark-scf7180000046087-processed-gene-0.74-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.74&CDS=1-1443
OG0001370	YDR529C	genemark-scf7180000046087-processed-gene-0.77-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.77&CDS=1-384
OG0001371	YDR531W	genemark-scf7180000046087-processed-gene-0.103-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.103&CDS=1-1125
OG0001372	YDR532C	augustus_masked-scf7180000046087-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000046087-processed-gene-0.26&CDS=1-1116
OG0001373	YEL001C	augustus_masked-scf7180000046170-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-scf7180000046170-processed-gene-0.158&CDS=1-762
OG0001374	YEL002C	genemark-scf7180000046164-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000046164-processed-gene-0.0&CDS=1-1422
OG0001375	YEL004W	genemark-scf7180000046164-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000046164-processed-gene-0.3&CDS=1-1356
OG0001376	YEL005C	snap_masked-scf7180000046164-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000046164-processed-gene-0.10&CDS=1-906
OG0001377	YEL007W	genemark-scf7180000046164-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000046164-processed-gene-0.5&CDS=1-2304
OG0001378	YEL009C	genemark-scf7180000046170-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.62&CDS=1-798
OG0001379	YEL011W	genemark-scf7180000046326-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000046326-processed-gene-0.40&CDS=1-2112
OG0001380	YEL012W	genemark-scf7180000046326-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000046326-processed-gene-0.39&CDS=1-666
OG0001381	YEL013W	genemark-scf7180000046326-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000046326-processed-gene-0.45&CDS=1-1824
OG0001382	YEL015W	genemark-scf7180000046326-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000046326-processed-gene-0.44&CDS=1-1788
OG0001383	YEL018W	snap_masked-scf7180000046326-processed-gene-0.70-mRNA-1_1&gene=snap_masked-scf7180000046326-processed-gene-0.70&CDS=1-1062
OG0001384	YEL019C	snap_masked-scf7180000046326-processed-gene-0.91-mRNA-1_1&gene=snap_masked-scf7180000046326-processed-gene-0.91&CDS=1-843
OG0001385	YEL020C	genemark-scf7180000046326-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000046326-processed-gene-0.55&CDS=1-1680
OG0001386	YEL020W-A	snap_masked-scf7180000046329-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000046329-processed-gene-0.33&CDS=1-261
OG0001387	YEL022W	maker-scf7180000046329-augustus-gene-0.89-mRNA-1_1&gene=maker-scf7180000046329-augustus-gene-0.89&CDS=1-5394
OG0001388	YEL023C	genemark-scf7180000046192-processed-gene-0.76-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.76&CDS=1-1881
OG0001389	YEL024W	genemark-scf7180000046192-processed-gene-0.28-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.28&CDS=1-669
OG0001390	YEL026W	genemark-scf7180000046205-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000046205-processed-gene-0.85&CDS=1-381
OG0001391	YEL027W	genemark-scf7180000046205-processed-gene-0.84-mRNA-1_1&gene=genemark-scf7180000046205-processed-gene-0.84&CDS=1-480
OG0001392	YEL031W	snap_masked-scf7180000046192-processed-gene-0.113-mRNA-1_1&gene=snap_masked-scf7180000046192-processed-gene-0.113&CDS=1-3522
OG0001393	YEL032W	genemark-scf7180000046192-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.25&CDS=1-2928
OG0001394	YEL034W	genemark-scf7180000046192-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.24&CDS=1-468
OG0001395	YEL036C	genemark-scf7180000046205-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000046205-processed-gene-0.94&CDS=1-1389
OG0001396	YEL037C	genemark-scf7180000046192-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.72&CDS=1-1194
OG0001397	YEL038W	genemark-scf7180000046192-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.23&CDS=1-681
OG0001398	YEL040W	genemark-scf7180000046192-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.22&CDS=1-1407
OG0001399	YEL042W	genemark-scf7180000046192-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.20&CDS=1-1572
OG0001400	YEL043W	genemark-scf7180000046192-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.19&CDS=1-3036
OG0001401	YEL044W	genemark-scf7180000046192-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.18&CDS=1-462
OG0001402	YEL046C	genemark-scf7180000046192-processed-gene-0.70-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.70&CDS=1-1161
OG0001403	YEL048C	snap_masked-scf7180000046192-processed-gene-0.154-mRNA-1_1&gene=snap_masked-scf7180000046192-processed-gene-0.154&CDS=1-477
OG0001404	YEL050C	genemark-scf7180000046274-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000046274-processed-gene-0.40&CDS=1-1101
OG0001405	YEL051W	genemark-scf7180000046274-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000046274-processed-gene-0.59&CDS=1-816
OG0001406	YEL052W	genemark-scf7180000046274-processed-gene-0.60-mRNA-1_1&gene=genemark-scf7180000046274-processed-gene-0.60&CDS=1-1512
OG0001407	YEL055C	genemark-scf7180000046088-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000046088-processed-gene-0.23&CDS=1-3132
OG0001408	YEL056W	genemark-scf7180000046088-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000046088-processed-gene-0.17&CDS=1-1299
OG0001409	YEL060C	genemark-scf7180000046151-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.53&CDS=1-1608
OG0001410	YEL062W	genemark-scf7180000046309-processed-gene-1.59-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-1.59&CDS=1-1536
OG0001411	YEL064C	genemark-scf7180000046179-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000046179-processed-gene-0.0&CDS=1-1533
OG0001412	YER002W	genemark-scf7180000046210-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000046210-processed-gene-0.40&CDS=1-717
OG0001413	YER003C	genemark-scf7180000046210-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000046210-processed-gene-0.32&CDS=1-1284
OG0001414	YER004W	genemark-scf7180000046170-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.29&CDS=1-681
OG0001415	YER008C	genemark-scf7180000046170-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.42&CDS=1-4740
OG0001416	YER009W	genemark-scf7180000046170-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.65&CDS=1-375
OG0001417	YER010C	genemark-scf7180000046170-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.41&CDS=1-747
OG0001418	YER012W	genemark-scf7180000046170-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.34&CDS=1-600
OG0001419	YER013W	snap_masked-scf7180000046314-processed-gene-0.176-mRNA-1_1&gene=snap_masked-scf7180000046314-processed-gene-0.176&CDS=1-3480
OG0001420	YER014W	genemark-scf7180000046314-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000046314-processed-gene-0.94&CDS=1-1917
OG0001421	YER017C	augustus_masked-scf7180000046255-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-scf7180000046255-processed-gene-0.119&CDS=1-2235
OG0001422	YER019C-A	snap_masked-scf7180000046220-processed-gene-1.102-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-1.102&CDS=1-264
OG0001423	YER019W	genemark-scf7180000046179-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000046179-processed-gene-0.2&CDS=1-1386
OG0001424	YER020W	genemark-scf7180000046146-processed-gene-0.58-mRNA-1_1&gene=genemark-scf7180000046146-processed-gene-0.58&CDS=1-1278
OG0001425	YER021W	genemark-scf7180000046168-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000046168-processed-gene-0.66&CDS=1-1617
OG0001426	YER022W	genemark-scf7180000046146-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000046146-processed-gene-0.57&CDS=1-2079
OG0001427	YER023W	genemark-scf7180000046146-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000046146-processed-gene-0.56&CDS=1-843
OG0001428	YER024W	genemark-scf7180000046146-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000046146-processed-gene-0.55&CDS=1-2799
OG0001429	YER025W	genemark-scf7180000046168-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000046168-processed-gene-0.62&CDS=1-1611
OG0001430	YER026C	genemark-scf7180000046089-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000046089-processed-gene-0.39&CDS=1-783
OG0001431	YER027C	genemark-scf7180000046142-processed-gene-0.79-mRNA-1_1&gene=genemark-scf7180000046142-processed-gene-0.79&CDS=1-1191
OG0001432	YER029C	genemark-scf7180000046142-processed-gene-0.114-mRNA-1_1&gene=genemark-scf7180000046142-processed-gene-0.114&CDS=1-492
OG0001433	YER030W	genemark-scf7180000046142-processed-gene-0.83-mRNA-1_1&gene=genemark-scf7180000046142-processed-gene-0.83&CDS=1-495
OG0001434	YER032W	augustus_masked-scf7180000046142-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-scf7180000046142-processed-gene-0.146&CDS=1-3018
OG0001435	YER033C	maker-scf7180000046142-snap-gene-0.185-mRNA-1_1&gene=maker-scf7180000046142-snap-gene-0.185&CDS=1-3084
OG0001436	YER034W	genemark-scf7180000046309-processed-gene-2.90-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-2.90&CDS=1-525
OG0001437	YER036C	genemark-scf7180000046089-processed-gene-0.49-mRNA-1_1&gene=genemark-scf7180000046089-processed-gene-0.49&CDS=1-1824
OG0001438	YER038C	augustus_masked-scf7180000046309-processed-gene-2.168-mRNA-1_1&gene=augustus_masked-scf7180000046309-processed-gene-2.168&CDS=1-1356
OG0001439	YER040W	genemark-scf7180000046309-processed-gene-2.92-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-2.92&CDS=1-1890
OG0001440	YER042W	genemark-scf7180000046309-processed-gene-2.95-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-2.95&CDS=1-549
OG0001441	YER043C	genemark-scf7180000046309-processed-gene-2.115-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-2.115&CDS=1-1347
OG0001442	YER044C	snap_masked-scf7180000046255-processed-gene-0.61-mRNA-1_1&gene=snap_masked-scf7180000046255-processed-gene-0.61&CDS=1-450
OG0001443	YER046W	augustus_masked-scf7180000046255-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-scf7180000046255-processed-gene-0.129&CDS=1-519
OG0001444	YER048C	genemark-scf7180000046255-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000046255-processed-gene-0.12&CDS=1-1155
OG0001445	YER049W	maker-scf7180000046255-augustus-gene-0.146-mRNA-1_1&gene=maker-scf7180000046255-augustus-gene-0.146&CDS=1-1815
OG0001446	YER050C	genemark-scf7180000046255-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000046255-processed-gene-0.11&CDS=1-522
OG0001447	YER052C	genemark-scf7180000046255-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000046255-processed-gene-0.10&CDS=1-1560
