	Candida_glabrata	Saccharomyces_cerevisiae
OG0001889	snap_masked-CR380954-processed-gene-1.18-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.18&CDS=1-1047	YDR524C
OG0001890	snap_masked-CR380954-processed-gene-1.19-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.19&CDS=1-1563	YDR523C
OG0001891	snap_masked-CR380954-processed-gene-1.21-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.21&CDS=1-2097	YDR520C
OG0001892	snap_masked-CR380954-processed-gene-1.42-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.42&CDS=1-408	YDR519W
OG0001893	snap_masked-CR380954-processed-gene-1.22-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.22&CDS=1-1212	YJR062C
OG0001894	snap_masked-CR380954-processed-gene-1.46-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.46&CDS=1-1329	YJR060W
OG0001895	snap_masked-CR380954-processed-gene-1.23-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.23&CDS=1-441	YJR058C
OG0001896	augustus_masked-CR380954-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-1.95&CDS=1-660	YJR057W
OG0001897	snap_masked-CR380954-processed-gene-1.24-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.24&CDS=1-612	YJR056C
OG0001898	augustus_masked-CR380954-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-1.74&CDS=1-1428	YHR089C
OG0001899	snap_masked-CR380954-processed-gene-1.49-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.49&CDS=1-882	YHR088W
OG0001900	snap_masked-CR380954-processed-gene-1.50-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-1.50&CDS=1-387	YHR087W
OG0001901	augustus_masked-CR380954-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-2.42&CDS=1-1647	YHR086W
OG0001902	snap_masked-CR380954-processed-gene-2.79-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.79&CDS=1-993	YHR083W
OG0001903	snap_masked-CR380954-processed-gene-2.80-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.80&CDS=1-591	YMR269W
OG0001904	snap_masked-CR380954-processed-gene-2.81-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.81&CDS=1-1143	YMR268C
OG0001905	snap_masked-CR380954-processed-gene-2.99-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.99&CDS=1-879	YMR267W
OG0001906	snap_masked-CR380954-processed-gene-2.100-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.100&CDS=1-2754	YMR266W
OG0001907	snap_masked-CR380954-processed-gene-2.82-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.82&CDS=1-1407	YMR265C
OG0001908	augustus_masked-CR380954-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-2.64&CDS=1-1131	YMR263W
OG0001909	snap_masked-CR380954-processed-gene-2.103-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.103&CDS=1-894	YMR262W
OG0001910	snap_masked-CR380954-processed-gene-2.84-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.84&CDS=1-459	YMR260C
OG0001911	snap_masked-CR380954-processed-gene-2.85-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.85&CDS=1-4248	YMR259C
OG0001912	augustus_masked-CR380954-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-2.51&CDS=1-1653	YMR258C
OG0001913	snap_masked-CR380954-processed-gene-2.87-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.87&CDS=1-2406	YMR257C
OG0001914	snap_masked-CR380954-processed-gene-2.88-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.88&CDS=1-183	YMR256C
OG0001915	snap_masked-CR380954-processed-gene-2.90-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.90&CDS=1-321	YMR252C
OG0001916	snap_masked-CR380954-processed-gene-2.105-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.105&CDS=1-1779	YMR250W
OG0001917	snap_masked-CR380954-processed-gene-2.106-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.106&CDS=1-1218	YOL052C
OG0001918	snap_masked-CR380954-processed-gene-2.91-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.91&CDS=1-4632	YMR247C
OG0001919	snap_masked-CR380954-processed-gene-2.107-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.107&CDS=1-801	YKR060W
OG0001920	snap_masked-CR380954-processed-gene-2.92-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.92&CDS=1-669	YLR165C
OG0001921	snap_masked-CR380954-processed-gene-2.93-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.93&CDS=1-1395	YLR163C
OG0001922	snap_masked-CR380954-processed-gene-2.109-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.109&CDS=1-3657	YJL074C
OG0001923	snap_masked-CR380954-processed-gene-2.95-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.95&CDS=1-1968	YJL073W
OG0001924	snap_masked-CR380954-processed-gene-2.110-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.110&CDS=1-645	YJL072C
OG0001925	snap_masked-CR380954-processed-gene-2.96-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.96&CDS=1-1698	YJL071W
OG0001926	snap_masked-CR380954-processed-gene-2.111-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.111&CDS=1-2601	YJL070C
OG0001927	snap_masked-CR380954-processed-gene-2.112-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.112&CDS=1-1830	YJL069C
OG0001928	snap_masked-CR380954-processed-gene-2.114-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.114&CDS=1-1767	YGL095C
OG0001929	snap_masked-CR380954-processed-gene-2.115-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.115&CDS=1-3279	YGL094C
OG0001930	snap_masked-CR380954-processed-gene-2.98-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-2.98&CDS=1-2223	YGL093W
OG0001931	snap_masked-CR380954-processed-gene-3.88-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.88&CDS=1-3849	YGL092W
OG0001932	snap_masked-CR380954-processed-gene-3.91-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.91&CDS=1-1002	YGL091C
OG0001933	snap_masked-CR380954-processed-gene-3.89-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.89&CDS=1-1107	YGL090W
OG0001934	snap_masked-CR380954-processed-gene-3.93-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.93&CDS=1-417	YGL087C
OG0001935	augustus_masked-CR380954-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-3.48&CDS=1-2385	YGL085W
OG0001936	snap_masked-CR380954-processed-gene-3.113-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.113&CDS=1-1722	YGL084C
OG0001937	snap_masked-CR380954-processed-gene-3.95-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.95&CDS=1-2349	YGL083W
OG0001938	snap_masked-CR380954-processed-gene-3.96-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.96&CDS=1-2388	YPL190C
OG0001939	snap_masked-CR380954-processed-gene-3.98-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.98&CDS=1-405	YGL080W
OG0001940	snap_masked-CR380954-processed-gene-3.99-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.99&CDS=1-609	YGL079W
OG0001941	snap_masked-CR380954-processed-gene-3.114-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.114&CDS=1-1620	YGL078C
OG0001942	snap_masked-CR380954-processed-gene-3.115-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.115&CDS=1-1668	YGL077C
OG0001943	snap_masked-CR380954-processed-gene-3.100-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.100&CDS=1-2118	YGL073W
OG0001944	snap_masked-CR380954-processed-gene-3.117-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.117&CDS=1-366	YGL070C
OG0001945	snap_masked-CR380954-processed-gene-3.102-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.102&CDS=1-528	YGL068W
OG0001946	snap_masked-CR380954-processed-gene-3.118-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.118&CDS=1-1485	YPL204W
OG0001947	augustus_masked-CR380954-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-3.61&CDS=1-2442	YLR250W
OG0001948	snap_masked-CR380954-processed-gene-3.119-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.119&CDS=1-1440	YNL011C
OG0001949	snap_masked-CR380954-processed-gene-3.105-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.105&CDS=1-723	YNL010W
OG0001950	snap_masked-CR380954-processed-gene-3.107-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.107&CDS=1-1422	YLR175W
OG0001951	snap_masked-CR380954-processed-gene-3.120-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.120&CDS=1-1047	YNL007C
OG0001952	snap_masked-CR380954-processed-gene-3.108-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.108&CDS=1-909	YNL006W
OG0001953	snap_masked-CR380954-processed-gene-3.121-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.121&CDS=1-3063	YLR176C
OG0001954	snap_masked-CR380954-processed-gene-3.109-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.109&CDS=1-951	YNL002C
OG0001955	snap_masked-CR380954-processed-gene-3.110-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.110&CDS=1-1095	YCL018W
OG0001956	augustus_masked-CR380954-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-3.80&CDS=1-1482	YCL017C
OG0001957	augustus_masked-CR380954-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-3.68&CDS=1-846	YNL003C
OG0001958	snap_masked-CR380954-processed-gene-3.111-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.111&CDS=1-1104	YNL005C
OG0001959	snap_masked-CR380954-processed-gene-3.125-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.125&CDS=1-900	YCL009C
OG0001960	snap_masked-CR380954-processed-gene-3.126-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.126&CDS=1-1404	YCL008C
OG0001961	snap_masked-CR380954-processed-gene-3.112-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.112&CDS=1-1188	YNL001W
OG0001962	snap_masked-CR380954-processed-gene-3.128-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.128&CDS=1-1416	YNR001C
OG0001963	snap_masked-CR380954-processed-gene-3.131-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.131&CDS=1-1383	YML126C
OG0001964	snap_masked-CR380954-processed-gene-4.82-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.82&CDS=1-2001	YML088W
OG0001965	snap_masked-CR380954-processed-gene-4.86-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.86&CDS=1-1575	YML086C
OG0001966	snap_masked-CR380954-processed-gene-4.87-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.87&CDS=1-1236	YML080W
OG0001967	snap_masked-CR380954-processed-gene-4.90-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.90&CDS=1-549	YML078W
OG0001968	augustus_masked-CR380954-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-4.52&CDS=1-1236	YJR125C
OG0001969	snap_masked-CR380954-processed-gene-4.109-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.109&CDS=1-3099	YML076C
OG0001970	snap_masked-CR380954-processed-gene-4.91-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.91&CDS=1-477	YML077W
OG0001971	snap_masked-CR380954-processed-gene-4.92-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.92&CDS=1-555	YHR100C
OG0001972	snap_masked-CR380954-processed-gene-4.110-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.110&CDS=1-3021	YOL021C
OG0001973	snap_masked-CR380954-processed-gene-4.93-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.93&CDS=1-1998	YMR163C
OG0001974	augustus_masked-CR380954-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-4.55&CDS=1-4878	YMR162C
OG0001975	snap_masked-CR380954-processed-gene-4.111-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.111&CDS=1-696	YMR161W
OG0001976	snap_masked-CR380954-processed-gene-4.95-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.95&CDS=1-393	YBL092W
OG0001977	snap_masked-CR380954-processed-gene-4.96-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.96&CDS=1-450	YBL090W
OG0001978	augustus_masked-CR380954-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-4.72&CDS=1-8289	YBL088C
OG0001979	snap_masked-CR380954-processed-gene-4.114-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.114&CDS=1-1764	YML007W
OG0001980	snap_masked-CR380954-processed-gene-4.98-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.98&CDS=1-1116	YML008C
OG0001981	snap_masked-CR380954-processed-gene-4.115-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.115&CDS=1-822	YDR429C
OG0001982	snap_masked-CR380954-processed-gene-4.99-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.99&CDS=1-210	YML009C
OG0001983	snap_masked-CR380954-processed-gene-4.116-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.116&CDS=1-3030	YML010W
OG0001984	snap_masked-CR380954-processed-gene-4.100-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.100&CDS=1-531	YML011C
OG0001985	snap_masked-CR380954-processed-gene-4.117-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.117&CDS=1-624	YML012W
OG0001986	snap_masked-CR380954-processed-gene-4.101-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.101&CDS=1-1149	YDR432W
OG0001987	snap_masked-CR380954-processed-gene-4.118-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.118&CDS=1-2016	YML013W
OG0001988	snap_masked-CR380954-processed-gene-4.119-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.119&CDS=1-807	YML014W
OG0001989	snap_masked-CR380954-processed-gene-4.102-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.102&CDS=1-1092	YML015C
OG0001990	snap_masked-CR380954-processed-gene-4.121-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.121&CDS=1-252	YLR376C
OG0001991	snap_masked-CR380954-processed-gene-4.104-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.104&CDS=1-954	YDR088C
OG0001992	snap_masked-CR380954-processed-gene-4.105-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.105&CDS=1-1437	YLR378C
OG0001993	maker-CR380954-snap-gene-4.3-mRNA-1_1&gene=maker-CR380954-snap-gene-4.3&CDS=1-1119	YLR381W
OG0001994	snap_masked-CR380954-processed-gene-4.123-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.123&CDS=1-2721	YLR382C
OG0001995	snap_masked-CR380954-processed-gene-5.82-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.82&CDS=1-3330	YLR383W
OG0001996	snap_masked-CR380954-processed-gene-5.83-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.83&CDS=1-3996	YLR384C
OG0001997	snap_masked-CR380954-processed-gene-5.84-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.84&CDS=1-387	YLR385C
OG0001998	snap_masked-CR380954-processed-gene-5.102-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.102&CDS=1-1455	YPL063W
OG0001999	snap_masked-CR380954-processed-gene-5.103-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.103&CDS=1-690	YPL065W
OG0002000	snap_masked-CR380954-processed-gene-5.104-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.104&CDS=1-1425	YPL066W
OG0002001	snap_masked-CR380954-processed-gene-5.86-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.86&CDS=1-603	YPL067C
OG0002002	snap_masked-CR380954-processed-gene-5.88-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.88&CDS=1-996	YPL069C
OG0002003	snap_masked-CR380954-processed-gene-5.105-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.105&CDS=1-1725	YPL070W
OG0002004	snap_masked-CR380954-processed-gene-5.89-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.89&CDS=1-477	YPL071C
OG0002005	augustus_masked-CR380954-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-5.67&CDS=1-1449	YPL072W
OG0002006	snap_masked-CR380954-processed-gene-5.107-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.107&CDS=1-3051	YPL075W
OG0002007	snap_masked-CR380954-processed-gene-5.92-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.92&CDS=1-1665	YBR196C
OG0002008	snap_masked-CR380954-processed-gene-5.93-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.93&CDS=1-726	YPL078C
OG0002009	snap_masked-CR380954-processed-gene-5.94-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.94&CDS=1-5712	YPL082C
OG0002010	genemark-CR380954-processed-gene-5.14-mRNA-1_1&gene=genemark-CR380954-processed-gene-5.14&CDS=1-1326	YPL083C
OG0002011	snap_masked-CR380954-processed-gene-5.109-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.109&CDS=1-6714	YPL085W
OG0002012	snap_masked-CR380954-processed-gene-5.110-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.110&CDS=1-942	YPL087W
OG0002013	snap_masked-CR380954-processed-gene-5.111-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.111&CDS=1-1401	YPL091W
OG0002014	snap_masked-CR380954-processed-gene-5.112-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.112&CDS=1-1353	YPL092W
OG0002015	snap_masked-CR380954-processed-gene-5.113-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.113&CDS=1-1935	YPL093W
OG0002016	snap_masked-CR380954-processed-gene-5.97-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.97&CDS=1-771	YPL094C
OG0002017	maker-CR380954-snap-gene-5.0-mRNA-1_1&gene=maker-CR380954-snap-gene-5.0&CDS=1-2382	YPL097W
OG0002018	augustus_masked-CR380954-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-5.60&CDS=1-831	YPL098C
OG0002019	snap_masked-CR380954-processed-gene-5.116-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.116&CDS=1-1359	YPL100W
OG0002020	snap_masked-CR380954-processed-gene-5.117-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.117&CDS=1-1398	YPL101W
OG0002021	snap_masked-CR380954-processed-gene-5.100-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.100&CDS=1-1338	YPL103C
OG0002022	snap_masked-CR380954-processed-gene-5.118-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.118&CDS=1-1977	YPL104W
OG0002023	snap_masked-CR380954-processed-gene-5.101-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.101&CDS=1-2865	YPL105C
OG0002024	genemark-CR380954-processed-gene-5.40-mRNA-1_1&gene=genemark-CR380954-processed-gene-5.40&CDS=1-672	YPL107W
OG0002025	snap_masked-CR380954-processed-gene-5.120-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.120&CDS=1-495	YPL108W
OG0002026	maker-CR380954-snap-gene-6.2-mRNA-1_1&gene=maker-CR380954-snap-gene-6.2&CDS=1-3402	YBR008C
OG0002027	snap_masked-CR380954-processed-gene-6.86-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.86&CDS=1-870	YOR362C
OG0002028	snap_masked-CR380954-processed-gene-6.87-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.87&CDS=1-261	YEL020W-A
OG0002029	snap_masked-CR380954-processed-gene-6.90-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.90&CDS=1-2619	YAL021C
OG0002030	augustus_masked-CR380954-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-6.70&CDS=1-1095	YAL020C
OG0002031	snap_masked-CR380954-processed-gene-6.91-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.91&CDS=1-3378	YAL019W
OG0002032	snap_masked-CR380954-processed-gene-6.92-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.92&CDS=1-3285	YOL051W
OG0002033	snap_masked-CR380954-processed-gene-6.112-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.112&CDS=1-906	YAL018C
OG0002034	augustus_masked-CR380954-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-6.73&CDS=1-825	YAL014C
OG0002035	maker-CR380954-snap-gene-6.1-mRNA-1_1&gene=maker-CR380954-snap-gene-6.1&CDS=1-1302	YAL013W
OG0002036	snap_masked-CR380954-processed-gene-6.96-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.96&CDS=1-1173	YAL012W
OG0002037	snap_masked-CR380954-processed-gene-6.97-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.97&CDS=1-1977	YAL011W
OG0002038	snap_masked-CR380954-processed-gene-6.115-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.115&CDS=1-636	YLR390W-A
OG0002039	snap_masked-CR380954-processed-gene-6.116-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.116&CDS=1-309	YLR390W
OG0002040	augustus_masked-CR380954-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-6.57&CDS=1-3024	YLR389C
OG0002041	augustus_masked-CR380954-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-6.58&CDS=1-1233	YLR387C
OG0002042	augustus_masked-CR380954-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-6.76&CDS=1-2604	YLR386W
OG0002043	snap_masked-CR380954-processed-gene-6.99-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.99&CDS=1-912	YIL145C
OG0002044	snap_masked-CR380954-processed-gene-6.100-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.100&CDS=1-1476	YIL146C
OG0002045	snap_masked-CR380954-processed-gene-6.101-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.101&CDS=1-3507	YIL147C
OG0002046	snap_masked-CR380954-processed-gene-6.102-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.102&CDS=1-1749	YIL150C
OG0002047	snap_masked-CR380954-processed-gene-6.104-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.104&CDS=1-1632	YKR097W
OG0002048	snap_masked-CR380954-processed-gene-6.118-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.118&CDS=1-1272	YIL153W
OG0002049	snap_masked-CR380954-processed-gene-6.105-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.105&CDS=1-1014	YIL154C
OG0002050	snap_masked-CR380954-processed-gene-6.106-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.106&CDS=1-1950	YIL155C
OG0002051	snap_masked-CR380954-processed-gene-6.120-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.120&CDS=1-216	YIL156W-B
OG0002052	snap_masked-CR380954-processed-gene-6.107-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.107&CDS=1-537	YIL157C
OG0002053	snap_masked-CR380954-processed-gene-6.108-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.108&CDS=1-1227	YIL160C
OG0002054	snap_masked-CR380954-processed-gene-6.122-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.122&CDS=1-441	YKR020W
OG0002055	snap_masked-CR380954-processed-gene-6.124-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.124&CDS=1-2106	YML099C
OG0002056	snap_masked-CR380954-processed-gene-6.110-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.110&CDS=1-489	YML098W
OG0002057	snap_masked-CR380954-processed-gene-6.125-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.125&CDS=1-1881	YML130C
OG0002058	snap_masked-CR380954-processed-gene-6.126-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-6.126&CDS=1-1362	YML097C
OG0002059	snap_masked-CR380954-processed-gene-7.101-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.101&CDS=1-1551	YML096W
OG0002060	snap_masked-CR380954-processed-gene-7.102-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.102&CDS=1-2634	YML093W
OG0002061	snap_masked-CR380954-processed-gene-7.105-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.105&CDS=1-750	YML092C
OG0002062	snap_masked-CR380954-processed-gene-7.103-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.103&CDS=1-270	YDR322C-A
OG0002063	snap_masked-CR380954-processed-gene-7.106-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.106&CDS=1-1068	YDR322W
OG0002064	snap_masked-CR380954-processed-gene-7.107-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.107&CDS=1-1134	YDR321W
OG0002065	snap_masked-CR380954-processed-gene-7.104-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.104&CDS=1-219	YDR320C-A
OG0002066	snap_masked-CR380954-processed-gene-7.108-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.108&CDS=1-1983	YDR320C
OG0002067	snap_masked-CR380954-processed-gene-7.109-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.109&CDS=1-402	YDR319C
OG0002068	snap_masked-CR380954-processed-gene-7.138-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.138&CDS=1-1074	YDR318W
OG0002069	snap_masked-CR380954-processed-gene-7.139-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.139&CDS=1-1272	YDR317W
OG0002070	augustus_masked-CR380954-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-7.87&CDS=1-1437	YHR070W
OG0002071	snap_masked-CR380954-processed-gene-7.110-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.110&CDS=1-1107	YHR069C
OG0002072	snap_masked-CR380954-processed-gene-7.141-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.141&CDS=1-1356	YDR316W
OG0002073	snap_masked-CR380954-processed-gene-7.142-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.142&CDS=1-1155	YHR068W
OG0002074	snap_masked-CR380954-processed-gene-7.111-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.111&CDS=1-834	YDR315C
OG0002075	snap_masked-CR380954-processed-gene-7.112-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.112&CDS=1-2004	YDR314C
