	Saccharomyces_cerevisiae	yHMPu5000035046_Barnettozyma_populi
OG0002003	YJL039C	augustus_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.110&CDS=1-7533
OG0002004	YJL041W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.60-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.60&CDS=1-1968
OG0002005	YJL042W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.61-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.61&CDS=1-3774
OG0002006	YJL044C	maker-NODE_1_length_973885_cov_13.6909_ID_9548-snap-gene-8.186-mRNA-1_1&gene=maker-NODE_1_length_973885_cov_13.6909_ID_9548-snap-gene-8.186&CDS=1-1071
OG0002007	YJL046W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.44-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.44&CDS=1-1377
OG0002008	YJL049W	snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.76&CDS=1-1290
OG0002009	YJL050W	maker-NODE_11_length_366296_cov_13.8376_ID_4100-augustus-gene-2.94-mRNA-1_1&gene=maker-NODE_11_length_366296_cov_13.8376_ID_4100-augustus-gene-2.94&CDS=1-4290
OG0002010	YJL054W	snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.105-mRNA-1_1&gene=snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.105&CDS=1-1587
OG0002011	YJL055W	snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.108&CDS=1-669
OG0002012	YJL057C	genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.15-mRNA-1_1&gene=genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.15&CDS=1-1605
OG0002013	YJL059W	snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.177-mRNA-1_1&gene=snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.177&CDS=1-1161
OG0002014	YJL060W	augustus_masked-NODE_17_length_197664_cov_17.9682_ID_4252-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_17_length_197664_cov_17.9682_ID_4252-processed-gene-0.18&CDS=1-1269
OG0002015	YJL061W	snap_masked-NODE_17_length_197664_cov_17.9682_ID_4252-processed-gene-0.178-mRNA-1_1&gene=snap_masked-NODE_17_length_197664_cov_17.9682_ID_4252-processed-gene-0.178&CDS=1-2052
OG0002016	YJL062W	genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.20-mRNA-1_1&gene=genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.20&CDS=1-2400
OG0002017	YJL062W-A	genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-5.34-mRNA-1_1&gene=genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-5.34&CDS=1-258
OG0002018	YJL063C	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-2.98&CDS=1-642
OG0002019	YJL065C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-5.83-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-5.83&CDS=1-798
OG0002020	YJL066C	snap_masked-NODE_76_length_3160_cov_15.9433_ID_9723-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_76_length_3160_cov_15.9433_ID_9723-processed-gene-0.3&CDS=1-735
OG0002021	YJL068C	snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-0.87&CDS=1-864
OG0002022	YJL069C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-5.56-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-5.56&CDS=1-1593
OG0002023	YJL071W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.86-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.86&CDS=1-1572
OG0002024	YJL072C	genemark-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.234-mRNA-1_1&gene=genemark-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.234&CDS=1-540
OG0002025	YJL074C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.130&CDS=1-3600
OG0002026	YJL080C	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-6.136-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-6.136&CDS=1-3540
OG0002027	YJL081C	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-2.239-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-2.239&CDS=1-1473
OG0002028	YJL084C	snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.163-mRNA-1_1&gene=snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.163&CDS=1-3090
OG0002029	YJL085W	snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.164-mRNA-1_1&gene=snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.164&CDS=1-1827
OG0002030	YJL087C	snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.168-mRNA-1_1&gene=snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.168&CDS=1-2481
OG0002031	YJL088W	snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.138&CDS=1-999
OG0002032	YJL090C	snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-2.55&CDS=1-2097
OG0002033	YJL091C	maker-NODE_8_length_421371_cov_15.4557_ID_6383-snap-gene-0.126-mRNA-1_1&gene=maker-NODE_8_length_421371_cov_15.4557_ID_6383-snap-gene-0.126&CDS=1-2886
OG0002034	YJL092W	snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.54&CDS=1-2553
OG0002035	YJL093C	snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.55&CDS=1-1875
OG0002036	YJL094C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.128-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.128&CDS=1-2184
OG0002037	YJL095W	genemark-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.34&CDS=1-3897
OG0002038	YJL096W	snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.78&CDS=1-525
OG0002039	YJL097W	snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.56&CDS=1-699
OG0002040	YJL100W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-6.68-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-6.68&CDS=1-1995
OG0002041	YJL101C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.104&CDS=1-2037
OG0002042	YJL102W	snap_masked-NODE_49_length_26071_cov_14.8869_ID_9007-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_49_length_26071_cov_14.8869_ID_9007-processed-gene-0.29&CDS=1-2331
OG0002043	YJL104W	snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.129-mRNA-1_1&gene=snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.129&CDS=1-414
OG0002044	YJL106W	snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.169-mRNA-1_1&gene=snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.169&CDS=1-2127
OG0002045	YJL108C	snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.128-mRNA-1_1&gene=snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.128&CDS=1-2667
OG0002046	YJL109C	snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.142-mRNA-1_1&gene=snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.142&CDS=1-5223
OG0002047	YJL111W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.7-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.7&CDS=1-1653
OG0002048	YJL112W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.9-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.9&CDS=1-1974
OG0002049	YJL115W	snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.226-mRNA-1_1&gene=snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.226&CDS=1-759
OG0002050	YJL117W	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.40&CDS=1-930
OG0002051	YJL121C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-7.95-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-7.95&CDS=1-708
OG0002052	YJL122W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-7.70-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-7.70&CDS=1-489
OG0002053	YJL123C	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.9-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.9&CDS=1-1344
OG0002054	YJL124C	augustus_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.69&CDS=1-534
OG0002055	YJL125C	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.19-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.19&CDS=1-1092
OG0002056	YJL126W	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.4&CDS=1-891
OG0002057	YJL127C	augustus_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.84&CDS=1-1791
OG0002058	YJL128C	genemark-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.100-mRNA-1_1&gene=genemark-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.100&CDS=1-1977
OG0002059	YJL130C	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.1&CDS=1-6642
OG0002060	YJL131C	snap_masked-NODE_23_length_134155_cov_15.5572_ID_8127-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_23_length_134155_cov_15.5572_ID_8127-processed-gene-0.18&CDS=1-1188
OG0002061	YJL132W	snap_masked-NODE_23_length_134155_cov_15.5572_ID_8127-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_23_length_134155_cov_15.5572_ID_8127-processed-gene-0.40&CDS=1-2289
OG0002062	YJL140W	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.87&CDS=1-615
OG0002063	YJL141C	maker-NODE_2_length_837960_cov_13.6015_ID_4467-augustus-gene-3.116-mRNA-1_1&gene=maker-NODE_2_length_837960_cov_13.6015_ID_4467-augustus-gene-3.116&CDS=1-2715
OG0002064	YJL145W	snap_masked-NODE_14_length_343773_cov_16.2165_ID_3838-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_14_length_343773_cov_16.2165_ID_3838-processed-gene-0.65&CDS=1-867
OG0002065	YJL148W	snap_masked-NODE_14_length_343773_cov_16.2165_ID_3838-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_14_length_343773_cov_16.2165_ID_3838-processed-gene-0.63&CDS=1-726
OG0002066	YJL149W	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.32&CDS=1-1605
OG0002067	YJL153C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-6.67-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-6.67&CDS=1-1608
OG0002068	YJL154C	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.239-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.239&CDS=1-2436
OG0002069	YJL156C	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.243-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.243&CDS=1-2106
OG0002070	YJL157C	augustus_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-0.142&CDS=1-2643
OG0002071	YJL163C	snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.55&CDS=1-1701
OG0002072	YJL166W	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.139-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.139&CDS=1-285
OG0002073	YJL167W	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.104-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.104&CDS=1-1056
OG0002074	YJL168C	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.64&CDS=1-2427
OG0002075	YJL171C	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.62&CDS=1-1212
OG0002076	YJL176C	genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.141-mRNA-1_1&gene=genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.141&CDS=1-1695
OG0002077	YJL178C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.82&CDS=1-792
OG0002078	YJL179W	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.110-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.110&CDS=1-354
OG0002079	YJL180C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.83&CDS=1-912
OG0002080	YJL183W	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.85&CDS=1-1227
OG0002081	YJL184W	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-1.84&CDS=1-366
OG0002082	YJL187C	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.41&CDS=1-2571
OG0002083	YJL189W	genemark-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.103&CDS=1-153
OG0002084	YJL192C	genemark-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.102&CDS=1-726
OG0002085	YJL194W	augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-2.65&CDS=1-1857
OG0002086	YJL197W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-3.33&CDS=1-3651
OG0002087	YJL200C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.78-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.78&CDS=1-2382
OG0002088	YJL201W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.37-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.37&CDS=1-1593
OG0002089	YJL203W	snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.133-mRNA-1_1&gene=snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.133&CDS=1-1269
OG0002090	YJL204C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-7.153-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-7.153&CDS=1-2313
OG0002091	YJL205C	genemark-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.1-mRNA-1_1&gene=genemark-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.1&CDS=1-168
OG0002092	YJL208C	genemark-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-3.173-mRNA-1_1&gene=genemark-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-3.173&CDS=1-6726
OG0002093	YJL209W	snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-3.115-mRNA-1_1&gene=snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-3.115&CDS=1-1671
OG0002094	YJL210W	snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.89&CDS=1-1125
OG0002095	YJL218W	genemark-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-4.186-mRNA-1_1&gene=genemark-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-4.186&CDS=1-675
OG0002096	YJR001W	genemark-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.2&CDS=1-1743
OG0002097	YJR002W	snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.38&CDS=1-1764
OG0002098	YJR003C	augustus_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.81&CDS=1-1599
OG0002099	YJR004C	augustus_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.98&CDS=1-2034
OG0002100	YJR005W	snap_masked-NODE_26_length_128712_cov_13.768_ID_5260-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_26_length_128712_cov_13.768_ID_5260-processed-gene-0.96&CDS=1-2025
OG0002101	YJR006W	augustus_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-5.137&CDS=1-1404
OG0002102	YJR007W	snap_masked-NODE_29_length_119377_cov_18.1712_ID_6586-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_29_length_119377_cov_18.1712_ID_6586-processed-gene-0.12&CDS=1-909
OG0002103	YJR008W	maker-NODE_26_length_128712_cov_13.768_ID_5260-augustus-gene-0.57-mRNA-1_1&gene=maker-NODE_26_length_128712_cov_13.768_ID_5260-augustus-gene-0.57&CDS=1-954
OG0002104	YJR010C-A	snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.49&CDS=1-276
OG0002105	YJR010W	snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.57&CDS=1-1527
OG0002106	YJR013W	genemark-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-0.6&CDS=1-1164
OG0002107	YJR014W	maker-NODE_15_length_296595_cov_15.8974_ID_8048-snap-gene-0.107-mRNA-1_1&gene=maker-NODE_15_length_296595_cov_15.8974_ID_8048-snap-gene-0.107&CDS=1-576
OG0002108	YJR016C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.20-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.20&CDS=1-1764
OG0002109	YJR017C	maker-NODE_29_length_119377_cov_18.1712_ID_6586-augustus-gene-0.120-mRNA-1_1&gene=maker-NODE_29_length_119377_cov_18.1712_ID_6586-augustus-gene-0.120&CDS=1-486
OG0002110	YJR019C	snap_masked-NODE_29_length_119377_cov_18.1712_ID_6586-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_29_length_119377_cov_18.1712_ID_6586-processed-gene-0.7&CDS=1-999
OG0002111	YJR024C	genemark-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-0.111&CDS=1-765
OG0002112	YJR025C	augustus_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-2.115&CDS=1-510
OG0002113	YJR032W	snap_masked-NODE_72_length_5151_cov_13.4866_ID_18177-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_72_length_5151_cov_13.4866_ID_18177-processed-gene-0.4&CDS=1-1032
OG0002114	YJR033C	snap_masked-NODE_42_length_63641_cov_12.3529_ID_6879-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_42_length_63641_cov_12.3529_ID_6879-processed-gene-0.71&CDS=1-3930
OG0002115	YJR034W	snap_masked-NODE_42_length_63641_cov_12.3529_ID_6879-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_42_length_63641_cov_12.3529_ID_6879-processed-gene-0.86&CDS=1-324
OG0002116	YJR035W	snap_masked-NODE_42_length_63641_cov_12.3529_ID_6879-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_42_length_63641_cov_12.3529_ID_6879-processed-gene-0.85&CDS=1-3072
OG0002117	YJR036C	augustus_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.200-mRNA-1_1&gene=augustus_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.200&CDS=1-2586
OG0002118	YJR040W	genemark-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.18-mRNA-1_1&gene=genemark-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.18&CDS=1-2448
OG0002119	YJR041C	snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.137-mRNA-1_1&gene=snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.137&CDS=1-3504
OG0002120	YJR042W	augustus_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.198-mRNA-1_1&gene=augustus_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.198&CDS=1-2220
OG0002121	YJR044C	maker-NODE_8_length_421371_cov_15.4557_ID_6383-snap-gene-0.127-mRNA-1_1&gene=maker-NODE_8_length_421371_cov_15.4557_ID_6383-snap-gene-0.127&CDS=1-393
OG0002122	YJR045C	snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-0.60&CDS=1-1935
OG0002123	YJR048W	snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.127&CDS=1-330
OG0002124	YJR049C	snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.124&CDS=1-1461
