	Metschnikowia_shivogae	Saccharomyces_cerevisiae
OG0001396	genemark-shi_s35-processed-gene-2.160-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.160&CDS=1-2265	YOL076W
OG0001397	genemark-shi_s35-processed-gene-2.161-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.161&CDS=1-678	YOR283W
OG0001398	genemark-shi_s35-processed-gene-3.4-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.4&CDS=1-1707	YNL115C
OG0001399	genemark-shi_s35-processed-gene-3.26-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.26&CDS=1-1314	YER152C
OG0001400	genemark-shi_s35-processed-gene-3.27-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.27&CDS=1-1410	YNL206C
OG0001401	augustus_masked-shi_s35-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-shi_s35-processed-gene-3.121&CDS=1-2586	YER151C
OG0001402	genemark-shi_s35-processed-gene-3.29-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.29&CDS=1-2280	YNL221C
OG0001403	maker-shi_s35-augustus-gene-3.106-mRNA-1_1&gene=maker-shi_s35-augustus-gene-3.106&CDS=1-1839	YNL222W
OG0001404	augustus_masked-shi_s35-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-shi_s35-processed-gene-3.122&CDS=1-2295	YNL224C
OG0001405	genemark-shi_s35-processed-gene-3.32-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.32&CDS=1-1716	YNL227C
OG0001406	genemark-shi_s35-processed-gene-3.10-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.10&CDS=1-1656	YER087W
OG0001407	genemark-shi_s35-processed-gene-3.34-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.34&CDS=1-273	YER019C-A
OG0001408	genemark-shi_s35-processed-gene-3.11-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.11&CDS=1-2052	YBL051C
OG0001409	genemark-shi_s35-processed-gene-3.35-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.35&CDS=1-1167	YBL055C
OG0001410	genemark-shi_s35-processed-gene-3.36-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.36&CDS=1-1509	YJR121W
OG0001411	genemark-shi_s35-processed-gene-3.37-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.37&CDS=1-2355	YJR119C
OG0001412	genemark-shi_s35-processed-gene-3.15-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.15&CDS=1-828	YER023W
OG0001413	genemark-shi_s35-processed-gene-3.16-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.16&CDS=1-1296	YDL084W
OG0001414	genemark-shi_s35-processed-gene-3.17-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.17&CDS=1-1308	YLR303W
OG0001415	genemark-shi_s35-processed-gene-3.40-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.40&CDS=1-1482	YML066C
OG0001416	genemark-shi_s35-processed-gene-3.18-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.18&CDS=1-1290	YLR438W
OG0001417	augustus_masked-shi_s35-processed-gene-3.155-mRNA-1_1&gene=augustus_masked-shi_s35-processed-gene-3.155&CDS=1-2424	YLR138W
OG0001418	genemark-shi_s35-processed-gene-3.19-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.19&CDS=1-870	YER163C
OG0001419	genemark-shi_s35-processed-gene-3.44-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.44&CDS=1-1227	YNL175C
OG0001420	maker-shi_s35-snap-gene-3.112-mRNA-1_1&gene=maker-shi_s35-snap-gene-3.112&CDS=1-2247	YBR251W
OG0001421	genemark-shi_s35-processed-gene-3.25-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.25&CDS=1-3267	YFR030W
OG0001422	genemark-shi_s35-processed-gene-4.0-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.0&CDS=1-429	YCR063W
OG0001423	genemark-shi_s35-processed-gene-4.1-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.1&CDS=1-1092	YKL028W
OG0001424	genemark-shi_s35-processed-gene-4.2-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.2&CDS=1-870	YBR291C
OG0001425	genemark-shi_s35-processed-gene-4.32-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.32&CDS=1-1158	YBR290W
OG0001426	genemark-shi_s35-processed-gene-4.33-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.33&CDS=1-978	YOR368W
OG0001427	genemark-shi_s35-processed-gene-4.34-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.34&CDS=1-1044	YLR447C
OG0001428	genemark-shi_s35-processed-gene-4.8-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.8&CDS=1-1203	YML071C
OG0001429	genemark-shi_s35-processed-gene-4.36-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.36&CDS=1-603	YLR292C
OG0001430	genemark-shi_s35-processed-gene-4.10-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.10&CDS=1-1188	YIL116W
OG0001431	genemark-shi_s35-processed-gene-4.11-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.11&CDS=1-741	YMR188C
OG0001432	genemark-shi_s35-processed-gene-4.12-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.12&CDS=1-1953	YJL093C
OG0001433	genemark-shi_s35-processed-gene-4.13-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.13&CDS=1-1371	YAL022C
OG0001434	genemark-shi_s35-processed-gene-4.15-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.15&CDS=1-1731	YKL191W
OG0001435	maker-shi_s35-snap-gene-4.136-mRNA-1_1&gene=maker-shi_s35-snap-gene-4.136&CDS=1-2088	YLR427W
OG0001436	genemark-shi_s35-processed-gene-4.21-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.21&CDS=1-675	YJL218W
OG0001437	genemark-shi_s35-processed-gene-4.22-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.22&CDS=1-882	YGL198W
OG0001438	genemark-shi_s35-processed-gene-4.40-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.40&CDS=1-1854	YMR278W
OG0001439	genemark-shi_s35-processed-gene-4.41-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.41&CDS=1-1431	YLL036C
OG0001440	maker-shi_s35-snap-gene-4.137-mRNA-1_1&gene=maker-shi_s35-snap-gene-4.137&CDS=1-1080	YLR414C
OG0001441	genemark-shi_s35-processed-gene-4.43-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.43&CDS=1-2430	YMR277W
OG0001442	genemark-shi_s35-processed-gene-4.45-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.45&CDS=1-963	YMR276W
OG0001443	genemark-shi_s35-processed-gene-4.46-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.46&CDS=1-1266	YKL185W
OG0001444	snap_masked-shi_s35-processed-gene-4.90-mRNA-1_1&gene=snap_masked-shi_s35-processed-gene-4.90&CDS=1-531	YKL186C
OG0001445	genemark-shi_s35-processed-gene-4.49-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.49&CDS=1-1920	YPL249C
OG0001446	genemark-shi_s35-processed-gene-4.50-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.50&CDS=1-1194	YMR191W
OG0001447	genemark-shi_s35-processed-gene-4.51-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.51&CDS=1-1137	YPL248C
OG0001448	snap_masked-shi_s35-processed-gene-4.120-mRNA-1_1&gene=snap_masked-shi_s35-processed-gene-4.120&CDS=1-3219	YMR190C
OG0001449	snap_masked-shi_s35-processed-gene-4.121-mRNA-1_1&gene=snap_masked-shi_s35-processed-gene-4.121&CDS=1-672	YML041C
OG0001450	genemark-shi_s35-processed-gene-4.25-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.25&CDS=1-8124	YGL195W
OG0001451	genemark-shi_s35-processed-gene-4.26-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.26&CDS=1-1179	YHL024W
OG0001452	genemark-shi_s35-processed-gene-4.28-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.28&CDS=1-2049	YNL186W
OG0001453	genemark-shi_s35-processed-gene-4.56-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.56&CDS=1-597	YBL049W
OG0001454	maker-shi_s35-snap-gene-4.139-mRNA-1_1&gene=maker-shi_s35-snap-gene-4.139&CDS=1-975	YNL177C
OG0001455	genemark-shi_s35-processed-gene-4.59-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.59&CDS=1-621	YDL212W
OG0001456	maker-shi_s35-augustus-gene-4.144-mRNA-1_1&gene=maker-shi_s35-augustus-gene-4.144&CDS=1-2118	YDL213C
OG0001457	genemark-shi_s35-processed-gene-4.30-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.30&CDS=1-1317	YNL181W
OG0001458	genemark-shi_s35-processed-gene-4.62-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.62&CDS=1-429	YNL185C
OG0001459	genemark-shi_s35-processed-gene-4.64-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.64&CDS=1-1302	YPL247C
OG0001460	genemark-shi_s35-processed-gene-4.65-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.65&CDS=1-3030	YMR189W
OG0001461	genemark-shi_s38-processed-gene-0.56-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.56&CDS=1-330	YDR115W
OG0001462	snap_masked-shi_s38-processed-gene-0.1-mRNA-1_1&gene=snap_masked-shi_s38-processed-gene-0.1&CDS=1-4266	YLR086W
OG0001463	genemark-shi_s38-processed-gene-0.57-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.57&CDS=1-990	YLR405W
OG0001464	genemark-shi_s38-processed-gene-0.58-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.58&CDS=1-1884	YLR399C
OG0001465	genemark-shi_s38-processed-gene-0.59-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.59&CDS=1-2007	YDL074C
OG0001466	genemark-shi_s38-processed-gene-0.39-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.39&CDS=1-2718	YBR229C
OG0001467	genemark-shi_s38-processed-gene-0.60-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.60&CDS=1-897	YLR412W
OG0001468	genemark-shi_s38-processed-gene-0.41-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.41&CDS=1-1203	YKL181W
OG0001469	genemark-shi_s38-processed-gene-0.42-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.42&CDS=1-3336	YLR410W
OG0001470	snap_masked-shi_s38-processed-gene-0.24-mRNA-1_1&gene=snap_masked-shi_s38-processed-gene-0.24&CDS=1-6177	YKL182W
OG0001471	snap_masked-shi_s38-processed-gene-0.25-mRNA-1_1&gene=snap_masked-shi_s38-processed-gene-0.25&CDS=1-969	YJL208C
OG0001472	genemark-shi_s38-processed-gene-0.44-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.44&CDS=1-1368	YKL140W
OG0001473	genemark-shi_s38-processed-gene-0.63-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.63&CDS=1-1275	YMR091C
OG0001474	genemark-shi_s38-processed-gene-0.47-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.47&CDS=1-1962	YJR098C
OG0001475	genemark-shi_s38-processed-gene-0.65-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.65&CDS=1-462	YJR097W
OG0001476	genemark-shi_s38-processed-gene-0.48-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.48&CDS=1-1233	YNL248C
OG0001477	genemark-shi_s38-processed-gene-0.66-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.66&CDS=1-735	YNL246W
OG0001478	maker-shi_s38-augustus-gene-0.75-mRNA-1_1&gene=maker-shi_s38-augustus-gene-0.75&CDS=1-2583	YGR255C
OG0001479	genemark-shi_s38-processed-gene-0.51-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.51&CDS=1-1254	YGR159C
OG0001480	genemark-shi_s38-processed-gene-0.52-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.52&CDS=1-2076	YGL045W
OG0001481	genemark-shi_s38-processed-gene-0.53-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.53&CDS=1-2367	YJL029C
OG0001482	genemark-shi_s38-processed-gene-0.54-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.54&CDS=1-783	YDR007W
OG0001483	genemark-shi_s38-processed-gene-0.71-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.71&CDS=1-1665	YJL008C
OG0001484	genemark-shi_s38-processed-gene-0.55-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.55&CDS=1-474	YER046W
OG0001485	genemark-shi_s38-processed-gene-1.3-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.3&CDS=1-846	YDL142C
OG0001486	genemark-shi_s38-processed-gene-1.4-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.4&CDS=1-2937	YNR043W
OG0001487	genemark-shi_s38-processed-gene-1.0-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.0&CDS=1-375	YJL003W
OG0001488	genemark-shi_s38-processed-gene-1.1-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.1&CDS=1-465	YCR087C-A
OG0001489	genemark-shi_s38-processed-gene-1.5-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.5&CDS=1-957	YCR086W
OG0001490	genemark-shi_s38-processed-gene-1.2-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.2&CDS=1-1329	YDR289C
OG0001491	genemark-shi_s38-processed-gene-1.6-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.6&CDS=1-1890	YDR484W
OG0001492	genemark-shi_s38-processed-gene-1.52-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.52&CDS=1-972	YOL094C
OG0001493	maker-shi_s38-augustus-gene-1.310-mRNA-1_1&gene=maker-shi_s38-augustus-gene-1.310&CDS=1-5712	YDL140C
OG0001494	genemark-shi_s38-processed-gene-1.55-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.55&CDS=1-2958	YNL321W
OG0001495	genemark-shi_s38-processed-gene-1.8-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.8&CDS=1-342	YGR074W
OG0001496	genemark-shi_s38-processed-gene-1.57-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.57&CDS=1-471	YGR076C
OG0001497	genemark-shi_s38-processed-gene-1.58-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.58&CDS=1-471	YDL004W
OG0001498	genemark-shi_s38-processed-gene-1.9-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.9&CDS=1-1518	YDL003W
OG0001499	genemark-shi_s38-processed-gene-1.10-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.10&CDS=1-693	YDR489W
OG0001500	genemark-shi_s38-processed-gene-1.61-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.61&CDS=1-3342	YOL138C
OG0001501	genemark-shi_s38-processed-gene-1.11-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.11&CDS=1-909	YNL320W
OG0001502	genemark-shi_s38-processed-gene-1.62-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.62&CDS=1-627	YOL139C
OG0001503	genemark-shi_s38-processed-gene-1.63-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.63&CDS=1-351	YNL322C
OG0001504	snap_masked-shi_s38-processed-gene-1.116-mRNA-1_1&gene=snap_masked-shi_s38-processed-gene-1.116&CDS=1-633	YJR057W
OG0001505	genemark-shi_s38-processed-gene-1.66-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.66&CDS=1-438	YJR058C
OG0001506	genemark-shi_s38-processed-gene-1.14-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.14&CDS=1-2073	YMR284W
OG0001507	genemark-shi_s38-processed-gene-1.17-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.17&CDS=1-1875	YAL016W
OG0001508	genemark-shi_s38-processed-gene-1.69-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.69&CDS=1-456	YPR067W
OG0001509	genemark-shi_s38-processed-gene-1.18-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.18&CDS=1-894	YPL131W
OG0001510	maker-shi_s38-augustus-gene-1.307-mRNA-1_1&gene=maker-shi_s38-augustus-gene-1.307&CDS=1-810	YHL031C
OG0001511	genemark-shi_s38-processed-gene-1.73-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.73&CDS=1-729	YPR037C
OG0001512	genemark-shi_s38-processed-gene-1.23-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.23&CDS=1-405	YCR028C-A
OG0001513	genemark-shi_s38-processed-gene-1.75-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.75&CDS=1-1200	YDR415C
OG0001514	genemark-shi_s38-processed-gene-1.76-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.76&CDS=1-696	YDR020C
OG0001515	genemark-shi_s38-processed-gene-1.25-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.25&CDS=1-1191	YDR021W
OG0001516	genemark-shi_s38-processed-gene-1.26-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.26&CDS=1-3315	YER110C
OG0001517	genemark-shi_s38-processed-gene-1.27-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.27&CDS=1-1083	YKL178C
OG0001518	genemark-shi_s38-processed-gene-1.77-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.77&CDS=1-1497	YBL080C
OG0001519	genemark-shi_s38-processed-gene-1.28-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.28&CDS=1-393	YBL078C
OG0001520	genemark-shi_s38-processed-gene-1.79-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.79&CDS=1-1062	YNL141W
OG0001521	genemark-shi_s38-processed-gene-1.80-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.80&CDS=1-549	YDL217C
OG0001522	genemark-shi_s38-processed-gene-1.81-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.81&CDS=1-957	YPR023C
OG0001523	snap_masked-shi_s38-processed-gene-1.186-mRNA-1_1&gene=snap_masked-shi_s38-processed-gene-1.186&CDS=1-1182	YDR083W
OG0001524	genemark-shi_s38-processed-gene-1.86-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.86&CDS=1-1017	YER142C
OG0001525	augustus_masked-shi_s38-processed-gene-1.240-mRNA-1_1&gene=augustus_masked-shi_s38-processed-gene-1.240&CDS=1-546	YNL230C
OG0001526	genemark-shi_s38-processed-gene-1.88-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.88&CDS=1-942	YHR062C
OG0001527	genemark-shi_s38-processed-gene-1.38-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.38&CDS=1-807	YNL155W
OG0001528	genemark-shi_s38-processed-gene-1.39-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.39&CDS=1-519	YMR035W
OG0001529	genemark-shi_s38-processed-gene-1.89-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.89&CDS=1-702	YGR057C
OG0001530	maker-shi_s38-augustus-gene-1.312-mRNA-1_1&gene=maker-shi_s38-augustus-gene-1.312&CDS=1-3039	YBR198C
OG0001531	genemark-shi_s38-processed-gene-1.43-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.43&CDS=1-408	YOL026C
OG0001532	genemark-shi_s38-processed-gene-1.93-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.93&CDS=1-381	YIR015W
OG0001533	augustus_masked-shi_s38-processed-gene-1.247-mRNA-1_1&gene=augustus_masked-shi_s38-processed-gene-1.247&CDS=1-750	YOL038W
OG0001534	maker-shi_s38-snap-gene-1.304-mRNA-1_1&gene=maker-shi_s38-snap-gene-1.304&CDS=1-1110	YKL113C
OG0001535	genemark-shi_s38-processed-gene-1.45-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.45&CDS=1-2406	YGR099W
OG0001536	genemark-shi_s38-processed-gene-1.100-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.100&CDS=1-2376	YJR126C
OG0001537	genemark-shi_s38-processed-gene-1.101-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.101&CDS=1-675	YDR538W
OG0001538	genemark-shi_s38-processed-gene-1.48-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.48&CDS=1-1536	YDR539W
OG0001539	genemark-shi_s41-processed-gene-0.82-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.82&CDS=1-1032	YOR043W
OG0001540	genemark-shi_s41-processed-gene-0.83-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.83&CDS=1-1899	YMR004W
OG0001541	genemark-shi_s41-processed-gene-0.59-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.59&CDS=1-858	YDR284C
OG0001542	genemark-shi_s41-processed-gene-0.84-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.84&CDS=1-4809	YDR283C
OG0001543	genemark-shi_s41-processed-gene-0.61-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.61&CDS=1-1794	YMR224C
OG0001544	genemark-shi_s41-processed-gene-0.85-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.85&CDS=1-867	YNL315C
OG0001545	genemark-shi_s41-processed-gene-0.86-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.86&CDS=1-603	YNL310C
OG0001546	genemark-shi_s41-processed-gene-0.88-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.88&CDS=1-2988	YBR081C
OG0001547	genemark-shi_s41-processed-gene-0.90-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.90&CDS=1-1542	YLR197W
OG0001548	augustus_masked-shi_s41-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-shi_s41-processed-gene-0.8&CDS=1-1023	YGR112W
OG0001549	genemark-shi_s41-processed-gene-0.91-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.91&CDS=1-582	YER083C
OG0001550	genemark-shi_s41-processed-gene-0.93-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.93&CDS=1-1251	YKL216W
OG0001551	genemark-shi_s41-processed-gene-0.67-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.67&CDS=1-1443	YER082C
OG0001552	augustus_masked-shi_s41-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-shi_s41-processed-gene-0.37&CDS=1-2298	YPL260W
OG0001553	genemark-shi_s41-processed-gene-0.98-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.98&CDS=1-2700	YPR163C
OG0001554	augustus_masked-shi_s41-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-shi_s41-processed-gene-0.40&CDS=1-468	YEL034W
OG0001555	snap_masked-shi_s41-processed-gene-0.117-mRNA-1_1&gene=snap_masked-shi_s41-processed-gene-0.117&CDS=1-3810	YOR330C
OG0001556	maker-shi_s41-augustus-gene-0.47-mRNA-1_1&gene=maker-shi_s41-augustus-gene-0.47&CDS=1-2211	YKR095W-A
OG0001557	maker-shi_s41-snap-gene-0.53-mRNA-1_1&gene=maker-shi_s41-snap-gene-0.53&CDS=1-4848	YBR097W
OG0001558	genemark-shi_s41-processed-gene-0.75-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.75&CDS=1-1089	YPR056W
OG0001559	maker-shi_s41-augustus-gene-0.49-mRNA-1_1&gene=maker-shi_s41-augustus-gene-0.49&CDS=1-372	YPR063C
OG0001560	genemark-shi_s41-processed-gene-0.103-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.103&CDS=1-1644	YBR103W
OG0001561	genemark-shi_s41-processed-gene-0.78-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.78&CDS=1-2151	YBR102C
OG0001562	genemark-shi_s41-processed-gene-0.104-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.104&CDS=1-2088	YBR043C
OG0001563	genemark-shi_s41-processed-gene-0.79-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.79&CDS=1-1242	YBR042C
OG0001564	maker-shi_s41-augustus-gene-0.50-mRNA-1_1&gene=maker-shi_s41-augustus-gene-0.50&CDS=1-11991	YHR099W
OG0001565	genemark-shi_s48-processed-gene-0.95-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.95&CDS=1-1728	YKR016W
OG0001566	genemark-shi_s48-processed-gene-0.96-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.96&CDS=1-1419	YJL081C
OG0001567	genemark-shi_s48-processed-gene-0.97-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.97&CDS=1-1830	YMR092C
OG0001568	genemark-shi_s48-processed-gene-0.98-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.98&CDS=1-2091	YEL011W
OG0001569	snap_masked-shi_s48-processed-gene-0.54-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-0.54&CDS=1-1908	YMR106C
OG0001570	genemark-shi_s48-processed-gene-0.122-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.122&CDS=1-1101	YMR097C
OG0001571	genemark-shi_s48-processed-gene-0.100-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.100&CDS=1-864	YKL110C
OG0001572	genemark-shi_s48-processed-gene-0.123-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.123&CDS=1-738	YKL099C
OG0001573	genemark-shi_s48-processed-gene-0.101-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.101&CDS=1-1770	YMR098C
OG0001574	genemark-shi_s48-processed-gene-0.124-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.124&CDS=1-1497	YKR023W
OG0001575	maker-shi_s48-augustus-gene-0.0-mRNA-1_1&gene=maker-shi_s48-augustus-gene-0.0&CDS=1-3177	YJL106W
OG0001576	maker-shi_s48-augustus-gene-0.1-mRNA-1_1&gene=maker-shi_s48-augustus-gene-0.1&CDS=1-2430	YBR034C
OG0001577	genemark-shi_s48-processed-gene-0.109-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.109&CDS=1-381	YCL033C
OG0001578	genemark-shi_s48-processed-gene-0.125-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.125&CDS=1-945	YDL015C
OG0001579	genemark-shi_s48-processed-gene-0.110-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.110&CDS=1-450	YOR298C-A
OG0001580	maker-shi_s48-snap-gene-0.7-mRNA-1_1&gene=maker-shi_s48-snap-gene-0.7&CDS=1-5958	YJL109C
OG0001581	snap_masked-shi_s48-processed-gene-0.67-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-0.67&CDS=1-210	YBL071W-A
OG0001582	snap_masked-shi_s48-processed-gene-0.69-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-0.69&CDS=1-684	YAR008W
OG0001583	maker-shi_s48-augustus-gene-0.4-mRNA-1_1&gene=maker-shi_s48-augustus-gene-0.4&CDS=1-4509	YJL154C
OG0001584	snap_masked-shi_s48-processed-gene-0.89-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-0.89&CDS=1-5397	YNL242W
OG0001585	snap_masked-shi_s48-processed-gene-0.90-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-0.90&CDS=1-1200	YKR063C
OG0001586	augustus_masked-shi_s48-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-shi_s48-processed-gene-0.28&CDS=1-2289	YAL010C
