	Meyerozyma_guilliermondii	Saccharomyces_cerevisiae
OG0001437	genemark-NW_001809797.1-processed-gene-5.83-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-5.83&CDS=1-1383	YLL011W
OG0001438	augustus_masked-NW_001809797.1-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-5.142&CDS=1-732	YNL265C
OG0001439	genemark-NW_001809797.1-processed-gene-5.86-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-5.86&CDS=1-1521	YOR269W
OG0001440	augustus_masked-NW_001809797.1-processed-gene-5.161-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-5.161&CDS=1-936	YOR251C
OG0001441	augustus_masked-NW_001809797.1-processed-gene-5.162-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-5.162&CDS=1-2049	YOR243C
OG0001442	snap_masked-NW_001809797.1-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-5.24&CDS=1-870	YOR242C
OG0001443	genemark-NW_001809797.1-processed-gene-5.88-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-5.88&CDS=1-4182	YPL153C
OG0001444	augustus_masked-NW_001809797.1-processed-gene-5.163-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-5.163&CDS=1-999	YLR017W
OG0001445	maker-NW_001809797.1-snap-gene-5.121-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-5.121&CDS=1-1986	YOR245C
OG0001446	snap_masked-NW_001809797.1-processed-gene-5.28-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-5.28&CDS=1-1959	YLL004W
OG0001447	augustus_masked-NW_001809797.1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.12&CDS=1-651	YJL001W
OG0001448	maker-NW_001809797.1-augustus-gene-6.91-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-6.91&CDS=1-1929	YJL002C
OG0001449	augustus_masked-NW_001809797.1-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.28&CDS=1-1503	YKL024C
OG0001450	augustus_masked-NW_001809797.1-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.14&CDS=1-1932	YLL019C
OG0001451	genemark-NW_001809797.1-processed-gene-6.70-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-6.70&CDS=1-438	YBR217W
OG0001452	maker-NW_001809797.1-augustus-gene-6.93-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-6.93&CDS=1-882	YBR291C
OG0001453	augustus_masked-NW_001809797.1-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.30&CDS=1-1035	YKL028W
OG0001454	augustus_masked-NW_001809797.1-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.17&CDS=1-1611	YCR065W
OG0001455	genemark-NW_001809797.1-processed-gene-6.73-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-6.73&CDS=1-441	YCR063W
OG0001456	augustus_masked-NW_001809797.1-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.18&CDS=1-2280	YOR112W
OG0001457	genemark-NW_001809797.1-processed-gene-6.58-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-6.58&CDS=1-1284	YGR159C
OG0001458	augustus_masked-NW_001809797.1-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.21&CDS=1-2127	YGL045W
OG0001459	augustus_masked-NW_001809797.1-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.22&CDS=1-2934	YJL029C
OG0001460	augustus_masked-NW_001809797.1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.37&CDS=1-1656	YJL008C
OG0001461	augustus_masked-NW_001809797.1-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.23&CDS=1-1893	YNL272C
OG0001462	augustus_masked-NW_001809797.1-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.24&CDS=1-5133	YNL271C
OG0001463	maker-NW_001809797.1-snap-gene-6.2-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-6.2&CDS=1-1497	YGL161C
OG0001464	augustus_masked-NW_001809797.1-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.39&CDS=1-555	YLR066W
OG0001465	augustus_masked-NW_001809797.1-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.40&CDS=1-2280	YNL247W
OG0001466	maker-NW_001809797.1-augustus-gene-6.94-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-6.94&CDS=1-3552	YLR069C
OG0001467	snap_masked-NW_001809797.1-processed-gene-6.139-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-6.139&CDS=1-3459	YBR023C
OG0001468	augustus_masked-NW_001809797.1-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.9&CDS=1-4440	YNL297C
OG0001469	augustus_masked-NW_001809797.1-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.7&CDS=1-1236	YCR079W
OG0001470	augustus_masked-NW_001809797.1-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.10&CDS=1-273	YNR037C
OG0001471	augustus_masked-NW_001809797.1-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.8&CDS=1-5979	YJR035W
OG0001472	augustus_masked-NW_001809797.1-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.11&CDS=1-1500	YKL043W
OG0001473	augustus_masked-NW_001809797.1-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.22&CDS=1-2988	YKL064W
OG0001474	augustus_masked-NW_001809797.1-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.23&CDS=1-315	YMR039C
OG0001475	augustus_masked-NW_001809797.1-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.24&CDS=1-981	YMR041C
OG0001476	augustus_masked-NW_001809797.1-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.25&CDS=1-2037	YMR032W
OG0001477	augustus_masked-NW_001809797.1-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.12&CDS=1-1293	YMR034C
OG0001478	augustus_masked-NW_001809797.1-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.26&CDS=1-2241	YNL041C
OG0001479	augustus_masked-NW_001809797.1-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.27&CDS=1-1275	YIL101C
OG0001480	augustus_masked-NW_001809797.1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.29&CDS=1-240	YLR395C
OG0001481	snap_masked-NW_001809797.1-processed-gene-7.92-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-7.92&CDS=1-183	YDL067C
OG0001482	augustus_masked-NW_001809797.1-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.30&CDS=1-2046	YLR396C
OG0001483	snap_masked-NW_001809797.1-processed-gene-7.95-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-7.95&CDS=1-14691	YLR106C
OG0001484	genemark-NW_001809797.1-processed-gene-7.76-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-7.76&CDS=1-6105	YDR127W
OG0001485	genemark-NW_001809797.1-processed-gene-7.53-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-7.53&CDS=1-2805	YDR524C
OG0001486	augustus_masked-NW_001809797.1-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.35&CDS=1-567	YML036W
OG0001487	augustus_masked-NW_001809797.1-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.36&CDS=1-963	YDR460W
OG0001488	genemark-NW_001809797.1-processed-gene-7.57-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-7.57&CDS=1-456	YDR459C
OG0001489	snap_masked-NW_001809797.1-processed-gene-7.101-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-7.101&CDS=1-1839	YDR527W
OG0001490	augustus_masked-NW_001809797.1-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.37&CDS=1-231	YDR525W-A
OG0001491	snap_masked-NW_001809797.1-processed-gene-7.102-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-7.102&CDS=1-1092	YMR152W
OG0001492	maker-NW_001809797.1-snap-gene-7.4-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-7.4&CDS=1-4692	YLR362W
OG0001493	augustus_masked-NW_001809797.1-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-7.39&CDS=1-1971	YKL179C
OG0001494	augustus_masked-NW_001809797.1-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.114&CDS=1-1884	YLR143W
OG0001495	augustus_masked-NW_001809797.1-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.117&CDS=1-915	YJR062C
OG0001496	augustus_masked-NW_001809797.1-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.119&CDS=1-405	YGL191W
OG0001497	maker-NW_001809797.1-snap-gene-8.112-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-8.112&CDS=1-1470	YGL190C
OG0001498	maker-NW_001809797.1-snap-gene-8.110-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-8.110&CDS=1-816	YGL187C
OG0001499	augustus_masked-NW_001809797.1-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.122&CDS=1-3624	YBL007C
OG0001500	genemark-NW_001809797.1-processed-gene-8.9-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-8.9&CDS=1-1545	YGL192W
OG0001501	augustus_masked-NW_001809797.1-processed-gene-8.139-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.139&CDS=1-573	YGL010W
OG0001502	augustus_masked-NW_001809797.1-processed-gene-8.140-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.140&CDS=1-3507	YGL022W
OG0001503	augustus_masked-NW_001809797.1-processed-gene-8.141-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.141&CDS=1-4896	YOR341W
OG0001504	augustus_masked-NW_001809797.1-processed-gene-8.143-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.143&CDS=1-801	YIL093C
OG0001505	augustus_masked-NW_001809797.1-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.126&CDS=1-516	YDL120W
OG0001506	augustus_masked-NW_001809797.1-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.128&CDS=1-2064	YOL060C
OG0001507	augustus_masked-NW_001809797.1-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.129&CDS=1-1602	YDL025C
OG0001508	augustus_masked-NW_001809797.1-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.130&CDS=1-1554	YKR051W
OG0001509	augustus_masked-NW_001809797.1-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.145&CDS=1-2517	YNL240C
OG0001510	augustus_masked-NW_001809797.1-processed-gene-8.146-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.146&CDS=1-1314	YNL237W
OG0001511	augustus_masked-NW_001809797.1-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.131&CDS=1-2541	YNL238W
OG0001512	augustus_masked-NW_001809797.1-processed-gene-8.132-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.132&CDS=1-1503	YNL241C
OG0001513	augustus_masked-NW_001809797.1-processed-gene-8.133-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.133&CDS=1-1194	YGL111W
OG0001514	augustus_masked-NW_001809797.1-processed-gene-8.147-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.147&CDS=1-1035	YGL100W
OG0001515	maker-NW_001809797.1-augustus-gene-8.51-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-8.51&CDS=1-3036	YBR243C
OG0001516	maker-NW_001809797.1-augustus-gene-8.55-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-8.55&CDS=1-4194	YDL215C
OG0001517	augustus_masked-NW_001809797.1-processed-gene-8.149-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.149&CDS=1-1416	YOL061W
OG0001518	augustus_masked-NW_001809797.1-processed-gene-8.150-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.150&CDS=1-1392	YOL062C
OG0001519	augustus_masked-NW_001809797.1-processed-gene-8.151-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.151&CDS=1-1821	YGL110C
OG0001520	augustus_masked-NW_001809797.1-processed-gene-8.135-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.135&CDS=1-1023	YJL117W
OG0001521	augustus_masked-NW_001809797.1-processed-gene-8.153-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.153&CDS=1-339	YBR120C
OG0001522	augustus_masked-NW_001809797.1-processed-gene-8.136-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.136&CDS=1-1707	YKR043C
OG0001523	snap_masked-NW_001809797.1-processed-gene-8.105-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-8.105&CDS=1-2499	YBR286W
OG0001524	augustus_masked-NW_001809797.1-processed-gene-8.158-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.158&CDS=1-1203	YGL048C
OG0001525	augustus_masked-NW_001809797.1-processed-gene-9.101-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.101&CDS=1-1473	YDL233W
OG0001526	augustus_masked-NW_001809797.1-processed-gene-9.102-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.102&CDS=1-2400	YNL212W
OG0001527	snap_masked-NW_001809797.1-processed-gene-9.25-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-9.25&CDS=1-240	YNL211C
OG0001528	augustus_masked-NW_001809797.1-processed-gene-9.103-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.103&CDS=1-747	YOR107W
OG0001529	genemark-NW_001809797.1-processed-gene-9.73-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-9.73&CDS=1-942	YIR017C
OG0001530	augustus_masked-NW_001809797.1-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.104&CDS=1-3540	YBR218C
OG0001531	maker-NW_001809797.1-snap-gene-9.93-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-9.93&CDS=1-1113	YGL126W
OG0001532	augustus_masked-NW_001809797.1-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.107&CDS=1-2508	YIL140W
OG0001533	maker-NW_001809797.1-augustus-gene-9.47-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-9.47&CDS=1-2859	YBR221C
OG0001534	augustus_masked-NW_001809797.1-processed-gene-9.110-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.110&CDS=1-219	YNR032C-A
OG0001535	augustus_masked-NW_001809797.1-processed-gene-9.124-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.124&CDS=1-1056	YNR032W
OG0001536	augustus_masked-NW_001809797.1-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.125&CDS=1-1407	YOL140W
OG0001537	augustus_masked-NW_001809797.1-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.126&CDS=1-1797	YNR039C
OG0001538	augustus_masked-NW_001809797.1-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.127&CDS=1-4683	YCR081W
OG0001539	maker-NW_001809797.1-augustus-gene-9.49-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-9.49&CDS=1-5199	YMR109W
OG0001540	genemark-NW_001809797.1-processed-gene-9.63-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-9.63&CDS=1-4212	YCR073C
OG0001541	augustus_masked-NW_001809797.1-processed-gene-9.129-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.129&CDS=1-1824	YCR071C
OG0001542	augustus_masked-NW_001809797.1-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.130&CDS=1-6312	YNR033W
OG0001543	genemark-NW_001809797.1-processed-gene-9.86-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-9.86&CDS=1-945	YMR256C
OG0001544	augustus_masked-NW_001809797.1-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.113&CDS=1-3870	YNL308C
OG0001545	augustus_masked-NW_001809797.1-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.115&CDS=1-1959	YBR043C
OG0001546	augustus_masked-NW_001809797.1-processed-gene-9.134-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.134&CDS=1-2232	YBR102C
OG0001547	genemark-NW_001809797.1-processed-gene-9.69-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-9.69&CDS=1-1497	YBR103W
OG0001548	augustus_masked-NW_001809797.1-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.135&CDS=1-363	YPR063C
OG0001549	augustus_masked-NW_001809797.1-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-9.117&CDS=1-1068	YPR056W
OG0001550	genemark-NW_001809797.1-processed-gene-10.2-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-10.2&CDS=1-462	YPR062W
OG0001551	augustus_masked-NW_001809797.1-processed-gene-10.56-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.56&CDS=1-4464	YBR097W
OG0001552	maker-NW_001809797.1-snap-gene-10.103-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-10.103&CDS=1-774	YDR064W
OG0001553	augustus_masked-NW_001809797.1-processed-gene-10.53-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.53&CDS=1-1662	YFR028C
OG0001554	augustus_masked-NW_001809797.1-processed-gene-10.60-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.60&CDS=1-1920	YER140W
OG0001555	augustus_masked-NW_001809797.1-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.83&CDS=1-1485	YER141W
OG0001556	genemark-NW_001809797.1-processed-gene-10.10-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-10.10&CDS=1-1965	YBR041W
OG0001557	augustus_masked-NW_001809797.1-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.84&CDS=1-1248	YCR012W
OG0001558	augustus_masked-NW_001809797.1-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.62&CDS=1-855	YBR101C
OG0001559	augustus_masked-NW_001809797.1-processed-gene-10.85-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.85&CDS=1-1326	YBR098W
OG0001560	augustus_masked-NW_001809797.1-processed-gene-10.63-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.63&CDS=1-3285	YPR055W
OG0001561	snap_masked-NW_001809797.1-processed-gene-10.144-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-10.144&CDS=1-696	YPR124W
OG0001562	augustus_masked-NW_001809797.1-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.65&CDS=1-1770	YMR120C
OG0001563	augustus_masked-NW_001809797.1-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.66&CDS=1-1959	YOR254C
OG0001564	augustus_masked-NW_001809797.1-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.87&CDS=1-519	YOR253W
OG0001565	maker-NW_001809797.1-snap-gene-10.97-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-10.97&CDS=1-2160	YPL169C
OG0001566	augustus_masked-NW_001809797.1-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.68&CDS=1-1302	YPL175W
OG0001567	maker-NW_001809797.1-augustus-gene-10.158-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-10.158&CDS=1-501	YOR257W
OG0001568	augustus_masked-NW_001809797.1-processed-gene-10.70-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.70&CDS=1-930	YPL173W
OG0001569	augustus_masked-NW_001809797.1-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.89&CDS=1-1254	YOR259C
OG0001570	augustus_masked-NW_001809797.1-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.71&CDS=1-1374	YOR260W
OG0001571	augustus_masked-NW_001809797.1-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.90&CDS=1-660	YJR056C
OG0001572	augustus_masked-NW_001809797.1-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.72&CDS=1-645	YLR268W
OG0001573	augustus_masked-NW_001809797.1-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.73&CDS=1-1746	YGL124C
OG0001574	augustus_masked-NW_001809797.1-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.91&CDS=1-1743	YHR085W
OG0001575	maker-NW_001809797.1-snap-gene-10.100-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-10.100&CDS=1-3678	YOR273C
OG0001576	augustus_masked-NW_001809797.1-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.93&CDS=1-1440	YDL159W
OG0001577	augustus_masked-NW_001809797.1-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.95&CDS=1-1218	YOL041C
OG0001578	augustus_masked-NW_001809797.1-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.80&CDS=1-1509	YAL013W
OG0001579	augustus_masked-NW_001809797.1-processed-gene-10.81-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.81&CDS=1-1554	YLR330W
OG0001580	augustus_masked-NW_001809797.1-processed-gene-10.96-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.96&CDS=1-366	YGR020C
OG0001581	augustus_masked-NW_001809797.1-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.82&CDS=1-843	YGR021W
OG0001582	maker-NW_001809797.1-snap-gene-11.190-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-11.190&CDS=1-1173	YPR011C
OG0001583	augustus_masked-NW_001809797.1-processed-gene-11.200-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.200&CDS=1-1410	YGR019W
OG0001584	genemark-NW_001809797.1-processed-gene-11.0-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-11.0&CDS=1-1914	YPL128C
OG0001585	augustus_masked-NW_001809797.1-processed-gene-11.197-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.197&CDS=1-1179	YOR212W
OG0001586	augustus_masked-NW_001809797.1-processed-gene-11.201-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.201&CDS=1-726	YPL129W
OG0001587	augustus_masked-NW_001809797.1-processed-gene-11.202-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.202&CDS=1-510	YOR215C
OG0001588	augustus_masked-NW_001809797.1-processed-gene-11.234-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.234&CDS=1-579	YOR236W
OG0001589	maker-NW_001809797.1-augustus-gene-11.92-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-11.92&CDS=1-708	YPL127C
OG0001590	augustus_masked-NW_001809797.1-processed-gene-11.236-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.236&CDS=1-762	YGR017W
OG0001591	augustus_masked-NW_001809797.1-processed-gene-11.237-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.237&CDS=1-687	YGR152C
OG0001592	snap_masked-NW_001809797.1-processed-gene-11.148-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-11.148&CDS=1-2742	YGL201C
OG0001593	augustus_masked-NW_001809797.1-processed-gene-11.241-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.241&CDS=1-999	YER095W
OG0001594	augustus_masked-NW_001809797.1-processed-gene-11.242-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.242&CDS=1-762	YOR004W
OG0001595	snap_masked-NW_001809797.1-processed-gene-11.109-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-11.109&CDS=1-708	YOR232W
OG0001596	snap_masked-NW_001809797.1-processed-gene-11.110-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-11.110&CDS=1-999	YIL094C
OG0001597	augustus_masked-NW_001809797.1-processed-gene-11.243-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.243&CDS=1-1338	YNL022C
OG0001598	augustus_masked-NW_001809797.1-processed-gene-11.244-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.244&CDS=1-2376	YNL021W
OG0001599	augustus_masked-NW_001809797.1-processed-gene-11.245-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.245&CDS=1-1023	YNL035C
OG0001600	augustus_masked-NW_001809797.1-processed-gene-11.210-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.210&CDS=1-1758	YNL039W
OG0001601	genemark-NW_001809797.1-processed-gene-11.20-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-11.20&CDS=1-720	YNL038W
OG0001602	genemark-NW_001809797.1-processed-gene-11.21-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-11.21&CDS=1-3969	YDL240W
OG0001603	augustus_masked-NW_001809797.1-processed-gene-11.246-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.246&CDS=1-1464	YOL137W
OG0001604	maker-NW_001809797.1-augustus-gene-11.87-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-11.87&CDS=1-819	YGL221C
