	Metschnikowia_continentalis	Saccharomyces_cerevisiae
OG0001937	augustus_masked-con_s468-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.79&CDS=1-1377	YGR159C
OG0001938	augustus_masked-con_s468-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.80&CDS=1-1146	YDR058C
OG0001939	augustus_masked-con_s468-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.81&CDS=1-1419	YGR255C
OG0001940	augustus_masked-con_s468-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.82&CDS=1-663	YMR090W
OG0001941	augustus_masked-con_s468-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.83&CDS=1-780	YNL246W
OG0001942	augustus_masked-con_s468-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.84&CDS=1-1233	YNL248C
OG0001943	augustus_masked-con_s468-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.62&CDS=1-489	YJR097W
OG0001944	augustus_masked-con_s468-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.85&CDS=1-1992	YJR098C
OG0001945	augustus_masked-con_s468-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.64&CDS=1-1314	YMR091C
OG0001946	augustus_masked-con_s468-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.88&CDS=1-1353	YKL140W
OG0001947	augustus_masked-con_s468-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.89&CDS=1-2679	YPR194C
OG0001948	augustus_masked-con_s468-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.67&CDS=1-978	YJL208C
OG0001949	augustus_masked-con_s468-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.68&CDS=1-6183	YKL182W
OG0001950	augustus_masked-con_s471-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-con_s471-processed-gene-0.11&CDS=1-4548	YNL297C
OG0001951	augustus_masked-con_s471-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s471-processed-gene-0.12&CDS=1-3405	YBR023C
OG0001952	augustus_masked-con_s473-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s473-processed-gene-0.13&CDS=1-2109	YOR035C
OG0001953	augustus_masked-con_s473-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s473-processed-gene-0.10&CDS=1-711	YHR090C
OG0001954	augustus_masked-con_s474-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-con_s474-processed-gene-0.22&CDS=1-1551	YJL153C
OG0001955	augustus_masked-con_s474-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-con_s474-processed-gene-0.33&CDS=1-3309	YOR349W
OG0001956	augustus_masked-con_s474-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s474-processed-gene-0.23&CDS=1-252	YMR286W
OG0001957	snap_masked-con_s474-processed-gene-0.19-mRNA-1_1&gene=snap_masked-con_s474-processed-gene-0.19&CDS=1-1548	YGL138C
OG0001958	augustus_masked-con_s474-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s474-processed-gene-0.28&CDS=1-3537	YPL217C
OG0001959	snap_masked-con_s478-processed-gene-0.3-mRNA-1_1&gene=snap_masked-con_s478-processed-gene-0.3&CDS=1-3165	YMR196W
OG0001960	augustus_masked-con_s478-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s478-processed-gene-0.8&CDS=1-666	YMR197C
OG0001961	augustus_masked-con_s479-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.93&CDS=1-3612	YDR097C
OG0001962	augustus_masked-con_s479-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.94&CDS=1-483	YPR098C
OG0001963	augustus_masked-con_s479-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.112&CDS=1-3531	YDR216W
OG0001964	augustus_masked-con_s479-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.113&CDS=1-1857	YER173W
OG0001965	genemark-con_s479-processed-gene-0.72-mRNA-1_1&gene=genemark-con_s479-processed-gene-0.72&CDS=1-2739	YER169W
OG0001966	maker-con_s479-augustus-gene-0.48-mRNA-1_1&gene=maker-con_s479-augustus-gene-0.48&CDS=1-2046	YPR018W
OG0001967	augustus_masked-con_s479-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.117&CDS=1-1404	YOL027C
OG0001968	augustus_masked-con_s479-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.99&CDS=1-2034	YBR255W
OG0001969	augustus_masked-con_s479-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.101&CDS=1-492	YBR254C
OG0001970	genemark-con_s479-processed-gene-0.78-mRNA-1_1&gene=genemark-con_s479-processed-gene-0.78&CDS=1-1815	YER080W
OG0001971	augustus_masked-con_s479-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.103&CDS=1-522	YPL218W
OG0001972	augustus_masked-con_s479-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.104&CDS=1-1968	YGL099W
OG0001973	augustus_masked-con_s479-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.122&CDS=1-3810	YDR294C
OG0001974	augustus_masked-con_s479-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.123&CDS=1-2079	YDR295C
OG0001975	augustus_masked-con_s479-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.125&CDS=1-1392	YOR056C
OG0001976	augustus_masked-con_s479-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.106&CDS=1-2130	YJL010C
OG0001977	augustus_masked-con_s479-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.126&CDS=1-1995	YPL104W
OG0001978	augustus_masked-con_s479-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.107&CDS=1-1350	YBR199W
OG0001979	maker-con_s479-augustus-gene-0.49-mRNA-1_1&gene=maker-con_s479-augustus-gene-0.49&CDS=1-1806	YPL132W
OG0001980	genemark-con_s479-processed-gene-0.89-mRNA-1_1&gene=genemark-con_s479-processed-gene-0.89&CDS=1-2964	YPL125W
OG0001981	augustus_masked-con_s479-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.130&CDS=1-1263	YOR209C
OG0001982	augustus_masked-con_s479-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-con_s479-processed-gene-0.109&CDS=1-1494	YKL035W
OG0001983	augustus_masked-con_s480-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s480-processed-gene-0.7&CDS=1-816	YLR192C
OG0001984	augustus_masked-con_s480-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s480-processed-gene-0.4&CDS=1-1401	YHR109W
OG0001985	augustus_masked-con_s483-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s483-processed-gene-0.4&CDS=1-1755	YJR016C
OG0001986	augustus_masked-con_s483-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s483-processed-gene-0.1&CDS=1-3720	YBL007C
OG0001987	augustus_masked-con_s483-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s483-processed-gene-0.5&CDS=1-564	YGL010W
OG0001988	augustus_masked-con_s483-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s483-processed-gene-0.6&CDS=1-2241	YGL022W
OG0001989	augustus_masked-con_s484-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s484-processed-gene-0.0&CDS=1-378	YNL113W
OG0001990	augustus_masked-con_s488-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.17&CDS=1-1095	YCR002C
OG0001991	augustus_masked-con_s488-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.0&CDS=1-588	YCR003W
OG0001992	augustus_masked-con_s488-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.2&CDS=1-726	YBR035C
OG0001993	augustus_masked-con_s488-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.19&CDS=1-912	YLR308W
OG0001994	augustus_masked-con_s488-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.21&CDS=1-1407	YPL011C
OG0001995	augustus_masked-con_s488-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.5&CDS=1-1614	YPL020C
OG0001996	augustus_masked-con_s488-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.23&CDS=1-2586	YMR302C
OG0001997	augustus_masked-con_s488-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.24&CDS=1-1077	YGR028W
OG0001998	augustus_masked-con_s488-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.6&CDS=1-2943	YLR336C
OG0001999	augustus_masked-con_s488-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.26&CDS=1-3693	YFL008W
OG0002000	augustus_masked-con_s488-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.7&CDS=1-1020	YEL037C
OG0002001	augustus_masked-con_s488-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.28&CDS=1-690	YEL038W
OG0002002	augustus_masked-con_s488-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.10&CDS=1-1176	YGR012W
OG0002003	augustus_masked-con_s488-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.31&CDS=1-1356	YPL112C
OG0002004	augustus_masked-con_s488-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.32&CDS=1-1296	YDR531W
OG0002005	augustus_masked-con_s488-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.34&CDS=1-2490	YJL087C
OG0002006	augustus_masked-con_s488-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.11&CDS=1-1812	YJL085W
OG0002007	augustus_masked-con_s488-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.12&CDS=1-591	YGL096W
OG0002008	augustus_masked-con_s488-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.35&CDS=1-2619	YFL047W
OG0002009	augustus_masked-con_s488-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.15&CDS=1-825	YLR284C
OG0002010	augustus_masked-con_s488-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.16&CDS=1-2265	YHL023C
OG0002011	augustus_masked-con_s488-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-con_s488-processed-gene-0.37&CDS=1-7299	YHR165C
OG0002012	genemark-con_s489-processed-gene-0.7-mRNA-1_1&gene=genemark-con_s489-processed-gene-0.7&CDS=1-375	YKL086W
OG0002013	augustus_masked-con_s497-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s497-processed-gene-0.2&CDS=1-933	YNL025C
OG0002014	augustus_masked-con_s498-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s498-processed-gene-0.0&CDS=1-1857	YKR099W
OG0002015	augustus_masked-con_s498-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-con_s498-processed-gene-0.9&CDS=1-711	YOR077W
OG0002016	augustus_masked-con_s498-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s498-processed-gene-0.10&CDS=1-1011	YKR087C
OG0002017	snap_masked-con_s498-processed-gene-0.38-mRNA-1_1&gene=snap_masked-con_s498-processed-gene-0.38&CDS=1-537	YIL157C
OG0002018	snap_masked-con_s498-processed-gene-0.30-mRNA-1_1&gene=snap_masked-con_s498-processed-gene-0.30&CDS=1-471	YAL059W
OG0002019	augustus_masked-con_s498-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s498-processed-gene-0.4&CDS=1-1812	YAL058W
OG0002020	augustus_masked-con_s498-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s498-processed-gene-0.6&CDS=1-1539	YKL217W
OG0002021	augustus_masked-con_s500-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-con_s500-processed-gene-0.35&CDS=1-1995	YJR053W
OG0002022	augustus_masked-con_s500-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-con_s500-processed-gene-0.32&CDS=1-1164	YHR002W
OG0002023	augustus_masked-con_s500-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-con_s500-processed-gene-0.36&CDS=1-747	YGR147C
OG0002024	augustus_masked-con_s500-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-con_s500-processed-gene-0.37&CDS=1-1296	YKL027W
OG0002025	augustus_masked-con_s500-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-con_s500-processed-gene-0.38&CDS=1-732	YBR261C
OG0002026	augustus_masked-con_s500-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-con_s500-processed-gene-0.33&CDS=1-522	YOL146W
OG0002027	augustus_masked-con_s500-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-con_s500-processed-gene-0.39&CDS=1-3150	YOL145C
OG0002028	augustus_masked-con_s500-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-con_s500-processed-gene-0.34&CDS=1-1305	YBR143C
OG0002029	augustus_masked-con_s504-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-con_s504-processed-gene-0.21&CDS=1-1395	YLL011W
OG0002030	augustus_masked-con_s504-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s504-processed-gene-0.23&CDS=1-828	YNL265C
OG0002031	augustus_masked-con_s504-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-con_s504-processed-gene-0.24&CDS=1-1596	YOR269W
OG0002032	augustus_masked-con_s506-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.35&CDS=1-1533	YDR539W
OG0002033	augustus_masked-con_s506-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.0&CDS=1-672	YDR538W
OG0002034	augustus_masked-con_s506-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.1&CDS=1-2385	YJR126C
OG0002035	augustus_masked-con_s506-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.37&CDS=1-2451	YGR099W
OG0002036	genemark-con_s506-processed-gene-0.68-mRNA-1_1&gene=genemark-con_s506-processed-gene-0.68&CDS=1-1080	YKL114C
OG0002037	augustus_masked-con_s506-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.5&CDS=1-4083	YKL113C
OG0002038	snap_masked-con_s506-processed-gene-0.181-mRNA-1_1&gene=snap_masked-con_s506-processed-gene-0.181&CDS=1-801	YOL038W
OG0002039	augustus_masked-con_s506-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.6&CDS=1-387	YIR015W
OG0002040	augustus_masked-con_s506-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.39&CDS=1-420	YOL026C
OG0002041	augustus_masked-con_s506-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.40&CDS=1-1449	YGL253W
OG0002042	augustus_masked-con_s506-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.7&CDS=1-825	YPL076W
OG0002043	augustus_masked-con_s506-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.8&CDS=1-2232	YBR198C
OG0002044	snap_masked-con_s506-processed-gene-0.152-mRNA-1_1&gene=snap_masked-con_s506-processed-gene-0.152&CDS=1-705	YGR057C
OG0002045	maker-con_s506-augustus-gene-0.137-mRNA-1_1&gene=maker-con_s506-augustus-gene-0.137&CDS=1-1428	YMR035W
OG0002046	augustus_masked-con_s506-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.11&CDS=1-945	YHR062C
OG0002047	augustus_masked-con_s506-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.44&CDS=1-990	YNL230C
OG0002048	augustus_masked-con_s506-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.13&CDS=1-1026	YER142C
OG0002049	augustus_masked-con_s506-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.15&CDS=1-1215	YDR083W
OG0002050	augustus_masked-con_s506-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.17&CDS=1-2337	YER125W
OG0002051	augustus_masked-con_s506-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.19&CDS=1-972	YPR023C
OG0002052	augustus_masked-con_s506-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.20&CDS=1-549	YDL217C
OG0002053	augustus_masked-con_s506-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.21&CDS=1-1062	YNL141W
OG0002054	augustus_masked-con_s506-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.53&CDS=1-396	YBL078C
OG0002055	augustus_masked-con_s506-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.23&CDS=1-1500	YBL080C
OG0002056	augustus_masked-con_s506-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.55&CDS=1-3309	YER110C
OG0002057	augustus_masked-con_s506-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.56&CDS=1-1191	YDR021W
OG0002058	augustus_masked-con_s506-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.24&CDS=1-699	YDR020C
OG0002059	augustus_masked-con_s506-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.25&CDS=1-1200	YDR415C
OG0002060	augustus_masked-con_s506-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.58&CDS=1-423	YCR028C-A
OG0002061	augustus_masked-con_s506-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.27&CDS=1-726	YPR037C
OG0002062	maker-con_s506-augustus-gene-0.138-mRNA-1_1&gene=maker-con_s506-augustus-gene-0.138&CDS=1-900	YHL031C
OG0002063	augustus_masked-con_s506-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.62&CDS=1-894	YPL131W
OG0002064	augustus_masked-con_s506-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.31&CDS=1-2274	YAL023C
OG0002065	genemark-con_s506-processed-gene-0.95-mRNA-1_1&gene=genemark-con_s506-processed-gene-0.95&CDS=1-654	YPR067W
OG0002066	genemark-con_s506-processed-gene-0.133-mRNA-1_1&gene=genemark-con_s506-processed-gene-0.133&CDS=1-1875	YAL016W
OG0002067	augustus_masked-con_s511-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s511-processed-gene-0.12&CDS=1-444	YIL004C
OG0002068	augustus_masked-con_s511-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s511-processed-gene-0.13&CDS=1-630	YER002W
OG0002069	augustus_masked-con_s511-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s511-processed-gene-0.15&CDS=1-1320	YER003C
OG0002070	augustus_masked-con_s512-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s512-processed-gene-0.2&CDS=1-1446	YDL155W
OG0002071	augustus_masked-con_s512-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s512-processed-gene-0.3&CDS=1-771	YIL070C
OG0002072	genemark-con_s513-processed-gene-0.20-mRNA-1_1&gene=genemark-con_s513-processed-gene-0.20&CDS=1-2229	YAL053W
OG0002073	augustus_masked-con_s516-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s516-processed-gene-0.0&CDS=1-1011	YGR006W
OG0002074	augustus_masked-con_s516-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s516-processed-gene-0.1&CDS=1-234	YLR325C
OG0002075	augustus_masked-con_s516-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s516-processed-gene-0.7&CDS=1-1116	YGR005C
OG0002076	augustus_masked-con_s516-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s516-processed-gene-0.3&CDS=1-1557	YGL017W
OG0002077	augustus_masked-con_s516-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s516-processed-gene-0.5&CDS=1-396	YGL191W
OG0002078	augustus_masked-con_s516-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s516-processed-gene-0.8&CDS=1-1461	YGL190C
OG0002079	augustus_masked-con_s517-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-con_s517-processed-gene-0.22&CDS=1-3459	YAR042W
OG0002080	augustus_masked-con_s517-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s517-processed-gene-0.23&CDS=1-1542	YPR169W
OG0002081	maker-con_s517-augustus-gene-0.0-mRNA-1_1&gene=maker-con_s517-augustus-gene-0.0&CDS=1-2073	YJR110W
OG0002082	augustus_masked-con_s517-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-con_s517-processed-gene-0.27&CDS=1-1011	YJR111C
OG0002083	augustus_masked-con_s517-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s517-processed-gene-0.28&CDS=1-504	YBR137W
OG0002084	augustus_masked-con_s517-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-con_s517-processed-gene-0.31&CDS=1-1185	YER154W
OG0002085	augustus_masked-con_s517-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-con_s517-processed-gene-0.38&CDS=1-5535	YER155C
OG0002086	augustus_masked-con_s519-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s519-processed-gene-0.2&CDS=1-1320	YKL184W
OG0002087	augustus_masked-con_s519-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s519-processed-gene-0.3&CDS=1-2286	YNR006W
OG0002088	genemark-con_s521-processed-gene-0.5-mRNA-1_1&gene=genemark-con_s521-processed-gene-0.5&CDS=1-840	YML014W
OG0002089	genemark-con_s521-processed-gene-0.2-mRNA-1_1&gene=genemark-con_s521-processed-gene-0.2&CDS=1-780	YML015C
OG0002090	augustus_masked-con_s524-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s524-processed-gene-0.5&CDS=1-4398	YLR419W
OG0002091	snap_masked-con_s526-processed-gene-0.1-mRNA-1_1&gene=snap_masked-con_s526-processed-gene-0.1&CDS=1-2157	YMR001C
OG0002092	augustus_masked-con_s528-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s528-processed-gene-0.0&CDS=1-372	YGR020C
OG0002093	augustus_masked-con_s528-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s528-processed-gene-0.3&CDS=1-1512	YLR330W
OG0002094	augustus_masked-con_s528-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s528-processed-gene-0.4&CDS=1-1788	YAL013W
OG0002095	augustus_masked-con_s528-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s528-processed-gene-0.1&CDS=1-1320	YOL041C
OG0002096	augustus_masked-con_s528-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s528-processed-gene-0.2&CDS=1-1530	YNL239W
OG0002097	augustus_masked-con_s529-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s529-processed-gene-0.13&CDS=1-1896	YDR386W
OG0002098	augustus_masked-con_s529-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-con_s529-processed-gene-0.14&CDS=1-918	YOR158W
OG0002099	snap_masked-con_s529-processed-gene-0.2-mRNA-1_1&gene=snap_masked-con_s529-processed-gene-0.2&CDS=1-2067	YML031W
OG0002100	augustus_masked-con_s529-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-con_s529-processed-gene-0.17&CDS=1-1935	YDR456W
OG0002101	augustus_masked-con_s529-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s529-processed-gene-0.16&CDS=1-1362	YOR307C
OG0002102	augustus_masked-con_s529-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-con_s529-processed-gene-0.18&CDS=1-912	YMR241W
OG0002103	augustus_masked-con_s53-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s53-processed-gene-0.6&CDS=1-498	YMR022W
OG0002104	maker-con_s531-augustus-gene-0.4-mRNA-1_1&gene=maker-con_s531-augustus-gene-0.4&CDS=1-1524	YOL003C
OG0002105	augustus_masked-con_s531-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s531-processed-gene-0.10&CDS=1-768	YOR362C
OG0002106	augustus_masked-con_s531-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s531-processed-gene-0.12&CDS=1-2181	YOR361C
OG0002107	snap_masked-con_s534-processed-gene-0.8-mRNA-1_1&gene=snap_masked-con_s534-processed-gene-0.8&CDS=1-177	YNL070W
OG0002108	augustus_masked-con_s534-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s534-processed-gene-0.5&CDS=1-891	YIL134W
OG0002109	genemark-con_s534-processed-gene-0.2-mRNA-1_1&gene=genemark-con_s534-processed-gene-0.2&CDS=1-1158	YNL072W
OG0002110	augustus_masked-con_s538-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s538-processed-gene-0.5&CDS=1-1380	YLL002W
OG0002111	genemark-con_s539-processed-gene-0.27-mRNA-1_1&gene=genemark-con_s539-processed-gene-0.27&CDS=1-963	YIR011C
OG0002112	augustus_masked-con_s539-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-con_s539-processed-gene-0.17&CDS=1-1638	YPL260W
OG0002113	maker-con_s539-augustus-gene-0.13-mRNA-1_1&gene=maker-con_s539-augustus-gene-0.13&CDS=1-2853	YPR163C
OG0002114	snap_masked-con_s539-processed-gene-0.12-mRNA-1_1&gene=snap_masked-con_s539-processed-gene-0.12&CDS=1-459	YEL034W
OG0002115	augustus_masked-con_s54-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-con_s54-processed-gene-0.9&CDS=1-339	YKL138C
OG0002116	augustus_masked-con_s540-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s540-processed-gene-0.12&CDS=1-1947	YDL206W
OG0002117	augustus_masked-con_s540-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s540-processed-gene-0.13&CDS=1-507	YAL044C
OG0002118	maker-con_s540-augustus-gene-0.22-mRNA-1_1&gene=maker-con_s540-augustus-gene-0.22&CDS=1-369	YOR327C
OG0002119	snap_masked-con_s540-processed-gene-0.26-mRNA-1_1&gene=snap_masked-con_s540-processed-gene-0.26&CDS=1-1125	YFL039C
OG0002120	augustus_masked-con_s541-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-con_s541-processed-gene-0.22&CDS=1-2928	YBR289W
